Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u13	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u14	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u15	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u16	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	notMP	notMinister	Klein	Fractie Klein	Opposition	-	GerKlein	Klein, Ger	M	-	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u17	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u18	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	notMP	notMinister	Klein	Fractie Klein	Opposition	-	GerKlein	Klein, Ger	M	-	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u19	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u20	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	notMP	notMinister	Klein	Fractie Klein	Opposition	-	GerKlein	Klein, Ger	M	-	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u21	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u22	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
