ParlaMint-NL_2017-03-21-eerstekamer-6.u1	I would like to welcome the Foreign Minister to the First Chamber.
ParlaMint-NL_2017-03-21-eerstekamer-6.u2	Mr. Chairman. The SP Group is pleased to be able to hold this debate with the Minister on Montenegro's accession to the North Atlantic Treaty Organisation. A lot of my colleagues would rather have it hammered off. This is, of course, legitimate, but in our view it does not do justice to the importance of the law before us, on the basis of which a country is added to which we then have a treaty obligation to provide military assistance. There is no case for a moment, according to my group. I would remind you of the debate we had here with Mr Taverne and this same minister just over a month ago. In that debate, the importance of the democratic legitimacy of far-reaching international treaties was widely underlined in this House. Mr President, as you know, there has been some hassle before this debate. I'd like to remind you of that here. The Minister is very busy even now, I see. Maybe that's why it's been a little fuss. The Chamber had itself proposed 7 March as the date for plenary debate, but then the Minister could not. It was not possible until March 28th at the earliest. So it was the 28th but then at the end of February, in the recess, suddenly came the urgent request whether it could not be done on 7 March. The Minister had suddenly realized that this was a very important law. Luckily, the First Chamber keeps its own agenda and does not let it trample over last minute because the Minister does not have his own agenda in order. But will it please be on the 21st, so today, and couldn't be on the 28th, and then immediately vote completely against the good practices of this house in the same day? Apparently, this treaty had to and would be steered by the Senate as soon as possible. None of this is a good performance in relation to my group. Not even because it was wrongly abroad that the First Chamber was deliberately delaying the examination of this bill. I assume that the Minister agrees with us that action by the Ministry here does not deserve a beauty prize. The question remains with the Minister: why? What's the rush? Why now with steam and boiling water a week earlier, and then vote immediately? As far as the Minister is concerned, is it really one week? And which and whose interests are involved? The Group of the Party of European Socialists is not convinced that it is almost justified, other than by the prestige of the Minister vis-à-vis some of his foreign colleagues and Mr Stoltenberg. If the Minister really had good reasons for this urgency with which he so caught us, why didn't he come forward with it sooner? Finally, this approval law has never been regarded as urgent. I'd like an explanation from the Minister. As far as my group is concerned, the Minister's hastiness to steer Montenegro's accession to NATO through the parliament is indicative of what is wrong with current NATO and the way in which at least the political majority in a number of Member States think about it. From this point of view, NATO is no longer primarily an alliance for the defence of its own territory, but has become an instrument of international power politics. Reference is made to the new dangers, from Putin to ISIS, but, in the perspective of the SP Group, the current era, with rising geopolitical tensions and global instability, requires rethinking, rethinking NATO's task and role. As part of this rethink, the North Atlantic expansion drive must also be re-examined. I would like to hear from the Minister whether, in recent developments, he sees such a rethinking as well. What is NATO doing on Earth? During the Cold War, the adagium "to keep the Russians out, the Americans in, and the Germans down" was written by the first secretary-general. Even after the fall of the Soviet Union, the unofficial goal was to keep the American people in and, now increasingly, the Russians out of it. But in 2017 we are dealing with an American president who does not seem to believe in this mission anymore and who has called NATO an outdated organisation. This is part of the risk of NATO entering an existential crisis. But the threat of a crisis also offers an opportunity, in this case an opportunity to reconsider. Not with the aim of abolishing NATO, but with the aim of transforming it into an organisation which fully respects the United Nations' monopoly of violence and which, within a reaffirmation of that monopoly of violence, is primarily limited to collective self-defense. Within a new global security structure that could then emerge, NATO could continue its efforts in conflict prevention and peacekeeping. A further expansion of NATO is currently poorly suited to this desired reform. On the contrary, in order to get to this process, we will have to recognise that NATO has gone the wrong way after the end of the Cold War. Instead of taking advantage of the opportunity to transform NATO into a genuine pan-European security organisation and a strengthened global security architecture, the double mistake has been made of double expansion. Firstly, the extension of the number of Member States from 16 to 28 for the break-up of the Soviet Union. With this enlargement, the peace capital released by Gorbachev gave up the Soviet empire has been lost and tensions with Russia have gradually re-emerged. Unfortunately, the warning from then VVD leader Bolkestein, twenty years and one month ago, that enlargement would damage the stability of Europe, has come true. At the same time, there has also been another expansion, as NATO has started to operate what is called "out of area' in the jargon. This has turned NATO under the leadership of the US into a global police officer. The capitulation of NATO to international law was the first victim when NATO bombed Serbia in 1999, including today's Montenegro. Then we also had the equally failed as a long adventure in Afghanistan and now NATO wants to get involved in the fight against ISIS. In my group's view, this dual expansion policy of NATO has not contributed to the peace and security of NATO and has derived it from its core task of collective self-defense. This expansion will therefore not come to an end in this cabinet for the time being. Montenegro, with around 600,000 inhabitants and less than 2,000 soldiers, must now be included as soon as possible, because the stability of Europe and our national security are at stake. Do you believe it yourself? In any case, the Minister has not yet been able to convince my group of the advantages of Montenegro's accession. Disadvantages and risks we can see. We have asked the Minister in writing about this, but we have not received many real answers. So I'm just gonna try again. Will accession to NATO really strengthen the stability of the Balkans? What does accession mean for a possible eventual accession of Serbia to NATO? Will that be brought closer if Montenegro moves ahead of Serbia? How does the Minister assess the desirability of joining other countries in the Western Balkans, including Serbia? The Minister stated in his reply on the strengthening of democracy in Montenegro through the accession process and its positive impact on the region. Will it really help Montenegro to become a stable democracy? So far Montenegro is neither very stable nor very democratic. The country is judged by Freedom House as "partially free" and is 106th on the press release index of Reporter Without Borders. Former Prime Minister Djukanović, who ruled the country for about a quarter of a century, until the end of last year, and is still considered a strong man, was declared "person of the year" by a well-known Eastern European NGO and watchdog in the field of corruption and organised crime in 2015, ironically, because of his "deserve" in the field of promoting organised crime and corruption, and the construction of "one of the most dedicated kleptocracies and organised crime ports in the world." On what basis is the Minister so optimistic about building democracy in Montenegro? I'd like a response. What stick, we ask the Minister, does NATO actually have behind the door to further promote the reform process to which the Minister refers in his reply once Montenegro has joined? What does NATO actually add to Montenegro's accession to the EU? In the meantime, political stability in Montenegro is declining. The growing political unrest and instability of the still young independent republic has much, if not everything, to do with the planned accession. With regard to the planned NATO membership, the country has been divided to the bone, with some 40% in favour and 40% against. The latter group is also more Russia-oriented and fears deteriorating relations with that country. That fear does not seem unfounded. What is more important to us is that Montenegro's accession can also have a negative impact on relations in the Balkans as a whole and on NATO's already very tense relationship with Russia. In recent years, a new cold war has been set in motion on both sides. It is dangerous that political differences are increasingly translated into military tensions. There has been a military build-up on both sides, especially in the past year. NATO has seen the greatest reinforcement of troops and equipment on Russia's borders since the end of the Cold War. How does the Minister weigh this militarisation of relations with Russia? Does he not see the danger of us being sucked back into the logic of the Cold War, including an arms race? Meanwhile, enlargement of NATO remains a standing policy, to be reaffirmed with Montenegro's accession as the 29th member. Does the Minister simply not see these risks of increasing tensions with Russia, for example, or is he aware that these disadvantages do not outweigh the benefits? Could he perhaps make the cost-benefit analysis a little more explicit? The SP Group fears that Montenegro has become a toy in an international power struggle, a battle for spheres of influence in the Balkans. After the geopolitical strut around Ukraine, with all the consequences of that, we now see a similar kind of strut around the nipple of Montenegro. This is not the strategic prize, but obviously important in the expansionist logic of current NATO. Let us be clear: it is also Russia that is pulling the strings here and, although many of the claims made still have to be substantiated, may have a dubious role to play in awakening the unrest in Montenegro and thus destabilising the country. The reaction in many NATO capitals, and I suspect so too from many groups in this House, is to say: then we are pulling that rope even harder. I understand that, too. It's a human reaction once you start that game of rope pulling. However, the question is whether it is sensible. The question is, isn't it better to let go of that rope? The SP Group does not think that the national security of the Netherlands will be compromised or that the alliance will be weakened. Nor do we believe that Montenegro will become even more unstable in this case. Maybe... on the contrary. It is also nonsense to say that we are handing Montenegro over to the Russian bear. Montenegro does not need NATO to gradually develop towards a stable democracy integrated into Europe. We do not want to keep that perspective from the Montenegrins at all, but we think that there are other and better ways of doing so than what would at best be premature NATO membership at the moment. Nor does NATO membership guarantee any further development of democracy or even the prevention of a deterioration in the democratic rule of law. Erdogan's Turkey is making so much sense, while Trump's America is threatening the same danger. The regression that we see in these two countries in this area is discrediting NATO as a whole and attacking the alliance from the inside. Adding Montenegro as the 29th member will not change that. On the contrary, by bringing in the unrest in this Balkan country, we are also increasing the unrest within the treaty organisation. Don't we already have our hands full with Turkey and Trump? What is even more important is that the tensions in the Balkans themselves will increase rather than decrease and that we will unnecessarily intensify relations with Russia. Conversely, stopping this twitching, pressing this arm to show whose sphere of influence the Balkans is, will provide an opportunity to improve and de-escalate relations with Russia and will put us in a stronger position to keep putting Putin in a strong position where necessary. In conclusion, it is clear that the SP Group as a whole is not yet convinced that it is now appropriate or sensible to extend NATO to Montenegro. As always, however, we look forward to the Minister's reply in perhaps one of his last appearances in this house.
ParlaMint-NL_2017-03-21-eerstekamer-6.u3	Mr. Chairman. With the adoption of the present protocol governing Montenegro's accession to NATO, the 29th Member State is represented. For my group, this accession cannot be separated from an international security strategy which is necessary to ensure peace, stability and development in Europe and at its borders. The expansion of NATO as a military alliance is not an end in itself for the Group of the Greens/European Free Alliance, but a possible means of promoting peace and stability through cooperation. No country in Europe is, as we believe, capable of achieving this on its own. At the southern borders of Europe, instability has only increased in recent years. At the eastern borders there is a power play about spheres of influence and there has been an annexation. And there is a lot of uncertainty about the role that the US wants to play on the international stage of peace and security. The latter is confirmed by the news from a few hours ago that US Secretary Tillerson would rather travel to Russia and China next month than visit a NATO meeting. Those aren't reassuring messages. In these circumstances, my group can, in principle, support the strengthening of European cooperation, even if it means the accession of a Member State to NATO in the Balkans, if it is able to take permanent steps in the area of democratisation, the development of the rule of law and stable economic development, and if this development really contributes to strengthening stability and greater security in the region, especially for the Montenegrins themselves. The cabinet talks about the developments in Montenegro in quite laudable terms. But the GroenLinks group has been hearing critical noises for a long time, for example about the democratic content of the leadership over the last quarter century of Milo Djukanovic and the circle of family and faithful around him and about persistent corruption, which has not just been eliminated. Does the Cabinet know these sounds and, if so, how does it judge them? We would like to hear from the Minister how he is currently looking at democratic development and tackling corruption in the country. Is the status quo sufficiently positive or does he agree with our group that further development is essential in the areas of democratisation, the fight against corruption and the strengthening of security? It is not yet on the agenda, but as a litmus test, it is interesting to see whether, for example, the country would already meet the requirements imposed on Member States by the EU, of which Montenegro has been a candidate since 2010. I also refer to the concerns expressed by the European Parliament about the slow pace of reform and the lack of concrete results. The EU Parliament also expressed increasing concerns about Russian attempts to use influence in Montenegro, for example in the elections last year. Does the Minister know these signals and can he indicate how NATO membership will put a brake on Russian interference in the country and further on in the Balkans? A demand made to prospective NATO members is that there should also be stability at the borders. In the debate on international security last autumn in the First Chamber, the Group of the Greens/European Free Alliance expressed its concerns about the situation in Kosovo. There still seems to be a process of radicalisation going on. The country has the highest proportion of residents who have travelled as ISIS fighters. Can the Minister say again how he is looking specifically at the situation in Kosovo now? And can he also outline in a more general sense what developments he is seeing in the Balkans? The lack of perspective and poor economic prospects can easily lead to further destabilisation and extremism. My group has already drawn attention to this in the General European Reviews and our concerns have certainly not been removed. In addition to Russian, often destabilising interferences, concerns are also topical from a Dutch perspective about the increasing influence that NATO partner President Erdogan is trying to exert on the Balkans, especially towards the Turkish minorities there. Does the Cabinet share this concern? My group does not want to throw oil on the fire, on the contrary, but this also plays a role in the search for stability in the region. We see cooperation, particularly at European level, as necessary in the search for security and stability. Montenegro's accession to NATO in the relatively unstable Balkans, where third countries are working to increase their sphere of influence, may be a means of doing so. Nor do we regard this accession as an extension of NATO to the east, but given the geographical situation, it is more like filling in a white spot. This raises the question of whether the Minister is planning further enlargements of NATO in the Balkans in the coming years, and what are the possibilities and possible geopolitical consequences of this. We look forward to the Minister's reply.
ParlaMint-NL_2017-03-21-eerstekamer-6.u4	Madam President. We are discussing a subject here today, Montenegro's accession to NATO, which has received little attention in the media and in the public debate, but which is certainly not of importance. We are talking here about the accession of a country, Montenegro, to a political-military alliance, which provides the basis for close political and military cooperation with Montenegro in the three key tasks of NATO: crisis management, cooperation with countries outside NATO and collective defence, including the obligation to assist under Article 5 of the Washington Convention. Our country's security will therefore be closely linked to Montenegro's security. The D66 Group therefore welcomes the fact that a debate is taking place on this subject today and that we are not talking about a hammer piece here. The policy of our country and its partners and allies in the EU and NATO has been there for the last 25 years, after the fall of the Wall, to promote stability, democracy and economic growth in the former communist countries of Central and Eastern Europe, with the prospect of accession to NATO and the EU. Motto was able to export stability without importing instability. In the case of Montenegro, the main concern is that much remains to be done in the process of internal reforms, and that so potentially Montenegrin's membership of the alliance would lead to instability and uncertainty being imported. Although the recent parliamentary elections have gone well, the process of reform in a number of areas is slow, such as the fight against corruption and crime and the strengthening of the rule of law and good governance. It is therefore a good thing that the accession talks under the Membership Action Plan have resulted in an overview of the political, economic and military reforms necessary for the alliance, with a timetable for its implementation. In addition, the European Union pays close attention to these issues in the context of the accession negotiations. The subject remains high on the agenda. We don't have to be afraid that the attention will loosen up. The D66 Group would urge the government to continue to press for further progress in domestic reforms in bilateral contacts with the Montenegrin authorities. Our country represents Montenegro in the IMF and the World Bank and has a special relationship with that country, which may be useful in this discussion with Montenegro. I'd like to get a reaction from the government. As I have just said, not only NATO but also the EU underlines the need for more progress in internal reforms in Montenegro. This does not mean, however, that membership of NATO naturally leads to membership of the European Union. These are two entirely different paths, each with its own content, priorities and timetable. Nor is membership of NATO a gateway to membership of the European Union, nor does Montenegro qualify for membership of the European Union. That is far from the case. Mr Van Apeldoorn also spoke about this; at least he asked a question about it, if I remember correctly. The other starting point for NATO enlargement, which I have just mentioned, is therefore one element: no imports of instability are exports of stability. In my group's view, this is the case in three respects when Montenegro joins NATO. Firstly, membership of NATO serves not only the military security of the country but also a clear political direction. This clarity will benefit the necessary internal reforms and will make it interesting for business and tourism to invest in the country. This will in turn stimulate economic growth in Montenegro and thus promote stability in the country. The latter was also the experience of the creation of NATO itself: the reassurance and confidence in the future that the creation of NATO brought Western European countries ultimately led to 30 years of political stability and economic growth. Secondly, Montenegrin's membership of NATO must also be seen in the context of the growing instability in the whole region of the Western Balkans. This has already been discussed by Mr Lintmeijer, among others. I am thinking, for example, of the internal tensions in countries such as Bosnia-Herzegovina, Macedonia and Kosovo. The possibility of new conflicts in the region cannot be excluded. In addition, the lack of prospects for a better future due to ethnic contradictions, political conflicts and economic stagnation leads to an influx of economic refugees to other countries in Europe, including the Netherlands, from the Western Balkans. More cooperation between the countries there, and with NATO and the EU, will promote stability and economic growth in the region. Montenegrin's membership of NATO supports that necessary cooperation. Thirdly, Montenegro's accession to NATO must also be seen in the light of Putin's Russia's attitude. His policy is to become the main player in the region, and Moscow promotes instability in several countries in the region. In Bosnia and Herzegovina, Moscow supported the referendum organised by the Bosnian Serbs which opened the door to a possible separation from the Serbian part of Bosnia, which would put an end to the Dayton agreement. The Serbian media reports that Putin has a plan for Serbia, Montenegro and Bosnia and Herzegovina to become neutral states, a buffer zone between NATO and Russia. Accession to NATO of independent countries such as Montenegro, and in the past Slovenia, Croatia and Albania, is being aggressively criticised for threatening Russia. A slightly ridiculous reasoning, I think, but I believe that has been said before. Montenegro is threatened by economic sanctions. There was also an assassination attempt on Prime Minister Djukanovic, who was in favour of joining NATO. The Montenegrin authorities have concluded after a few months of investigation that Moscow is behind this attack. The British Government is of the same opinion. Membership of NATO, supported by a large majority of Parliament, would therefore improve stability in the region as it removes uncertainty about Montenegro's position and direction. In this context, the members of my group have another question about the ratification process in the United States of Montenegro's accession to NATO. I note from press releases that this process is currently stalling in Washington and that members of the U.S. Senate are concerned that the Trump administration seems to be in little hurry to ratify. What is the state of play in Washington at this point? What are the expectations that the US will soon ratify? I come to the end of my speech. At the heart of the matter is for the members of the D66 Group whether the countries of Eastern Europe, including the Balkans, will retain the space to determine their own course in political, economic and social terms. It is not a question of if Russia is against anything, that is why we should be in favour of it. But several international agreements and declarations, such as the Helsinki Final Act, state that each country has the right to decide whether it wants to be a member of an alliance or not. In the opinion of my group, this also applies to Montenegro.
ParlaMint-NL_2017-03-21-eerstekamer-6.u5	Mr. Chairman. I thank the members of the First Chamber for their contribution in the first term. We are indeed meeting today to discuss Montenegro's accession to NATO. It is good that the Eerste Kamer placed this subject on the agenda relatively soon after the discussion in the Lower House. I would also like to thank her for the opportunity to discuss it today. There is not so much depth behind that, I say in the direction of the SP Group. It is important to coordinate the international agendas. I am glad that we can talk and vote on this today. In May there will be a NATO summit. It is important that the Netherlands should be able to send a signal to Montenegro as to whether or not it agrees to Montenegro's possible NATO membership. Since 2014, there have been major changes in the world around us. The present time is not a moment to sit still. NATO faces threats from both the south and the east. It is precisely now that we are at a geopolitical turning point that we must continue to look strategically at how we can guarantee our security.
ParlaMint-NL_2017-03-21-eerstekamer-6.u6	I would like to return to the answer given by the Minister to my first question, namely why we need to deal with this today, on 21 March, and why we need to vote on it today. The Ministry has certainly put some pressure on us to deal with this today and not next week. They would have preferred to have dealt with this before, on 7 March. The Minister's answer is that there is not a lot of depth behind it. But he then refers to the NATO summit in May. So, ultimately, it comes to the NATO summit in May. If we deal with it next week, it will take more than two months for the NATO summit to take place. Why does this have to be treated with steam and boiling water today?
ParlaMint-NL_2017-03-21-eerstekamer-6.u7	There is no reason for "with steam and boiling water." We have tried to find a solution with each other so that we can do so as soon as possible. I just said there was a NATO summit in May. There is also legislation that makes it possible to request a referendum on this subject. There are also periods for this. We're sticking to the law. In that sense, it is important that we do not wait too long. The House of Representatives passed this bill by an overwhelming majority. It is important to operate properly internationally. Apart from the United States and Spain, we are also looking at the Netherlands. Does the Netherlands agree or not? Montenegro has waited a long time. It first had the MAP status. Negotiations have been held for a very long time and debates have been held in December 2015 and December 2016. It is important to make some progress on this.
ParlaMint-NL_2017-03-21-eerstekamer-6.u8	The Minister points out that it is important to make some progress on this, but the way this has been done does not deserve the beauty prize as far as we are concerned. We have heard the argument of a referendum before. A period of two months shall apply. Article 2 of the Approval Act states that the Act shall enter into force from the first day of the third month following the date of issue of the Official Journal in which it is placed. If the law is placed in the Official Journal by the end of this month, are we talking on the basis of this article about June 1st? Or do I misunderstand that?
ParlaMint-NL_2017-03-21-eerstekamer-6.u9	That's right.
ParlaMint-NL_2017-03-21-eerstekamer-6.u10	Finally, Mr Van Apeldoorn.
ParlaMint-NL_2017-03-21-eerstekamer-6.u11	In that light, I do not understand the rush, because this treaty will not enter into force until after the NATO summit in May.
