ParlaMint-NL_2017-07-05-tweedekamer-5.u1	I give the floor to the Minister of Finance.
ParlaMint-NL_2017-07-05-tweedekamer-5.u2	Mr. Chairman. Thank you to the honourable Members for their input and the many questions. Thanks also for the compliments on the state of the budget. I have to be careful what I say about that, because everything I say about it is breast-knocking. That is why I am particularly grateful if the Members of your Chamber say positive things about it. For the rest, it has been a somewhat morbid debate so far. It shot back and forth from the reproach of "regulating over the grave" to the reproach of "hiding in the cupboard." Now it can't be both true. At least... you do feel like a funeral undertaker, as I hear Mr. Nijboer say. It's a complicated period, let's not beat about the bush. We are supposed to manage a budget and we are even supposed to rule the country. I have found no evidence in our constitutional law that I should actually be reluctant on this point. There is a kind of use, but as the formation lasts longer, I can't help it either.There are things that just need to be addressed and solved. You can argue politically about what is urgent and what should remain. Some will say: you must not leave targets open; they must be invested immediately with general coverage. Others will say: that does not seem necessary to us, let that be left for the formation. It is really a matter of political taste to what extent the cabinet should clean up business and to what extent it should leave things to be done so that a next cabinet can give substance to it.
ParlaMint-NL_2017-07-05-tweedekamer-5.u3	The Minister is just about a minute and a half, Mr Van Weyenberg.
ParlaMint-NL_2017-07-05-tweedekamer-5.u4	Certainly, Mr. Chairman, we listen carefully from the first second. I was happy with what the minister just said. He confirmed that there is another mission in the 2018 budget. That's the question I asked. So I understand the Minister that there is another 467 million in the OCW budget for 2018. The Minister just confirmed that. Right?
ParlaMint-NL_2017-07-05-tweedekamer-5.u5	Mr Van Weyenberg is now pretending to have discovered something, but his group chairman had already discovered it in the debate on the Millions Note. He then tabled a motion which was also adopted with the support of the coalition parties. So this is not a new theme, Mr Van Weyenberg has discovered nothing new. I'm gonna have to disappoint him in that.
ParlaMint-NL_2017-07-05-tweedekamer-5.u6	No, I don't think I've discovered anything new either. By the way, there has been an additional setback in the student estimate, so the amount has increased. In the motion it was asked: solve it without it affecting the education system. That happened before 2017, but unfortunately, to the great disappointment of my group, not before the years after. Mr Nijboer denied that this task was in the budget. I think that Mr Dijsselbloem, the Minister for Finance, has convinced his own party mate.
ParlaMint-NL_2017-07-05-tweedekamer-5.u7	No, Mr Van Weyenberg is confusing a task and a cut in the budget. It's the same for him. The power of the Pechtold motion was right: let this task not be cut back. Mr Van Weyenberg is now sitting in the wheel of his own group chairman. It has said to us: this task must not be cut back. Mr Van Weyenberg now says to Mr Nijboer, through you, President, and through me, that a mandate is a cut. It can't be both true.
ParlaMint-NL_2017-07-05-tweedekamer-5.u8	Finally.
ParlaMint-NL_2017-07-05-tweedekamer-5.u9	This is the creative accounting department. Anyway, I get... no, let me put it more neutrally. The conclusion is that the motion states: let it not be a task or a cut in education. The Cabinet has done so before 2017, for which thanks...
ParlaMint-NL_2017-07-05-tweedekamer-5.u10	You're welcome.
ParlaMint-NL_2017-07-05-tweedekamer-5.u11	... but not for the years after that, which means that this is still hanging over the market, while all kinds of other targets for those years were removed from the table, the household care fine AOW, the monument deduction in the spring note. I regret that this task is still in the books for the year 2018. And yes, the Minister is right, words about more money for next year sound a bit hollow in the ears from some parties.
ParlaMint-NL_2017-07-05-tweedekamer-5.u12	Mr Van Weyenberg is right. Some outstanding measures have been removed because they simply cannot rely on sufficient support in the Second and First Chambers. The care allowance is one of them. The CPB's already got rid of it. In the meantime, the CPB has also removed the task of teaching, in the sense that it has been said that it will not be invested in measures. The balance of the CPB has thus already been incorporated. The cabinet has not yet done so, because it thought you could think differently; this debate is also in favour of the fact that the mission should remain on OCW, so that a next cabinet can consider just solving it with general money, ask OCW for measures or take measures elsewhere in the national budget to find that money. That is exactly the difference between a target and a cut. With a task you can find all kinds of solutions. You can actually put it in the balance, you can invest it with general resources, you can take other budget measures, you can wait and see if there is any underexhaustment on OCW. These are all ways of filling out a task as time goes by. That's really something other than a cut. I thought D66 understood that in her motion, too. But the message of D66 is clear. She says: you also have to take this series from the OCW budget on a multiannual basis, if necessary at the expense of the balance. That is how I understand Mr Van Weyenberg. He doesn't tell us how else to cover it. Anyway, I can't judge whether this is wise or whether the now forming parties agree with him. He's gonna have to solve that himself with his interlocutors. Well, that would help me. Mr President, as I said, it is a complicated period. Let me start with the economy. The economy is doing well. I was even asked whether I expected the surplus to increase even further. I believe that Mr Van Rooijen asked that question. Of course, I cannot speculate on that, but it is true that the latest successive estimates have given rise to growth. Now that's all I can say for sure, but the economy is doing very well. The latest confidence rates were also very high. Questions have been asked about inflation. We do not make our own estimates for inflation at the Ministry of Finance. We rely on the Central Planning Office. This foresees an inflation rate of 1.4% in both 2017 and 2018 for the Netherlands and 1.4% and 1.5% in 2017 and 2018 for the euro area. That is indeed a lot higher than the estimate we were still working with for the Millions Note. That has to do with energy and raw materials. Perhaps it also has to do with economic recovery and falling unemployment. These can also gradually lead to upward pressure on wages and prices. And yes, that has an effect on purchasing power. That is a fact for us; it is not something that we, as politicians, directly influence. Have the math masters been sleeping? Mr Azarkan's question concerned both the inflation estimate and the interest rate estimate. These are just the most updated figures. The figures for the current year are now also covered by implementation figures. In the course of the current year, the estimates are, of course, adjusted on the basis of the new and therefore more reliable data, but they can of course change over time. So there's no question of sleeping. It's just an adjustment in time based on new facts. In conjunction with this, Mr Azarkan asked: how can it lead to a fall in interest rates? The estimate of study funding expenditure has also been updated. It's been adjusted downwards. This is done annually on the basis of the most recent data. This includes several items. Think of conversions of the basic scholarship, the supplementary scholarship, the O.V. student card. Sometimes they're turned into a gift. All this kind of adjustment is in there. The interest rate on student loans has its own system with fixed moments at which the interest rate on a loan is fixed and is fixed for some time. That explains the difference. It's just another system. Mr Harbers referred to a debate on the ECB's inflation target: close to but below two; close to but below two. Is that still a good objective? I would suggest that the ECB should be an independent monetary authority, so that it can set its inflation targets independently. In my view, there is still broad consensus among economists that moderate positive inflation is desirable for stable economic development. That could be below or close to 2%, but again that is up to the ECB. In the debate there are two tastes. Some say, if you really want to get away from the inflation ghost, you have to send at 4%. Others say that because of technological development, which is becoming worse and worse in inflation rates, that 2% is not really the right measure anymore. We will be following that debate with interest, but the two directions in the debate point out two different directions. For the time being, the ECB has said that 2% is an adequate target. Then we talked about the relationship with household purchasing power. Mrs Leijten asked a question about household spending in the Netherlands which is lower than in other EU countries. It's hard to compare. She says this is because of purchasing power development, but it is a structural fact in the Netherlands. This has to do with the fact that, for example, we have collected our healthcare expenditure to a large extent. In many European countries, healthcare expenditure, especially long-term care, is not public expenditure. They pay people themselves when they have it. We don't. We are financing this together with a strong element of solidarity. This means that people themselves do not make direct spending and so the spending is lower. A similar point is that a lot of savings are traditionally made in the Netherlands; we save a lot for our pension. This also leads to lower expenditure in the short term.
ParlaMint-NL_2017-07-05-tweedekamer-5.u13	The Minister made a remarkable remark, which I do share, by the way. He said that care in the Netherlands is part of the collective sector. I have a question that goes back to the past. When we still had the Health Insurance Act, you had private insurance and the health insurance fund. They were not included in the collective sector. This, of course, has a huge impact on the collective sector. It's good to realize that, looking back, well. What does the Minister think about that?
ParlaMint-NL_2017-07-05-tweedekamer-5.u14	These kinds of shifts in definitions of what belongs to private audiences and what belongs to the collective sector have been certain at that time. We have a system in the Netherlands, the AWBZ and today the Long-Term Care Act, which significantly reduces the cost of long-term care through the collective system. That was my point, because in other countries that is much less. It is much less in Germany and it is much less in England. Our neighbouring countries are doing it in a different way, and that is reflected in the amount of money we spend on care, which is relatively high compared to our neighbouring countries.
ParlaMint-NL_2017-07-05-tweedekamer-5.u15	If we look at gross domestic product and what we spend on health care, the Netherlands is at the same level as the surrounding countries. There, apparently, people spend even more private than through the collective sector. Let me get this straight.
ParlaMint-NL_2017-07-05-tweedekamer-5.u16	Yeah, if you put private and public spending together, we'll be closer together. If you look in there, you will see that we are, in particular, making the financing of long-term care a large part through the collective sector.
ParlaMint-NL_2017-07-05-tweedekamer-5.u17	Mrs. Leijten, you know?
ParlaMint-NL_2017-07-05-tweedekamer-5.u18	I know the percentages pretty well. Family spending is 10% lower in the Netherlands and the gross domestic product and the percentage we spend on care is on average. That's why I asked for this. The Minister explained this by pointing out the financing of care and savings. Does this really have nothing to do with the remaining purchasing power?
ParlaMint-NL_2017-07-05-tweedekamer-5.u19	I believe that the problem of purchasing power is also a major issue in our neighbouring countries. This concerns the discussion on the labour income ratio: what part of our common prosperity is being paid again in the form of wages, salaries and incomes? That aspect of the question of how is purchasing power actually going? It is a matter for all the countries around us. That's not something from year to year, because we've had a couple of really good years. This year it is a bit quieter in terms of purchasing power, but the more structural backwardness of wages and the decline in the labour income ratio is not typically Dutch.
ParlaMint-NL_2017-07-05-tweedekamer-5.u20	Finally, on this point.
ParlaMint-NL_2017-07-05-tweedekamer-5.u21	I still feel that my question is not fully understood whether this answer might not be the answer to the question I am asking. We see that in a European comparison, household spending is 10% lower. I find that striking because, economically speaking, things are going pretty well here. We are indeed talking about the share of wages and the share of profits, but the Minister has never referred to this in his statement of 10% deficit. He always said this was because of the cost of care. They are generally, on average, a little bit the same in the countries that we like. He also said that this is because we save more, in this case for our pension. In my term, I asked the Minister whether that really has nothing to do with the purchasing power lag or the need to pay more for the provision of services. In recent years, for example, savings have been made.
ParlaMint-NL_2017-07-05-tweedekamer-5.u22	I'm thinking how we can pull this apart. If you were to greatly increase purchasing power, for example through a tax reduction, people could of course spend more. If that is the relationship Mrs Leijten is looking for, then we can be very simple about it. Of course it is. Her approach was that household spending in the Netherlands is on average so much lower than in Europe and she wondered if this was not due to purchasing power. The first step I want to take is the step towards the definition and the way in which certain things are financed in different countries. You'll have to level it out for a while, because there are big differences in that. If you have to pay all kinds of education and care costs yourself in a particular country, that expenditure counts as a household spending. In the Netherlands we collect that money first from all, after which we spend it through the Long-Term Care Act. Then it is no longer the use of households; then it is an expenditure of the collective sector.
ParlaMint-NL_2017-07-05-tweedekamer-5.u23	I suggest you move on.
ParlaMint-NL_2017-07-05-tweedekamer-5.u24	So there are real doubts about the comparability of countries. Then there's the big discussion. A great deal has been said today about purchasing power. I'm going to be brief about that. The spring note is not a time for a purchasing power debate for the cabinet. Members may disagree with me on this, but that is my point. We are not going to adjust taxes, tax rates, tax brackets, surcharges, etc. in the middle of the year. That's not even feasible. We do that once a year. The purchasing power we present on Prince's Day is not a promise, as many Members have said. We cannot promise them at all. In August, on the basis of the latest estimate by the CPB, we will see whether an adjustment, an adjustment of the policy, is necessary so that we have a purchasing power image that we like politically on Princess Day. That's not a promise, because the next day things change in the world again. We've had discussions here about the health benefits. If they go higher, it will be at the expense of purchasing power. We also had years in which they were not bad; then there was additional purchasing power. We have had years in which inflation was very low; that helped purchasing power. Now inflation is slightly higher; that does not help purchasing power. They're not promises. We are not going to adjust the tax rates or the surcharges all the time over the year. I have to answer all the comments and questions about what should be done in this area in this way.
ParlaMint-NL_2017-07-05-tweedekamer-5.u25	For today, I very much agree with the Minister on this. That is also what I said in the debate with Mr Van Dijck. We do now have a outgoing cabinet which is preparing the decision on purchasing power for next year's budget. I would, however, like the Minister to point out that, as far as the outgoing cabinet is concerned, it is not the highest income that can benefit most now that economic conditions are improving while the lowest incomes and middle incomes, pensioners and beneficiaries are lagging behind.
ParlaMint-NL_2017-07-05-tweedekamer-5.u26	That's a fair point. Looking ahead: as long as this cabinet, this coalition is there, of course, the coalition's agreement is that we will present a balanced purchasing power picture and a balanced income development. On the basis of the latest estimate we have had, it simply requires correction. It's as simple as that. Mr Snel has asked me whether we are talking about 1 or 2 billion. I have indeed told a journalist once that we have spent about 1 to 2 billion per year in recent years. I don't think that's necessary this year. Actually, everyone's pretty much between 0 and 1. Inside there are differences but we have sometimes had greater differences in recent years and then we really had to nail down 1 to 2 billion to correct that. So I don't think it's gonna have to be this big in August. We will then look at the latest estimates and the picture that we will then get from the CPB what is needed, but the agreements on this in the coalition agreement will of course continue to apply.
