ParlaMint-NL_2017-11-01-tweedekamer-3.u1	The Chamber is now speaking, starting with Mr Wilders on behalf of the PVV.
ParlaMint-NL_2017-11-01-tweedekamer-3.u2	Well, Madam President, here they are. It has taken a while, as the Prime Minister quite rightly said, but then you also have something: no less than 24 ministers and State Secretary of the Rutte III cabinet. That's about the average of the average banana republic. Everyone and their mother got a job. Some ministries now even have two ministers. You have ministers of and you have ministers for. They actually call that part of the House "box-K." I have a better name: from now on let's call it "the planet Rutte," in their own solar system, a planet that has been sung away from the reality of millions of Dutch people, with their equal of half plus one. Look at them over there, Madam President, and have a look around. I see a couple of them laughing and a couple looking on their phones. Finally, they think to themselves, we sit on that coveted plush. Always neatly beaten, always got coffee for Halbe, always laughed at the jokes of Pechtold and now the reward for all that slavishness, led by the man there in the middle, Mark Rutte. The Netherlands knows him as the biggest political liar of the last ten years, but in trade-K he is the sun king, the boss of the planet. Mr. Chairman. On that planet, Rutte, they don't have much with democracy. A citizen like that, they find that difficult. That is why the second party of the Netherlands, the Party for Freedom, was out of play in advance. 1.5 million people were excluded; their opinion didn't matter. This applies not only to the opinion of the PVVs, but also to the referendum. The referendum is not only being abolished; if it is being held again, we have understood this morning that it is being held again, then no one on the planet Rutte will listen to it, as Mr Buma has assured. What a terrible arrogance. What a failure this cabinet and this quadruple coalition alone is: by ignoring the referendum in advance, which is simply written according to the still existing law. What a failure this cabinet has already become. It's already stuck in the mud before it drove away. So it is not, as Prime Minister Rutte just suggested, about what the citizen thinks, but about flat power. It's about the plush. It's about dividing up the nice jobs. From their cloud they look down there from the planet Rutte, to that real world, very far away, to a world they look down on, that they don't understand and they don't want to understand. Because in Mark Rutte's democracy, you don't have a voter but a voter. On that planet Rutte the ordinary Dutch are not invited at all. The laughing has been ruined for a while, because Prime Minister Rutte has been doing a professional puff squat on the wallet of so many Dutch people for years. Millions, millions of people squeezed out, stripped clean. People have often been brought to the brink of the abyss in recent years. Those who think that things are going well with Dutch people are wrong. Whoever thinks that people now benefit from economic growth, lives on another planet, in a fairy tale world. Mr. Chairman. The reality is that the Netherlands is in a deep crisis, a political crisis, a credible crisis, but above all an identity crisis. Our country was once the most beautiful country in the world, with its own borders, its own culture. We spent our money on our own people. There was decent care for our elders. And on the street you didn't stumble over headscarves or festering, sizzling Moroccans. We had a strong, stubborn and above all proud country. No fear of terror attacks. No corrupt immigrants in the police force. No one, no one got us killed. We were sovereign. We made our own decisions. We were in charge of our own country and our own borders. There were no mosques in our cities. The Netherlands was the Netherlands. And how different, Madam President, how different it is today. Oh, my God, our country has been horribly gibberish. What a waste of our interests. Many Dutch people have become strangers in their own country.
ParlaMint-NL_2017-11-01-tweedekamer-3.u3	This ideal image of the past: what period is Mr Wilders talking about?
ParlaMint-NL_2017-11-01-tweedekamer-3.u4	Well, at least the time before you were in politics.
ParlaMint-NL_2017-11-01-tweedekamer-3.u5	So we'll talk about 20... Yeah, when I get the local...
ParlaMint-NL_2017-11-01-tweedekamer-3.u6	For about 1850.
ParlaMint-NL_2017-11-01-tweedekamer-3.u7	Mr Wilders was very pleased with how we dealt with our elderly care before 1850. That is what you read in the booklets: how, as a widow, you were given a guilder at the church to get through the week with your children, how there was uncertainty in the country about the return of a foreign power, because Europe was heavily divided, and about social services. Yes, in Veenhuizen, where one of my great-great-great-grandfathers, who was a widower, was taken. That was the ideal image, Mr Wilders, when we still had our colony, Indonesia, with millions of Muslims in it, under our responsibility? Is it that image? Or am I wrong?
ParlaMint-NL_2017-11-01-tweedekamer-3.u8	You're wrong. The image is the image of a Netherlands that was the Netherlands, which had not transferred its sovereignty to the European Union, which was still about its own money, which was in charge of its own budget, which itself was about its own borders and immigration policy, a country that decided who let it into its home and who did not. A strong country, a country in which no Islam had entered, a country in which we were proud of our own identity. Because of people like you, Mr Pechtold, you may be the biggest prototype of...............................................................................................................................................................................................
ParlaMint-NL_2017-11-01-tweedekamer-3.u9	Yes, Mr President, you can see that it is important for history education in this country and in this cabinet to receive a great deal of attention. I am pleased that the Prime Minister himself, in his teachings of social studies, is passing on to the new generation, Mr Wilders, and I have not had the opportunity to have a lesson from a Prime Minister who is so incredibly important not to declare our identity and nationality to be some sort of unity of eternity. Because precisely because of the progress, precisely because of the change, precisely because you don't have to worry about entering the border anymore, but as a continent you can make agreements about it together, you can increase your prosperity. Mr President, it is true: it is always that Islam. It's that Islam.
ParlaMint-NL_2017-11-01-tweedekamer-3.u10	Not for a second! Even!?
ParlaMint-NL_2017-11-01-tweedekamer-3.u11	Every time it's Mr. Wilders' Islam. But indeed, that country, including your ancestors, Indonesia, the largest Muslim country in the world, was then suppressed by us. Now, yes, we deal with faith in a different way around the world. But it's that change that makes us powerful. Just having a chance of a threat makes us powerful. I find Mr Wilders' worldview so bleak. It seems so hard to get to sleep at night.
