ParlaMint-NL_2017-06-27-tweedekamer-6.u1	Before we vote, I give the floor to Mr Nijboer on behalf of the PvdA.
ParlaMint-NL_2017-06-27-tweedekamer-6.u2	Mr. Chairman. Toodle-dokie! It wouldn't be my choice of words, but that's what the Prime Minister said about bankers who only want to work for bonuses in the Netherlands. This cabinet introduced the strictest bonus legislation in Europe, supported by the entire parliament, excluding Members Bontes and Van Klaveren, but they are no longer among us. Not among us in the Chamber anymore, eh, folks? Now it turns out that VNO-NCW and the Prime Minister are making every effort to find the loopholes in the law, not going to stand behind the primary school teachers who are pleading for a higher salary today...
ParlaMint-NL_2017-06-27-tweedekamer-6.u3	Mr Nijboer, this is the arrangement.
ParlaMint-NL_2017-06-27-tweedekamer-6.u4	... not argue for higher wages, but only the bonuses of bankers are important.
ParlaMint-NL_2017-06-27-tweedekamer-6.u5	What do you want?
ParlaMint-NL_2017-06-27-tweedekamer-6.u6	I would like to ask the House to make a statement today to counter that.
ParlaMint-NL_2017-06-27-tweedekamer-6.u7	So?
ParlaMint-NL_2017-06-27-tweedekamer-6.u8	I would ask for a vote on the Van den Hul/Leijten motion.
ParlaMint-NL_2017-06-27-tweedekamer-6.u9	That is the amended motion in part No. 1219 (21501-20). Thank you. I give the floor to Mr Van Raan on behalf of the Animal Party.
ParlaMint-NL_2017-06-27-tweedekamer-6.u10	Mr. Chairman. I would like to refer to paragraph 14, concerning the intention of the US President to terminate the climate agreement, the Van Raan/Beckerman motion in part No. 168 (31793) on.
ParlaMint-NL_2017-06-27-tweedekamer-6.u11	At the request of Mr Van Raan, I propose his motion (31793, No. 168). That is what is decided.
ParlaMint-NL_2017-06-27-tweedekamer-6.u12	I give the floor to Mrs Marijnissen.
ParlaMint-NL_2017-06-27-tweedekamer-6.u13	Mr. Chairman. We would like to have a roll-call vote on the Marijnissen and others motion. in piece No. 361 (25424).
