ParlaMint-NL_2017-05-23-eerstekamer-8.u1	I would like to welcome the Minister of the Interior and Kingdom Relations to the First Chamber.
ParlaMint-NL_2017-05-23-eerstekamer-8.u2	Mr. Chairman. From the global stage and the European stage of the debates on the position of Ukraine to the position of the provinces, and perhaps in particular Zeeland, that is a step we are taking here in a few minutes. Perhaps it is a consolation to some that some 400 years ago a discussion about Zeeland would have led to European political discussions. This is no longer the case, but it is worth considering for a moment the revision of the distribution bases of the Province Fund. That has been a delicate process. Any attempt to change the structure that has now been created leads to anxiety but probably not to a better result. It certainly does not lead to a result that can count on more support. In any case, the CDA Group does not intend to call that building into question again, but it still has a single question about future development. As far as I am concerned, not all of these questions have yet been adequately answered in the written preparation. That's why we'll come back to it. I would also like to make a few comments on behalf of my group on the position of the province of Zeeland. We have asked the government what dynamics it expects in the distribution system in the coming years. The development of divisive measures will vary from one province to another, thus changing the current distribution. What does that look like, was our question. We have not yet received a response to that. Are there any provinces that are expected to progress or decline relatively in the coming years? We would like to be clear about that. Furthermore, we do not yet know how long the proposed system will last. The provinces insist on rest at the front for a period of about five years, and the minister also refers to that period when he responds to questions about Zeeland's position. At the same time, however, the government announces that, partly on the basis of the Veldman/Fokke motion from the House of Representatives, an evaluation and a review will be carried out much earlier. A plan of action within two years and a review within three years. It is remarkable, by the way, that, if I read it correctly, the plan of action takes more time than the review itself. All this happens because the government is not sure if the current model is future-proof, as we read in the response. That seems contradictory to us. I would like to see the Minister explain again what steps the government is planning in the coming years and why. Does it prefer a certain stability, or has it not been discussed? And if the latter is the case, if we have not discussed it yet, why the step now before us? Isn't that a very complicated and perhaps unnecessary intermediate step? Does this not put the construction at risk by announcing the next revision? We would like to hear a response from the Minister. Then the position of Zeeland. There has been much to do about this and much to talk about, especially in connection with the position of the energy company DELTA. A committee led by former Prime Minister Balkenende has issued opinions on how to boost the economy in Zeeland. The Minister also refers to that. However, the position of Zeeland in the division of the Province Fund is not in our eyes. In fact, if the province of Zeeland is to be able to contribute to a substantial structural strengthening of its economy, it will have to have the necessary resources. The Group of the European People's Party (Christian Democrats) and European Democrats does not want to call for an additional donation to Zeeland through the Province Fund. This would create a worrying precedent. There will undoubtedly be more provinces that use the Empire with similar arguments, and perhaps rightly so. We shouldn't want that. The IPO is right to reject that. However, the IPO itself announces in a letter dated 15 March 2017 that they are concerned about the position of Zeeland. This is why a committee of experts, once again chaired by Mr Jansen, has been set up to see how Zeeland's position in the Province Fund can be strengthened. One assumes a contribution from Zeeland itself, a contribution from the other provinces, but also a contribution from the Empire. We would like a response from the Minister to that letter. I understand very well that he is not going to issue a blank cheque here and now, but he could at least promise that in due course the government will discuss with the IPO the opinion of the Committee of Experts on how to reach a joint solution or follow-up of the opinions. In this light, we await the Minister's response with interest.
ParlaMint-NL_2017-05-23-eerstekamer-8.u3	Mr. Chairman. New or modified funding or distribution models for public-funded sectors are usually accompanied by heavy commissions, extensive technical studies and long-term consultations. However, the rule rather than the exception is that at the end of the course winners and losers are opposite each other and all in all there is a hangovery atmosphere left. This is also the case at present in the proposed amendment to the Financial Ratio Act amending the distribution model of the Province Fund. That is a pity, because as such, the Minister's commitment to achieving a significant simplification of the distribution model with the present legislative proposal is to be commended and more than welcome. It can be said that the path that has been taken to arrive at the modified model has been based on a number of principles which seem to be sympathetic, but which are not in practice. For example, the proposed simplification of the Province Fund should reproduce the old distribution. However, this is relative. Mr Flierman pointed out that just now. Although the sum to be paid for the base year is similar to what the old model would generate, the dynamics in the model then enter into force and the results change. There are indeed winners and losers. Moreover, in the case of the distribution model of the Province Fund, there is an additional complication, namely that since 2012 the distribution model has been based on fictitious returns on equity holdings. It's like we hired the team of box 3 for the Province Fund. In my group's view, this is undesirable for two reasons. First of all, this ignores the fact that there are very large differences in actual assets between the provinces, which are in particular linked to the previous sale of utilities. This is an historic coincidence that is at odds with the starting point of a distribution model that allows provinces to offer their inhabitants an equivalent level of provision against an overall equal burden. However, the practice, which is perpetuated in the model before us, is that several provinces are much better able than others to make large-scale investments in physical and social infrastructure and in knowledge infrastructure. In addition, matching mechanisms are not uncommon to further strengthen this inequality. What is the Minister's assessment of this state of affairs? Does he see any possibility of dealing with these differences in the near future? Secondly, working with fictitious returns overestimates the capital position of other provinces. In particular, Zeeland's problem is topical. As is well known, false assumption of income from DELTA leads to an annual actual discount of 10 million. The broad recognition of this problem is confirmed in the letter we received on 15 March. IPO. This letter states that Zeeland's financial position is of great concern to all provinces. Those are literally the words used in the letter. In this context, my group is not very happy with a number of framework conditions previously set out in the IPO for a simpler distribution model. This applies in particular to the first condition, namely that "the political and administrative choices underlying the 2012 distribution model are respected and are the starting point'. This concerns in particular the way in which differences in the capital position between the provinces are taken into account in the 2012 distribution model, taking into account 35% of the estimated capital income for the variable part of the remaining own resources with a fictional return of 3%. The reason for this was, according to the provinces, that this method of settlement was the result of a long and difficult administrative process and that, although there is a wide variety of views within the provinces on the desired level of settlement, a reopening of the discussion on the settlement of the remaining own resources by the provinces was not considered fruitful and viable. The question that arises today, however, is whether the Empire should follow only this difficult consensus and whether, in the capacity of the fund manager, the government's own vision should not be expected of the desired degree and manner of implementation of the settlement. We would like to hear the Minister's opinion on this. My group believes that the present legislative proposal is an improvement on the existing distribution model, but we are not yet there. That is why we can agree with the proposal, but not without a clear commitment of government to share ownership of the issue in Zeeland and a confirmation from the Minister that the motion-Veldman/Fokke, unanimously supported in the Second Chamber in March 2017, will be implemented. This motion calls for a fundamentally modified distribution model of the Province Fund within three years with a fair distribution based on a more realistic return on capital. This means that a short-term solution to the problem in Zeeland is still outside the distribution model and a sustainable solution by adjusting the distribution model nicely extended. For example, it is better than at present to reflect the principle that a distribution model should enable provinces to offer equivalent levels of provision to their inhabitants against a globally equal burden. We await the Minister's reply with interest.
ParlaMint-NL_2017-05-23-eerstekamer-8.u4	Mr. Chairman. The aim of this bill is to simplify the complex and not transparent distribution model of the Province Fund. This is a positive development, as it contributes to a better control and control distribution of taxpayers' money. Moreover, after the sale of the provincial energy companies, it is a necessary step to consider the income from the provinces' own funds as a share capital. The PVV Group does have some questions and comments on this bill. First of all, there is the principle that the distribution model should be cost-oriented and so detailed that the provinces can achieve facilities in an equivalent position. On this starting point, the Council of State notes in its opinion that the cost orientation is important, all the more so because the administrative agreement in force since 2011 stipulates that "I quote "the provinces are withdrawing from the social domain in order to focus on their more important role in the spatial-economic domain. It was therefore agreed in this agreement that the provinces' position in the areas of spatial planning, regional economy, nature and landscape and traffic and transport should be strengthened. In order to make that agreement effective, adequate budgeting for the proper performance of these tasks is crucial." Furthermore, the Council of State notes: "In view of the importance of a stable and future-proof financial distribution system, the Section also considers it necessary to adopt a more cost-oriented approach based on the provincial core tasks and a more realistic return on the assets of the provinces." These comments focus on the relationship of the modified distribution model to the focus on the administratively defined provincial core tasks. Can the Minister indicate how the concentration on these core tasks will be implemented under the modified distribution model? Can the Minister confirm that under the renewed system the focus of the provinces remains on the spatial-economic domain and that provinces do not re-enter the social domain? As far as PVV is concerned, it cannot be the intention for provinces to redistribute subsidies to development aid organisations, diversity projects or multicultural hobby clubs through the Social Fund. I'd like to get a reaction to this. I would like to make a few comments on the purpose of the distribution model in order to enable provinces to offer equivalent levels of provision to their inhabitants at an overall level of burden. In view of this objective, it is striking how much difference remains between provinces in the increase in vehicle tax. This tax is levied unilaterally by motorists but then used as a general source of income by provinces. In addition, investments in road infrastructure by provinces tend to lag behind the revenue from the increase and the motorist is the milk cow for many provincial policies. However, opcenten were originally a target tax, set in 1965 to feed a national road fund. It was not until the early 1980s that the increases in administrative compensation towards the provinces became a general tax resource. In the case of provincial authorities, the argument is often that they cannot further limit the increase due to the adverse effect of the capacity of the vehicle tax on the distribution in the Province Fund. Can the Minister explain how this relates to the objective of an equivalent level of provision against an overall equal burden? To what extent has the position of the motorist paying the pennies been considered in the revision of the distribution model? Can the Minister indicate to what extent the increases will also be part of the fundamental review of the system in the coming years? I would like to make a few comments on the addition of the attribute 'own-fund income' as a measure of distribution. The question is to what extent this measure will produce sufficient results to meet the above-mentioned principle. It is precisely the provinces with a high level of equity that are increasingly developing loans to other local authorities. Provinces provide hundreds of millions of hybrid loans to the Bank Nederlandse Gemeenten and the Nederlandse Waterschapsbank, as well as loans to municipalities and other public bodies, with a commitment to the highest possible interest income. Higher interest rates also mean higher risks. Often these are municipal projects with an unclear chance of success, such as experimental sustainability projects. For provinces in a position to grant such loans, income from the general part of the Province Fund is only a very limited factor, which makes it possible to determine to what extent the introduction of the share capital income is effective in order to achieve an equivalent level of provision at an overall level of burden between provinces. I would like a response from the Minister to this aspect. Finally, I would like to ask a few questions about the possible disadvantage for the province of Zeeland. In the response to the First Chamber it is stated that the Minister of Economic Affairs will make an effort to release "money in the order of EUR 25 million to contribute to good projects within Zeeland'. Can the Minister specify what is meant by 'good projects'? Who will decide which projects they are?
ParlaMint-NL_2017-05-23-eerstekamer-8.u5	Mr. Chairman. "Similarly divided" was the name of the report of the Jansen Commission, commissioned by the Interprovincial Consultation, the IPO. The reason for the IPO to set up a committee was that the distribution model is too complex and not sufficiently transparent with regard to the provinces. Without going into all aspects in detail, the following point is striking. The Jansen Commission has put forward a proposal for a new distribution model. This was unanimously supported by the provinces and unanimously accepted by the House of Representatives. You would say: why is there still a need for a debate on this widely supported proposal? Maybe because the title "fairly divided" has almost succeeded, not quite yet. What's going on? It is then necessary to look at the conditions that have been discussed. An important condition for the new distribution model is that there are no redistribution effects. In the explanatory memorandum, the Minister says: As mentioned above, the new distribution model has no impact on the level of benefits received by the provinces. However, it appears that at least one province in the pre-stage raised explicit objections in the context of that redistribution. This concerns the province of Zeeland. That province has been mentioned a number of times. What's the problem? The dividend revenues due to the problem at DELTA have fallen sharply and are expected to decrease further. That is a fact which has also been recognised by the Council for Financial Relations. According to the Council, this undermines the requirement to take account of the differences between the provinces in order to provide for their own income. The Council considers that the solution to the business reorganisation of DELTA will have to be found outside the Province Fund. In this context, it is not appropriate to understand that the Minister states in the reply of 4 April 2017 that there is no reason to reconsider this point. He argues that there was no evidence that a reservation had been made and that there would also be consequences for the other provinces. Of course, all the provinces need to be reviewed in terms of actualisation, and then a redistribution must be made on the basis of fair standards. But Zeeland's problem is now on the table. It is not for nothing that both the Balkenende Committee, the Council for Financial Relations and the Council of State explicitly spoke on this subject, linked to Zeeland. Moreover, the IPO itself showed this in the letter to the minister dated 13 September last year. In the meantime, there is another letter from the IPO dated 15 March 2017, confirming the problem. It is not for nothing that the IPO has asked the chairman of the Jansen Commission once again to propose a solution. My group thinks that this is quite striking because it is logical that Mr Jansen should not undermine his own opinion. The fact that he has nevertheless accepted this assignment indicates that he feels that it is in any case important to restore disproportionate or improper effects. My group urges the Minister to weigh up the outcome of this new investigation and to see whether a concession can be found. I would like the Minister to give me an explicit undertaking that with the IPO and with Zeeland he will tackle this problem in concrete terms. I hope for a positive response from the Minister.
ParlaMint-NL_2017-05-23-eerstekamer-8.u6	Thank you. Does the Minister have an opportunity to answer directly? I note that this is the case. I call the Minister for the Interior and Kingdom Relations.
ParlaMint-NL_2017-05-23-eerstekamer-8.u7	Mr. Chairman. Thank you. The present legislative proposal simplifies the distribution model of the Province Fund. The Jansen Commission, set up by the IPO, the Interprovincial Consultation, issued an opinion to the provinces in autumn 2015. One of the preconditions, as has just been mentioned, was that this would not lead to a large redistribution as a result of the new distribution model. Another was that the differences in the capital position of the provinces would be taken into account, so that it would not change. The provinces unanimously agreed to this proposal. That's important to the cabinet. The provinces have repeatedly confirmed this, several times by letter in recent years, recently in a letter to the Upper House. I believe that the simplified model also has a number of advantages. That is also why I have been prepared to defend this bill in the House of Representatives and now here too. There are two elements in it that I think are important. On the one hand, such a distribution model must be cost-oriented so that the provinces can provide their citizens with broadly the same level of provision. Take a divisive rod like the mileage bank. That's expensive. It is obvious that a province with a lot of kilometres of shore should be given extra money in its measure, otherwise a number of other core tasks could not be fulfilled. On the other hand, you have to be careful with that, because if you start using too many divisive bars, you're going to perform steering. In principle, the province is an autonomous administrative layer which must be able to make its own choices. What is now before us reduces the number of measures from 19 to 9. The distinction between management and developmentaken lapses and the cluster classification in the Province Fund may disappear. All in all, I think, apart from distribution or redistribution effects, which are therefore minimized compared to the year before, I would like to talk about the dynamics that have a number of objective advantages. A number of decentralisation payments are also transferred to the general benefit, for example for traffic and nature, which will enable the provinces to better fulfil their autonomous role. There is a certain tension between, on the one hand, the standards that do justice to objective differences and, on the other hand, globality. This brings us to Mr Postema's question as to how to follow up on the fact that there is, in itself, a certain bandwidth in what could be a reasonable set of standards. It's not math. You have to weigh it, too. Every shift you make, you have winners and losers. It is important that all twelve provinces have agreed to this proposal. They did say to me: put a bow around it and don't sit in it. Then you always have someone who's just getting something better and someone who's just getting something worse, but then the carefully built whole falls apart again. That sounds like a wise advice to me. I've joined them. There is also a need for maintenance at the Province Fund. I had the intention to freeze it for five years, but the Veldman/Wolbert motion was adopted in the House of Representatives, which states that there is something to be said about this. The motion calls on the government to initiate a review process in two years' time, with a view to reviewing the foundations of the Province Fund three years later. I left the verdict on the motion to the Chamber. The motion is universally supported. We will carefully take up this trajectory as fund managers, the Ministries of Finance and BZK, in consultation with the IPO. In doing so, we shall give substance to the implementation of this motion. The assessment of the measure of income from equity for all provinces will be part of the plan of approach. I come to a number of specific questions, but first in general something about Zeeland. I would point out that the aid from the twelve provinces I have specifically asked for this also concerns aid from the province of Zeeland. Zeeland insists on paying attention to its own financial position, but in a different context. I think that is no reason to withdraw the agreement on the criteria in the Province Fund. From the cost orientation it is necessary to take into account the income from own funds, but the overall character of the Province Fund implies that, after you have established that, every time something happens, for example, you do not adjust the distribution model again with the assets in the framework of a nuclear power plant or any other eventuality. Then you're gonna keep going. This model is therefore fixed for a number of years. It is based on normative income which, in part, cannot be influenced by the province. Actual yields may differ in subsequent years from what has been established in a normative manner. If we were to move in that direction, it would have effects for all the provinces. My colleague for Economic Affairs, on behalf of the entire cabinet, will address the specific issue relating to the Zeeland dossier. He is also responsible for the response to the report of the Balkenende Committee. It has already been reported that an additional 25 million has been made available within the national budget to contribute to the strengthening of the structure. The corresponding investment programme will be sent to the Chamber in the short term, with a response from the Cabinet. Let me now turn to the dimensions that are the basis for the new model. First of all, a measure is, of course, the number of inhabitants; a fixed amount per province set at the beginning. Then there are the number of millions of inhabitants, the population transport region, the inhabitants rural area, the mileage bank, the share of inland water, the vehicle tax and income from equity. This also answers the question raised by the PVV whether this does not open the door to another task of the province. The criteria are either simply objective, such as population numbers, or criteria from the physical domain. This is, of course, without prejudice to the fact that this is about distributing within the Province Fund. Another discussion is where the province spends the money. However, this has been discussed on another occasion; that knot has already been cut.
ParlaMint-NL_2017-05-23-eerstekamer-8.u8	I'm placing a brief interruption on this. As a result, the general part of the Province Fund becomes wider because less decentralised tasks are identified. This also creates more room for the provinces to make money available in other policy areas. How can more control be maintained so that at least the core tasks remain sufficiently focused? That was actually the point.
ParlaMint-NL_2017-05-23-eerstekamer-8.u9	From the state level, we have to observe that the provinces are committed to limiting themselves to a number of core tasks. This new distribution model doesn't change that. If the provinces do not comply at some point, it is primarily up to Provincial States to raise this issue. But again, I have no reason to think that they would not want to keep that agreement. This is not affected by the legislative proposal before us today and for which I also hope to get the support of the PVV.
ParlaMint-NL_2017-05-23-eerstekamer-8.u10	Basically, the PVV supports the bill, but it's the next factor that matters to me. If there is more room in the Province Fund, it should not be the case that the core tasks are put under further pressure in the event of other considerations being made. It's not for nothing that this money goes to the provinces. Then a bit of effect from the Empire may also be expected to give that message.
ParlaMint-NL_2017-05-23-eerstekamer-8.u11	I understand the point, but at the same time I stand by what I said earlier. We are now going from nineteen divisive measures to nine, but they ultimately lead to an amount that is awarded in its entirety through the Province Fund and by which, as an autonomous administrative layer, we can do what we want. But we are bound by the agreement to limit ourselves to a number of areas, and that does not change because of the legislative proposal before us. But I understand the addition. I will answer the questions in the order in which they were asked. I shall begin with a number of questions from the CDA group. It was asked what dynamics can be expected. In some of the measures I have just mentioned, such as the mileage, there will be little dynamism. In that there is a difference between Brabant and Zeeland and that will remain about that. Of course, dynamics can be created in the population, for example by shrinking or by growth. Of course, that is always the case when you try to put the standards objectively. There is no plan to allow it to develop in a certain direction very quickly. I do not think any of these indicators will do that either.
