ParlaMint-NL_2017-09-07-tweedekamer-3.u1	I would like to welcome everyone, and in particular the Minister for Economic Affairs.
ParlaMint-NL_2017-09-07-tweedekamer-3.u2	Mr. Chairman. The share of renewable energy increased from 5.8% to 5.9% from 2015 to 2016, an increase of as much as 0.1%. Let's take a look at the numbers. In total, 5% more renewable energy was generated in 2016. That's not much, but it's an increase. But when we look at the growth of fossil energy, we see that this increase is almost thirteen times greater. For those who want to calculate it: in 2016, 6 petajoule (PJ) of renewable energy was added, compared with 76 petajoule of fossil energy. This is the Achilles heel of government policy on renewable energy. The Minister often says that more renewable energy will be generated in the next few years, which is also important, but at the same time it is only half the story. Because if the total energy consumption goes up much harder, we'll get further away from home. Once again, I ask the Minister whether the Ministry should not devote much more effort to energy saving. Only with new wind farms at sea will we really not get there. We have to get rid of fossil energy anyway. The Animal Party feels it's a shame that we're investing money to make fossil energy look more sustainable. Last year, RWE's coal power plant dragged in almost EUR 1 billion to temporarily green, whatever that means, by burning wood. Chopping trees to burn them is no more durable than burning coal. Also subsidising manure fermenters does not contribute to renewable energy. Manure production is and remains very damaging to nature and climate, but funding has already gone to EUR 2.5 billion. The government has the role of a driver in the transition to renewable energy. Legislation can stimulate the transition to renewable energy. The removal of the gas connection obligation is an example of this. But the question is whether that deletion has much effect if it turns out that building gas-free neighborhoods is much more expensive than building neighbourhoods with gas connections. As long as this remains the case, gas-free new construction areas will remain the exception. What tax measures can the Minister take to reduce or even eliminate this price difference, in order to make gas-free housing the new standard? The role of driver also includes setting a good example. Many opportunities to generate solar energy remain unexploited in municipalities. Is the Minister prepared to encourage municipalities to use municipal roofs for this purpose? Finally. Can the Minister give an update of the municipal energy procurement policy? Last year it appeared that only one in three municipalities really buys its power sustainably, despite the agreement with the Empire to do so from 2015. I would like to hear a response from the Minister.
ParlaMint-NL_2017-09-07-tweedekamer-3.u3	Mr. Chairman. The numbers don't lie. CO emissions increased by 1% in the last year and the share of renewable energy increased by only one tenth. With these numbers, we're really not gonna make it to our targets. The recent study by CE Delft also shows that the feasibility of the 25% reduction target, forced by the Urgenda case, is becoming increasingly out of reach. In response to Parliamentary questions, the Minister simply waved away this investigation. Surely it is high time, even for you, in your missionary period, to make new deeds. Do you have a list of additional measures and do you want to share them with us? And do you want to resume the conversation with ENGIE, for example? That company wants to get rid of its coal power plant itself and was talking to your ministry about it. Please continue with that, with the greatest speed that can be imagined. We have setbacks on land and on imports, because it is much lower than what was expected. Another potential setback is the sale of the shares of the municipalities that are shareholders of Eneco. It must be avoided that Eneco falls into the hands of a party that only looks at profit maximization and does not fully embrace Eneco's sustainable mission. Can the Minister do everything in his power to prevent the sale of the shares at only the highest price? Would he like to investigate whether Eneco's vital function as the largest renewable energy producer in the Netherlands deserves additional protection, for example against a hostile or a foreign takeover? Should the municipalities sell the shares, they should in any case impose strict conditions on them. Does the Minister wish to discuss this with the municipalities, also because employment is at stake? At the moment, there is a lawsuit between Greenpeace and RWE on the sustainability requirements of sawdust. In response to questions from GroenLinks, the Minister states that the government is not a party to the covenant on biomass between energy companies and nature and environmental organisations and that the agreements in the covenant are not relevant to the SDE+ criteria. This may be formally true, but it is a pity that the Minister ignores the outcome of the energy agreement consultations on this point. In any case, it would be better to temporarily freeze subsidies until the outcome of the trial is known. If the judge agrees with the nature and environmental organisations, the subsidies should be withdrawn again. If the Minister does not do so, he already opts for one party in advance, namely RWE. This could seriously damage the energy agreement and the creation of a possible successor. I therefore call on the Minister to take action on this issue as well. Thank you, Mr. Chairman.
ParlaMint-NL_2017-09-07-tweedekamer-3.u4	I have one more question. Mr Van der Lee spoke about Eneco and the shareholders. It got a little wooly to me. It was a bit of an appeal to the Minister, like: talk or do something! But be clear now. Does GroenLinks think that the position of shareholders should be limited? Should there be a legal provision for this? There are municipalities that want to sell. Should that be forbidden to them? Can Mr Van der Lee clarify that a little, because the position of the shareholder is, I think, important?
ParlaMint-NL_2017-09-07-tweedekamer-3.u5	I have two comments to make. If you've listened carefully, you know I was pretty clear. I say on the side that the municipalities are the shareholders. They are fully competent to decide on this. That is why I call on the Minister to talk to them to put Eneco's mission and sustainable energy production first and to avoid creating a mechanism in which Eneco's shares are sold, just because of the highest price that can be achieved. That's one side of the story. The other side is an ongoing discussion with the Minister. We are increasingly seeing that vital sectors and companies are at risk of falling into foreign hands. That has already happened in the energy market. You know how it went from the sale of Essent and Nuon. Foreign parties purchased those energy producers. This has a negative impact on the energy transition in the Netherlands itself, because the decisions are taken outside the Netherlands. With Eneco we now have the largest renewable energy company in the Netherlands, with public shareholders. That mission is being carried out very decisively by Eneco. It seems to us to be very sensible to go through with this. If the municipalities do not want to do so, the other discussion does, namely a threatening sale of the shares to a foreign party. I would like the Minister's opinion on this, because he also has a very strong opinion on it in other sectors.
ParlaMint-NL_2017-09-07-tweedekamer-3.u6	I think this is special. If municipalities want to sell their shares, the minister should talk to local authorities and ask if that is a wise decision. I don't think that's appropriate. In addition, I think GroenLinks is in a lot of municipal councils. GroenLinks is even administratively responsible. Isn't it much better to put that responsibility there? It's got to be the choices of these municipalities. They have a role in that. I do not think that this minister has any role whatsoever in engaging in this conversation with these municipalities. That's really up to the shareholder. We have a representation in that, at least I assume. That is where sensible decisions can be made. That is where the debate must take place. We don't have to do it again on a detour through the Secretary of State.
ParlaMint-NL_2017-09-07-tweedekamer-3.u7	I really believe that it is very good in our democracy for all governments, regardless of whether they are at low, provincial or rich levels, to consult each other on important issues. I'll do the same within my party. Together with council members from a number of municipalities that have the majority of the shares, I have also argued in the Algemeen Dagblad why it is better not to go for sale. Mr Bosman can do the same to his colleagues. I assume he's also talking to them about their position on the city councils. We are talking about a major societal challenge, the energy transition. We see from the figures that we are not going to achieve the 25% reduction target, while we still have to go much further in order to achieve the Paris agreement. We must tackle this crucial challenge together. There's a role for the minister. Moreover, it is also about protecting Dutch companies from foreign acquisitions, which have negative repercussions for our country.
ParlaMint-NL_2017-09-07-tweedekamer-3.u8	Thank you. I now give the floor to Mrs Beckerman on behalf of the SP.
ParlaMint-NL_2017-09-07-tweedekamer-3.u9	Mr. Chairman. In order to achieve the climate targets, the share of renewable energy needs to increase significantly. More renewable energy is being generated, but it is simply far too little. Fossil remains lord and master. It is time to redesign the energy supply system. The system is now so designed that fossil gets plenty of space and the biggest polluters seem to benefit most. We have asked questions about this again this summer, but time and time again the Minister and his colleagues in the cabinet have left it to take a critical look at it themselves. Research agency EY also states this: the way the energy tax has been designed acts as a brake on the energy transition. As we have said before, the burden and appetite are unevenly distributed. That's gonna take the speed out of it. It undermines the really big steps. This summer it also turned out that municipalities might want to dispose of their shares of Eneco. Fast pursuit of profit at the expense of long-term vision; old-fashioned politics. Worldwide privatisations are being reversed. In 1,600 cities in 45 countries, services have returned to common ownership. When we look at our German neighbours, we see that energy is being made public on a very large scale, because otherwise the goals will not be achieved. The sale of Essent and Nuon to foreign energy companies RWE and Vattenfall led to the loss of 4,400 jobs and also a large part of our control was lost. As a result, the Netherlands is seriously lagging behind in achieving the energy objectives. Eneco is the greenest of the largest energy companies. This whole debate is about us lagging behind on the share of renewable energy. Without Eneco, we may be going backwards. Is it true that the Minister should agree to this sale? What does the Minister think of the Correspondent's statement: Without Eneco, the new cabinet will never achieve the energy objectives? How does the Minister think that local sustainability can be shaped if the energy companies are large foreign multinationals? What role does the Minister see for these companies in the renewal of the Energy Agreement? Mr Van der Lee has already asked, but I would like to ask again on behalf of the SP: will the Minister make a pass on the spot and first come with the municipalities with a long-term long-term vision that is good for both the municipalities and for the whole of the Netherlands, and do not take irreversible steps until then? The SP is against outdated politics and wants to keep Eneco in public hands. We're considering a second-term motion.
ParlaMint-NL_2017-09-07-tweedekamer-3.u10	I now give the floor to Mr Bosman on behalf of the VVD.
ParlaMint-NL_2017-09-07-tweedekamer-3.u11	Mr. Chairman. Our children and grandchildren must be able to enjoy life just like us. They want to be able to take a hot shower, charge their smartphone, and always at a good price. We also want to enjoy all nature, the ice floes of Antarctica and the fish in the oceans. That is why we have agreed worldwide to reduce CO2 emissions. With the energy agreement we took the first steps and in 2015 we set sharp targets in Paris. That's what we need, and we're gonna get those targets. We're not alone in that, but fortunately the whole room stands for that. Almost the whole room, I must say. The biggest blow to renewable energy is going to get the Netherlands out of the wind farms on land and at sea. The construction of these parks will take a long time, but as soon as delivery starts in 2020, the equivalent of five conventional power stations at sea will be added in three years. From that moment on, the Netherlands will rise sharply on the rankings. By using this system we keep the costs of construction lower and achieve our goals. Thanks to this minister, I dare say. Do you think it could go faster? Sure. That might have been possible, but then drivers should dare to make harder choices. A wind farm on land is being countered by local drivers and parties in this Chamber. Talk about a wind farm off the coast and this room is starting to flutter again. The VVD is not always enthusiastic about all the measures, but we do know that something needs to be done. If we agree to that, then we will live up to it. This minister has made difficult choices, has been opposed by this Chamber and local directors, but thanks to the VVD we are going to achieve the goals for renewable energy. The VVD is in favour of an affordable, reliable and clean energy supply. The focus should therefore also be on the problem of CO in the open. It's only when we're gonna send that, that we can really work on the future.
