ParlaMint-NL_2017-06-08-tweedekamer-5.u1	I welcome the Secretary of State for Economic Affairs and give the floor to Mrs Ouwehand.
ParlaMint-NL_2017-06-08-tweedekamer-5.u2	Mr. Chairman. Roundup, that's the drug South American environmentalists have been warning us about for years. It is widely used for the cultivation of animal feed in Latin America. When you drive around in those areas with your car, you don't see a bug beaten to death against your window, because all life was sprayed to death there. It is also the means on which human rights organisations have regularly called us in the Chamber, because children living in those areas are sick and are suffering from serious complaints. They live in areas dominated by Roundup. The same means is being used in Europe. The European organisation that has to assess whether it is safe says that it is indeed so, even when the World Health Organisation said in 2015 that it is likely to be carcinogenic. What did this European agency do? He accused the World Health Organization of engaging in activist science. "We have ended up in the era of lobby and campaign science, in times of Facebook," said EFSA (European Food Safety Authority). And what did Monsanto do with the World Health Organization (WHO) warning? It launched an attack strategy to secure, among other things, European admission. Of course, EFSA had to deal with the WHO's statements. On 15 March another European authority said: we know for sure now, it is not carcinogenic. The same week, the judge in America published all sorts of documents showing that Monsanto itself has contributed to the assessment and that studies highlighting the danger have been dismissed. Is EFSA in her shirt? Now EFSA says that it is serious that Monsanto has affected the entire investigation in a far-reaching manner. The Dutch authorisation authority, Ctgb (College for the authorisation of plant protection products and biocidal products), says the same thing, but the question is what conclusions and consequences do we draw. It can't be that Monsanto can use its large budgets to try to make the conclusions come to its own advantage and that there's no consequence if the company gets caught? What does the Secretary of State say? What is the consequence of the cabinet? As far as the Animal Party is concerned, the European Commission's intention to extend by 10 years at the end of this year the authorisation of arthropods is not at all relevant. Can the Secretary of State make it clear that he will at least not agree to a ten-year admission? Can the Secretary of State also say that from now on the Dutch position is that we are not blindly following EFSA's findings and conclusions? Firstly, because the investigations on the basis of which it draws conclusions are not public, whereas the government does, and are not independent, as has now been shown. Secondly, because we always have to make our own independent political assessment, where the World Health Organisation apparently, as Ctgb admits, has a different role than the admission authorities. I thought the health interests were supposed to be at the top of the list.
ParlaMint-NL_2017-06-08-tweedekamer-5.u3	Thank you. I call Mrs Van Eijs.
ParlaMint-NL_2017-06-08-tweedekamer-5.u4	Mr. Chairman. Agriculture must feed us, but it must also take place with respect for nature. Where possible, therefore, D66 argues in favour of producing in balance with nature. Chemical plant protection products often do not fit in well. They break natural processes, for the sake of food security or business operations. I wholeheartedly support the efforts to minimise the use of such resources. If there really is no other option than to use them, they must be used safely. Science and facts are supposed to be guiding them. It's hard to do that for pomegranates. The debate on this issue is heated. After a breath of one and a half years, European agencies and the World Health Organisation still differ as to whether the substance is carcinogenic. There is also uncertainty about its effects and mixtures. In the meantime, there is a proposal from the European Commission to extend the authorisation of satsumas by 10 years. From the same Commission, there is a letter to ECHA and EFSA requesting an explanation as to why eight studies have been omitted which would indicate carcinogenic potential. How does the Secretary of State view that? Does he know why the Commission is right about the maximum extension period? Wouldn't it have made more sense to choose a shorter period of admission? Does he also want more transparency of the underlying studies and considerations? Has his ministry also considered whether traces of influence on the European admission process can be found in the Monsanto Papers? The opinion of the European Chemicals Agency shows that it does not consider the substance to be carcinogenic. However, this agency notes the danger to water quality and water life. That raises a few questions. What about the law on the prohibition of chemical plant protection products for non-professional use? What is the Secretary of State going to do to further reduce the use of these funds in agriculture with biological alternatives? Is it perhaps also an idea to attach a joint declaration by Member States on renewal of the authorisation with a view to limiting the use within agriculture as much as possible? Let us not jump to conclusions in this debate. Let us get the facts straight and then make a responsible decision in the autumn.
ParlaMint-NL_2017-06-08-tweedekamer-5.u5	In the past, D66 and the Animal Party have also raised together to be truly critical of the admission procedure, including by means of an approved motion of the Party for Animals and D66 with the aim that the studies on the basis of which those judgments are formed should be public. That is still not the case. We have now seen that our constant fear of independence could be justified. I hear D66 now saying: let us not anticipate things. But surely D66 is subject to the precautionary principle? We have faced this situation before. We then said to the cabinet: we are voting against this extension. Is D66 willing to give that to the cabinet today?
ParlaMint-NL_2017-06-08-tweedekamer-5.u6	Interruptions can be a bit more concise, I'll give them to the other participants. Mrs. Van Eijs.
ParlaMint-NL_2017-06-08-tweedekamer-5.u7	We do not want to say at the moment that we reject an extension, but we would like to say that we think that an extension for ten years is very far-reaching and that the investigations that are not yet public should be made public. So that's the point.
ParlaMint-NL_2017-06-08-tweedekamer-5.u8	Fine, thank you for this clear signal. In the absence of the Group of the Party of Labour, I would like to inform the Secretary of State that a considerable part of this House is very critical of the proposed ten-year extension, because the Socialist Group in the European Parliament has already said: we are not going to do that at all, away with that extension.
ParlaMint-NL_2017-06-08-tweedekamer-5.u9	I don't think this was a question.
ParlaMint-NL_2017-06-08-tweedekamer-5.u10	Mrs Van Eijs spoke about a careful consideration in November of the use of fertilizers in agriculture. But there is also use outside agriculture in the Netherlands. We could also take measures to this end. What is D66's opposition to further restricting that use?
ParlaMint-NL_2017-06-08-tweedekamer-5.u11	There would be a law to prohibit non-professional use in any case. We are asking what is going on with this, because I know that there have already been movements, for example by municipalities, in order not to use these resources anymore. So it also seems logical to me that there should be a legal basis for that.
