ParlaMint-NL_2017-02-23-tweedekamer-11.u1	I would like to welcome the Secretary of State for Infrastructure and the Environment.
ParlaMint-NL_2017-02-23-tweedekamer-11.u2	Mr. Chairman. We have had a good general discussion in terms of content, for which we are grateful. We share the commitment, but I would like to give something to the Secretary of State for the moment she is with the Environment Council. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the European Emissions Trading System (EU ETS) currently does not provide sufficient incentives for innovation, including due to too many duties being placed on the market and relatively low prices;]] [[Whereas the EU ETS is a key instrument for implementing the Paris Climate Agreement;]] [[calls on the government, in the Environment Council, to increase the linear reduction factor to 2.4% per year, which is broadly in line with the Paris climate agreement,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Remco Dijkstra. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-21501-08-664]]
ParlaMint-NL_2017-02-23-tweedekamer-11.u3	Minus 2.4% well in line with Paris? In Paris it was agreed to reach "well below 2 degrees," well below the 2C objective. With a 2.4% reduction, you cannot say that that is ample enough for Paris, because then you would say that we are doing more than Paris. That's not true. Is Mr Dijkstra prepared to delete that last sentence, because it is factually incorrect?
ParlaMint-NL_2017-02-23-tweedekamer-11.u4	It's not factually incorrect. In Paris the agreement was made of 2C with a goal of 1.5C. This will be evaluated in 2018. I have seen the European Commission's calculations with the original proposal of 2.2% reduction. Then you're looking at 83% CO reduction. With this proposal, 93% CO reduction is achieved. Our target for 2050 is between 80% and 95%. With this proposal, I am closer to the latter than the first percentage. So I think it is a very good proposal.
ParlaMint-NL_2017-02-23-tweedekamer-11.u5	I certainly share the analysis that we are closer to the latter than to the former. But "ample Paris" means you're doing more than Paris. That is actually not true, all the more so because it was agreed in Paris to really get under 2C. I appreciate the intention of the VVD to sharpen the reduction factor, but the phrase that you're getting ample Paris with that is not true. It would be a shame to leave that in the motion. I'll give you that.
ParlaMint-NL_2017-02-23-tweedekamer-11.u6	I think this is a semantic discussion. What we are doing is increasing the factor, which will make emissions trading work better. This means that we remain within the objective agreed in Paris, namely that we should move towards that 2C. For Europe, this means a reduction of 80% to 95%. With our proposal we come to 93%. That is what we are doing very well. Again, I think this is a good proposal and I hope for the support of D66. Otherwise, that party will leave behind an opportunity to strengthen the European emissions trading system, and that would be a shame to me.
ParlaMint-NL_2017-02-23-tweedekamer-11.u7	Mr. Chairman. I would like to thank the Secretary of State for her commitment to the Environment Council in the AO. It has accepted the request of the Labour Party to ensure the realisation of a European vision of greening and sustainability. For the Labour Party, such a vision is desirable in order to achieve an effective economic and budgetary policy based on coordination and cooperation between Member States. I express my admiration for the Secretary of State's working methods. On a day when the political youth organisations in the Netherlands have presented a sustainability manifesto.
ParlaMint-NL_2017-02-23-tweedekamer-11.u8	Mr. Chairman. The ETS is our most important European instrument and we must try to sharpen it wherever we can. A tightening up to a 2.4% reduction is definitely a major improvement. We certainly need to do that, but we also need more if we are to achieve the objectives of Paris. That is why we have the following proposals. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the emissions trading system should not be used to subsidise coal-fired power plants;]] [[calls on the Government to work in Europe to introduce an emission standard of 450 grams of CO per kilowatt hour in modernisation mechanisms (Article 10c and the Modernisation Fund) for Central and Eastern Europe,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-21501-08-665]]
ParlaMint-NL_2017-02-23-tweedekamer-11.u9	We also need to focus more on innovation. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas innovation is of great importance for the energy transition;]] [[calls on the government to commit itself in Europe to increasing the innovation fund from 400 to 600 million allowances,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-21501-08-666]]
ParlaMint-NL_2017-02-23-tweedekamer-11.u10	Finally, Mr President. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a well-functioning European emissions trading system is very important to reduce greenhouse gases in Europe;]] [[calls on the government to commit itself in Europe to:]] [[a linear reduction factor of 2.4% with rebasing or other measures with a similar outcome, such as significantly increasing the market stability reserve and canceling surplus duties;]] [[the removal of the rights for the reserve for new market entrants from the total amount of duties available between 2021 and 2030 and not from the market stability reserve;]] [[the removal of the 30% list and the limitation of the carbon leakage list to companies which actually suffer from a lot of international competition, i.e. without the cement sector or the ceramics sector;]] [[countering the increase in administrative burdens and therefore not analysing sectors at the level of detail,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-21501-08-667]]
ParlaMint-NL_2017-02-23-tweedekamer-11.u11	If we do all these things, we'll get close to Paris. Let me use my last second to thank the Secretary of State for his excellent cooperation.
ParlaMint-NL_2017-02-23-tweedekamer-11.u12	I see the latest motions are being copied. Then we'll just wait for that for a second.
