ParlaMint-NL_2017-01-31-tweedekamer-23.u1	I would like to welcome the Minister for Economic Affairs.
ParlaMint-NL_2017-01-31-tweedekamer-23.u2	Mr. Chairman. Traffic accidents, air pollution, animal suffering, animal disease crises such as last year's massive killing of 727,500 healthy ducks, chickens and turkeys related to avian influenza, and even the complete burning of forests in power plants all contribute to national income, gross domestic product, but of course they do not contribute anything positive to our society. Why are we staring blindly at economic figures that say nothing about the strength of our community, our happiness, safety, the environment, caring for each other and vulnerable people or the opportunities to develop your talents in this country? The problem of gross domestic product as a measure of our prosperity is that it does not measure what is valuable, but what is worthless. Already in 1804, scientist Alexander von Humboldt used the broad argument of prosperity when it was argued that the abolition of slavery would reduce American cotton production. Von Humboldt rightly remarked: "Public welfare could not be measured according to the value of its export." So we have to look beyond our bookkeeper's nose. We only have a vague idea of the long-term consequences of our actions, for example in the ecological sense. However, we think we can know exactly how many jobs there will be in 2040 if we let the Central Planning Office count. No wonder most parties are staring blindly at those bookkeepers' figures. They know the price of everything, but they don't know the value of anything. This one-sided economic logic must be broken. We must allow measuring instruments such as the degree of safety, the state of nature and the environment and the extent to which people can feel happy in the Netherlands to become decisive in the development of policy. We must start to see them as a measure of how well our country is doing, even if we cannot immediately trace them back to terms of easy-to-understand single numbers such as GDP. The committee's report and the government's reaction to it are a good first step, but it does not go far enough as far as the Party for Animals is concerned. During the euro crisis, we were extremely concerned about a 3% budget deficit and we hardly cared about our ecological deficit, which is tenfold. The ecological deficit is enormous. Every year we consume more than 30% too much of raw materials such as fresh water, wood and food, 30% more than the earth can produce annually. Every year, we've been through our raw materials supply before. Earth Overshoot Day fell in 1980 on 14 December; we had already finished everything. In 2016, Earth Overshoot Day had already moved to August 8th. So for the last four and a half months of last year we lived on the puff of future generations. We borrow from our children and grandchildren, even if they haven't even been born yet. We use raw materials that cannot be replenished at the rate we use them. It is therefore necessary to reduce our ecological footprint, as it is called, and to use this important indicator. We agree with the committee that the Central Planning Bureau, the Planning Office for the Environment, but also the Scientific Board for Government Policy and RIVM should work with a broad concept of prosperity. We will also have to force the government to work with a broad concept of prosperity, both as a test before a government agreement is concluded, policy making, and afterwards. It is not enough for the Chamber and Cabinet to limit themselves to using the welfare indicators only if the policy has been long-established. The information from the Sustainable Netherlands Monitor and the Balance of the Environment should be used to determine the policy, not just to look at the state of the country afterwards. It's the only way to keep the Earth alive. Last week, the cabinet responded to the introduction of a meat tax proposed by RIVM and the Planning Office for the Environment, with the simple assumption that this measure is bad for the economy. This one-sided view must be broken by examining whether it really is and, if so, how we can solve it and, not forgetting, what impact such a measure has on, for example, the climate, animal welfare and public health. How much cost, for example, can we save on health care if we take such a tax measure? The indicators available help to achieve this. As long as GDP and economic growth continue to lead the drafting of the coalition agreement and budgets, we will continue to lag behind the undesirable consequences for humans, animals, nature and the environment. The major issues we face require a much more precise policy with objectives which can also be met. In this way, we also make political dilemmas and exchange policy visible, not only to us in the Chamber, but also to the citizen rather than to sweep them under the carpet by simply looking at everything from the point of view of gross domestic product policy. Gross domestic product should at most be supportive, not leading. I'd like a response from the Minister. I have tabled two motions in the debate with the committee which seek to involve the broad concept of prosperity in policy-making. I would like to receive a substantive response from the cabinet to these motions which I would like to put to the vote after this debate. The General Court previously advised in a recent study to also reflect the social impact of austerity by involving social impacts in the passing on and decision-making of the government agreement. This recommendation is repeated in response to this report. I would like a response from the cabinet to the opinion of the General Court. Moreover, the General Court, following the example of the Central Statistical Office, points to the lack of sufficient indicators for the so-called Sustainable Development Goals. These are goals that are about promoting broad prosperity around the world, including the eradication of poverty, combating climate change and loss of biodiversity. What about developing the indicators to measure the Sustainable Development Goals? Finally, the Court makes the suggestion that goes beyond the recommendation of the Temporary Chambers Committee to include issues from the monitor of broad prosperity and the Sustainable Development Goals in the Financial Annual Report Reich. Is the cabinet prepared to do so? I'm considering a motion on this point. The Netherlands should also become the main advocate of such an integral concept of values in the international gremia where consideration is being given to the renewal of the national accounting system, such as the OECD's Intersecretarial Working Group on National Accounts of the UN. Is the cabinet prepared to do so? We should link experiments with the new broad concept of prosperity to the necessary revision of our tax system. This has been on the table for some time now, but it has been lacking political courage over the past four years, as well as the necessary political imagination to speed this up and radically reform our tax system and make it sustainable. Fortunately, next month, March 15th, there will be elections to allow some braver politicians to be in power. Let us say goodbye to the tunnel vision that monetary indicators, such as GDP, impose on us, and let us make every effort to develop policies to promote well-being for everyone as much as possible. That is why I believe that the bio-industry must be stopped.
ParlaMint-NL_2017-01-31-tweedekamer-23.u3	Mr. Chairman. Recently, the Central Planning Bureau reported that separating boys and girls in education is leading to learning gains. The Centraal Planbureau also reported that learning benefits from separating children by level at primary school. Last week, the NOS reported that the fire department costs the Netherlands more than a billion; about €63 per Dutchman. The message was only about the costs and still some about the differences in costs per region. The dozens of lives saved by these costs do not matter. The World Health Organisation informed us that smoking produces 250 billion in excise duty worldwide and 1,400 billion in healthcare costs and lost productivity. Lost productivity means getting sick or dying of smoking. There are now about 6 million related deaths a year. Diagnosis treatment combinations provide better economic results and opportunities for austerity, but in practice mainly lead to greater distance between treatment and patient and more administration rather than care. It is these kinds of reports and reports that point us to the need for a broader view. It's never just about one dimension, whether it's learning gain or financial gain. We should not abolish the fire department because it costs a billion dollars, or re-introduce boys' and girls' schools because it is a bit of a learning gain. With the creation of the monitor broad prosperity we are taking an important step in countering economics. A view of wider prosperity helps in a broader debate. The House of Representatives is concerned not only with gross domestic product, public debt, and not even with employment, but also with how the country and how each individual citizen stands, not only with regard to the wallet, but also with regard to the chances of a good and appropriate education, how safe one feels and how nature stands and how we expect our country to stand when our children are grown up. It is not just about how much economic growth we expect in the next five years or how much unemployment there will be next year, but it is also about what our children are learning now, which is relevant for 20 years from now. The point is that our economic growth has not been at the expense of their nature and that paying off our public debt does not mean that they no longer have infrastructure. What colleagues Van Ojik and Pechtold had in mind with their first motion was that we could have a broader debate on the long-term and the state of the country rather than the short-term and only the macroeconomic indicators. The point is that what we earn here and now is not at the expense of later and elsewhere. This monitor will help a lot to debate this on the basis of facts. My group is therefore very pleased with the cabinet response. We see this as an excellent example of what the Grashoff Committee had in mind. The width of the monitor allows us to see where we need to adjust immediately. We can use the monitor to ensure that all government policy is also relevant in the long term. This was also at the heart of my adopted motion, which was cited by the cabinet. The cabinet must always relate the monitor to policy. Just as a financial report sometimes makes the need for adjustment clear and possible, so will the monitor. That's why it's important for the cabinet to tell us what it's doing with the monitor. This naturally results in an evaluation of the monitor, accountability to the debate, and the result is then included in the budget. I wonder what possibilities the Minister sees for this. According to my group, the Millions Note provides a good opportunity to respond to the policy response on the monitor. In addition, the General Court recommends that the components of the monitor be included in the National Financial Report. What does the Minister think about that? We are working together on laws for the whole of the Netherlands. We have different political views on this, but everyone tries to contribute to the Netherlands in their own way. The committee's report and the Court's response point out that there is a lack of policy evaluation. That is why it is important that we know the effects of the rules and measures that pass through the Chamber. Everyday's political practice shows that there is often too little attention to a thorough review of policies. The monitor is a great opportunity to take a big step in this. We prefer to know policy effects in advance. Planning agencies have already started this, but developing the monitor will merge a lot of information. It is also an excellent opportunity to take a next step with better governance and control. According to the Minister, are there any possibilities here? What are the options for using the policy evaluation monitor? The cabinet proposes a transition path, with a final final final version of the Sustainable Netherlands Monitor in 2017. That is a logical step in itself, but it seems practical to my group to work towards the other monitor in a transitional version as much as possible. Does the Minister see opportunities for this? In the cabinet response, the Minister mentions the explorations that the planning agencies are going to carry out as a sort of view based on the monitor. Can he explain this? What exactly is this gonna look like? What's the difference with the existing reconnaissance? Will it be integrated, broader explorations, in which links are established between several aspects? What subjects will be covered? The Group of the Greens/European Free Alliance is in favour of the proposal, but great care is needed here. Can the Minister inform the Chamber during the course of this year about the further development of the reconnaissance of the planning offices? If so, when? I'm rounding up. My group very much welcomes the commitments on the monitor. We can hardly wait for the debate on what people think is important, on the basis of facts and on the basis of what the cabinet has done about it over the past year and the goals it has achieved. I would once again like to congratulate the Breed Commission on its concept of prosperity, because it is good that people's representatives from almost all parties have supported a broader concept of prosperity in this way.
ParlaMint-NL_2017-01-31-tweedekamer-23.u4	Mr. Chairman. Gross domestic product is an important figure in the public and political debate. It shows how the economy is doing and, for example, our country's contribution to the European Union. European budgetary standards are also based on them. But GDP doesn't measure how well a country is doing. It doesn't even measure how well the economy is. It only speaks about the volume of market production. In politics there is a need for figures that say more. That is why a committee of our Parliament has looked into this and has come up with recommendations. Our group greatly appreciates the work of this committee. Broad prosperity is, the Committee notes, more than GDP alone. The Committee assumes that broad prosperity encompasses all kinds of things that provide for people's needs to be satisfied. This concerns material aspects and important issues such as education, sustainability, safety, health, the environment, the informal economy and innovation. In addition to GDP, the Committee believes that more indicators are needed to establish this broad prosperity on a dashboard. In an earlier debate with the committee, the CDA has already expressed its full support for this. We are therefore pleased to hear that the cabinet is taking the advice. Can the minister indicate what he's not taking over? I got a bit of an impression from the contributions of the fellow spokesmen that perhaps not everything is being taken over, while I have the impression that the Minister is going to do so. It is good that the Sustainable Netherlands Monitor is being developed into a monitor wide prosperity. The CDA supports the committee's advice to pay attention to the prosperity of future generations in the monitor. The CDA believes that the prosperity of the here and now is important, but also the prosperity of the inhabitants of this beautiful country after us. In his letter, the cabinet states that it agrees with this. Can the cabinet also indicate how future prosperity is mapped in the monitor? The CDA is curious to see which standardised indicators of broad prosperity will be included in the monitor's broad prosperity We would like to receive a further explanation from Minister Kamp. We also want the Netherlands to play a leading role in the international harmonisation of the measurement of broad prosperity. Does the Cabinet agree with the CDA and, if so, can it outline how it sees this? Since 2004, joint working groups of the UN, OECD and Eurostat, in which the World Bank and national statistical offices are also participating, have been working on international harmonisation of the measurement of broad prosperity. An important result of this is the publication in 2014 of recommendations for measuring sustainable developments, the so-called CES recommendations (Conference of European Statisticians). The CDA supports the committee's recommendation to follow broad prosperity in the new monitor and therefore not develop a new set of indicators for the Netherlands. I see that there is a question now and I think the President would like to give it the opportunity to do so.
ParlaMint-NL_2017-01-31-tweedekamer-23.u5	Yeah, I'd love to. Mrs Thieme of the Party for Animals.
ParlaMint-NL_2017-01-31-tweedekamer-23.u6	Mrs Mulder rightly said that we should also look at the impact of policy on future generations, especially in terms of prosperity, the well-being of future generations. Does Mrs Mulder agree with me that we should look not only at the prosperity of future generations but also at the effects of our actions on people in developing countries? In many cases, our prosperity is also built on the fragile and narrow shoulders of people in developing countries, who often have nothing to do with it.
ParlaMint-NL_2017-01-31-tweedekamer-23.u7	I think that is a very valid point. We, as CDA, have often drawn attention to this. We also asked about the effects of trade agreements such as CETA and TTIP, because what Mrs Thieme says does not want us to; it would also be unfair. I am going to say a few words about the world targets, which Mrs Thieme has just mentioned. It is not just about solidarity within our country but also about solidarity with other countries. So it goes both ways.
ParlaMint-NL_2017-01-31-tweedekamer-23.u8	Does Mrs Mulder therefore agree with me that we should not only carry out an ex post evaluation of policies on the basis of these indicators but that we should do so in advance, in other words during policy-making, even during the preparation of the Millions Note and the coalition agreement?
ParlaMint-NL_2017-01-31-tweedekamer-23.u9	In the previous discussion of this important point, we said: let us first choose a moment, and if we find out from the monitor that it is necessary to talk about it in advance, then we can do so. So we're not ruling that out right now, but first I'm going along with the committee's recommendation to do it on Accountability Day. I think the Minister is going to implement that recommendation. Last week we had a debate with Minister Ploumen on the global goals. You will notice that this is spread across so many ministries that it is not at all clear, for example, what impact it has on inland navigation in relation to those world goals. I also told the Minister that there could be an effect in this sense, that if it becomes more sustainable, it would be more beneficial for the world's goals. The Minister said that he would send a letter to the Chamber on behalf of the cabinet before the elections. So we have to keep a close eye on these things, because it doesn't go automatically, just like that. The CDA agrees that the best chance is for us to set up something authoritative with each other worldwide in which we can compare countries in a good way. That seems to us desirable when we think about these world goals. Can the Cabinet indicate whether it agrees with this and in what way this can take shape in the monitor broad prosperity? As the CDA pointed out in the previous debate on the broad concept of prosperity, it also wonders how the monitor will address the Sustainable Development Goals of the United Nations, the global goals, as I call them. The Netherlands agreed to these targets at the UN Summit in September 2015. The CDA is curious about the way in which the cabinet has the six recommendations and the Sustainable Development Goals connected in the monitor. I would like to receive a response from the cabinet. Finally. The CDA agrees that the Cabinet should adopt the Committee's advice in order to consider this important subject every year during the debate on accountability. The CDA looks forward to the appearance of the first monitor and, like its chairman, who is here today, thanks once again for her commitment, the fine result and the valuable recommendations.
ParlaMint-NL_2017-01-31-tweedekamer-23.u10	Mr. Chairman. First of all, I would like to thank the Cabinet for its response to the report of the Committee on Wide Prosperity. This report is about how to measure real prosperity and how to translate it into political practice once you know it. How do you measure prosperity? Is it about prosperity now or about prosperity in the future? How do these two relate to each other? Gross domestic product is not the measure of all things. Real prosperity is much wider. There is regularly criticism of the one-sided focus on GDP as the blissful measure of prosperity in a country. More production is not equal to more prosperity. Shortly: if you have a broken car due to an accident, the production in the market increases as a result of the repair, but the impact on the environment remains the same. In terms of gross domestic product, an increase of 0.3% can cover both education expenditure and expenditure that contributes less to prosperity. In the event of an increase in prosperity, today's GDP is also an investment in the GDP of the future. Everyone feels that GDP cannot tell the whole story, in other words, GDP only measures transactions in the economy and not things like investing in our environment, volunteering or other valuable things in life. The report was discussed last year and embraced by the House of Representatives. A cabinet response was also requested at that time. It's there now. All recommendations are accepted. I'm gonna walk by them a little bit. The Committee advises the Central Bureau of Statistics to further develop the Sustainable Netherlands Monitor into a monitor of broad prosperity, based on the OECD's so-called Better Life Index. The Committee and the Cabinet adopt a pragmatic approach. The PvdA finds the Committee's argument convincing on this point. The cabinet deserves compliments for accepting the recommendations favourably. The PvdA would like to know how the commitment to the additional resources needed for the CBS to develop the monitor's broad prosperity is further implemented. The second recommendation is to make this monitor an important subject in the annual debate on accountability. The Minister states that the state of affairs with regard to broad prosperity year after year will not be fundamentally different and that it is not obvious that any new monitor will lead to new policies or a shift of priorities. How does the Minister view Stegeman's publication in the Economic Static Reports of two weeks ago in this light? The researchers show that their indicator varies considerably over the years. This is a reason for the PvdA to ask to present the implications for policy development in an annual cabinet response on a day of accountability. I would like to receive a response from the Minister. Finally, I would like to consider the balance between prosperity now and prosperity later. We all know that the Netherlands is facing the big challenge of moving towards a sustainable economy. This requires substantial investment, including from the government. In my opinion, the cabinet does not escape a reflection on the discount rate that the government should count on in these public investments. More specifically, are the yield requirements currently imposed on public investment not too high from the perspective of sustainability? Are other non-financial risks for the future, which are thus eliminated, sufficiently taken into account? Can the government reflect on this?
ParlaMint-NL_2017-01-31-tweedekamer-23.u11	Mr. Chairman. In the debate with the committee, the PVV has already indicated that it does not like the broad concept of prosperity as a new term in politics. Wide prosperity is a subjective concept, which is different for every citizen. A broad concept of prosperity, in which we summarize the prosperity of the Netherlands, is like a broad party programme in which all political parties can recognize themselves. There is no such thing, by definition, and therefore a broad concept of prosperity will not say much about the prosperity in the Netherlands as the citizen experiences. The broad concept of prosperity will say something about prosperity as seen by the ruling elite. There is already a gap between reality as the citizens experience it, and reality as most politicians see it. The Hague politicians think that safety in the Netherlands is doing well. The ordinary citizen notes that there is no point in reporting it, because the police are not doing anything about it. In The Hague, sustainability is the magic word to unlock billions of euros of subsidy. For citizens, the whole debate on climate and sustainability is of secondary importance, as we read recently in Elsevier. The cabinet keeps calling for us to be out of the crisis, but the disposable income remains at the level of almost ten years ago. The number of people in welfare is continuing to grow. The gap between citizens and politics will only widen if we introduce a broad concept of prosperity into politics with subjective concepts. The PVV therefore prefers to adhere to the concept of "gross domestic product" as an approach to the state of our prosperity. It is clear that GDP has limitations, but the benefits outweigh us. GDP can be measured relatively objectively, as opposed to a container concept such as the broad concept of prosperity. Complemented with other objective figures on purchasing power or unemployment, it gives a clear picture of our prosperity.
