Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-02-14-tweedekamer-2	ParlaMint-NL_2017-02-14-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 52, Session 2 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2017-02-14-tweedekamer-2	ParlaMint-NL_2017-02-14-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 52, Session 2 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MelanieHenriëtteSchultzvanHaegen-MaasGeesteranus	Schultz van Haegen-Maas Geesteranus, Melanie Henriëtte	F	1970	
ParlaMint-NL-en_2017-02-14-tweedekamer-2	ParlaMint-NL_2017-02-14-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 52, Session 2 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2017-02-14-tweedekamer-2	ParlaMint-NL_2017-02-14-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 52, Session 2 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MelanieHenriëtteSchultzvanHaegen-MaasGeesteranus	Schultz van Haegen-Maas Geesteranus, Melanie Henriëtte	F	1970	
ParlaMint-NL-en_2017-02-14-tweedekamer-2	ParlaMint-NL_2017-02-14-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 52, Session 2 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2017-02-14-tweedekamer-2	ParlaMint-NL_2017-02-14-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 52, Session 2 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MelanieHenriëtteSchultzvanHaegen-MaasGeesteranus	Schultz van Haegen-Maas Geesteranus, Melanie Henriëtte	F	1970	
ParlaMint-NL-en_2017-02-14-tweedekamer-2	ParlaMint-NL_2017-02-14-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 52, Session 2 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2017-02-14-tweedekamer-2	ParlaMint-NL_2017-02-14-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 52, Session 2 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MelanieHenriëtteSchultzvanHaegen-MaasGeesteranus	Schultz van Haegen-Maas Geesteranus, Melanie Henriëtte	F	1970	
ParlaMint-NL-en_2017-02-14-tweedekamer-2	ParlaMint-NL_2017-02-14-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 52, Session 2 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AstridOosenbrug	Oosenbrug, Astrid	F	1968	
ParlaMint-NL-en_2017-02-14-tweedekamer-2	ParlaMint-NL_2017-02-14-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 52, Session 2 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MelanieHenriëtteSchultzvanHaegen-MaasGeesteranus	Schultz van Haegen-Maas Geesteranus, Melanie Henriëtte	F	1970	
ParlaMint-NL-en_2017-02-14-tweedekamer-2	ParlaMint-NL_2017-02-14-tweedekamer-2.u11	Report of the meeting of the Dutch Lower House, Meeting 52, Session 2 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 52	Sitting 2017-02-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
