ParlaMint-NL_2017-11-07-tweedekamer-3.u1	I call Mrs Dijksma.
ParlaMint-NL_2017-11-07-tweedekamer-3.u2	Mr President, good afternoon, also to the Minister. The Van Dale publishers have a wonderful phenomenon every year, namely that they are looking for the word of the year. The trouble is that this usually doesn't bring much good. That's how "treitervlogger" was last year's word of the year. From 2010, I remember the word "tolerant government." I'm afraid we've had another candidate since Saturday, the "fall penalty." That's a fine you get as an older man when you might fall more than three times. Instead of helping you, the health care institution moves the bill forward first. My simple question to the Minister is this. Is he, like the Labour Party, very indignant about this absurd fine and, if so, what is he going to do about it?
ParlaMint-NL_2017-11-07-tweedekamer-3.u3	The Minister has the floor. I would also like to welcome him. Minister, for you too, it is the first time you have experienced Question Time.
ParlaMint-NL_2017-11-07-tweedekamer-3.u4	Sure.
ParlaMint-NL_2017-11-07-tweedekamer-3.u5	You have the floor.
ParlaMint-NL_2017-11-07-tweedekamer-3.u6	Thank you, Mr President. Thank you for Mrs Dijksma's question. I sincerely hope that this word will not reach the Van Dale; a fine for the elderly. I read the newspaper on Saturday morning and immediately I thought: this is a really very strange story. As if a financial incentive helps to drop people less often. As if it's not much better, if there's been a lot of pushing on that button, just to get into the conversation to see what's behind it. That was reason to check with the two organizations, Aafje home care and De Merwelanden, how things are. In practice, both organisations say that they do not have any financial implications for the use of that alarm button and find it annoying that this article may lead to unrest and uncertainty for the elderly. The organisations also indicate that they do not send an account in response to the personal alarm. They have always followed the request for emergency aid. No complaints were received from these organisations either. I checked this with the Dutch Healthcare Authority, but no complaints were received there either. Both organisations indicate that they will engage with clients if they often make use of this emergency aid. That seems to me to be the right way forward. However, the organisations mentioned in the article do have a provision in their terms indicating a policy of discouragement. There is the possibility to charge an amount if there is indeed a lot of use of that alarm button. That's just not allowed. This is about insured care. No account can be sent following the follow-up after pressing that button. That is why I asked both organisations to amend that condition. Both organisations have indicated that they are working on this. I will, of course, be critical of this and I will also ask the relevant industry organisations, ActiZ and BTN, to make this clear to their members.
ParlaMint-NL_2017-11-07-tweedekamer-3.u7	First of all, thank you to the Minister for this response. I think he is showing that, like many of us, he is taking this phenomenon seriously. We do not want to discourage the elderly, especially if they have to stay home longer, from asking for help when they are really in need. But this does raise a follow-up question. Probably because of clumsy communication policy from one of the two healthcare institutions we know this. By the way, one of the two health care institutions was quoted in the article: older people should know that this care is not free. Like they don't know that (A) because they just pay a subscription and (B) what kind of institution do you have when you talk about your clients like that? Apart from that, of course, the question is how often this happens even more often. The Minister's diligent search for these questions led us to stumble upon two institutions which apparently already have a policy of discouragement in their terms. How does the Minister know that this does not occur on a much larger scale? Is he prepared not only to inform the Chamber of this, but also to conduct active research that goes beyond mere contact with the interbranch organisation and to submit to us the outcome of the mid-December budget debate?
ParlaMint-NL_2017-11-07-tweedekamer-3.u8	First of all, I very much agree with Mrs Dijksma's approach. These things aren't supposed to happen. Even if these types of conditions are contained in an agreement, I still believe that this is contrary to everything that we have laid down by law. The Court has itself determined which care may or may not be subject to payment. An additional invoice, as was the idea here, is not possible at all. I do think that a closer investigation is a very big reaction. I think we should do this. Firstly, the provision must be adapted for these organisations. I'm going to follow that critically. Secondly, I am talking to industry organisations to make it clear to their members through them that such a provision can never be implemented because it is contrary to the law. Thirdly, it seems to me appropriate to keep the NZa sharp on this point and to ask the NZa if it recognizes this type of provision, encounters it more often and sometimes gets complaints about it. The answer to that question is at least no at the moment.
ParlaMint-NL_2017-11-07-tweedekamer-3.u9	I'm sorry if I can put it that way. We were just on our way with the moral indignation and also the disapproval, but the Minister should not get rid of it too easily. I believe that this research should be carried out precisely because institutions will not say by themselves: oh yes, we may have conditions that do not fully meet what the legislator has intended. Again, are you prepared to actively conduct a real investigation through the Dutch Healthcare Authority to answer the question of how often this occurs for the budget treatment in December? That can also be a sample; you don't have to visit all of them immediately. I am also saying this in the interest of this cabinet. You said beautifully last Friday: we are going to one rate in the Wmo, we want to help citizens not to pay too much. If, behind the back of this minister, all kinds of health care institutions are going to file bills for everything, and that is not the intention, then this minister is going to put the cart before the cart. This study is therefore also in the interest of the cabinet and above all of the elderly. They have a right, especially at this time, to be treated properly and not to be thrown away when they ask for emergency aid.
ParlaMint-NL_2017-11-07-tweedekamer-3.u10	When I hear Mrs. Dijksma like that, I can go with her. But here's what I'm gonna do. I have now checked with the NZa whether there are complaints about own payments for this type of personal alarm systems. An investigation requires you to check all the conditions of all the institutions to see if they are capable of doing so. I said there were no complaints at the NZa. I have said that we are going to talk to the trade associations so that they can address all their members. I am willing to do a large-scale sample of what this type of conditions look like with an x-number of other institutions through the NZa. We're not investigating it, because that suggests something bigger than I can do in such a short space of time. A sample of how other institutions deal with this, I would like to do with the NZa and with the industry organisations to see how this is regulated by other institutions. Was this an exception, for example, or is it more common? I fully agree that we have not subjected this type of own payments to a legal regime for nothing. If all kinds of bills can be passed on, then we're really not doing something right.
ParlaMint-NL_2017-11-07-tweedekamer-3.u11	Finally, a sentence, because you have fifteen seconds.
