ParlaMint-NL_2017-05-10-tweedekamer-3.u1	A warm word of welcome to the Minister. Thank you for joining us.
ParlaMint-NL_2017-05-10-tweedekamer-3.u2	Mr. Chairman. Today, we are considering a bill proposing that, in a case of partner killing, the child judge always judges whether contact or association with the perpetrator or the suspected perpetrator is really in the best interests of the child. This decision shall take place on the basis of a request from the Council for Child Protection. Unfortunately, this bill can apply to about 14 children a year. The PVV welcomes the improvement of the child's position as a survivor of a violent victim. The child is often severely traumatized, especially if it has also witnessed the murder of his or her parent by the other parent. The PVV has a question to the Minister about the concept of "interest of the child." Does this always take into account the will of the child? Is it true that this will may deviate from what the judge considers to be in the best interests of the child? I would like more clarification on this point. Then there's another question. How long is it expected of the Minister to have a request from the Children's Protection Council for a contact or transitional arrangement and to have a judicial decision? The proposal provides that the child judge may refuse contact or association between the perpetrator and his or her child for two years. Why limit this deadline to two years? A child may request that the court amend the contact or transitional arrangements. In the note on the report, the Minister does indicate a little bit of how this is going to work. But how is it prevented, for example, from making such a request under pressure from a guardian? There is talk of the possibility that a child may submit a request for amendment by means of a note or e-mail to the judge. How is the child informed about these possibilities? Why is it not possible for the child to declare his or her wishes orally? The PVV hopes that this bill guarantees more and better the rights of a child faced with a very dramatic circumstance. I would like to thank the Minister for submitting the legislative proposal and the President for speaking time.
ParlaMint-NL_2017-05-10-tweedekamer-3.u3	Mr. Chairman. You just lost your mother as a child, and your father is the suspected or convicted perpetrator. A violent traumatic experience. Each year, an average of 14 partner deaths occur in the Netherlands, with about 26 children losing one of their biological parents because of the other parent. The consequences for the children are miserable. In 82% of children studied, stress complaints and behavioural problems are reported. These include anger, physical unrest, depression and aggressive behaviour. All adults like the victim's next of kin, the killer's family and the unsub themselves, are mostly self-involved, and almost no one is involved with the child. The child mostly just wants peace and quiet. Because of this calm we are debating today the change in the law. The amendment of the law obliges the Children's Protection Board, in the case of partner killing, to carry out an investigation into the transitional arrangements. On this basis, the court shall determine or deny access to a transitional arrangement. In the event of a withdrawal for two years or more, further requests from the offender-parent shall subsequently be declared inadmissible for two years. However, this change of law does not go far enough for the VVD. The VVD stands up for the victim's position. In this case, that's the child's position. We have done so in the past, and we will continue to do so consistently in the future. The safety and importance of the child must be central. The VVD therefore wishes to table an amendment in which the period of inadmissibility of new applications by the offender-parent becomes proportionate to the period of disqualification of the children's court. Our amendment limits the period of inadmissibility to three years. This amendment is in line with the European Convention for the Protection of Human Rights by maximizing it to three years. The VVD wants to ensure the necessary rest for the child better. That is what this amendment achieves. Only the child can make an interim request to see the parent. My colleague from the PVV mentioned it. This provides the child with a safe environment to process the traumatic events at rest. That period and that rest is really necessary. These children do not want to be constantly dragged to court during this rest period. What I would like to know from the Minister is exactly what happens if a child wants to get in touch with the parent. This can be read in the file, but I would like to hear it from the Minister himself. I can imagine that a 12-year-old child, for example, does not know how to apply to a judge or what assistance it needs. Can the Minister give us more insight into this process? Before I finish, at least I want to thank the CDA and the SP. If I am correct, they filed the motion in 2011 which led to this. I am very pleased that these steps have been taken and that we are talking here today about the importance and safety of the child, which are very important to all of us. That's why we're here today. We are also tabling this amendment so that peace can really be guaranteed. I'm rounding up. The child should be at the heart of the issue, and this change of law, in conjunction with our amendment, will do so. I hope that other parties will recognise that at the moment they are being asked to make a choice between the best interests of the child on the one hand and the best interests of the murdering parent on the other. I am counting on the House to support this amendment, because support for it is choosing the best interests of the child. That interest of the child must always be at the forefront.
ParlaMint-NL_2017-05-10-tweedekamer-3.u4	Perhaps we will talk about the amendment of the VVD, which we are opposed to, in the event of interruption, but now I would like to ask a question about something else. It is very important that the child's voice is heard and that the child is supported. That's also the VVD's plea. I myself have an amendment in preparation for the purpose of arranging for a special curator. The situation is unique: the father or mother is in prison and the other parent is no longer alive. The statement also refers to the informal access to justice, but, of course, it is very complicated for a child aged 6, 8 or 12. Does the VVD agree that there should be a special curator at all times at the start of the trial?
ParlaMint-NL_2017-05-10-tweedekamer-3.u5	This of course depends on the answer to the VVD's question about the child's request to have contact with the parent in specific cases. I am very curious to hear the Minister's opinion on this and the views he can give in it. On this basis, we can assess whether additional solutions are needed in this area. I await the Minister's reply; then we can conclude whether this curator is really necessary.
ParlaMint-NL_2017-05-10-tweedekamer-3.u6	I would not make these matters dependent on each other in that sense. I understand that the VVD is interested in the Minister's answers; I also have a number of questions. This situation is unique in itself: very often there is undersupervision or removal. The judge may then decide to appoint a special curator. If there are conflicts of interest, there is actually arbitrariness. There is, of course, always a conflict in this situation. I therefore ask the VVD once again whether they are open to considering whether we can really regulate in the law that such a special curator is appointed so that the child's voice is always heard.
ParlaMint-NL_2017-05-10-tweedekamer-3.u7	The VVD is always open to proposals and ideas. It is important, however, to first look at what that amendment is about; for example, I have not yet read it myself. So I want to be able to see it first. Furthermore, I think it is very important how the Minister responds to the questions that we and the PVV have asked about the position of the child and how it can look for his parent in the course of justice. If we have a little more insight into this, we will actually be able to better assess whether that amendment provides the solutions to the problems that might arise.
ParlaMint-NL_2017-05-10-tweedekamer-3.u8	Mr. Chairman. Today we are discussing a law that will hopefully have to be applied as little as possible. It has already been said that on average 14 partner killings take place every year, with 26 children losing their biological parent. That is already extremely violent, downright horrible. It gets even more intense when children then end up in some kind of power game between two families fighting for the children's association, or when they have to visit the killer of their other parent. We know the terrible stories from the hearings a few years ago. It really grabs you to the throat when you read quotes, for example from carers, like this: "She has a low self-image at the moment, because she is the daughter of a killer." Or this: "So we told them Mom was dead. I really had to tell you that Daddy was bad and he did that and went to jail and couldn't live at home either." This is very intense to tell. Or when a kid in an interview says, "I'm scared, but I'm going anyway. Daddy misses me so much. I miss him a little bit, Dad misses me more." These are extremely harsh quotes, which underline the importance of this issue. It is a small group, but therefore the importance of this law, which deals with the remaining parent clause, is no less great. Like Madeleine van Toorenburg of the CDA, my colleague Nine Kooiman has repeatedly argued for this on behalf of the SP. We have said that we think it appropriate that at least we should first examine whether it is desirable and in the best interests of the child, and that we should look carefully at what the child wants. Therefore, the SP Group wholeheartedly supports this law, in the hope that the proposed course of action will facilitate the process somewhat after such a major event. In the case of partner killing, therefore, the children's court must always first assess whether contact or handling is in the best interests of the child, following an investigation by the Council for the Protection of Children. And if this request for contact or handling is rejected, the child should not be harassed annually with a new request for handling. This is a breach of access to justice, which we must also name here, but we understand why it is proposed: because the child can benefit from rest after the traumatic loss of a parent. New legal procedures give rise to stress and unrest, as research has shown. And yet I am going to ask the following question: is there still any possibility of tailor-made work, so that in some cases judges may consider that the remaining parent will be more receptive in a request for association or contact? Judges will also always have to explicitly motivate the time limit in their judgment. Now for the debate on the two-year deadline. On the one hand, the SP welcomes the fact that we are now taking steps with this law. However, we must not overplay our hand. In fact, if we are going to extend that time limit now, we are denying someone access to justice for more than two years, which I would say, with caution, could come up against objections in the First Chamber, but also at the European Court of Human Rights, for example. On the other hand, there are situations in which, even after those two years, it is not in the best interests of the child to be involved in legal proceedings by a request from your parent's killer. So this has to be really customized. That is why we say: could we no longer do justice to this complicated situation by not necessarily extending this deadline, with the possible objections that it might have, but by giving the guardian and the Council of Children's Protection the power to ask the court to extend the time limit in which the parent is not admissible in his application? For example, what is needed could be considered per situation and per moment. So if the child is not yet well and the child benefits from a longer period of rest and really is not waiting for a trial in which the father demands treatment, then this period can be continued by a request from the guardian or the Council for Child Protection. How does the Minister see this? What are the possibilities at this point? And if these possibilities are not yet available, can I have a response from the Minister to this proposal? One question that may be slightly outside the scope of the law is whether the minister can also reflect on the contact and association with the family of the remaining parent; the grandparents and grandmothers, aunts and uncles. What rights do they have and should they, according to the Minister, have? Finally, I would like to have a further explanation from the Minister of his answer to our question on the protocol; on whether or not to decide at one or two sessions on custody and handling. The Minister replied that the Children's Protection Council could recommend that this be dealt with in two sessions. But when is that the case? Is the directive really such that it is being dealt with together in as many cases as possible? After all, the more hearings, the more incriminating the child. In conclusion, once again compliments from the SP on this law, because it tries to make a horrible problem in the legal sphere a little less painful.
ParlaMint-NL_2017-05-10-tweedekamer-3.u9	Thank you. We are now going to listen to Mrs Van Toorenburg from the CDA group.
ParlaMint-NL_2017-05-10-tweedekamer-3.u10	Mr. Chairman. You rightly say that I am speaking on behalf of the CDA, but I have the honour to speak on behalf of the Labour Party as well. This is also, in fact, symbolic of the bill we are discussing today, because if there is anything that connects this Chamber, it is our involvement in crime victims. In recent years, several spokesmen visited meetings of the Stichting Aankeid Doet Voorken. Colleagues read names; that was very impressive. They wore ribbons through different cities to express their involvement in the Association Parents of a Murdered Child, Attention Does Speak and all the victim groups that each time call attention to their position. It has never been in our cold clothes, and that is why it is very good that we are having the debate on this today. I'm taking you to a meeting on February 5, 2011. Then I was allowed to represent the Chamber. We always tried to split it up a little bit, and that time I was there. Then grandparents spoke to us about the drama that had happened to them: their child was killed and their grandchildren were in great distress. The grandchildren were forced to go to the tbs institution where, in this case, the father was locked up. They told me how awfully poignant that was and that they got the feeling that no one was looking closely at what was going on. With that message, I went back to the Chamber. The Committee on Security and Justice was directly inclined to look together for what to do about it. We have finally chosen to speak with experts and experience experts first. We have spoken to grandparents and also people who have had to deal with children who were next of kin to victims of violence in a different way. The next of kin were really heard in this room. I spoke to them yesterday. Through me, they would very much like to thank the Chamber for the fact that we have continued on this dossier and that we have looked at what we could do about it. I told you it was February 5th 2011, so it's been a long time. But it wasn't for nothing and there hasn't been a night of ice with this law either. We took a step-by-step look at what we could do. Mrs Kooiman and I, and later also Mrs Bouwmeester, have gone to Utrecht to speak with all kinds of experts and, above all, to hear how big the problem really is. What are they running into? It became very clear that children are extremely traumatized and that they have actually lost two parents. How to handle it best is a search. These people have come to the Chamber to share with us what they believe should be done about it. They really called the Chamber and the Cabinet to action. And a lot has happened. In preparation for this debate, I have read back everything, including what was said at the time. Then you can see that the current protocol of action has already improved very, very much, that better contact is being established, that people are going to stand directly next to the child, that the judges know more quickly what needs to be done and that Youth Services know more quickly what needs to be done. So much has already happened. I think it would be good to thank the Cabinet for these important steps. But more had to be done. Research has then been carried out and the bill we are discussing today has been announced. Let it be said straight away that the CDA is very pleased with the proposal before us that it is de facto the final piece of a complete process that we have entered into with each other. When I look at the law, there are a few things that still need attention. We are very content with the fact that a construction is being chosen where the board will really look at what is needed, that there is a form of "no contact unless" and that it is being presented to the judge who will then check whether it is really in the best interests of the child whether there should be any contact/circulation. The WODC study "Care for children after partner killing" also highlights the importance of preventing a child from being traumatized again, getting stuck in a fight and eventually creating a huge conflict. It also shows how important it is to have some kind of neutral guidance and how important it is to create peace in this very turbulent time when a child has de facto lost two parents. How can we ensure that in this traumatic situation the best interests of the child are guaranteed? There are still a few things we have some questions about, among other things about the provision of information. Can't it be very vulnerable to give the parent who can't have any more information about children? How does the Minister view that? Shouldn't we have something to do with that somehow? Of course, it can be very complicated for a child. There's no more contact. The rest is guaranteed. There has been an opinion on it and a judge has ruled on it. Shouldn't we look at how much information there is still to be exchanged with those who are actually no longer allowed to interact? Then there's another point. The Minister has already dealt with it in the explanatory statement, but I would like us to talk about it today: what if there is a suspicion, but ultimately there is no conviction, because it turns out that the other parent is not the culprit? Then how can we build that contact in a responsible way as soon as possible? That may be very necessary. I think we should talk about that, because if you stop something very rigorous, you also have to think very carefully about how to make something happen again. Are we satisfied with this bill in all facets? Let me be quite honest in this: yes, but there are still some wishes we have, but as Mr Van Nispen rightly pointed out, we should not be asking things over. We're already doing something very radical. We are actually saying that the best interests of the child are at the heart of the matter and that this means that the parent can no longer be involved and that no visit is made and then that other parent cannot even ask the judge for a certain period of time to restore contact. That's a big deal. Then I really wonder whether it would be wise to add another step with an amendment, namely that it would not be possible to do so over a longer period of time. I have studied international case law. Then you can see that there are statements with unspeakable names. I am not going to venture to do so now, but they are all quite neat in the explanatory statement, which shows that there is a very critical point there. I also went to talk to our senators and asked them how they look at this, because I don't want this bill to end. Of course they don't have a final judgment yet, because they deal with it as carefully as we do, but there is a real shock when you tell parents that they shouldn't even turn to a judge for a very long period of time to see if the contact can be restored. So, as much as you might think that such an amendment could contribute, I believe that when you ask about it, you run the risk that the bill will not pass through the Chambers and that very complicated international case law will also be developed to make it plain. In all honesty, I should not think of that, even bearing in mind the grandparents who have asked us to do so.
ParlaMint-NL_2017-05-10-tweedekamer-3.u11	Was this your term?
