ParlaMint-NL_2017-04-04-tweedekamer-7.u1	Before we vote, I shall first give the floor to Mrs Marijnissen on behalf of the SP.
ParlaMint-NL_2017-04-04-tweedekamer-7.u2	Mr. Chairman. Last Wednesday, I was here, too. We then had the first debate on care, in our new composition, in this new Chamber. That debate was about additional investments in staff in the care of the elderly. One day later I had to learn from the newspaper that there was an important report prepared by the Dutch Healthcare Authority, the NZa, on investments in additional care staff. Only Friday the Chamber actually received this report itself, ultimately by a request from the SP, supported by other parties.
ParlaMint-NL_2017-04-04-tweedekamer-7.u3	And the request is?
ParlaMint-NL_2017-04-04-tweedekamer-7.u4	That such an important NZa report is first with the media and then with the Chamber, surprises us. The offer letter accompanying the report states that the report was already in the possession of the Secretary of State on 21 March.
ParlaMint-NL_2017-04-04-tweedekamer-7.u5	And the request is?
ParlaMint-NL_2017-04-04-tweedekamer-7.u6	That means that the report was in the hands of the Secretary of State a week before. We call for the debate to be reopened because we believe that there is new, crucial information on the table. So we are also asking for the vote to be postponed today on the motions on additional investments in staff in the care of the elderly.
ParlaMint-NL_2017-04-04-tweedekamer-7.u7	Of course, we've known for years that the Secretary of State isn't decent, but there's nothing new in the letter. I am also a little surprised at the new line the SP uses when it comes to nursing care. First, 300 million is enough, instead of 2 billion, and now we just have to wait.
ParlaMint-NL_2017-04-04-tweedekamer-7.u8	So no support?
ParlaMint-NL_2017-04-04-tweedekamer-7.u9	This while the Cabinet is a missionary and the Chamber missionary. No, I would very much like to get a ruling from the House of Representatives on the extra money for the nursing homes. There's a huge urgency in that. So I don't want a delay at all.
ParlaMint-NL_2017-04-04-tweedekamer-7.u10	That's clear. Then I'll look at Mrs. Keijzer.
ParlaMint-NL_2017-04-04-tweedekamer-7.u11	As indicated in the debate, the CDA Group is...
ParlaMint-NL_2017-04-04-tweedekamer-7.u12	A little harder, Mrs. Keijzer.
ParlaMint-NL_2017-04-04-tweedekamer-7.u13	I almost wanted to say, was I on? I was on, but I was wondering if the microphone was on. During the debate I indicated, on behalf of the CDA, that as far as we are concerned, and I believe that this applies to Chamberwide, we need more money for nursing care. However, I have also indicated that this is on the formatter's table and that a line should eventually be set there. I have asked for attention for 2018 and the care purchase that will of course also take place this year.
ParlaMint-NL_2017-04-04-tweedekamer-7.u14	So, are you or are you not gonna support me?
ParlaMint-NL_2017-04-04-tweedekamer-7.u15	I think it is important to explain here why I am fine with postponing the votes. However, I do not see any reason for a third deadline at the moment.
ParlaMint-NL_2017-04-04-tweedekamer-7.u16	So, I understand you'd like to postpone.
ParlaMint-NL_2017-04-04-tweedekamer-7.u17	We can support a third deadline, but as far as we are concerned, the other motions tabled in the first two deadlines must be discussed. We have supported two motions from the PvdA and the PVV. As far as we are concerned, they will be put to the vote.
ParlaMint-NL_2017-04-04-tweedekamer-7.u18	To be very brief, the D66 Group agrees with Mrs Keijzer of the CDA.
ParlaMint-NL_2017-04-04-tweedekamer-7.u19	The same applies to the Group of the Greens/European Free Alliance, President.
ParlaMint-NL_2017-04-04-tweedekamer-7.u20	No third-term support. If the votes were postponed, that would be fine for the VVD.
ParlaMint-NL_2017-04-04-tweedekamer-7.u21	Nor does the SGP need to postpone voting on a third deadline. We believe that the debate on the NZa's impact analysis is actually broader. It calls for a separate debate, which is more than a third time in this debate. As far as we are concerned, therefore, we are voting now and we are having a debate later on on the NZa report.
ParlaMint-NL_2017-04-04-tweedekamer-7.u22	On behalf of the Animal Party, support for the SP's request. We think it makes sense to postpone the vote.
ParlaMint-NL_2017-04-04-tweedekamer-7.u23	For the record, I believe that the PVV and the SP agree on the content of care for the elderly, although sometimes this does not seem to be the case. The PvdA wants additional investment in care for the elderly as soon as possible. As far as we are concerned, we can also vote on this today.
ParlaMint-NL_2017-04-04-tweedekamer-7.u24	Let us vote today on the additional investments in care for the elderly and discuss the NZa report in a separate debate.
ParlaMint-NL_2017-04-04-tweedekamer-7.u25	It's a jigsaw puzzle. There is a majority in favour of postponing votes, but not of holding a third deadline.
ParlaMint-NL_2017-04-04-tweedekamer-7.u26	That surprises me once again...
ParlaMint-NL_2017-04-04-tweedekamer-7.u27	No, no, no, no discussion.
ParlaMint-NL_2017-04-04-tweedekamer-7.u28	No, I understand that, but once again because it is said here that we agree from left to right on additional investments in care for the elderly. Then we should do it, too. I see Mrs. Agema getting up again. She spoke directly to me. I don't recognize myself in it at all. The SP has said many times that it wants to invest extra.
ParlaMint-NL_2017-04-04-tweedekamer-7.u29	Thank you.
ParlaMint-NL_2017-04-04-tweedekamer-7.u30	We're really not having a discussion about that here today.
ParlaMint-NL_2017-04-04-tweedekamer-7.u31	No, no, no, ma'am...
ParlaMint-NL_2017-04-04-tweedekamer-7.u32	It's about what we can do today.
ParlaMint-NL_2017-04-04-tweedekamer-7.u33	Mrs Marijnissen, thank you very much.
ParlaMint-NL_2017-04-04-tweedekamer-7.u34	Mr President, I would like to vote on my motion. Mrs Marijnissen now gives the formation parties every chance to move things in the long term, but I do not want that to happen.
ParlaMint-NL_2017-04-04-tweedekamer-7.u35	I understand, Mrs Agema, but there is no majority in favour of voting today. The majority is in favour of postponing voting.
ParlaMint-NL_2017-04-04-tweedekamer-7.u36	It is a rather special figure, if in fact it was linked to that third time limit, that third time limit is not kept and then the votes do not continue.
ParlaMint-NL_2017-04-04-tweedekamer-7.u37	I see everyone nodding. Thank you. Then we'll vote.
