ParlaMint-NL_2017-07-04-eerstekamer-5.u1	I have already welcomed the Minister of the Interior and Kingdom Relations to the First Chamber.
ParlaMint-NL_2017-07-04-eerstekamer-5.u2	Mr. Chairman. Today, at first reading, we are discussing the modernisation of Article 13 of the Constitution. The classic letter, telegraph and telephone secrecy is extended to other means of communication to keep pace with technological innovations in the field of communication. In short, Article 13 of the Constitution is made technologically independent by speaking of letter and telecommunications secret instead of letter, telegraph and telephone secrecy. The CDA Group considers this modernisation necessary and important. My former colleague Hans Franken has also made an important contribution to thinking about this modernisation. Like the other groups in this House, the CDA Group has asked the government in writing about this bill. That was not necessary either; my group is not only in favour of modernisation, but also of the concrete legislative proposal. However, such an important proposal cannot be dismissed as a hammer piece in the First Chamber. That is why we are using this plenary debate to explicitly confirm our agreement to the legislative proposal. I would like to draw attention to three aspects of the proposal. First of all... There is a dispute over the slightly lighter protection that is now given to the classic secret of letters. The list restricts the confidentiality of letters somewhat in relation to the current situation, since this can only be done by law in the cases now, with the permission of the court. In view of the government's argument and the systematic wording of the new article, my group can go along with this choice. Second. Furthermore, there are indeed some delineation issues that play a role in the legislative proposal, for example: the content of the communication versus so-called traffic data, but these are inevitable in any design. We expect the court to be able to deal with this, partly in view of what has been dealt with in the previous written documents. Third. As regards jurisdiction for breaches of law in the interests of national security, it can be defended that it should have a stronger basis in the Constitution. However, it does not exist now and is now regulated by law without any specific form of constitutional protection. At least now there will be a constitutional basis. In short, my group is happy to vote in favour of this bill.
ParlaMint-NL_2017-07-04-eerstekamer-5.u3	Mr. Chairman. We live in a time when technological developments are rapidly passing us by. In particular, the number and form of communications have increased enormously over the years. Where we used to write each other letters and have all the pieces on paper, today we email each other or whatsappt and look at our pieces on the iPad. In that light, it is high time we tried to bring the Constitution into line with this practice. Although the Dutch political culture is still dominated, but unjustly, by a so-called sober, but, in my view, formalist Constitution, a constitutional adjustment that is harmless to the political status quo seems feasible. The proposal was accepted unanimously across the board. That outcome is also in this house in the middle of reason. However, my group would like to raise a few points. The letter secret should apply to all forms of communication. The basic legal protection is based on the content of the communication rather than on the means of communication. Citizens have the right to remain free from public interference in communication. This protection should not depend on a particular type of means of communication. In this context, my group supports the choice made in the proposal for a technology-neutral approach to letter secrecy, which might well be called 'communication secret' in the near future. From this technology-neutral approach, the government does not want to appoint specific means of communication. My group understands this attitude on its own, but wonders whether a broader and broader interpretation of the concept of 'communications means' would not be better suited to reality. For example, there is discussion as to whether certain types of traffic data are subject to constitutional protection under Article 13 of the Constitution. Today, for example, there are refrigerators that communicate personal information to other parties. My group shares the government's view that specific legislative and regulatory action can be taken and that the courts also have a role to play in answering the question of whether or not a means of communication should be covered by the secret of communication. With a view to the formation of legal history, my group asks the Minister, where the government draws the limits in the chosen technique-neutral approach, when it comes to the interpretation of the term 'telecommunications resources'. In my group's view, the use of the term 'communication secret' rather than 'telecommunications secret' would have been better. We would therefore urge that the term 'telecommunications media' be interpreted in such a way that the broadest possible range of means of communication is covered by constitutional protection. Does the government share this plea for a broad interpretation? A second point is the possibility of restricting the constitutional protection of the secret of letters. As regards the limitation of immunity in the interests of national security, there is no provision for judicial review. Provision is made for another form of independent supervision. I do not want to anticipate next week's debate, where the amendment of the Intelligence and Security Services Act is on the agenda, but my group does not consider this monitoring figure to be unproblematic in advance. For example, the Dutch Lawyers' Committee on Human Rights has expressed concerns as to what remains of the constitutional protection of the secret of communication now that the judicial review is lacking. My group sees two constitutionally opposed supervisory figures in principle: on the one hand, the principle of the rule of law, the principle of independence and impartiality, i.e. judicial review of legality and, on the other hand, the appropriate figure in the parliamentary democratic context of a body operating under ministerial responsibility and thus parliamentary control. The choice between one of these two forms of supervision has repeatedly had to be made between the constitution and the legislator, with varying outcomes. My group would like to ask the Minister again why the choice in this case was made as it was made. We know the reference to the already existing policy under the Intelligence and Security Services Act (Wiv) and the fact that the choice made is not formally contrary to the ECHR. We also understand that next week's legislative proposal on the Wiv is proposing a figure for legality testing by an independent body, but I do not want to anticipate that now. The key question today is why the Minister would be better than the judge to assess whether a breach of letter and telecommunications secrecy is justified from a national security point of view. The next question is what exactly should be understood by national security. Can the Minister give examples of security situations that cannot be defined in terms of national security as referred to in this bill? Is any security situation a potential reason to restrict the communication secret? That is not what my group is hoping for. To what extent does the government intend to comply with the criteria of the ECHR, for example the requirement that a restriction of fundamental law protection should be necessary in democratic society and the corresponding subsidiarity and proportionality test? Another issue concerns the question of the horizontal functioning of this fundamental right and the possible active role of the public authorities in that regard. Following the opinion of the Council of State, the proposal did not settle this issue at the end of the day. It would be preferable for constitutional law to include a more general regime in the Constitution. How should we look at the responsibility of large companies such as Facebook and WhatsApp and large telephone providers? My group would believe that telecommunications secrecy should in principle also apply to them. For this reason, Article 11.2a of the Telecommunications Act already creates certain responsibilities for this type of company. However, the criticism that there is still a high level of privacy sensitivity is widespread. My group believes that social media platforms have a duty of care to handle our data carefully and to inform users about it. In the House of Representatives, the Minister was sensitive to the risks involved in this matter and considered that further regulation was not inconceivable. My group would like to hear whether the government intends to improve the protection of communications secrecy in the horizontal sense, particularly between citizens and businesses. Finally, I have a very specific question. The Computer Crime Act talks about "automated works." This includes a wide range of techniques, such as the smart thermostat. My group wonders why legislation no longer uses a clear terminology on these issues. I'm curious to hear the Minister's response.
ParlaMint-NL_2017-07-04-eerstekamer-5.u4	Mr. Chairman. Today we are discussing the legislative proposal on the amendment to the Constitution of the provisions on the immunity of letter, telephone and telegraph secrecy. Fundamental rights such as equal treatment, freedom of expression, right to vote and the right to privacy are fundamental to the democratic rule of law. In its 2010 report, the Constitutional Commission rightly stated that increasing digitalisation of society affects different fundamental rights. It mentions freedom of expression, the protection of privacy and the protection of letter secrets and telephone secrecy. In addition, the ongoing digitisation of society is relevant to other fundamental rights, such as the right to vote, the right to petition, the freedom of association, the freedom of assembly and demonstration and the inviolability of the body. My group also believes that the modernisation of Article 13 of the Constitution is necessary and that the extension of telephone and telegraph secrecy to telecommunications secrecy is an appropriate choice. My group is also in favour of including the secrecy of modern telecommunications in the Constitution. My group would like to put a few questions to the Minister. Members of my group support the government's statement that the need to communicate privately in the digitised information society is unabated and requires constitutional protection. Communication must be confidential regardless of the means used. However, the present legislative proposal did not choose to include all traffic data, such as the name of the user, his IP address and his surf data, within the scope of Article 13 of the Constitution. The government confines itself to traffic data that can point to the content of the communication. However, my group believes that, within the framework of a more future-proof constitutional article, it should be borne in mind that the distinction between communication content and traffic data can no longer be made with modern means of communication, and perhaps certainly with future ones. My group therefore wonders whether, in view of the more difficult distinction to make in the future, consideration should be given to including all traffic data under the protection of Article 13. Can the Minister also comment on what is in practice opposed to doing so? In a democratic state governed by the rule of law, citizens must be able to trust that they can communicate freely and confidentially with each other, without fear of government listening or watching. In the existing Article 13 of the Constitution, breach of the confidentiality of letters is possible only by order of the court. However, the draft law before us also makes it possible to infringe the confidentiality of letters with the Minister's consent if this is necessary in the interests of national security. This is a significant change in the legal protection of citizens. My group is asking the Minister to comment on the government's choice not to leave the question of breaches of communication secrecy to the courts if national security is at stake, or at least not alone. My group also asks the Minister to go into the government's choice to allow the Commission to monitor the intelligence and security services only afterwards for breaches of the confidentiality of communications where the importance of national security is at stake. Is the government prepared to consider asking the CTIVD to supervise prior to any breach of the communication secret? Can the Minister provide for the possibility of an independent third-party review in any other way? In this context, it is important that the Government notes in the explanatory memorandum that the law will provide for a mandatory review by the Minister if the CTIVD considers that an authorisation granted by the Minister for the use of special powers is not in conformity with the law. My group awaits the Minister's answers with interest.
ParlaMint-NL_2017-07-04-eerstekamer-5.u5	Mr. Chairman. The purpose of this proposal is to extend the immunity of the letter, telephone and telegraph secret contained in the Constitution to all means of communication. The new Article 13 therefore refers to the right to respect for letter and telecommunications secrecy. The aim is to introduce technical and independent protection into the Constitution, which also covers the electronic means of communication. This is a modernisation of the text of the Constitution, the main question being why it took so long. Proposals for this have already been made at the end of the last century, followed by the report of the Committee on Fundamental Rights in the digital age, the Franks Commission, from the beginning of this century, and many other opinions, including the report of the Constitutional Commission of the States in November 2010. The proposals were endorsed by the cabinet and parliament on a regular basis. Finally, the discussion of the Rutte II cabinet proposal was delayed by the cabinet itself in 2014, and then adopted by the Lower House only after the March elections this year. This means that the second reading of this amendment of the Constitution in the Lower House can only take place after the next elections, which will normally take place in 2021, after which it will go back to this Chamber and could enter into force about 2022. All in all, this modernisation of Article 13 of the Constitution has lasted for a quarter of a century. We in the SP Group are certainly not in favour of hastily changing the Constitution, as sometimes happens in some other countries, but 25 years for a relatively small adjustment is the other extreme. Will the Minister once again reflect on this course of action? In addition to modernising Article 13 by introducing the concept of telecommunications, the Government's proposal also harmonises the level of protection of the confidentiality of various forms of communication. In the current text of the Constitution, confidentiality in letters should be broken only by judicial authorisation, but also in the case of telephones and telegraphs, in the interests of national security, in another way regulated by law. That means, in practice, with the Minister's permission. In the new text now before us, the last text applies to all communications. The Group of the European People's Party (Christian Democrats) and European Democrats considers it logical that the same principles should apply to all forms of communication, but would have preferred that a judicial authorisation should have been required in all cases. Unfortunately, the House of Representatives rejected an amendment to that effect. For the SP Group, the fact that the new technology-independent wording reduces the level of protection of letter secrecy in the Constitution does not mean that this should also be done in the legislation. With the Council of State, my group sees no argument for violating the secret of letters, even if national security is at stake, without judicial authorization. We therefore assume that there is no intention on the part of the government to introduce such a legislative amendment after the Constitution has been amended. I would like to receive a positive reply from the Minister on this point. I look forward to the Minister's answer to our questions.
ParlaMint-NL_2017-07-04-eerstekamer-5.u6	Mr. Chairman. The Group of the Greens/European Free Alliance welcomes, in principle, the amendment of Article 13 of the Constitution, which deals with letter, telephone and telegraph secrecy. The digital age requires a new formulation of the respect and protection of the messages that people share and send to each other. High time, you'd say. The Road Traffic Act is no longer based on the stagecoach. We share the principle that this constitutional change should be formulated as future-proof as possible and independently of technology. Developments in the digital age are moving fast and no one can foresee new forms of information exchange in 5 or 10 years' time, let alone 25 years' time. However, we do have some pressing questions for the Minister. My group regrets that the fine concept of immunity is removed from Article 13. 'Inviolability' indicates a higher level of protection than the concept of'respect' already used in Article 10. The question to the Minister is what reason has been given for using the concept of "respect" instead of "inviolability." Has the Minister played a role in reducing the level of protection overall? What is more strange is the use of the word 'telecommunications'. This is almost again an outdated concept in today's digital world. The Internet of Things, where the fridge itself is apparently popular; Mr Engels has already mentioned the orders, but also new techniques such as near field communication, where communication is not tele but rather over ultra-short distance, indicate that concepts quickly age. Why has the legislator not chosen a term such as "electronic communication" or simply "communication along any technique or channel"? Finally, the most fundamental question. In the present Constitution, only the judge can waive the immunity of the letter. At the telephone and telegraph can be arranged by law who can do so. In the new text of the Constitution, the courts are no longer required to deal with national security issues. It will then be possible to determine by law who is authorised to waive the confidentiality of letters and telecommunications. There is no doubt that we will be discussing this next week at the Wiv. Can the Minister explain again why, unlike in the past, the concept of 'national security' has now been included in Article 13 and why the judge does not need to use it anymore? And what is the definition of "national security" under this law? What does this wording mean for future legislation? Are we not taking too great a risk that the secret of letters and telecommunications is too easily eroded under the pressure of the delusion of the day? How does this relate to Article 8 of the ECHR, in particular the case law of November 2012? These are a number of questions of a fundamental nature for us. We are therefore very interested in the Minister's reply.
ParlaMint-NL_2017-07-04-eerstekamer-5.u7	Mr. Chairman. Extending the protection of letter secrecy to all means of telecommunications rather than just the telephone and telegraph is a logical and necessary development for the PVV Group. It was not included as such in the 1983 constitutional review. The Minister remarked on this in the House of Representatives, and I quote briefly: 'It was apparently hip in 1983 to include not only the letter secret in the Constitution, but also the telegraph'. The fact is, however, that telecommunications had progressed further in that year. The predecessor of the current internet, the so-called ARPANET, existed since the late 1960s. In fact, as an example: in the year in question, 1983, a feature film called WarGames appeared about the accidental hacking of NATO's nuclear arsenal via a telephone modem. With last week's hacks from the port of Rotterdam, among others, this problem is more topical than ever. But even 34 years ago, these telecommunications developments were already foreseeable, and not just in the film. It is therefore remarkable that these adjustments are only now taking place. Nevertheless: better late than never. The PVV Group will therefore vote in favour of this proposal.
ParlaMint-NL_2017-07-04-eerstekamer-5.u8	Mr. Chairman. Letter secret is not only the title of Jan Terlouw's exciting boy book, but also an important classical fundamental right that is adapted to modern times with the present bill. As for many groups in this House, it is high time for my group to do so. The aim of the bill is to achieve technical independence in the protection of letter secrets. As mentioned earlier, this bill preceded several investigations, committees and reports. In 2000, the Committee on Fundamental Rights in the digital age, also referred to as the Franken Commission, already advised that fundamental rights should be formulated technology-independently. In 2010, the Thomassen State Commission wrote a report recommending that a number of fundamental rights be adapted to developments in information technology. Both committees agreed that the letter secret should be replaced by a provision guaranteeing the confidentiality of communications. The VVD Group also supports the need for this. She still has some questions she would like to put to the government. Article 13 of the Constitution, which we are talking about, is seen as a special feature of Article 10 of the Constitution: the article that gives the right to privacy. Article 10 of the Constitution can not only be invoked vis-à-vis the public authorities, but also has an explicit horizontal effect. The right to privacy also applies to citizens and businesses. What about the horizontal effect of the letter secret? According to the history of law, the letter secret is intended to be invoked against the government alone. This was confirmed by the government during the examination of the present bill in the Lower House. How sustainable is that, and is it still of this time? Should the horizontal operation of the letter secret not be taken for granted in view of all possible means of communication which are not, or are not, facilitated and exploited by the public authorities? I'd like a response from the government. Now Article 13 only works through in some laws. As far as I know, the Code of Criminal Law and Criminal Procedure, the Postal Act and the Telecommunications Act. Assuming that there is no horizontal functioning of the almost modernised letter secret, should not the e-signatures Act be amended, for example, in the sense that a provision similar to that of Article 18.13 of the Telecommunications Act and Article 4 of the Postal Act be added? I'd like a response from the Minister. It is also striking that the draft law on generic digital infrastructure lacks such a provision. If we are allowed to classify the generic digital infrastructure Act as the successor or exponent of the Postal Act, it should also contain a provision that ensures the confidentiality of communications. There is no such provision in the draft law. Although this draft law is of course not now a subject of discussion, my group is curious whether the government has consciously chosen to do so or whether it has assumed that the letter secret would naturally apply to the application of the said law, and thus has horizontal effect, and therefore does not need to be explicitly regulated. I do not think that is the case, since the government has expressed itself so explicitly during the debate in the House of Representatives, particularly in the note on the report, but I would like this to be confirmed by the government. This brings me to the scope of modern technology-independent letter secret. For example, now that smart contracting becomes more and more infamous, the internet controls devices and a car automatically plans a maintenance service with a dealer, the question is whether such automated messages are also covered by the letter secret. Even brains can control robots. Why are metadata not covered by the letter secret? At least I have understood from the treatment in the Lower House. On the one hand, my group understands that they are part of the fundamental right to privacy, but on the other hand, the distinction between metadata and content is sometimes difficult, and that will become more difficult in the future. For example, they are the same metadata that control automated orders at a supermarket. In other words, traffic data is increasingly expressing or being intertwined with the content of the communication. Just think of a subject line in an email or the content of a text message; which is already very old-fashioned by the way. I would like a clear explanation from the government as to why metadata is not covered by the modernised letter secret. As I said earlier, my group believes that it is important and it is high time that the secret of letters was modernised. My group still has a number of questions which it would like to have answered. It also wonders whether the interpretation of the adapted letter secret is not too limited in view of the developments outlined above. I am referring in particular to the lack of horizontal operation and the exclusion of the metadata from the customized letter secret. My group looks forward with interest to the Government's response.
ParlaMint-NL_2017-07-04-eerstekamer-5.u9	Does one of the Members still wish to speak in the first term? That is not the case. I shall then give the floor to the Minister for Foreign Affairs, if he is able to reply directly. That's the case.
ParlaMint-NL_2017-07-04-eerstekamer-5.u10	Mr. Chairman. We are at an important moment here, namely at the first reading of a constitutional change. The article we are discussing is so short that it might be nice to read out the current article and then the version that is now before us. Article 13 of our Constitution states: The secret of letters shall be inviolable, except in the cases provided for by law, by order of the judge. The second paragraph states that telephone and telegraph secrecy shall be inviolable, except in cases determined by law or by the authority of those designated by law. This is therefore a limited list of the types of messages protected by the Constitution, namely the letter, the telephone and the telegraph. Then I don't mean the morning leaf, but one of those things that you can pass on signals, and a division into the way letters are treated versus the other means. The new Article 13 would read as follows: each person has the right to respect his letter and telecommunications secrecy. Paragraph 2: Limitation of this right is possible in the cases provided for by law with the authorisation of the court, or in the interests of national security by or with the permission of those designated by law. You would say: this is a simple change, which de facto means that we replace the term 'telegraph', which is outdated, with the much broader and more general technology independent concept of 'telecommunications'. But the trajectory has indeed taken a lot of time. In 1997, a bill was tabled, which was eventually stranded in the First Chamber, partly because the concept of communication was not sufficiently defined. According to the current proposal, it must be tied to a means. If it's not, it could include a conversation, or someone talking about the hedge with the neighbor. That was when the Franken Commission was set up, which clarified this point. Mrs Van Bijsterveld was right to give credits to that committee. The final government proposal received an operative part 6 of the Council of State, after which it was stranded. Our government started the legislative procedure in 2012, starting with sending the bill to the Lower House and now to the Upper House. I do hope that we will be able to adopt it at first reading during this period. It will then, of course, have to be retabled for second reading after the House has been dissolved. So there is indeed a very long history. During this period we have really taken all the steps in this direction, thanks, by the way, to the preliminary stage, which others have been working on for years. I would like to make a few general comments on how Article 13 relates to the protection of privacy in general and how it is enshrined in the Constitution. The essential articles are Articles 10 and 13. Article 10 protects and protects privacy. That is all that takes place within the privacy of people, their own homes or their own environment. Information may move from one privacy to another. It used to be a typical letter you put in the mail and delivered by the mailman somewhere else in private life. These days, of course, that can be an e-mail or a text. At the time that message is on its way, it is not in privacy, so that it is not covered by the protection of Article 10. It is then covered by Article 13, the letter secret, in which "letter" is meant generically. The reason we now have a proposal that provides sufficient limitation and clarity is that three clear criteria have been set for when something falls within the scope of Article 13 of the Constitution. I have already mentioned it: first of all, there must be a message or a message transmitted by means of a means from one privacy to another. There's got to be a cure. If that is not the case, when it comes to a conversation being bugged on a terrace, there might be a breach of privacy. This would be covered by Article 10 of the Constitution, but there would be no breach of letter secrecy or telecommunications secrecy. Secondly, the message must be entrusted to a third party. Because the Constitution aims to protect the citizen from the government, which could say to that third party: you are transferring information from person A to person B; can we have a look with you? In the old-fashioned image that would be the PTT or the postman, but that can of course also be Facebook or any other organization. So there has to be a third. This means that if I write a note for Mr Engels, which I will fold up and give him, it will not fall within the scope of the letter secret, because there is no third party in charge of it at the time. Thirdly, it must be addressed. A poster behind a window or a communication from a balcony are therefore not addressed: it is open messages, which are not covered by the letter secret. It really needs to go to someone or maybe more people. So it could be within that definition that someone gave his refrigerator the instruction to report to the liquor store when the genever is almost gone. If that is indeed done by e-mail, it is a means. The information is entrusted to the telecom provider where you have closed your email subscription and it is addressed to the liquor store. There is therefore no reason why that message should not be protected. At least it meets the criteria. I am always reluctant to elaborate too far on examples. In this example, it seems crucial to me that this is a message. The intention of the person sending the message must be to have that message sent. So when two devices communicate with each other, that doesn't automatically produce a message. But when I tell the refrigerator to call the liquor store when the gin is almost gone, it falls within the terms of Article 13 Constitution, as proposed in amended form.
ParlaMint-NL_2017-07-04-eerstekamer-5.u11	The last example is permanent: the moment I send a message that, if there is no juniper bottle left in the fridge, there must be a message to the liquor store, that metadata, which I personally filled in in advance. In your example, such a message is covered by the letter secret. But that means that those metadata, which I personalized in advance, should also be covered by the letter secret.
