ParlaMint-NL_2017-10-25-tweedekamer-4.u1	I propose not to hold a plenary session tomorrow, Thursday 26 October 2017.
ParlaMint-NL_2017-10-25-tweedekamer-4.u2	I now give the floor to Mrs Ouwehand on behalf of the Animal Party.
ParlaMint-NL_2017-10-25-tweedekamer-4.u3	Mr. Chairman. Good news: the European Commission wanted to give permission to producers of satsumas to keep that product on the market in Europe for another ten years. The committee on this matter has just failed to reach a qualified majority for this proposal. Fantastic! The European Parliament has already said: no more than five years and phase out. It has done so with the support of D66 and the Christian Union. That offers hope! I would like to have a debate with the new Minister of Agriculture on these developments so that we can include the Netherlands in the list of countries that do not agree to an unbridled use of satsumas.
ParlaMint-NL_2017-10-25-tweedekamer-4.u4	Support.
ParlaMint-NL_2017-10-25-tweedekamer-4.u5	It is extremely attractive to ask for a debate on this now. I'm not gonna support this.
ParlaMint-NL_2017-10-25-tweedekamer-4.u6	Thank you.
ParlaMint-NL_2017-10-25-tweedekamer-4.u7	I think it's important...
ParlaMint-NL_2017-10-25-tweedekamer-4.u8	No, it's okay.
ParlaMint-NL_2017-10-25-tweedekamer-4.u9	Mr President, I think this is equally important on this extremely important point. We can request a debate on any event. Mrs Ouwehand does that a lot.
ParlaMint-NL_2017-10-25-tweedekamer-4.u10	No, no.
ParlaMint-NL_2017-10-25-tweedekamer-4.u11	I don't support it. In my view, we should just move on and see how we proceed with this debate.
ParlaMint-NL_2017-10-25-tweedekamer-4.u12	The voting relationship in Europe appears to be different from the one the Minister has previously suggested to us. As a result, he does not have a clear mandate in Brussels, and that is why I think we should debate this. So support.
ParlaMint-NL_2017-10-25-tweedekamer-4.u13	No support. We have had enough debates on this. Just let it go the way it is now in Brussels and let us wait and see.
ParlaMint-NL_2017-10-25-tweedekamer-4.u14	Mr Moorlag, you have just been installed!
ParlaMint-NL_2017-10-25-tweedekamer-4.u15	Yes, Mr. Chairman, I've been installed. I will be as brief as possible: we support this.
ParlaMint-NL_2017-10-25-tweedekamer-4.u16	Thank you.
ParlaMint-NL_2017-10-25-tweedekamer-4.u17	Support.
ParlaMint-NL_2017-10-25-tweedekamer-4.u18	No support for this debate.
ParlaMint-NL_2017-10-25-tweedekamer-4.u19	Nor does it support this debate.
ParlaMint-NL_2017-10-25-tweedekamer-4.u20	This has been the subject of many debates. The positions are clear. So no support.
ParlaMint-NL_2017-10-25-tweedekamer-4.u21	No support.
ParlaMint-NL_2017-10-25-tweedekamer-4.u22	Thank you. Mrs Ouwehand, you have no majority in favour of holding a debate.
ParlaMint-NL_2017-10-25-tweedekamer-4.u23	I didn't count right for a second, but do I have 30 members?
ParlaMint-NL_2017-10-25-tweedekamer-4.u24	Yes.
ParlaMint-NL_2017-10-25-tweedekamer-4.u25	Good. Then I'd like to leave the 30-member debate.
ParlaMint-NL_2017-10-25-tweedekamer-4.u26	Then I will add this debate to the list of 30 Members' debates.
ParlaMint-NL_2017-10-25-tweedekamer-4.u27	Thank you very much.
ParlaMint-NL_2017-10-25-tweedekamer-4.u28	Next request.
ParlaMint-NL_2017-10-25-tweedekamer-4.u29	Mr. Chairman. Next request. On 6 and 7 November there will be an Agriculture and Fisheries Council. We'll have a written discussion on that. The Chamber may still want to correct the cabinet's statements. I would therefore ask for a VSO, subject to reservation, next week, including votes.
ParlaMint-NL_2017-10-25-tweedekamer-4.u30	Then we will take that into account in the planning. Thank you.
ParlaMint-NL_2017-10-25-tweedekamer-4.u31	Thank you very much.
ParlaMint-NL_2017-10-25-tweedekamer-4.u32	Mrs Arissen on behalf of the Animal Party.
ParlaMint-NL_2017-10-25-tweedekamer-4.u33	Thank you, Mr President. Privacy is a great asset that we have to protect. As of January 2018, companies may participate in the customer data of banks if they are authorised to do so. That is why the Animal Party wants to request a debate with the Minister of Security and Justice and the Minister of Finance about the fact that banks are very late in communicating on the new general terms and conditions on this issue.
ParlaMint-NL_2017-10-25-tweedekamer-4.u34	The Cabinet just filed that bill this week. I suggest that we treat this law in plenary. Then we too have a lot of questions about privacy. It is an extremely important subject, but a debate alongside that debate seems to me to be a little superfluous. The treatment of the law in the Chamber has the support of the PvdA.
ParlaMint-NL_2017-10-25-tweedekamer-4.u35	Okay. You don't support it.
ParlaMint-NL_2017-10-25-tweedekamer-4.u36	The SP can share the Party's concerns for the Animals very well. Just the timing is just a bit unhappy. This afternoon, at a procedural meeting, we are going to ask for a hearing on this very subject. It seems logical to us to do so first and just to discuss this in the legal process.
ParlaMint-NL_2017-10-25-tweedekamer-4.u37	So no support.
ParlaMint-NL_2017-10-25-tweedekamer-4.u38	No support either. It is an important subject, but let us indeed discuss it with the law.
ParlaMint-NL_2017-10-25-tweedekamer-4.u39	No support.
ParlaMint-NL_2017-10-25-tweedekamer-4.u40	I agree with the SP: first a hearing and then this should simply be involved in the legal process.
ParlaMint-NL_2017-10-25-tweedekamer-4.u41	No support. Waiting for the bill to be dealt with.
ParlaMint-NL_2017-10-25-tweedekamer-4.u42	Thank you. You have no support, Mrs Arissen.
ParlaMint-NL_2017-10-25-tweedekamer-4.u43	I see it, but I think that the SP's proposal to organise a hearing and perhaps a technical briefing on this subject is a good one.
ParlaMint-NL_2017-10-25-tweedekamer-4.u44	Thank you, but that goes through the committee. Mr Wassenberg on behalf of the Animal Party. I have to get used to your beard, Mr. Wassenberg.
ParlaMint-NL_2017-10-25-tweedekamer-4.u45	Haha. Mr President, by the time you get used to it, he may have disappeared again.
ParlaMint-NL_2017-10-25-tweedekamer-4.u46	Please continue.
ParlaMint-NL_2017-10-25-tweedekamer-4.u47	Mr President, it happens so often that we almost get used to it. We'll get used to this. I am referring to reports that birds of prey have been poisoned or shot in the Netherlands. Zeeland, Friesland and North Brabant are mentioned as provinces where that happens most. Unfortunately, they belong to the top of Europe. In the Netherlands, figures who kill birds of prey and destroy nests have free play, because years of austerity mean that there is hardly any control in nature areas. In practice, therefore, there is a lack of enforcement and, as a result, it is rare for a person to be convicted.
ParlaMint-NL_2017-10-25-tweedekamer-4.u48	And that's why you want a debate?
ParlaMint-NL_2017-10-25-tweedekamer-4.u49	Yes, we have a structural problem, and that is why I want to have a debate with the Minister for Economic Affairs. Enforcement in the off-site area is his responsibility. But before we have a debate, I would also like to have a letter from the Minister, in which he deals with this bird-predatory poisoning.
ParlaMint-NL_2017-10-25-tweedekamer-4.u50	Definitely wholehearted support. For 11 years we have been asking for more control in the outer area by the animal police. We want the animal police to do that. One thing I must have said: a hearing showed that a boa, a ranger, can't handle that at all. In Brabant, they even have to deploy arrest teams.
ParlaMint-NL_2017-10-25-tweedekamer-4.u51	Thank you.
ParlaMint-NL_2017-10-25-tweedekamer-4.u52	So I would like the Minister of Security and Justice to be involved, because it is about the police. You can't leave that to forest rangers.
ParlaMint-NL_2017-10-25-tweedekamer-4.u53	In itself, this is an interesting subject. It deserves a quick treatment, and that's why I propose to do this in an AO about nature. If we do it in plenary, we'll be next year's turn.
ParlaMint-NL_2017-10-25-tweedekamer-4.u54	I have another idea. No support for this debate. When it comes to strengthening enforcement, it is simply part of the budget. I therefore propose to the Animal Party that this be included in the nature budget.
ParlaMint-NL_2017-10-25-tweedekamer-4.u55	This is an important subject. We would like a letter on this subject. At the moment, no support for a debate.
ParlaMint-NL_2017-10-25-tweedekamer-4.u56	We have already asked written questions on this issue and we certainly support a letter. We prefer to do this in an AO.
ParlaMint-NL_2017-10-25-tweedekamer-4.u57	A letter's fine. We can then involve this in a general discussion.
ParlaMint-NL_2017-10-25-tweedekamer-4.u58	We agree with a letter and involve it in a general consultation.
ParlaMint-NL_2017-10-25-tweedekamer-4.u59	All right, Mr. President, then we're gonna get this involved in a general discussion. But as far as I know, that's not planned yet. I therefore hope that this will not be postponed.
