ParlaMint-NL_2017-11-30-tweedekamer-8.u1	We will continue to deal with the budget of Justice and Security.
ParlaMint-NL_2017-11-30-tweedekamer-8.u2	We still have the answers of the Secretary of State for Justice and Security. That's why he has the floor now.
ParlaMint-NL_2017-11-30-tweedekamer-8.u3	Mr. Chairman. I would also like to thank the members of the Chamber for their contributions and their questions. Before I come to the answer, in which I will tell you in what blocks I am going to do that, I would also like to say something about my portfolio and my priorities in a more general sense. Also taking into account the fact that Mr Pechtold asked us in the debate on the declaration of government to do a little more about this. I'll start with the migration and asylum section of my wallet. As far as migration is concerned, I see three main lines. The first is in the domestic domain, namely ensuring a manageable asylum process with a flexible reception model and a smooth handling of applications, so that people can be clear quickly, perhaps even faster than in the past. At the same time, those who are able to stay must get to work more quickly with integration activities. But to those who are not eligible for asylum, we should also try to make it clear more quickly that he or she must leave the Netherlands and return. The latter is also important to maintain support for the reception of people who call on our protection under the Refugee Convention or the ECHR. I attach great importance to that support. The second main line is to achieve harmonisation within the European Union of asylum procedures and reception. One country must not be more flexible or attractive than the other. With more equal procedures and reception facilities in all EU countries, we can effectively combat the phenomenon of asylum shopping, by the way, without having to hit in a race to the bottom. I shall come back to that later in my speech. The third main line is also international, but outside the European Union. Together with the European Union Member States, we want to make good agreements with different countries from which migrants come. Then what are we talking about? For example, on reception in the region and return of displaced asylum seekers. I am not just talking about people who are not entitled to asylum, because there are more people who should return. I am also thinking of removing the root causes of migration, something we have, of course, been doing for decades with development cooperation, even without agreements being concluded. Of course, I realise that negotiations within Europe then also mean that we, as the Netherlands, will not be 100% right in all respects. This makes it all the more important that we see the various proposals as a single package and that we consider how best to achieve the Dutch interest and intentions of the cabinet within it. Because these three main lines are closely linked. If these agreements are implemented internationally, for example, this will lead to a lower, manageable inflow, including the agreement that we will therefore look more specifically at resettlement. All three lines have a high priority for me, but only the first, the domestic shelter, we have a large part in our own hands. Therefore, in cooperation with all chain partners, I will quickly start working on the plans for a flexible asylum system. I'll come back to that later. I realise that migration policy is contained in a lot of detailed rules, but in its assessment it often amounts to human work. However short I am in this position, what I have seen and heard so far strengthens me in my belief that the staff of all the services involved in migration policy implement these rules as carefully as possible. I'd like to have said that here. Mr. Chairman. I would therefore like to answer the questions and respond to the Chamber's contribution. I'd like to do that in the next blocks. I'll start with anything that has to do with international affairs. I am talking about cooperation with other cabinet members, migration agreements, Libya and the proposal for orphanages. Then I come to the European Union, where questions have been asked about the Turkey declaration, about the situation in Greece and about the 1,750 resettlement people. Then there is the national block, which deals with issues such as flexible reception, including the plan submitted by the SP, European regulation headlines, return policy to Afghanistan and Syria, the assessment under Article 1F of Syrians, the assessments of lhbtis and converts, the children's pardon and economic migration. Mr President, after that, I have skipped that in my introduction, but I will come back to my intentions later on, and I will touch on that other subject in my portfolio: trafficking in human beings and prostitution. I'll handle that as the last block. Mr. Chairman. I'll start with the international part. First of all, I was asked, among others, by Mr Azmani, but also by Mr Van Dijk, and I think that Mr Bishop also referred to this, how I see not only my role but also cooperation within the cabinet, with other ministers involved. First of all, let me say that we cannot shape migration policy if we do not work together in the broad sense of the cabinet. We are literally seeing this today, where a number of colleagues from the cabinet are present at the summit between the European Union and the African Union. It means close cooperation with colleagues in Foreign Affairs and with foreign trade and development cooperation. But even if people are promising and eventually integrating into the Netherlands, we must ensure that integration takes place faster. Then I come to the cooperation with colleagues in the departments of SZW and OCW, for example. Then you can look at how we are going to make these agreements. Then it will be very clear that matters such as reception in the region, development cooperation and tackling root causes of migration are mainly the responsibility of colleagues at BuHa-OS and Foreign Affairs, the ministers Kaag and Zijlstra. I intend to work intensively with them. Together, we will also look at, for example, the definition of focus countries outside the European Union in the coming period. In doing so, we would like to focus more on the root cause of migration, where we would also like to look more specifically at how we can involve development cooperation issues. A specific aspect of the international part of the portfolio is the intention of the Cabinet to focus on more partnerships and agreements with countries outside the European Union in relation to migration. We currently have one agreement that works, namely the agreement between the European Union and Turkey. I will come back to that later in the European Union block. Of course, there has been a long-standing commitment to broad partnerships with third countries. For example, efforts are being made to improve reception in the region, to remove the root causes of migration and to tackle smuggling and return. We also want to explore the possibility of securing safe reception and protection in the region during this period, if only because it can prevent a risky journey through the desert and overseas and also undermines the business model of ruthless smugglers. Let me be clear, it is important, as stated in the government agreement, that if we come to those agreements, those countries want to cooperate and migrants are safe, that refugees there are not victims of refoulement and therefore we do not send them back to countries of origin where they fear persecution. We must also ensure, if such agreements are to be reached, that refugees can apply to a competent authority. They could be authorities of the country, but also the UNHCR. By the way, we see worldwide that most of the refugees are seeking refuge in the nearby region. It is therefore important to improve the situation in those countries in the region. We do, by the way. With the help and pressure of the European Union, for example, we have opened up the labour market for Syrian refugees in Turkey. More than 1 million refugees in Turkey are also given a monthly credit to provide for their own existence. We also see that more and more stranded migrants return voluntarily from countries such as Niger and Libya. It is important to continue to support this commitment. We will continue to promote this as a cabinet. We will be committed to this and we will help to ensure that, preferably under the flag of the European Union, this is the stage for further agreements with safe third countries outside the European Union. I was also asked yesterday to give an opinion on the situation in Libya. I should like to make it quite clear to the Minister for Foreign Affairs that he has already done so when dealing with his budget, that Libya, in view of the appalling situation there, is not currently qualifying for an appointment such as the European Union has made with Turkey, for example. I, like the Chamber, have taken note of terrible images of what I can call the slave trade in Libya. Those images are hard on us, including in other countries, including countries of origin. As a result, a number of these countries have expressed their willingness to step up their efforts to retrieve their own nationals. At the same time, the Netherlands, together with the European Commission and other partners in the international community, is trying to ask the Libyan authorities for clarification and demand that action be taken against this. For example, together with the European Union, we have been supporting UNHCR for a long time to improve conditions, registration, access to medical care and food supplies in the centres in Libya. The question also arises from the Chamber: should we still seek cooperation from the European Union with the Libyan Coast Guard, should we continue to support and train them? I can imagine the inconvenience if, on the one hand, you see the situation in Libya and, on the other hand, we do support the Coast Guard. At the same time, I note that the Coast Guard, which we are trying to improve, is part of the Libyan state under construction. The Coast Guard is present at sea. The most important thing we want is that if people are at risk of drowning at sea, at least there is a ship that can save them. There is also the Libyan Coast Guard, which also has other tasks: combating arms smuggling and trafficking in human beings. I think it is a good thing that we continue to try to improve the Libyan Coast Guard.
ParlaMint-NL_2017-11-30-tweedekamer-8.u4	Were you done with this part?
ParlaMint-NL_2017-11-30-tweedekamer-8.u5	Yes, Mr. Chairman.
ParlaMint-NL_2017-11-30-tweedekamer-8.u6	Yeah? Mr Jasper van Dijk.
ParlaMint-NL_2017-11-30-tweedekamer-8.u7	I share that view of the Secretary of State. The situation in Libya is appalling. We've seen the footage of slave trafficking. Nobody wants that. That seems clear to me. I am also pleased to note here that if the government is going to make deals with countries in Africa, they will have to comply with international standards, human rights and the Refugee Convention. Does the Secretary of State exclude that the European Union is currently sending refugees back to Libya?
ParlaMint-NL_2017-11-30-tweedekamer-8.u8	As I know, the European Union is not currently sending people back to Libya, quite the contrary. Do I rule it out for the future? For me, this is inherently linked to the situation in the country, as I have just indicated. This will be the case in many other countries. For the cabinet, it is essential that we have some guarantees when we act from the Netherlands and/or the European Union. Above all, we want to ensure that these guarantees are respected.
ParlaMint-NL_2017-11-30-tweedekamer-8.u9	The phrase "to my knowledge" is of course interesting.
ParlaMint-NL_2017-11-30-tweedekamer-8.u10	No offense!
ParlaMint-NL_2017-11-30-tweedekamer-8.u11	The Secretary of State therefore implies that he is not sure. The point is, of course, in the Coast Guard. The Secretary of State rightly states: we want to train the Coast Guard as best we can with all kinds of beautiful standards and standards. The point is that this Coast Guard... we see the footage, we hear the messages... does more. We're giving money to that Coast Guard. And that coast guard also operates outside the territorial waters. I therefore believe that refugees are being sent back to Libya with the support of the European Union. Does the Secretary of State recognize that? Is he willing to think very carefully about whether that is right?
