ParlaMint-NL_2017-06-21-tweedekamer-13.u1	I welcome the Secretary of State of VWS.
ParlaMint-NL_2017-06-21-tweedekamer-13.u2	Mr. Chairman. It's about 20°C cooler here than in my study! I'll start reading the motions right away. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that case management dementia is covered by the full rate of community care;]] [[Whereas this creates obstacles in the individual implementation of dementia care for patients;]] [[calls on the Government to introduce a separate flat-rate payment title for case management dementia,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that there should be an additional incentive for health insurers to buy dementia care;]] [[calls on the Government to improve the risk settlement system in such a way that more people with dementia receive appropriate care,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Agema and Mr Gerbrands. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25424-359]] [[This motion was tabled by Mr Agema and Mr Gerbrands. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25424-360]]
ParlaMint-NL_2017-06-21-tweedekamer-13.u3	Mr. Chairman. I would also like to make a motion on behalf of Mrs Ellemeet, Mrs Thieme, Mr Kuzu and Mrs Gerbrands, which may be unusual at the moment and in this VAO. It is a motion to reduce one's own risk. We have chosen to do it at the moment, because there could be some sort of political momentum to settle this. In any case, we don't want to let a single moment pass to settle this. At present, 98 out of 150 seats in this Parliament agree that their own risk should be reduced by at least €100. We believe that this could be a good and important time to take action to settle this. That is why we are tabling the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government to reduce its own risk by €100 for 2018 and to make proposals for financing this reduction in the 2018 Millions Note,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Marijnissen, Mr Ellemeet, Mr Thieme, Mr Kuzu and Mr Gerbrands.]] [[She's getting No. kst-25424-361]]
ParlaMint-NL_2017-06-21-tweedekamer-13.u4	Mr. Chairman. I'll read my motion right away. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there are signs that municipalities, as part of the Social Support Act (WMO), sometimes offer a general provision to people with dementia where tailor-made work is needed;]] [[considers that there should be adequate daily spending at each stage, under the guidance of professionals;]] [[considers that local authorities do not always have knowledge of what care has been effectively proven in (beginning) dementia;]] [[invites the government, in consultation with the Association of Dutch Municipalities, to disseminate the knowledge about proven effective methods, so that there will be effective support for the mentators and their caregivers, and to inform the Chamber of the results of this in the progress report,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Bergkamp. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25424-362]]
ParlaMint-NL_2017-06-21-tweedekamer-13.u5	Mr. Chairman. For 50PLUS it is important that sufficient care is purchased. In the case of dementia, the continuity of care is especially important for us, so that the same faces remain in the picture. That is why we are tabling the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas continuity of care is of great importance for all caregivers, in particular for people with dementia;]] [[Whereas for people with progressive illness such as dementia, waiting lists are unacceptable;]] [[calls on the government, health insurance companies, once again to actively draw attention to their duty of care, with continuity of care as an irresistible starting point,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Sazias. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25424-363]]
ParlaMint-NL_2017-06-21-tweedekamer-13.u6	My question concerns the following. 50PLUS proposed a substantial reduction in its own risk in the electoral programme. People with dementia are ideally a group that has to do with this. We have just tabled a motion with a number of other parties. Is this a proposal that could also count on the support of 50PLUS?
ParlaMint-NL_2017-06-21-tweedekamer-13.u7	Also 50PLUS is for the reduction of the own risk, even by more than €100. The fact that we have not co-signed the motion does not mean that we will not support it next week.
ParlaMint-NL_2017-06-21-tweedekamer-13.u8	Mr. Chairman. I have one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that in the Care Standard Dementia case management dementia is defined as the systematic provision of coordinated treatment, care and support by a permanent professional throughout the course of "non-flavored" or diagnosis up to inclusion in a housing form for people with dementia or death;]] [[noting that the overview established first inventory of waiting lists of case management that 30% of home residents with dementia are reached with case management;]] [[Whereas Alzheimer's Dementia Monitor shows that case management is one of the most important forms of support to sustain well at home;]] [[calls on the government, in consultation with Alzheimer's Netherlands, VNG and healthcare institutions, to take measures to ensure that anyone with dementia from "non-flavour" or diagnosis receives an offer of case management dementia,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25424-364]]
ParlaMint-NL_2017-06-21-tweedekamer-13.u9	I would like to add one thing. The motion states "an offer" for support. When people say "I don't want to," that choice is up to those people themselves. I think it is very important that people at least get the offer.
ParlaMint-NL_2017-06-21-tweedekamer-13.u10	The Christian Union has literally in the election programme that it wants to take €100 away from its own risk. We have just tabled a proposal to that effect. Can this also count on the support of the Christian Union?
ParlaMint-NL_2017-06-21-tweedekamer-13.u11	The SP has looked more closely at the election programme of the Christian Union than at its own electoral programme, because this is indeed recorded in our electoral programme. We are going to discuss this motion in our group meeting. Mrs. Marijnissen, we'll be in touch next week.
