Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-02-16-tweedekamer-9	ParlaMint-NL_2017-02-16-tweedekamer-9.u1	Report of the meeting of the Dutch Lower House, Meeting 54, Session 9 (2017-02-16)	2017-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 54	Sitting 2017-02-16	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-02-16-tweedekamer-9	ParlaMint-NL_2017-02-16-tweedekamer-9.u2	Report of the meeting of the Dutch Lower House, Meeting 54, Session 9 (2017-02-16)	2017-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 54	Sitting 2017-02-16	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterHeerma	Heerma, Pieter	M	1977	
ParlaMint-NL-en_2017-02-16-tweedekamer-9	ParlaMint-NL_2017-02-16-tweedekamer-9.u3	Report of the meeting of the Dutch Lower House, Meeting 54, Session 9 (2017-02-16)	2017-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 54	Sitting 2017-02-16	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterHeerma	Heerma, Pieter	M	1977	
ParlaMint-NL-en_2017-02-16-tweedekamer-9	ParlaMint-NL_2017-02-16-tweedekamer-9.u4	Report of the meeting of the Dutch Lower House, Meeting 54, Session 9 (2017-02-16)	2017-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 54	Sitting 2017-02-16	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2017-02-16-tweedekamer-9	ParlaMint-NL_2017-02-16-tweedekamer-9.u5	Report of the meeting of the Dutch Lower House, Meeting 54, Session 9 (2017-02-16)	2017-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 54	Sitting 2017-02-16	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	SelçukÖztürk	Öztürk, Selçuk	M	1972	
ParlaMint-NL-en_2017-02-16-tweedekamer-9	ParlaMint-NL_2017-02-16-tweedekamer-9.u6	Report of the meeting of the Dutch Lower House, Meeting 54, Session 9 (2017-02-16)	2017-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 54	Sitting 2017-02-16	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	SelçukÖztürk	Öztürk, Selçuk	M	1972	
ParlaMint-NL-en_2017-02-16-tweedekamer-9	ParlaMint-NL_2017-02-16-tweedekamer-9.u7	Report of the meeting of the Dutch Lower House, Meeting 54, Session 9 (2017-02-16)	2017-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 54	Sitting 2017-02-16	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2017-02-16-tweedekamer-9	ParlaMint-NL_2017-02-16-tweedekamer-9.u8	Report of the meeting of the Dutch Lower House, Meeting 54, Session 9 (2017-02-16)	2017-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 54	Sitting 2017-02-16	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2017-02-16-tweedekamer-9	ParlaMint-NL_2017-02-16-tweedekamer-9.u9	Report of the meeting of the Dutch Lower House, Meeting 54, Session 9 (2017-02-16)	2017-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 54	Sitting 2017-02-16	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-02-16-tweedekamer-9	ParlaMint-NL_2017-02-16-tweedekamer-9.u10	Report of the meeting of the Dutch Lower House, Meeting 54, Session 9 (2017-02-16)	2017-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 54	Sitting 2017-02-16	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LodewijkAsscher	Asscher, Lodewijk	M	1974	
ParlaMint-NL-en_2017-02-16-tweedekamer-9	ParlaMint-NL_2017-02-16-tweedekamer-9.u11	Report of the meeting of the Dutch Lower House, Meeting 54, Session 9 (2017-02-16)	2017-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 54	Sitting 2017-02-16	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterHeerma	Heerma, Pieter	M	1977	
