Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	KeesvanderStaaij	van der Staaij, Kees	M	1968	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	MP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	KeesvanderStaaij	van der Staaij, Kees	M	1968	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	MP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	MP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	MP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HantenBroeke	ten Broeke, Han	M	1969	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	MP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Coalition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
