ParlaMint-NL_2017-05-18-tweedekamer-8.u1	Let's pick up where we left off. We're gonna listen to the Secretary of State.
ParlaMint-NL_2017-05-18-tweedekamer-8.u2	Mr. Chairman. I had a small number of other questions to answer. First of all, Mr Dijkgraaf asked whether a derogation could be simply withdrawn. That is possible, but I would add that the current derogation runs until the end of the year. So it's much more important if we get a new one, because it runs for four years. A second question from Mr Dijkgraaf was about the export of phosphate. He knows that I agree with him that exported manure does not end up on Dutch agricultural land and that there is therefore a reason to argue in Brussels that what is exported can also be sold with the current national production ceiling. But I think I have said before that the Netherlands is not in a very serious position to enforce a change in the rules of the game. The priority is, of course, to ensure that we meet the conditions currently in force and to focus on a new derogation. Mr Graus had a similar question, but he is not here now. He said there's a shortage and phosphate from mines is scarce. He got a good look at all that. Our policy, and indeed that of the European Union, is aimed at the reuse of substances, including phosphate. Mr Geurts asked about the implementation at RVO. He asked if there was sufficient coordination between EZ and RVO. Of course it is, because RVO is covered by EZ. There is therefore coordination at all levels, not only with EZ, but also with the relevant sector organisations. RVO sits around the table weekly with the foremen of those parties. RVO is well in order, but it is complex regulation that has been introduced in a very short time and must also be implemented in a very short time. That also requires great care when there are questions. There are therefore sometimes irrevocable lead times. But RVO has guaranteed me that I have sufficient formation to carry out the tasks that one stands for. In the meantime, almost all livestock farmers have also been given clarity about their reference and their targets. Mrs Lodders also asked about the registration at RVO. It referred to the possible suspension of charges. On 27 May the amounts of money, the levies, will be imposed for the first time. This applies to 16,500 companies. The milk payment will take place at the beginning of June. More than 1,400 companies are informed that the levy will be imposed at a later date, because their views on phosphate or their recourse to the bottleneck regime had not yet been settled by the end of April. Mr Geurts asked about the system of phosphate rights. He wants to know how we deal with meat cattle, especially rare cattle breeds. As is well known, entrepreneurs are granted phosphate rights for dairy cows that were kept on the farm on 2 July 2015. The same applies to dairy cows from rare cattle breeds. Meat farms where no dairy cows intended for dairy farming are kept do not therefore need phosphate rights. I have already said in the context of the rare cattle breeds that the phosphate rights system works in such a way that it takes phosphate excretion into account. Rare cattle breeds generally have lower productivity and thus lower excretion.
ParlaMint-NL_2017-05-18-tweedekamer-8.u3	I have a question in response to the Secretary of State's comment on the rare races. Indeed, the law deals with this differently from the phosphate reduction plan. This problem will therefore occur in part. Is it right that this distinction is not made in the legal rules on skimming? There is therefore a serious skimming of the rights for these animals that are being transferred.
ParlaMint-NL_2017-05-18-tweedekamer-8.u4	Mr Grashoff talks about the generic discount. This takes place only at the non-ground farms where these rare pet breeds are kept. I'm sure there are. They are faced with a reduction in their total amount of phosphate rights. They then have two possibilities to bring their production into line with their rights. They can choose to reduce their livestock, but they can also choose to buy or lease rights to bring their rights into line with their total dairy herd.
ParlaMint-NL_2017-05-18-tweedekamer-8.u5	Obviously.
ParlaMint-NL_2017-05-18-tweedekamer-8.u6	There were two further questions on a number of problems, in particular on the relationship between this year's provision and next year's provision. However, I would stress that the bottleneck provision in the phosphate reduction scheme for 2017 has been taken one-on-one out of the legislative proposal. That's what I've said here before. If you read the judge's ruling correctly, you'll see that he noticed that, too. In 2017 and 2018, that provision was right, even though Mr Dijkgraaf had a different picture of it. Mrs Dik-Faber asked a question on the same subject. In fact, she reiterated the question raised in an earlier debate on the possible extension of the provision of emergency aid as a result of the opinion of the Kalden Committee, which I tabled in response to the amendment to which Mr Geurts was the first author of the Phosphate Rights Act. Can I translate what comes out there in the summer into a bottleneck provision in this year's scheme? Mr Geurts had tabled a motion on this subject. He then adapted it something, so he doesn't ask exactly that. I said then that I could not carry out the original motion and that I could not carry out the modified motion exactly. The mandate to the phosphate rights committee concerns the problem of supply under the phosphate rights system. This should ultimately be laid down in a General Measure of Management in accordance with the Geurts amendment. Only after the system has entered into force will the General Measure of Management also enter into force. As a result, dairy farmers will only be able to rely on the bottled supply afterwards. The assessment of the dairy farmers' reports and the possible allocation will take place as soon as possible, but only in 2018. That assessment is therefore not foreseen for this year. It is relevant that you should also be able to assess the impact of the regime in question. The impact of the phosphate rights system is different from that of the phosphate reduction scheme. For example, the problem provision that we took over was about illness, a family death or construction work on the farm, which meant that the livestock on 2 July 2015 was much smaller than normal. That is relatively easy to assess. If you find yourself in another category which the Kalden Committee is dealing with, it is not said that the provision under the phosphate rights system would work out the same as it is now under the regime. Apart from the entire time schedule, it is also technically not possible to take over exactly the same situations one-on-one.
ParlaMint-NL_2017-05-18-tweedekamer-8.u7	I thank the Secretary of State for the answer that the provisions for 2017 and 2018 are identical. I also assumed that, but I do run into a specific case, and there are more than one of them in the case of disease. If you were ill in 2015, you will fall back on the situation before the onset of the disease in 2017. But as of 2018 you will fall back on the situation without disease in 2015 in case of illness. It is technical, but that means that if you don't have an identifiable start date, you won't get any extra space in 2017 and in 2018. I understand that the Secretary of State says that this should not be possible: if you are a disease-based problem in 2018, you will be in 2017. The question is, how do we solve this?
ParlaMint-NL_2017-05-18-tweedekamer-8.u8	I told you, as far as I'm concerned, the emergency facility has been taken over one-on-one. I'm not familiar with any deviation in that. The scheme for this year and the law that will apply from next year, says that you will be covered by the bottled supply if you kept at least 5% less dairy on the date you were on the basis of disease in the livestock or the entrepreneur himself and that both will look back at the situation for the size of the dairy herd before the disease occurred. I think that's how it's arranged. If Mr Dijkgraaf has very specific information and can show that it is different in one place than in another, perhaps we should take a look at it outside this debate. However, as I know, it contains the same thing.
ParlaMint-NL_2017-05-18-tweedekamer-8.u9	I think it would be a good idea to exchange it one-on-one. We have a case that has been specifically rejected with the reasoning I have just mentioned. That would be weird. I think we need to settle that bilaterally.
ParlaMint-NL_2017-05-18-tweedekamer-8.u10	We'll see about that. I shall end by saying that this is almost traditional in this type of debate, with Mr Graus' question on the Graus motion for a resolution on the better income model for farmers. We also discussed this in the debate on 5 April. At that time I also told him that we must move towards a livestock farm which has a social support base and which will help farmers to earn more, which will bring added value. This requires changes in the sector. Of course, it's up to another cabinet to look at that. This cabinet has taken the necessary steps. We explained this in detail at that time. The whole policy as it has been is in line with the motion tabled by Mr Graus.
ParlaMint-NL_2017-05-18-tweedekamer-8.u11	Thanks for the answer. I also asked to explain it in jip-en-janneketal, so also for Jan with the hat. No one understands, even those who are not following this debate, that there is a phosphate shortage worldwide. It is a kind of gold of the future, a primary need for life, and that we are going to reduce it. People don't understand that. They really can't understand that. There are a few Brussels bureaucrats who come up with all that. No one can understand the fact that we have been a leading country, a leading country, a global trading country for centuries. Could the Secretary of State possibly explain that?
ParlaMint-NL_2017-05-18-tweedekamer-8.u12	I know the views of Mr Graus' party on European cooperation, but in this case he really does not do it justice. We have jointly agreed in Europe that we are committed to reducing nitrate emissions to groundwater and phosphate to surface water everywhere. That's incredibly important. In fact, drinking water is made from groundwater and if there is too much nitrate in the soil, it is much more difficult for drinking water companies to produce healthy drinking water for us. That is a very important reason for reducing this pollution. Phosphate in surface water causes our nature to get confused, because then too much phosphate gets into nature. So there are two very important reasons why we have agreed with each other in Europe that we are going to ensure that pollution is reduced everywhere. We are far from there, even in the Netherlands. We are not yet at the level we have agreed on, with which we have actually restored the balance. This means that we have to take action to do so. One of these measures is to reduce the use of manure on land. I have already said that the European Commission has said to the Netherlands precisely in this case that we may depart from that agreement. That is a great advantage that the European Commission is giving us. This has everything to do with the specific Dutch situation, in which grass grows harder. So it is precisely the opposite of what Mr Graus says. It is not the case that the European Commission keeps us to all kinds of tough, tedious agreements. It's the other way around. The European Commission gives us more room than there is in the European agreements, with a ground. That's what agreements have been made for. It's subject to conditions. The Netherlands itself agreed to this, more than ten years ago. So it's not new. Everyone has signed this and said: yes, we also think that it should be the maximum amount of phosphate we produce in the Netherlands. We are the ones who do not keep to the agreements, not the European Commission.
