ParlaMint-BG_2014-10-31.u1	There is a quorum. I'm opening the plenary session. [[PHONE RINGING]] Procedure, Mr. Tzipov.
ParlaMint-BG_2014-10-31.u2	Thank you, Madam President. Madam President, ladies and gentlemen of the House! Yesterday was held a meeting of the Temporary Commission for Draft Rules on the Organization and Activities of the Forty-third National Assembly and the following decision was taken: The Rules for the Organization and Activity of the Forty-second National Assembly became the Draft Rules for the Organization and Activities of the Forty-third National Assembly. By 5 November 2014, Wednesday, 18:00 the parliamentary groups and the MPs shall submit proposals for amendment and addition to the draft referred to in point 1 of the National Assembly's case-law to the President of the Temporary Commission. Citizens and organisations may make proposals to amend and supplement the project to the Temporary Commission within the time limit set out in point 2. The draft submitted proposals shall be published on the website of the Temporary Committee on the website of the National Assembly within one day after the expiry of the period referred to in point 2. Member of the Commission. - Madam President, I am doing a procedure to put to the vote the deadline for proposals for amendment and supplement to the Draft Rules for the Organization and Activity of the Forty-third National Assembly. My fellow Members, I would like to do another procedure. Item 1 of today's agenda to be transmitted on the Bulgarian National Television and Bulgarian National Radio. Thank you.
ParlaMint-BG_2014-10-31.u3	Thank you, Mr. Tzipov. You are essentially making two procedural proposals. The first, relating to the period within which the Members of the National Assembly may make proposals in the procedure for drafting the new Rules of Organization and Activity of the Forty-third National Assembly. I put to the vote your proposal for this deadline to be by 5 November 2014, 18:00 p.m. Please, voting mode. Vote 197 MPs: 189, against 8, no abstentions. The motion is accepted. I now put to the vote the second procedural proposal for a direct broadcast of the debate on point one of our work today, and it is a discussion of: REPORT OF THE TEMPORARY COMMISSION ON BUDGET AND FINLAND ON THE REPORT OF THE BULGARIAN PEOPLE'S BANK ON EVENTS AND PRESENT ACTIONS RELATED TO THE CORPORATE COMMERCIAL TRADE Vote 186 MPs: 184 against 1, abstention 1. The motion is accepted. Mr. Boychev, you're signaling procedure.
ParlaMint-BG_2014-10-31.u4	Madam President, honourable Members! I am making a procedure for the Minister of Finance to be called in on our upcoming agenda. Four hours The Temporary Committee on Budget and Finance is dealing with the report of the BNB not that clear answers were given to the questions that were raised, but there was certainly no representative of the Ministry of Finance. We are constantly witnessing some or other information that negotiations are being held with the state, that there are some suspicious investors who have submitted or have not submitted certain proposals. It seems to me that the People's Representation, the National Assembly, is the institution which should have information on this issue in connection with the debate today, and separately should the Minister of Finance provide information on the different hypotheses and options for the development of the situation in KTB and the impact it would have on the Bulgarian economy. Thank you.
ParlaMint-BG_2014-10-31.u5	Thank you, Mr. Boychev. A counteroffer? I won't. I put to the vote Mr. Boychev's proposal. Vote 176 MPs: 166, against 3, abstention 7. The motion is accepted. Mr. Siderov's procedure.
ParlaMint-BG_2014-10-31.u6	Madam President, I propose a re-voting of the first vote with which you put this item on today's agenda, because I am definitely not convinced that this is the most important point of the Bulgarian society. I watched carefully, I don't know how many of the colleagues here have watched, but I followed the entire meeting of the Budget Committee and I was convinced that it was an extremely ridiculous waste of time Now you want all this, all this ambiguity and confusion to bring it into the Chamber and perhaps to lose here five hours today and thus to start the forty-third National Assembly with an extremely ridiculous waste of time, because I think we have heard other requests at the opening of this House for a highly responsible job in the name of the people, and we are actually starting to deal with saving a bank that is not interested, I assure you, more than 200 people in the country. [[Noise and lines on the right.]] Yeah, come on, 205. I'm sorry, Mr. Rashidov, I missed you. [[Reply from the National Representative Vejdi Rashidov. Noise and lines by GERB.]] That's why I suggest it's reworded. We have very valuable suggestions that stand in your drawer, submitted by "Attack". 43 in number. Whatever you grab by the ears will be welcome, but I suggest you start with the moratorium on the price of electricity to convince the people that the current will not rise in the coming winter months. Thank you. [[Applause by "Attacka."]]
ParlaMint-BG_2014-10-31.u7	Thank you, Mr. Siderov. In essence, you are making a proposal to remove the item from the agenda, which I will put to the vote. There are no undistributed proposals tabled on behalf of parliamentary groups and MPs at the Forty-third National Assembly. I put to the vote Mr. Siderov's proposal to drop the agenda of the item to be discussed. Vote 192 MPs: 11 against 161, abstention 20. The offer is not accepted. On yesterday, the report of the Temporary Committee on Budget and Finance was provided to the MPs. [[Reply from MP Lyubomir Vladimirov.]] We've started the dot. You have a procedure. Here you go, Mr. Vladimirov.
ParlaMint-BG_2014-10-31.u8	Dear Madam President, honourable Members! We from Ataka think that Mr. Ivan Iskrov should attend this meeting of the National Assembly. Let him be here to present the report on the actions of the Bulgarian National Bank on Corporate Commercial Bank. Thank you.
ParlaMint-BG_2014-10-31.u9	I don't see a reverse offer. I put to the vote the proposal that Mr. Ivan Iskrov be present in the discussion of the forthcoming item on the agenda. Please vote. Vote 188 MPs: 163 against 16, abstention 9. The motion is accepted. Who will present the report on behalf of the Temporary Commission? Mrs. Diana Yordanova.
ParlaMint-BG_2014-10-31.u10	Thank you, Madam President. Before that, I would like to make a procedural proposal for admission to the Chamber. Please allow the following representatives of the Bulgarian National Bank: Dimitar Kostov
ParlaMint-BG_2014-10-31.u11	I shall put to the vote the proposed admission to this House. Vote 171 MPs: for 171, against and abstention there is no. The motion has been adopted unanimously. Quaestors, invite those admitted to the Chamber. We're listening, Mrs. Yordanova.
ParlaMint-BG_2014-10-31.u12	Thank you, Madam President. ♪ I can't believe of the Temporary Committee on Budget and Finance on a report of the Bulgarian National Bank "The events and the actions taken related to the Corporate Commercial Bank " AD" and Commercial Bank "Victoria" EAD At a meeting held on 29 October 2014, the Temporary Committee on Budget and Finance examined the report of the Bulgarian National Bank. The persons we invited today as representatives of the Bulgarian National Bank, also Mr. Boyan Kolev and Ms. Rositsa Petkova were present chief experts; the Quaestors of the Corporate Commercial Bank Elena Kostadincheva, Stanislav Lyutov and Bozidar Arshinkov, as well as the representatives of the three audit firms: Vasco Raychev Hristina Vucheva, Emil Hersev, Krasimir Angari, Stoyan Alexandrov and Investors in Corporate Commercial Bank. The report was presented by Mr. Ivan Iskrov. The report presents the initial financial situation of the two banks on the basis of the data submitted by them, lays out conclusions from the new supervisory check at CCB, detailing the communication between BNB and the main shareholders, on the one hand, and the correspondence of the Bulgarian National Bank with the European Commission, the European Banking Authority and the International Monetary Fund, on the other. According to the data reported by the Corporate Commercial Bank (CCB) on 31 March 2014, the bank accounted for assets of 7 billion. The Commission therefore concludes In the first quarter, no significant changes were taken into account leading to a change in the bank's risk profile. The gross amount of regular exposures as at 31 March 2014 is 5 billion. The Commission therefore concludes that the measures in question are compatible with the internal market within the meaning of Article 107 (3) (c) of the Treaty. lv. For the period analysed, their size increased by 361.1 million. lv. In the quarter, 3 exposures totalled 5 million were written off. lv. Totally impaired but not written off 52 exposures for nearly 9 million. lv. Net non-performing loans amounted to 19,748 thousand. lv. and represent 0.4% of the net loan portfolio at 0.6% at 31 December 2013, or 29 million. lv. By 31 March 2014, the Bank's capital position increased to 758.6 million. lv. As a result of the inclusion of the annual audited profit and subordinated debt in the amount of the remaining equivalent of 35 million. Euros. The higher own funds reported shall be the basis for the more substantial increase in loans over the period analysed, respectively, of the risk component. The financial result for the first quarter is a profit of 13.1 million. BGN formed by traditional banking activity. Liquid assets increase during the reporting period. In their structure with a leading stake of 71% are the cash and balances of the Bulgarian National Bank. The last supervisory inspection at the CCB carried out at the bank in the period 20.05.-08.07.2013 based on the data as of 31.03.2013 does not detect any violations of the regulations, but recommendations have been made to improve its activity. After 12.06.2014 as a result of a number of publications in the media, Internet and social networks, an increased withdrawal of funds from CCB clients began, and for the period 13-20 June the tide of attracted funds from CCB amounted to 907 064 thousand. lv. For the same period the tide of the funds attracted by TB "Victoria" EAD amounted to 56 241 thousand. lv. On 20.06.2014 at the request of the management of KTB, the Governing Council of BNB placed the bank under special supervision for a period of three months and appointed Quaestors. On 22.06.2014 she was placed under special supervision for the same period and commercial bank On 11.07.2014 at a meeting of the Committee on Budget and Finance at the National Assembly, BNB presented the main results of the 10-day partial review of the assets of KTB and Commercial Bank With regard to the Commercial Bank, the check confirms the good with regard to the loan portfolio and its provision, as well as the availability of the necessary provisions. The results show good practices in the management of credit risk in the bank. With regard to CCB, auditors are able to assess just over 1/3 of the loan portfolio. The auditors claim that they are unable to express an opinion on a loan portfolio of around 3.5 billion. BGN, which is about 60% of the total credit portfolio of CCB. The impossible assessment is determined by the lack of significant parts of credit files. There are reports...
ParlaMint-BG_2014-10-31.u13	It can't be!
