Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u348	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	-	Centre	ŽigićIzet	Žigić, Izet	M	1956	
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u350	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŽivkovićIvo	Živković, Ivo	M	1957	
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u351	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	RečicaNudžeim	Rečica, Nudžeim	U	-	
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u352	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	-	Centre	ŽigićIzet	Žigić, Izet	M	1956	
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u353	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Regular	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TošićMomir	Tošić, Momir	M	1954	
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u354	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŽivkovićIvo	Živković, Ivo	M	1957	
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u355	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	-	Centre	ŽigićIzet	Žigić, Izet	M	1956	
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u356	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	-	Centre-right to right	ČamparaAvdo	Čampara, Avdo	M	1937	
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u357	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	-	Centre	ŽigićIzet	Žigić, Izet	M	1956	
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u358	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	HercegMugdin	Herceg, Mugdin	M	1951	
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u359	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	-	Centre	ŽigićIzet	Žigić, Izet	M	1956	
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u360	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŠoljićVladimir	Šoljić, Vladimir	M	1943	
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u361	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	-	Centre	ŽigićIzet	Žigić, Izet	M	1956	
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u362	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	-	Centre-right to right	ŠarčevićIsmet	Šarčević, Ismet	M	-	
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u363	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Regular	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TošićMomir	Tošić, Momir	M	1954	
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u364	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŽivkovićIvo	Živković, Ivo	M	1957	
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u365	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	-	Centre	ŽigićIzet	Žigić, Izet	M	1956	
ParlaMint-BA-en_1999-12-03-0	ParlaMint-BA_1999-12-03-0.u367	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 11	1999-12-03	Unicameralism	2. mandat	-	Sjednica 11	1999-12-03	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	-	Syncretic politics	RistanRistić	Ristić, Ristan	M	-	
