Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2015-02-13-ps2013-025-08-007-145	ParlaMint-CZ_2015-02-13-ps2013-025-08-007-145.u1	Parliament of the Czech Republic, Chamber of Deputies, 2015-02-13	2015-02-13	Lower house	ps2013	-	ps2013/025	ps2013/025/08	ps2013/025/145	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2015-02-13-ps2013-025-08-007-145	ParlaMint-CZ_2015-02-13-ps2013-025-08-007-145.u2	Parliament of the Czech Republic, Chamber of Deputies, 2015-02-13	2015-02-13	Lower house	ps2013	-	ps2013/025	ps2013/025/08	ps2013/025/145	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2015-02-13-ps2013-025-08-007-145	ParlaMint-CZ_2015-02-13-ps2013-025-08-007-145.u3	Parliament of the Czech Republic, Chamber of Deputies, 2015-02-13	2015-02-13	Lower house	ps2013	-	ps2013/025	ps2013/025/08	ps2013/025/145	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2015-02-13-ps2013-025-08-007-145	ParlaMint-CZ_2015-02-13-ps2013-025-08-007-145.u4	Parliament of the Czech Republic, Chamber of Deputies, 2015-02-13	2015-02-13	Lower house	ps2013	-	ps2013/025	ps2013/025/08	ps2013/025/145	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2015-02-13-ps2013-025-08-007-145	ParlaMint-CZ_2015-02-13-ps2013-025-08-007-145.u5	Parliament of the Czech Republic, Chamber of Deputies, 2015-02-13	2015-02-13	Lower house	ps2013	-	ps2013/025	ps2013/025/08	ps2013/025/145	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2015-02-13-ps2013-025-08-007-145	ParlaMint-CZ_2015-02-13-ps2013-025-08-007-145.u6	Parliament of the Czech Republic, Chamber of Deputies, 2015-02-13	2015-02-13	Lower house	ps2013	-	ps2013/025	ps2013/025/08	ps2013/025/145	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2015-02-13-ps2013-025-08-007-145	ParlaMint-CZ_2015-02-13-ps2013-025-08-007-145.u7	Parliament of the Czech Republic, Chamber of Deputies, 2015-02-13	2015-02-13	Lower house	ps2013	-	ps2013/025	ps2013/025/08	ps2013/025/145	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	BronislavSchwarz.1966	Schwarz, Bronislav	M	1966	
ParlaMint-CZ-en_2015-02-13-ps2013-025-08-007-145	ParlaMint-CZ_2015-02-13-ps2013-025-08-007-145.u8	Parliament of the Czech Republic, Chamber of Deputies, 2015-02-13	2015-02-13	Lower house	ps2013	-	ps2013/025	ps2013/025/08	ps2013/025/145	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2015-02-13-ps2013-025-08-007-145	ParlaMint-CZ_2015-02-13-ps2013-025-08-007-145.u9	Parliament of the Czech Republic, Chamber of Deputies, 2015-02-13	2015-02-13	Lower house	ps2013	-	ps2013/025	ps2013/025/08	ps2013/025/145	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2015-02-13-ps2013-025-08-007-145	ParlaMint-CZ_2015-02-13-ps2013-025-08-007-145.u10	Parliament of the Czech Republic, Chamber of Deputies, 2015-02-13	2015-02-13	Lower house	ps2013	-	ps2013/025	ps2013/025/08	ps2013/025/145	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2015-02-13-ps2013-025-08-007-145	ParlaMint-CZ_2015-02-13-ps2013-025-08-007-145.u11	Parliament of the Czech Republic, Chamber of Deputies, 2015-02-13	2015-02-13	Lower house	ps2013	-	ps2013/025	ps2013/025/08	ps2013/025/145	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	BronislavSchwarz.1966	Schwarz, Bronislav	M	1966	
ParlaMint-CZ-en_2015-02-13-ps2013-025-08-007-145	ParlaMint-CZ_2015-02-13-ps2013-025-08-007-145.u12	Parliament of the Czech Republic, Chamber of Deputies, 2015-02-13	2015-02-13	Lower house	ps2013	-	ps2013/025	ps2013/025/08	ps2013/025/145	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
