Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2022-07-08-027-XXVII-NRSITZ-00170	ParlaMint-AT_2022-07-08-027-XXVII-NRSITZ-00170_d8e634	Sitting Number 170, Legislative period XXVII, Friday, 8. July 2022	2022-07-08	Lower house	Legislative period XXVII	-	-	Sitting 170	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-07-08-027-XXVII-NRSITZ-00170	ParlaMint-AT_2022-07-08-027-XXVII-NRSITZ-00170_d8e702	Sitting Number 170, Legislative period XXVII, Friday, 8. July 2022	2022-07-08	Lower house	Legislative period XXVII	-	-	Sitting 170	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-07-08-027-XXVII-NRSITZ-00170	ParlaMint-AT_2022-07-08-027-XXVII-NRSITZ-00170_d8e720	Sitting Number 170, Legislative period XXVII, Friday, 8. July 2022	2022-07-08	Lower house	Legislative period XXVII	-	-	Sitting 170	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-07-08-027-XXVII-NRSITZ-00170	ParlaMint-AT_2022-07-08-027-XXVII-NRSITZ-00170_d8e1047	Sitting Number 170, Legislative period XXVII, Friday, 8. July 2022	2022-07-08	Lower house	Legislative period XXVII	-	-	Sitting 170	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-07-08-027-XXVII-NRSITZ-00170	ParlaMint-AT_2022-07-08-027-XXVII-NRSITZ-00170_d8e1112	Sitting Number 170, Legislative period XXVII, Friday, 8. July 2022	2022-07-08	Lower house	Legislative period XXVII	-	-	Sitting 170	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-07-08-027-XXVII-NRSITZ-00170	ParlaMint-AT_2022-07-08-027-XXVII-NRSITZ-00170_d8e1154	Sitting Number 170, Legislative period XXVII, Friday, 8. July 2022	2022-07-08	Lower house	Legislative period XXVII	-	-	Sitting 170	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-07-08-027-XXVII-NRSITZ-00170	ParlaMint-AT_2022-07-08-027-XXVII-NRSITZ-00170_d8e1197	Sitting Number 170, Legislative period XXVII, Friday, 8. July 2022	2022-07-08	Lower house	Legislative period XXVII	-	-	Sitting 170	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-07-08-027-XXVII-NRSITZ-00170	ParlaMint-AT_2022-07-08-027-XXVII-NRSITZ-00170_d8e1298	Sitting Number 170, Legislative period XXVII, Friday, 8. July 2022	2022-07-08	Lower house	Legislative period XXVII	-	-	Sitting 170	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-07-08-027-XXVII-NRSITZ-00170	ParlaMint-AT_2022-07-08-027-XXVII-NRSITZ-00170_d8e1358	Sitting Number 170, Legislative period XXVII, Friday, 8. July 2022	2022-07-08	Lower house	Legislative period XXVII	-	-	Sitting 170	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-07-08-027-XXVII-NRSITZ-00170	ParlaMint-AT_2022-07-08-027-XXVII-NRSITZ-00170_d8e1428	Sitting Number 170, Legislative period XXVII, Friday, 8. July 2022	2022-07-08	Lower house	Legislative period XXVII	-	-	Sitting 170	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-07-08-027-XXVII-NRSITZ-00170	ParlaMint-AT_2022-07-08-027-XXVII-NRSITZ-00170_d8e1500	Sitting Number 170, Legislative period XXVII, Friday, 8. July 2022	2022-07-08	Lower house	Legislative period XXVII	-	-	Sitting 170	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
