Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2022-05-19	ParlaMint-EE_2022-05-19_U1	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 19.05.2022, 10:00	2022-05-19	Unicameralism	XIV Riigikogu	VII regular session	-	2022-05-19	-	COVID,War	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2022-05-19	ParlaMint-EE_2022-05-19_U2	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 19.05.2022, 10:00	2022-05-19	Unicameralism	XIV Riigikogu	VII regular session	-	2022-05-19	-	COVID,War	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2022-05-19	ParlaMint-EE_2022-05-19_U3	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 19.05.2022, 10:00	2022-05-19	Unicameralism	XIV Riigikogu	VII regular session	-	2022-05-19	-	COVID,War	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2022-05-19	ParlaMint-EE_2022-05-19_U4	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 19.05.2022, 10:00	2022-05-19	Unicameralism	XIV Riigikogu	VII regular session	-	2022-05-19	-	COVID,War	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	m_jufereva_skuratovski_19791011	Jufereva-Skuratovski, Maria	F	1979	
ParlaMint-EE-en_2022-05-19	ParlaMint-EE_2022-05-19_U5	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 19.05.2022, 10:00	2022-05-19	Unicameralism	XIV Riigikogu	VII regular session	-	2022-05-19	-	COVID,War	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2022-05-19	ParlaMint-EE_2022-05-19_U6	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 19.05.2022, 10:00	2022-05-19	Unicameralism	XIV Riigikogu	VII regular session	-	2022-05-19	-	COVID,War	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2022-05-19	ParlaMint-EE_2022-05-19_U7	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 19.05.2022, 10:00	2022-05-19	Unicameralism	XIV Riigikogu	VII regular session	-	2022-05-19	-	COVID,War	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2022-05-19	ParlaMint-EE_2022-05-19_U8	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 19.05.2022, 10:00	2022-05-19	Unicameralism	XIV Riigikogu	VII regular session	-	2022-05-19	-	COVID,War	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	v_randpere_19580204	Randpere, Valdo	M	1958	
ParlaMint-EE-en_2022-05-19	ParlaMint-EE_2022-05-19_U9	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 19.05.2022, 10:00	2022-05-19	Unicameralism	XIV Riigikogu	VII regular session	-	2022-05-19	-	COVID,War	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2022-05-19	ParlaMint-EE_2022-05-19_U10	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 19.05.2022, 10:00	2022-05-19	Unicameralism	XIV Riigikogu	VII regular session	-	2022-05-19	-	COVID,War	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	p_sibul_19771231	Sibul, Priit	M	1977	
ParlaMint-EE-en_2022-05-19	ParlaMint-EE_2022-05-19_U11	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 19.05.2022, 10:00	2022-05-19	Unicameralism	XIV Riigikogu	VII regular session	-	2022-05-19	-	COVID,War	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	v_randpere_19580204	Randpere, Valdo	M	1958	
