Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U1	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	m_helme_19760424	Helme, Martin	M	1976	
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U2	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	m_helme_19760424	Helme, Martin	M	1976	
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U3	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	m_helme_19760424	Helme, Martin	M	1976	
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U4	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	r_kaljulaid_19820127	Kaljulaid, Raimond	M	1982	
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U5	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	m_helme_19760424	Helme, Martin	M	1976	
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U6	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	p_ernits_19530611	Ernits, Peeter	M	1953	
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U7	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	r_kaljulaid_19820127	Kaljulaid, Raimond	M	1982	
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U8	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	m_helme_19760424	Helme, Martin	M	1976	
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U9	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	t_kruusimäe_19670409	Kruusimäe, Tarmo	M	1967	
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U10	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	r_kaljulaid_19820127	Kaljulaid, Raimond	M	1982	
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U11	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	m_helme_19760424	Helme, Martin	M	1976	
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U12	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	p_ernits_19530611	Ernits, Peeter	M	1953	
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U13	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	r_kaljulaid_19820127	Kaljulaid, Raimond	M	1982	
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U14	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	m_helme_19760424	Helme, Martin	M	1976	
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U15	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	t_kruusimäe_19670409	Kruusimäe, Tarmo	M	1967	
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U16	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	r_kaljulaid_19820127	Kaljulaid, Raimond	M	1982	
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U17	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	m_helme_19760424	Helme, Martin	M	1976	
ParlaMint-EE-en_2022-03-10	ParlaMint-EE_2022-03-10_U18	XIV Parliament term, VII istungjärk, Plenary Assembly meeting on Thursday, 10.03.2022, 10:00	2022-03-10	Unicameralism	XIV Riigikogu	VII regular session	-	2022-03-10	-	COVID,War	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	u_tiidus_19540606	Tiidus, Urve	F	1954	
