ParlaMint-BE_2016-02-03-54-commissie-ic333x.u1	Colleagues, the minister is available until 5:00 p.m.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u2	Madam President, the matter is topical. Until last night I received Belga messages in my mailbox, including about the position of the World Health Organization and about detected cases where another infection is suspected. Dr. Daniel Reynders, who you remember from our meetings on the Ebola virus, is the focal point for Belgium as regards the spread of this infectious disease. As you know, he is responsible for this at the Public Health Office. He made a short PowerPoint presentation, which will also be placed on the intranet. We also have copies of them, which we can distribute. Then we will answer the questions, if that is all right, Madam President.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u3	Madam President, I would like to make it clear immediately that the presentation you are going to see on the screen is in Dutch. A French version exists. It will be available in colour on the intranet. I have it here but in black and white. I propose to make the presentation in French but you will have the slides in Dutch. The goal is to take a look at the problem of the zika virus that makes a lot of talk about it for now. It is a viral disease that has been known for a relatively long time since its first notification was made in 1947 in Uganda. He takes his name from the forest where he was first identified. It is a flavivirus which is of the same family as dengue and chikungunya and which is transmitted by the same vector, a mosquito type aedes aegypti, which is also the vector of yellow fever. In itself, zika virus disease is a relatively mild disease. There are 80% of mosquito-infected patients who do not develop symptoms. It's completely asymptomatic. Eventually, the patient may develop fatigue, muscle or joint pain, conjunctivitis, headache,... In short, a syndrome similar to a benign influenza syndrome that is normally resolutive and that heals in three to five days. You have on this slide a summary of symptoms developed by WHO and disseminated in Latin America for the time being. As I said, it is a virus that is transmitted to man by the mosquito. I'm going to be careful - we'll talk about it later - saying there's no inter-human transmission. It takes the mosquito to get infected. That's what we call a vector-born disease. As I said, he was first identified in 1947. The following slides seemed particularly interesting to me when I followed the WHO briefing last week to see how quickly things can change. It was not until 1948 that he appeared with small epidemic outbreaks in other countries of intertropical Africa. Subsequently, in 1977, he migrated to South-East Asia and, in 1978, to Indonesia. In 2007, he reached Micronesia and migrated in 2013 to French Polynesia. In 2014, it was highlighted in the East Island and hit Central America in 2015, where it was first notified in Brazil before spreading rapidly over the months. This explains why we knew this situation in 2016. For nearly fifty years, it has remained relatively limited with small localized epidemics. But since 2014, it has spread rapidly in Latin America and currently affects 23 countries where cases confirmed by local transmission have been identified. These are countries in the intertropical zone, which is an approximate area of yellow fever. The mosquito is therefore not present in the northern and extreme-south parts of the world. When I was talking about a benign disease because often asymptomatic, it was proven until the last few months when cases of Guillain-Barré syndrome have appeared in Brazil, Colombia and French Polynesia. It is a neurological disease observed after other viral diseases. There has been a significant increase in microcephaly - a congenital malformation of the brain that has serious consequences for the development of the newborn and the child. It may not be because of the zika virus that this number of microcephaly has increased. There is no formal evidence of a cause-and-effect relationship between zika virus and microcephaly. However, cases of microcephaly have been reported in women who in previous months had had an infection with zika virus and the presence of zika virus in the amniotic fluid of a few women has been shown. The likelihood that there is a relationship between the two pathologies is still quite important and this justified, among other things, the WHO declaration of an emergency of public health with an international impact yesterday. How do we diagnose it? What is the treatment? What are the means of prevention? The diagnosis is done by PCR, which is a conventional diagnostic method for viral diseases or by the detection of antibodies. These two techniques are not simple and can be used quickly in the field, which explains the difficulties we have in formally identifying cases in infected areas. In Belgium, the Institute of Tropical Medicine has the means to carry out the diagnosis. We have the possibility to confirm an infection with zika virus. What's worrying is that we don't have treatment or vaccine. Its management is purely symptomatic based on antipyretics, painkillers, etc. You see on this slide the areas where the aedes aegypti mosquito is permanently implanted. There are in Europe, imports of mosquitoes. I imagine you've heard about the importation of the famous ochlerotatus japonicus that was highlighted at Natoye near Namur in a tire factory. Mosquito aedes were found in bamboo imported from Asia. The Belgian climate is not conducive to the installation and development of these mosquito species. As you can see on the map, risk areas do not directly concern Belgium. Have there been any cases in Belgium? Yes, we had a confirmed case that came from Guatemala in December 2015 and that healed without any sequelae. For your information, it is not excluded that we have a second possible case in Wallonia but that is not yet confirmed. I would therefore like to point out that with every reservation. We just talked about the albopictus aedes. When information on the explosive evolution of the zika virus epidemic in Latin America circulated, the Belgian health authorities immediately took a number of measures. The situation has been monitored regularly and the Risk Management Group, set up by the interdepartmental conference, has prepared and sent a number of letters to health professionals, travel medicine clinics, etc. Under the chairmanship of the Scientific Institute of Public Health, the Risk Assessment Group was convened to assess the situation and risks in Belgium and the opinion was sought from the Higher Council of Health on the scientific aspects and, in particular, on the strength of the relationship between zika virus infection, Guillain-Barré syndrome and microcephaly. What is the purpose of communication? It is mainly to raise awareness among the public who want to go to the infected areas, mainly with recommendations in terms of protection against mosquito bites and a recommendation to pregnant women to post their journey as far as possible, given the doubts we have about the possible complications of microcephaly. Similarly, pregnant women who return after a stay in the infected areas would be well advised to consult their obstetrician to check their condition and monitor their pregnancy closely. Of course, doctors are asked to notify all cases of zika viruses that could be identified. This supervision is a responsibility of the Communities. It is therefore these who will receive the communications, but the consolidation will be done at the level of the Scientific Institute of Public Health and the diagnosis will be confirmed at the level of the Institute of Tropical Medicine of Antwerp. For the rest, the situation is being monitored, in particular in collaboration with our European partners; the Health Safety Committee meets regularly by audio-conference to verify developments. At present, it is important to examine the extent to which new means of rapid and reliable diagnosis can be developed with regard to the evolution of the situation at the global level, in particular the ability of the brother mosquito, aedes albopictus, to serve as a vector, which would potentially pose problems during the summer period. In any case, until May, there is no risk to the European Union. Madam Chair, I'm done with my presentation.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u4	Madam President, I think it is right that the Public Health Office should follow closely all movements of the disease caused by that mosquito. On the basis of previous conditions, we have developed a good network and we have also learned a lot from the Ebola crisis. The difference is that the Zika virus is not immediately lethal for those who are infected, but it is a major danger to pregnant women or to women who wish to become pregnant. Very worrying is the large incidence of babies with microcephalus that are now born in South American countries. Above all, we are trying to put in place preventive measures by raising awareness. All obstetricians, doctors and health professionals were also informed. The necessary warnings were given on the websites of the government, the Scientific Institute and the FPS Public Health. We must continue to follow this. If there were a first case somewhere on European territory in the warmer months, not because of travel but because of the activity of mosquitoes, good coordination between European countries would obviously have to be organised. The maps are characteristic, in the sense that the mosquito has spread over a latitude, where usually the same temperature prevails. The wind also plays a role in this. Even if the mosquito is not too wide, you will notice that it has spread transcontinental. So it is very likely that one of these mosquitoes will reach Europe.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u5	After this presentation, I give the floor to the members of the commission, starting with the members who have tabled questions, to allow them to ask additional questions or to comment on Dr. Reynders' presentation and the Minister's intervention.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u6	Madam Chair, Minister, Dr. Reynders, thank you for your explanation of many of the questions I tabled. However, I have some additional questions. With respect to the advice given to travellers, do they appear in the advice given on the Department of Foreign Affairs website? What is the particularly dangerous period for a pregnant woman? Is the whole period of pregnancy dangerous? Is there a particular more dangerous period? In principle, this would be the brain formation. Can the fetus of a woman who has contracted the virus and was not pregnant but becomes pregnant develop the same type of symptom? Could you specify the period of danger? Can a woman who has gone to a region where she may have been infected develop the disease once she has returned to Belgium? Have such cases already been described? Still with regard to modes of transmission and danger, there have been few cases of direct transmission, whether mother-to-child transmission or sexual transmission. According to the Atlanta CDC, at least one case has been confirmed in the United States. There may be two or three cases of sexual transmission in the United States. Are these modes of transmission already proven? It appears that WHO wanted to avoid "serious failures" when dealing with the Ebola epidemic. There has been an international collective responsibility. Neither the WHO nor the member States of the international community have taken this epidemic sufficiently seriously. For a very long time it was private organizations such as Médecins sans frontières that took care of it. What does that mean in practice? What role will Belgium, the European Union and the international community play in dealing with this new pandemic? What are Belgium's specific contributions to research, for example, at the level of the Institute of Tropical Medicine. Will a role be assigned to Belgium by the WHO? We know that the Institute of Tropical Medicine has close relationships for a whole series of infectious diseases. Does Belgium play a role in international solidarity? Has it put in place any preventive measures? We were able to see the tour of the world covered by the virus. It is likely that it is retracing the Atlantic to the gates of Africa, with a new epidemiological profile and its consequences for Guillain-Barré syndrome, microcephaly. Has the state of alert already been launched in Africa? Are measures taken to anticipate the arrival of the virus in African territory? Finally, could you give us an idea of what the situation might look like in the worst case possible? That's what we did for Ebola. How many victims could be expected? Is WHO working on a worst case scenario? What are the figures available, in terms of incidence rates or absolute figures, for Guillain-Barré syndrome and microcephaly?
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u7	Madam President, I thank Dr Reynders for his fairly comprehensive explanations, which also answer a number of questions. I would also like to thank the Minister for having organized a brief briefing on this thorny subject. I have a few more specific questions. It seems that the Institut Pasteur is at the dawn of finding a vaccine against this disease. Do you know more about this? It would appear that this virus is close to dengue and chikungunya virus and as such, research is already well underway. Are there any other information available? Of course, we are not, here, in a case comparable to the Ebola epidemic. In its time, the many measures that had been taken had not always been adequate enough. Do you already have an outline of projects or measures that could be concretely and fairly quickly put in place, for example at the government level in relation to the Department of Foreign Affairs? It already gives some information on its site but it must nevertheless be acknowledged that they are partial. Are you planning to take initiatives at the airport level? Will the planes be cleaned? Will simulations be organised? Will a communication platform be set up? More importantly, will there be a procedure for handling cases that will be detected in the coming weeks or months?
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u8	Madam President, Madam Minister, I had already asked you about the same subject three months ago. I would like to take this opportunity to thank you for the full answer you gave me at the time on the basis of the elements in your possession at that time. I thank Dr. Reynders for his presentation. This reminds me of his previous presentation for another well-known problem that we have been able to control in the meantime. I come to my questions. Have you ever had any consultations with the Ministers responsible in the Communities in this respect? With regard to travel by Belgians abroad, the propitious period being at our doorstep, let alone the improvement of the climate in the coming weeks, it would be interesting to have a permanent cell that could analyse the situation. Has the Institute of Tropical Medicine made any provision in this regard? With regard to pregnant women, the number of abortions in Brazil has exploded. How can we prevent pregnant women travelling from having to experience this kind of situation? Since Brazil seems, for the moment, to be at the forefront of the spread, do you advise pregnant Europeans not to go to Brazil?
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u9	Minister, an organization is already in place to work with experts and intercabinets and the Institute of Tropical Medicine. Would it not therefore be interesting to take stock of the mechanisms put in place by Belgium in the fight against Ebola in order to draw lessons and good practices that could be used in this case? Or, as it is a virus, diseases and modes of transmission quite different, is it necessary, in the face of this scenario, to reinvent everything? Are we analysing the possible impact of climate change and seasonal temperatures, which no longer correspond to what they should be, on the survival or arrival of this famous mosquito in our home? Dr. Reynders, you say that until May, we have nothing to fear. But if it is strangely good at home in March-April, will we really have nothing to fear? What are the parameters? Is it temperature or humidity? The areas concerned are all at the same latitude. I do not want to cause panic, but I think it is a criterion that it is interesting to incorporate into our reflections, because there are certainties that are no longer there. One final supplementary question. The countries concerned, where microcephaly or other diseases could develop further, may need help. In the same way that States and NGOs have intervened to combat other pandemics or epidemics, is there a risk of a situation requiring organization to help Brazil or other countries that might face the consequences of this Zika virus?
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u10	Madam Minister, thank you again for the very clear statement. Most of the questions have already been asked, but I still have a specific question about the directives that are currently being issued, including by our country. These directives are, logically, primarily aimed at preventing the contamination of pregnant women. For example, if you are pregnant now, there is the directive not to travel there. Are there also guidelines for women who have already been infected? I did see guidelines asking to take it into account or to report it to the gynecologist. Is it true that infection can only be seen at a very late stage of pregnancy or that there are consequences of that infection? Are there guidelines to be given to women who are more likely to be more specific than: 'Do you think it might be possible to get them?'
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u11	Compared to pregnant women returning from infected areas in Latin America or Central America, you said there will be a search for the infection. How will this happen in practice? Will gynaecologists be systematically informed of this provision? What test will be used (antibodies research or fetal microcephaly research)? Who will pay these costs? Are they fully covered today? I would like to know how this is going to happen in practice.
