ParlaMint-BE_2016-03-03-54-plenair-ip100x.u1	The meeting is open. The meeting was opened.
ParlaMint-BE_2016-03-03-54-plenair-ip100x.u2	The President (before the standing meeting): Colleagues, we have heard that Mr Jean-Pierre Detimimentie, honorary Quaestor of our Assembly, died on Saturday 20 February 2016. Born in Rekkem, not far from Mouscron, on 10 October 1940, our former colleague was marked by the premature disappearance of his parents: a father of Flemish origin and a French mother. After a stay in a Flemish orphanage, he became an intern at the Collège Saint-Joseph de Mouscron. He then went on to study Germanic languages and taught for a few years in Enghien and Mouscron. In March 1974, he became a member of the Cabinet of the Minister of National Education, Antoine Humblet, whom he followed in 1977 to the Middle Classes. Seduced by the city of Mouscron, it is with this particular determination of the Muscronese that he embarks on communal politics. Councillor of Mouscron from 1971 to 1975, alderman from 1976 to 1978, provincial councillor from 1978 to 1979, he became mayor of Mouscron on 1 February 1980. He soon showed his qualities, multiplying success in an area which, as all local officials know, is one of the most difficult: local economic development. Its ambition is great: to reshape the industrial fabric of Western Hainaut by using all the potentialities of the region so that it can evolve towards a real economic attraction pole. Under its impetus, many sectors flourish: mail order sales, the agricultural and food industries, the metalworking industry, the telecommunications sector. In 1981 he entered the Chamber of Representatives as a PSC representative for the Tournai-Aat-Moeskroen constituency. In our Assembly, he quickly distinguished himself by the stubbornness with which he clings to the many dossiers he is concerned with: urban policy, assistance for the disadvantaged, the status of the municipalities, the textile industry, youth unemployment, telesales. "Govern from afar, administer closely", this was the leitmotif of his political action, which led him, on certain occasions, to make himself singular during important institutional debates in which our Chamber was the scene. Faithful to his convictions, he never hesitated to throw a stone in the pond by sometimes shouting out loud what was whispering down. In the major debates on local responsibilities and regional issues, he was always at the forefront, convinced that a deputy-bourgmester is the right person to best relay the aspirations of his administration at the national level. In his last years in the Chamber, issues relating to police reform, security and asylum and immigration policy were also at the centre of his concerns. His commitment to solidarity was also reflected in his international activities. In November 1990, together with six other colleagues, he participated in a Belgian parliamentary mission to Iraq to advocate the release of 24 Belgians. In August 1992 he travelled with three other MEPs with a delegation from Doctors Without Borders and from L'Opération Villages Roumains to former Yugoslavia to report on the situation in refugee camps. He thus drew public opinion's attention to the danger to the Muslim population in Bosnia and to the war that was already smoldering in Kosovo. For Jean-Pierre Detremerie, "Detrem", as he was familiarly called, to undertake it was to live, it was the very essence of life. The torments that affected the last years of his life were probably too heavy to bear. I have presented to his wife the heartfelt condolences of this House.
ParlaMint-BE_2016-03-03-54-plenair-ip100x.u3	Mr President, it was with dismay and sadness that we learned of the death of Mr Jean-Pierre Detremerie. For almost a quarter of a century, he marked the life of our assembly and that of his beloved city of Mouscron, of which he was the true incarnation. Jean-Pierre Detremerie was able to place on the map his city, yet located at the edge of Wallonia, by multiplying contacts with his close French and Flemish neighbours. It was thus able to create an attractive and dynamic climate for many investors and to promote the creation of jobs, SMEs and industries in key and innovative sectors for a city that had to be reconverted after being a flagship of the textile industry. For many fellow citizens, he was also the boss of the Excelsior club, which he led from the provincial to the elite of Belgian football. This showcase of excellence for Mouscron, he also wanted it as a motor of emancipation for the youth of his region through the development of sports studies and Futurosport. The training teacher he was aware of the importance of education for the development of his region and its inhabitants. It has also been keen to mobilize this dynamism for the benefit of the weakest by supporting the multiple solidarity associations in its commune. It was his commitment to his city – employment, youth and development – that marked a whole generation. His voice as a Member of Parliament for a municipality with facilities has had a particular resonance in our Parliament. For "Detrem", it was to be manoeuvring and to build new projects in the general interest which was his reason to live. His tragic end is the painful echo for those who loved him. On behalf of the federal government, I extend our deepest condolences to his wife and family.
ParlaMint-BE_2016-03-03-54-plenair-ip100x.u4	Ladies and gentlemen, let us observe a moment's silence in memory of our late colleague.
ParlaMint-BE_2016-03-03-54-plenair-ip100x.u5	The President (before the standing meeting): Colleagues, on 18 February died in Korternaken, Godelieve Devos, honorary member of our Assembly. She entered the Chamber on 26 March 1961 as CVP representative for the arrondissement of Leuven. She was supposed to be in our Assembly until 1985. What is particularly striking, among other things, when the parliamentary career of Godelieve Devos is overflowing is its constant and very active commitment to the interests of farmers. Agricultural education, the conversion of agriculture, the role of women in agriculture and horticulture are just some of the many areas for which Mrs Devos has worked. The only list of her interventions contained in the parliamentary annals already shows her dynamism, her mastery of agricultural matters and her willingness and creativity to increase the prosperity and prospects of farmers and their families. This enumeration should not, however, obscure the endearing personality of Mrs Devos. Regent in agriculture, she managed to be re-elected for 25 years by a large majority as a Member of Parliament for the district of Leuven. Moreover, what has always been noted is the punctuality of Mrs Devos, a punctuality that has become legendary at some point. Through her faithful presence in plenary sessions and committee meetings, she has contributed to the prestige of our Parliament. Probably she was able to learn this loyalty from the commitment of her father, who was active in municipal politics for many years, and from both her grandfathers, who were both mayors. Godelieve Devos was known for her deep human qualities such as affection, understanding and tenderness also for fellow man. How many times has she not visited, in all discretion, former members of the House who, thanks to her, have been able to maintain a certain connection with the parliamentary community? Who among them did not receive a warm word from him at a happy or painful private event? Godelieve Devos has managed to keep the human aspect in mind in every policy act. In the name of our Assembly, I expressed my deepest condolences to her family, who is represented here through her sister in our gallery.
ParlaMint-BE_2016-03-03-54-plenair-ip100x.u6	Mr President, ladies and gentlemen, Godelieve Devos was a grand lady of Christian democracy, a woman whose life was marked by a never-ending commitment. With much warmth, she has dedicated her life to strengthening our society. In 1959 she took political responsibility for the first time and became a city council member in her beloved Korternaken. In 1965 she became ships and in 1971 she became the first female mayor of Korternaken, a mandate that she would continue to exercise with great passion for seventeen years. She has shaped her congregation and has changed a lot for the better. Until the day of her death, she remained a very popular woman in the municipality. But there are also many who here keep a good memory. She was a member of the House of Representatives for 24 years. She was among the pioneers of the regional government. In 1980 she became the second vice-president of the first Flemish Council, the predecessor of the Flemish Parliament. From 1981 to 1985 she was the first vice-president. However, the end of her active political career, at the end of the 1980s, was by no means the end of her commitment. Just like her sister Jeanne, that commitment was deeply rooted in her DNA. Got it from home and never dropped off. Godelieve Devos was one of the driving forces behind the development and professionalisation of the senior section of CD&V. As chairman, she was the spokesperson of many thousands of senior citizens between 1996 and 2008. She raised their concerns. It ensured that their questions were taken into account at all levels. The death of Godelieve Devos is a great loss, but even after her death her commitment and warmth will remain an inspiration to all who have known her. On behalf of the federal government, I would like to express my sincere condolences to her family, her relatives and her former colleagues. We wish them much strength in these difficult times.
ParlaMint-BE_2016-03-03-54-plenair-ip100x.u7	Thank you, Mr Vice Prime Minister. Let us observe a few moments of silence in memory of the late colleague.
ParlaMint-BE_2016-03-03-54-plenair-ip100x.u8	Ladies and gentlemen, may I suggest that, after the oral questions, we start discussing the draft legislation with paragraph 2. This is a draft on which there has been little discussion in committee and which has been adopted unanimously. If there are no objections to changing the order, this will be done.
ParlaMint-BE_2016-03-03-54-plenair-ip100x.u9	I have been informed that the Prime Minister will also answer questions concerning Syria.
ParlaMint-BE_2016-03-03-54-plenair-ip100x.u10	Mr. President, Prime Minister, travel always gives ideas. And now some of your ministers are taking sudden Moroccan inspirations. Indeed, the Minister of the Interior, having discovered, during his visit to Morocco, that local identity cards recorded all the fingerprints of Moroccan citizens or nationals, he was spontaneously conquered to the point of considering that – perhaps all cases ceasing – this example should be repeated and translated into reality or even into our legislation. Immediately, reactions followed. Firstly, the Committee on the Protection of Privacy has pointed out that we are in a legal system bound by the European Convention on Human Rights and that Article 8 of the Convention does not really make it possible to generalise fingerprinting for all citizens, because in a democratic country not all of them are left behind; those who must be left behind because of the danger they represent or the acts they have committed and who have been prosecuted by the judicial authorities are left out. There was also the reaction of Secretary of State for Privacy, Bart Tommelein, who considered this to be an untimely and unwarranted initiative. As a result, the Minister of the Interior called all these reactions "hysterical". So here's a government where the Minister of the Interior calls the words of one of his colleagues – because I dare not believe for a moment that he was attacking the Privacy Commission, which is a respectable body – "hysterics". I would therefore like to know what the government's position is on this issue. I believe that you would be well inspired by putting an end to any discussion and by announcing very quickly that the incident is closed, because there is no legal room for manoeuvre to move towards a system similar to that in force in Morocco. The violation of the European Convention on Human Rights would be immediately punished.
ParlaMint-BE_2016-03-03-54-plenair-ip100x.u11	Mr President, ladies and gentlemen, Prime Minister, Deputy Prime Minister and Minister of the Interior have announced that they are in favour of taking fingerprints on the identity cards of our fellow citizens. Secretary of State Tommelein spoke, as well as Deputy Prime Minister De Croo. He said in the press this Wednesday that there was no question of it, that this had already been discussed in the government, that the decision had been taken against this idea and that it was not relevant. Prime Minister, it's a little messy, you'll agree with me – when it's the unity that our country needs today. Prime Minister, what is the government's real position on this?
