ParlaMint-BE_2016-10-26-54-commissie-ic521x.u1	Mrs. Lahaye-Battheu is apologised.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u2	Madam President, Minister, since 2010, in Belgium, a judge may order a driver to equip his car with an "alcolock" system, i.e. an anti-start ethylotest, based on an alcohol level of 0.8 g/l. However, at present, only 23 alcolocks are active in Belgium, while, by comparison, 4,000 aircraft have been placed in the same period of time in our Dutch neighbours. It would appear that judges are reluctant to use this method and that the high cost of the tool would also hinder its generalization in our country. However, a recent study has shown that electronic sobriety reduces road mortality by 15%. Minister, according to the information that I have learned, your office would be preparing a bill that now obliges judges to impose the installation of an alcohol block on recidivist drunk drivers and offenders with high blood alcohol levels, i.e. 1.5 g/l. The IBSR welcomed this announcement, considering that this tool should be sustained and strengthened. For my part, I also believe that the necessary measures must be taken to increase the safety of road users. So, Minister, I would like to ask you the following questions. Can you confirm the information in the press about this bill? Can you tell us more about the main axes of this one? What is the planned agenda for the implementation of these measures? What is the status of consultation with the IBSR, the police and the justice services on this issue?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u3	Chers collégues, I'll answer the two questions. Two types of alcolocks must be distinguished. Preventive alcolocks and repressive alcolocks imposed as a sanction for a driving traffic offence. Alcolock is an effective way to remove people who drink too much from the highway. In combination with a mentoring program, it also makes people aware of the danger of drinking while driving. People are provided with assistance and support in this regard. To date, the BIVV has accompanied a total of 42 convicts with an alcohol lock. For 19 people the guidance is complete and there are 23 people in counseling. For 2 persons who have registered, the guidance has never started. Police tests of alcohol levels show that people continue to drive while drinking alcohol. This bad habit is a scourge on our roads. Indeed, we know that driving alcohol is one of the three leading causes of road mortality and that it is responsible for 25% of deaths in traffic. We must therefore have the courage to seriously tackle this problem and to protect people who have once or several times taken the wheel by having too much alcohol in their blood, forcing them to ride with an alcolock. If they refuse the alcolock, the only possible alternative must be at least as long a period of revocation of the driving licence. With an alcolock, the offender can continue to ride. This means that the consequences for his working and social life remain very limited. On the other hand, if the offender is deprived of the right to drive for at least one year, he or she is forced to use public transport or bicycles, which is not obvious for those with a demanding job and a busy family life. It is true that the alcolock has a high price, but I think many people will give it the preference if, in return, they can keep their jobs and continue to run their household. This bill still needs to be discussed with all stakeholders: the IBSR, the judiciary, the police and the relevant ministers. I will inform you of the elements of the project when it is more advanced. As for the preventive alcohol lock, the school buses followed. My administration is currently examining all the practical and legal aspects of this dossier. Consultations with the various bodies and federations concerned are still to be held. It seems complicated to me to require other governments at my level to buy new vehicles with an alcohol lock. However, I am firmly in favour of such initiatives. In fact, it seems essential to me that the government should contribute to ensuring a positive image of a preventive alcohol lock. The cost of an alcohol lock depends to a large extent on the cost of the appliance and its installation in the vehicle. As this corresponds to an economic reality, it is difficult for the government to intervene here. The cost of the framework programme can also be addressed, but since good guidance contributes to the continuing nature of the change in behaviour that the alcohol lock causes, it must provide sufficient quality for me. It is currently examining how to standardise the technical requirements of the appliance at European level as far as possible, so that manufacturers no longer have to bear the costs of the type approval in each country.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u4	Madam Chair, I thank the Minister for his response. Indeed, you can only be encouraged to continue developing this tool, which – as you have said – allows us to maintain a balance between safety, which is dear to us, on the one hand, and the maintenance of professional or family life, on the other. I note that you are still working on this project. I will, of course, come back to you when it is further developed to obtain more information.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u5	Madam President, Minister, from 1 October the new legal framework on electric bicycles, which we have already had the opportunity to discuss here in the past, will come into force. These are therefore the new rules for the licensing, registration or insurance of speed pedalecs, whose pedalling assistance continues to operate beyond 25 km/h. In the wake of this reform, you recently announced that you want to make the purchase of an electric bike more tax-friendly. Today, between 20% and 30% of bicycles sold have electric support and it is positive to encourage their use further, as they offer solutions both to bottling problems and to environmental challenges. So, Minister, I would like to ask you the following questions. What tax measures are you planning to take to make electric bicycles more attractive? What is the expected agenda for the implementation of this reform? What is the current state of consultation on this matter with your colleague in charge of Finance?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u6	Madam President, Minister, this question concerns the idea you announced of providing tax relief for speed pedals and electric bicycles. It is important to make the distinction between the classic electric bike with pedal support up to 25 km per hour and the speed pedelec, a bike with pedal support up to 45 km per hour. The rules which entered into force under the Royal Decree of 1 October are quite different for the speed pedal than for the classic electric bicycle, which remains regarded as a bicycle. Nevertheless, on 20 September, you yourself stated that electric bike is an ideal alternative to the car, for short and medium distances. You announced that you would want to make the purchase of such bicycles, both the electric bicycle and the speed pedals, tax deductible in the future and you would contact your colleagues from Finance and Social Affairs. At present, both classic bicycles and electric cars are 120 % deductible for employers. The tax relief for individuals, which is linked to the purchase of electric vehicles, is a regional competence. Mr Minister, I have the following questions. In what way do you propose to make the electric bicycles and the speed pedals tax deductible? Is it a private tax deduction? Is it about the deduction for employers or both? What kind of laws did you have in mind? How does it work with your colleagues to achieve these objectives?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u7	I wrote to my colleagues Johan Van Overtveldt and Mrs De Block in September asking them to set up a joint working group that will bring together experts from different administrations to implement various tax and ONSS measures aimed at achieving our Belgian CO2 emission targets and making speed pedalec more attractive. Indeed, since the entry into force on 1 October of a regulatory framework which determines different types of electric bicycles, it seems to me appropriate to adapt the legislation which refers to bicycles as a mode of travel. Therefore, I propose to amend the Code and to provide the deductible mileage fee for all types of bicycles, including the speed pedelecs. The tax measures I propose to promote speed pedelec are aimed at both individuals and employers.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u8	Madam President, I thank the Minister for his answer.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u9	Minister, I can only welcome your answer. Thanks for that.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u10	Madam President, the royal decision on speed pedelecs entered into force on 1 October 2016. Since speed pedals according to the KB are to be considered mopeds, their position on the road is similar to that of the Class B mopeds on the road. That's the general rule. Thanks to the separate logo, which has been developed for it, namely a moped with the letter P, they can still be allowed on certain roads where mopeds are banned today, but where it is desirable that speed pedelecs are allowed anyway. These can include reserved roads, roads along canals and waterways, cycle paths, agricultural roads, roads marked with an F99 sign. These roads are ideal for the speed pedelecs and very important to offer them a future and to give them an important role in traffic. In this way the speed pedelecs play a more important role as an alternative to the Audi A6. All these signs and roads therefore require an adjustment, namely an explicit admission by indicating the new speed pedal logo. My concern is that many road managers do not regard that as a priority and too high a cost for the single speed pedelecs that are driving around today. The subject has already been discussed in the Flemish Parliament. Minister Weyts, responsible for Mobility at Flemish level, stated in committee that the municipalities are not yet fully aware of the new regulations. My fear is that it will take quite a long time before speed pedelecs will be admitted to the most suitable roads, including roads along waterways, on F99 roads, hunting paths. In the development of the KB, no consideration was given to automatically allowing the speed pedals where bicycles are allowed. This can be solved by a simple rule in the KB. This would avoid all the red tape in the adjustment of road signs. Are road managers sufficiently aware of the new rules? Why is that? Why is that? Do you recognise that for the admission of speed pedelecs on functional bicycle connections a great effort must be made by the road managers, who have to adapt all traffic signs F99? Why is that? Why is that? How do you view the idea of aligning the position of the speed pedals on the road with that of the bikes? This is a simple solution, which means that road managers do not have to change all road signs. Do you agree or disagree?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u11	I would like to endorse Mr Van den Bergh's questions. At the local level we look at the lyrics. It is anything but obvious to give the speed pedelec a place. In my written submission, I referred to Articles 15, 16 and 17. Additional specifications are also provided in Article 24, with underboards M11 to M20. For a rural municipality it is a serious impact to change the blue signs F99A, F99C, F101A and F101C. We try to give our roads a certain comfort. It is our vision to promote slow roads. Now we need to change our mobility policy. To what extent has a delegation of local road managers, the VVSG and others, been consulted in the legislative process? Wasn't it easier to equate the speed pedelec with the bike and grant the road manager exceptions? What communication do you plan to clarify the regulations to the local authorities?
