ParlaMint-BE_2016-04-13-54-plenair-ip105x.u1	The meeting is open. The meeting was opened.
ParlaMint-BE_2016-04-13-54-plenair-ip105x.u2	In accordance with the opinion of the Conference of Presidents of 13 April 2016, I propose: 1) to be entered on the agenda of tomorrow afternoon's plenary session: - the draft law on supplementary measures to combat terrorism, Nos 1727/1 to 4; - the bill (Mrs Sonja Becq and Mr Raf Terwingen and Mr Servais Verherstraeten) supplementing the Code of Criminal Procedure with regard to the telephone tap in arms trade, Nos 117/1 to 4; - the bill (Mrs Hans Bonte and Mr Alain Top) amending the Code of Criminal Procedure on measures to promote the fight against illicit arms trafficking, No. 1362/1; - the legislative proposal (Mr Olivier Maingain and Mrs Véronique Caprasse) amending the Code of Criminal Procedure and the Law of 8 June 2006 regulating economic and individual activities with weapons, No. 1463/1; - the bill (Mr Hans Bonte) amending the law of 5 August 1992 on police officers with regard to a final flow of information on foreign terrorist fighters, No. 1711/1; - the value of all Mr Peter De Roover, Mrs Laurette Onkelinx, Mr Denis Ducarme, Mr Servais Verherstraeten and Mr Patrick Dewael, Ms Meryame Kitrir, Mr Jean-Marc Nollet and Mr Kristof Calvo and Mrs Catherine Fonck) to set up a parliamentary committee of inquiry into the circumstances that led to the terrorist attacks of 22 March 2016 at Brussels National Airport and at Maalbeek Metro Station in Brussels, including the evolution and approach of the fight against radicalism and terrorist threat, No. 1752/1; - the proposal (Mrs Barbara Pas and Mr Filip Dewinter and Mr Jan Penris) to set up a parliamentary committee of inquiry to investigate the Molenbeek terrorist cell which committed a series of terrorist attacks in Paris, Nos 1626/1 to 3; 2) the examination of the report of the Special Committee responsible for the follow-up of the file "Dieselgate', Nos 1720/1 and 2, to be postponed to Thursday 21 April 2016. In accordance with the opinion of the Conference of Presidents of 13 April 2016, I propose: 1. to include in the agenda of tomorrow's plenary session: - the draft law on additional measures to combat terrorism, Nos. 1727/1 to 4; - the bill (Ms. Sonja Becq and MM. Raf Terwingen and Servais Verherstraeten) supplementing the Code of Criminal Investigation with regard to wiretapping in the event of arms trafficking, Nos. 117/1 to 4; - the bill (MM. Hans Bonte and Alain Top) amending the Code of Criminal Investigation with a view to promoting the fight against arms trafficking, No. 1362/1; - the bill (Mr. Olivier Maingain and Ms. Véronique Caprasse) amending the Act of 8 June 2006 regulating economic and individual activities with weapons and the Code of Criminal Investigation, No. 1463/1; - the draft law (Mr Hans Bonte) amending the law of 5 August 1992 on the police function with a view to enabling the effective transmission of data on foreign terrorist fighters, No. 1711/1; - the proposal (Mr Peter De Roover, Ms Laurette Onkelinx, MM. Denis Ducrame, Servais Verherstraeten and Patrick Dewael, Ms Meryame Kitir, MM. Jean-Marc Nollet and Kristof Calvo and Catherine Fonck) to set up a parliamentary committee of inquiry to examine the circumstances that led to the terrorist attacks of 22 March 2016 at Brussels-National Airport and Maelbeek Metro Station in Brussels, including the evolution and management of the fight against radicalism and the terrorist threat, No. 1752/1; - the proposal (Ms Barbara Pas and MM. Filip Dewinter and Jan Penris) to set up a parliamentary commission of inquiry to investigate the Molenbeek terrorist cell which carried out a series of attacks in Paris, Nos. 1626/1 to 3; 2) to postpone the discussion of the report of the special commission responsible for the follow-up of the case "Dieselgate", Nos. 1720/1 and 2, until Thursday, 21 April 2016. Are you sure you don't mind? [[No.]] Thus shall be done. No observation? [[No]] That will be the case.
ParlaMint-BE_2016-04-13-54-plenair-ip105x.u3	Following the terrorist attacks on Tuesday 22 March 2016, the National Assembly of the Republic of Côte d'Ivoire expressed my condolences. On the occasion of the terrorist attacks on Tuesday, 22 March 2016, I received a message of support and condolences from the National Assembly of the Republic of Côte d'Ivoire.
ParlaMint-BE_2016-04-13-54-plenair-ip105x.u4	Proposal tabled by: Proposal submitted by: Benoit Hellings, Stefaan Van Hecke, Jean-Marc Nollet, Kristof Calvo, Gilles Vanden Burre, Meyrem Almaci, Muriel Gerkens, Evita Willaert, Georges Gilkinet, Wouter De Vriendt.
ParlaMint-BE_2016-04-13-54-plenair-ip105x.u5	The general discussion is open. The general discussion is open.
ParlaMint-BE_2016-04-13-54-plenair-ip105x.u6	Mr President, Mr Yüksel refers to his written report.
ParlaMint-BE_2016-04-13-54-plenair-ip105x.u7	It's been noted.
ParlaMint-BE_2016-04-13-54-plenair-ip105x.u8	Mr President, ladies and gentlemen, although this draft law may ignore many, we should not underestimate its economic and democratic importance. The design is the result of a nice collaboration between Minister Alexander De Croo, Secretary of State Theo Francken and Secretary of State Bart Tommelein. It is not just an international trend, it is also a paradigm shift in this country. Let me illustrate this with an example from the past. Opening up data has long been a sensitive issue. Many administrations consider their data to be their property. They guard them like a chicken's eggs. However, the data can do a lot of business. In 2010 I raised the subject for the first time in Parliament, with a question addressed to then Minister Vincent Van Quickenborne. He responded very enthusiastically and took the initiative to launch a portal website. At that time, there was cooperation with the Flemish level. Flanders then proposed the first draft paper for structural open data policy. That was the first asymmetric cooperation and actually confederalism avant la lettre. Flanders started for the first time with a structural policy to open up data, let people work with it and also create economic added value. Opening up data was not only to be done nationally, but also locally. I also took the initiative there, through Helga Stevens, she was then the only N-VA municipality council member, because N-VA was still a very small party to ask a question in the city council in Ghent. The reaction back then was a little weird. The Ghent ship college found it obvious to open data to others, but it could not allow the data to be commercially reused and companies to profit from the data owned by the government. 'Cause companies that make profits are the devil. That was the reasoning of the Ghent ship college, which consisted of socialists and liberals. In Ghent they are more or less the same. Fortunately, such a reaction is no longer possible today. That's turned around.
ParlaMint-BE_2016-04-13-54-plenair-ip105x.u9	Mr Dedecker has really invited me to reply, Mr President. Mr Dedecker was not in the city council then and certainly not in the college. I was in the city council then, and I think I'm still in college. Mr Dedecker, it has never been said that companies that would make profits are the devil. On the contrary, Ghent is an example of cooperation between private and government when it comes to development. The Work site, the development of the old docks, the collaboration with sogent, everything goes in collaboration with the private. Many other public services and certainly other cities can take an example. You say that a company that makes a profit is the devil's. I would put that phrase a little differently. Moreover, as far as the data itself is concerned, it is a bit strange, but you are always in favour of using taxpayers' money properly. There it was the opinion of the government, of the city services, that they had collected data with tax money. Is it true, then, that we pass these data on to one company without charging for it? After all, it was collected by city services, i.e. with public money. You're a bit on bottles by saying that the city of Ghent was completely against that then and that it was mainly the government versus the private one. I'd be a little more nuanced about that.
ParlaMint-BE_2016-04-13-54-plenair-ip105x.u10	I'd look at what ships Tapmaz said back then. He said we can't make a profit with our data. You're gonna go into that part of it, though. We see, fortunately, that it has turned. We took the initiative at that time. Together with people from the open data community, we have gathered a number of enthusiastic officials within the Ghent administration. They helped bring about a change in policy and together created Apps For Ghent. That was a very good thing. It was a success story. Today, it's a paragon. It was a turning point. Today that has become a nice piece of Ghent's policy. I'll make it a compliment, Mrs. Temmerman. We see that the initiative is also being followed in other cities. That is a very good thing. Eventually, the federal level also jumps into the cart. What can one do with it? The possibilities are endless. If governments open up their data in such a way that they are automatically workable, then they can do very interesting things, for example data analysis. One can carry out scientific research on it. It's not just scientists who can do their thing with it. I'm also thinking of investigative journalists. They have also recently presented impressive results, but the dates that are being opened here obviously do not contain personal data. It is not about privacy-sensitive data, but of course also very good analyses can be carried out. It also benefits the public authorities: it is an incentive to work more efficiently, to analyse their own data and to keep track of them in a structural way. The added value, however, is mainly economic: Agoria, the technology federation, raises an amount of 900 million euros as an added value that can be realised if the government opens its data. That is also where the difference is made in the present draft law: we explicitly encourage companies to make profits with this data, in order to create economic added value. The aim is therefore to create an added value by combining and reusing data. Think of the innovative parking apps that can be used on a smartphone. They indicate the free spaces in the various parkings and thus offer an added value for the motorist. We must realise this added value and make full use of it. I am also thinking of SNCB's dates, which will finally be opened up. The sp.a voted against a resolution on this at the time for inexplicable reasons. I was sorry to do so, but I am glad that we can now take a step forward and that we will lower the threshold for re-use, with standard licences. Yes, we support this bill and the fact that companies are profiting from it.
ParlaMint-BE_2016-04-13-54-plenair-ip105x.u11	Mr Yüksel, you are registered as a speaker.
