ParlaMint-BE_2016-01-27-54-commissie-ic325x.u1	Mrs Grovonius is not here. Her question No. 4232 expires.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u2	Mr Minister, my question was put a long time ago when we did not get through the agenda. In mid-October, an article was published in the newspaper on the imbalance in the distribution of tasks between men and women. Professor Ignace Glorieux came to the conclusion that men still have more free time than women on average six hours a week. He said that nothing has changed in the last 15 years. I quote him: "We have long thought things would move themselves, as more women began to work, but that is clearly not the case." One of the great culprits for that unwavering pattern, according to Glorieux, is maternity leave. I quote him again: "Because you put women at home for three months, while the fathers go back to work after a few days. Sometimes they don't even stay at home at all, because in more than half the births there is no paternity leave at all. I quote Glorieux further: In those months, a pattern is installed that actually works for life. Why do we force the mothers to stay home and not the fathers?" He is joined in that theorem by, among other things, Femma. It is an illusion to think that the decision to stay home for longer is merely a free choice that makes a family at the kitchen table. The social context and regulation in this area have a major impact on this. The unequal distribution of parental leave also affects the rest of the career of men and women in couples. This is also confirmed by researcher Ilse Laurijssen of the VUB, who was a doctor with research into part-time working women under the age of 30. She explains the following: After graduation, men will find themselves more easily in a challenging job. Such a man progresses faster in his career, is often a few years older than his wife, deserves more than the children come. Then the conclusion at the kitchen table is soon that the woman's number of hours is best screwed back. This mechanism also means that employers often see women as workers who can be counted less. That could help explain why men get into challenging jobs faster, while having a challenging job just helps to control the time pressure. According to Laurijssen, there is often more autonomy in a challenging job. She too sees salvation in extensive fatherhood and parenthood. Mr Minister, I have the following questions. What, with the arguments I have mentioned above in mind, is your view that a first important step towards greater equality would be to force paternity leave, at least to extend it or even to make it easier to apply for that leave? One could grant leave automatically, so that daddies should not actually negotiate it with their employer and it is an obvious fact. How do you feel about that statement? Are you considering taking steps in this direction or even introducing such a measure?
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u3	I suppose it's not about our Prime Minister's paternity leave, but about paternity leave itself. Apparently, I've heard, he has no right to paternity leave. The Prime Minister doesn't have that. You don't either.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u4	(...) regulation.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u5	That is true in your capacity as a Member of Parliament. Perhaps you could table a bill on that.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u6	Mr President, ladies and gentlemen, I can reply quite briefly. For me, the coalition agreement is the document to be implemented. Mrs Willaert, I would like to remind you that in two places in the coalition agreement there is a provision relating to your question. Firstly, the current government wants to commit itself to maintaining existing thematic leave, motivated time credits and career breaks, parental leave, care leave and palliative leave, provided that there is a strengthening of the control of motivations and career conditions. Secondly, the government agreement states that, within the gender dimension, the government will pay particular attention to reconciliation of work and family life, and that policies will contribute to the equal distribution of men and women. An action plan focusing on equal opportunities in the field will be drawn up. It seeks, inter alia, the possibility of a more equal inclusion of leave schemes by both parents. It is clear, of course, that we must also ask for the views of the social partners and that we must also discuss them in the federal government. This will certainly include the budgetary implications.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u7	I understand, Minister, that it will be considered and that any steps will be taken forward. A while ago, the women at CD&V were warm for this proposal. I hope you can join them and at least take a few steps forward. This gender dimension is very important and research shows that it plays an important role. I know from experience that there can be a nice pattern if the dad helps more. That's what the investigation shows. It is only for a few days, but they are very important for the way in which a family can organise itself further. I hope you'll take that with you.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u8	Mr Minister, my question concerns the funds for the security of living and their financial flows. Those funds are managed with contributions paid by employers. However, there is very little information on this. You can read all my detailed questions in the light of my oral question. I won't repeat them all. How many funds are there? What kind of activities are we talking about? What are the objectives? How's the check going? How much money are we talking about? Do you share my view that these contributions and revenues are public and that greater transparency is welcome? Is there an annual accounts being made public? Is a report being prepared for the FOD WASO?
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u9	I have a hunch you already know the answer. After all, you can find all this information on the website of the FOD WASO. There are more than 180 funds for livelihood security, including the social Maribel funds for private non-profit organisations. You can find an overview of all these funds and their contact details on the website. Mr Lachaert will have consulted them several times. In accordance with the Law of 7 January 1958 on the Security of Living Funds, these funds can serve a threefold purpose: firstly, to finance, grant and distribute social benefits; secondly, to finance and organize vocational training for workers and young people; thirdly, to finance and ensure the safety and health of workers in general. You also know that, in addition to these three tasks, other tasks that the funds can assume in application of special regulations, such as training and training obligations and risk groups, must be taken into account. The funds are financed by private money, i.e. by employers' contributions which are agreed autonomously by the social partners concerned in a collective agreement to be declared generally binding. It is indeed important to remember that funds for security of existence are not financed by Community funds. There are only three exceptions to this general rule. There is co-financing with public funds for the social Maribel funds, the Maritime Fisheries Fund and the Internal Compensation Fund for the diamond sector. In these exceptional cases, therefore, a government commissioner has been provided for. The collection of the employer's contributions can be done by the funds themselves or through the National Social Security Office. The vast majority are through the RSZ, which is then reimbursed for this service. As far as your question of public or private resources is concerned, the income of those funds is, contrary to what you suggest in your question, private resources. As early as October 2004, the European Commission, following a judgment of the Court of Justice and after four years of investigation, considered that the funds managed were private resources for several reasons. The fact that the collective agreement establishing the Fund is made generally binding by royal decree does not alter the conventional nature of those provisions. Your next question concerns the control and competence with regard to the operation of the funds for the security of existence. Funds are not social public services. They are purely private-law initiatives, for which you, by definition, respect. The legislator did not set up the funds itself, as is the case with the public social security institutions, but merely set up a legal framework for the funds in which they can organise their activities. The Minister of Work and his administration therefore have limited competence. I'll go over that. Firstly, the most important aspects relating to the operation of the security of life funds, the establishment and adoption of the statutes, the amendment of the statutes, the determination of the benefits and of the employer's contributions should be laid down in collective agreements which the King has declared generally binding. Any collective agreement for which a request for a general declaration is made shall be checked by my administration for its legality. Secondly, the law of 7 January 1958 on the security of living funds provides for the intervention of the Minister only in the event of a disturbance in the financial equilibrium of a fund. If the social partners do not themselves take sufficient remedial measures, the King may impose the necessary public remedial measures. The management of each fund is controlled by a reviewer or an accountant, which you by definition also have a lot of confidence in. Like me, by the way. A auditors or auditors shall have an unlimited right of supervision and investigation of all the fund's accounting operations. He may inspect books, correspondence, minutes and any writing of the Fund on the spot. Where a fund is in a situation of financial imbalance, a special obligation of the auditor or auditor shall apply. Indeed, where it appears that the financial statements show a negative balance that cannot be cleared with previously established reserves, the auditor or auditor shall report this in his report. I come to the following aspect: transparency. The Royal Decree of 15 January 1999 on the accounts and annual accounts for the security of living funds established an appropriate accounting system for the funds of security of existence, which takes account of the specific needs and characteristics of the funds. This KB was established after consultation with the National Labour Council. The annual accounts to be drawn up each year shall include the balance sheet, the profit and loss account and an explanation comme il faut, as any small and large enterprise must do. It must be drawn up in accordance with a pre-defined structure. No problem either. The annual accounts, the annual report on the security of existence funds and the report of the auditor or auditor shall be forwarded annually to the chairman of the competent Joint Committee or Subcommittee, who shall immediately submit them to the Joint Committee or Subcommittee. The Chairman of that Joint Committee shall then immediately send a copy of these documents to the Minister for Employment and Labour or to the Minister for Employment. It's done through the administration. The administration then examines the aspect of financial equilibrium. All documents submitted to the General Executive Board of Collective Labour Relations are considered to be administrative documents which can be consulted by everyone in accordance with the rules governing public administration, and certainly by Members of Parliament. Moreover, the funds for the security of life themselves spontaneously take initiatives to achieve greater transparency of their operation, for example through a website. For example, everyone can also consult the annual reports digitally on the website of certain funds for the security of living, for example in the construction sector. Mr Lachaert, as far as transparency is concerned, everything is perfectly regulated by the previous governments. I know these funds get regular attention. That's good, too. Another aspect that was not dealt with in your question concerns the simplification of the joint committees to which we must come. If these funds are linked to joint committees, we will be able to harmonise them further. Unless you have other information, there is no major current problem. If so, you will certainly inform me about it.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u10	Thank you, Minister, for your very detailed and detailed reply. The advantage of a detailed question is that the answer comes back in detail. You will recognise that we are in the semi-public-private sphere, in the sense that it is about contributions paid by employers. This is usually an obligation in the sector. There is therefore a certain public objective, but private funds are used to implement it. What you're saying is true. I can share your analysis. However, this is a public objective, and that is why we need to ensure that the funds are well spent and guaranteed, so that the tasks are properly carried out and financially covered. However, there should be no exaggeration by placing money in capitals that are not needed for that purpose. There is no acute, major problem, but one fund is more transparent than the other. Of some, a lot of information can be found on the Internet, for others it is not. The question is whether the current resources are sufficient. You have described the framework very clearly. However, the question is whether the control of each fund is being effectively exercised? There are no major abuses to me today, but it is a point of attention, knowing that there is a lot of money involved, which also has to cover important objectives for workers. We can continue this debate. In any case, I found it interesting to ask you those questions. Thank you for the detailed answers.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u11	Minister, this question also dates back to the previous committee meeting. Since 1 September 2015, young people without a diploma or equivalent certificate are no longer entitled to an integration allowance. According to the ACV's figures on 1 September, there were three thousand young people who would no longer receive benefits and who would no longer be accompanied by the VDAB to get a job. We've been a lot of months now. In the meantime, do you have reliable data on the number of young people who are not receiving or no longer receiving benefit for this reason? Do you know how many of these young people have used a living wage and how many more young people are being accompanied to the labour market? At the presentation of the second socio-economic monitoring on 17 November 2015, you said that you are aware that this is a delicate dossier and that you monitor and follow up the situation closely to see if young people disappear from the radar. How exactly do you do that? After all, if these young people do not come to the OCMW, how can you follow them? It is interesting to know how many young people are knocking on the door at the OCMW, but it actually seems even more interesting to us to know what happens to the young people who do not knock on the door at the OCMW. What will you do when you can see from the figures that young people are disappearing from the radar and that young people are getting so far from the labour market that their access to it is becoming increasingly unlikely? At the presentation of the second socio-economic monitoring, you spoke about adjustments if young people appear to disappear from the radar. What do you mean, "redirect"? What could that mean?
