ParlaMint-BE_2016-01-13-54-commissie-ic306x.u1	Mr Minister, ladies and gentlemen, I welcome you for this afternoon's questions and answers.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u2	Mr.President, Minister, in 2013, online betting sites grew by 130% of their sales and counted 1 million users, including 500,000 regular players in 2014. Online sports betting sites are accessible 24 hours a day and allow you to wager money without a ceiling at the frequency of their choice, on matches of any kind. The gambling commission denounces a flagrant lack of control but also a lack of means to achieve this. The regulator struggles to frame these playgrounds. The bets made on the web are beyond control in Belgium, including tax controls. Moreover, most sites are not always located in Belgium. They are sometimes outside European territory, where they cannot be controlled. To address this problem, an online betting site holder must now obtain a licence to operate. This authorisation implies a partnership with a Belgian physical operator. But many sites abroad still do not have this license. In this regard, Minister, I would like to ask you a number of questions. Of the sites that have been licensed, there are still many serious deficiencies due to lack of control. How often are the controls carried out by licensed operators? Have you planned to intensify them? Will new financial and human resources be allocated to these controls? If so, can you tell us more about them? Many Belgians continue to play on sites hosted abroad. Do you intend to control these excesses committed by non-licensed sites? If so, how? It is necessary to better protect players in our territory. Currently, there are about a million logins but the number of players is actually much smaller. What provisions do you envisage to limit these multiple logins? It is easy for miners to create logins that allow them to play online. What measures do you advocate in the short and medium term to ensure greater protection for these minors?
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u3	Mr Devin, the draft royal decrees which allow more specific control over the Internet have been notified to the European Commission. Once these royal decrees have been approved after the Commission's comments have been incorporated, the protocols for more effective control of gambling and betting sites will be drawn up. For the time being, monitoring takes place through the legal conditions of licensing that must be met, complaints being followed daily. If necessary, the gambling commission shall contact the licence holder to verify the professional nature of its operation. Once the protocols have come into force, more stringent controls can be carried out. The ICT budget of the gambling commission has been increased, which will strengthen the capacity and quality of the controls. The gambling commission will also invest in the acquisition of expertise, including through participation in courses and training. An illegal betting website without a license with a server located abroad to which Belgian players can access is placed, after investigation and via minutes, on what is called the blacklist of gambling and betting sites. When each addition to this list, internet services providers are informed that they have to make a "stop" page appear when the user wants to access this type of illegal online game site. There is still no measure to limit multiple player accounts. The gambling commission is currently examining possibilities for a uniform registration and identification procedure so that each player is correctly identified. The conclusions must lead to a regulatory framework that avoids these multiple logins for the same gaming site. The holders of an online gambling license are obliged to indicate on their site that it takes at least 21 years to be able to play. The gambling commission is not aware of any cases of legal sites that have intentionally allowed minors to play. Thanks to the registration and identification procedure I have just mentioned, minors will be prevented from playing online on legal sites. Minutes will be drawn up for sites that intentionally allow minors to play.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u4	Minister, thank you for your answer. That said, you indicated that the means had been increased. Could you give us an idea of what is happening in the 2016 budget? How have these resources been increased?
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u5	Mr Devin, if I may, I will provide you with the answer to this question in writing.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u6	Thank you, Minister.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u7	Mr Philippe Blanchart's inquiry No. 98 was postponed.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u8	Minister, you announced a first step in the rationalisation of the peace process before Christmas. The double seat of the peace court Herne/Sint-Pieters-Leeuw, my own region, would end up in Sint-Pieters-Leeuw and the seat in Herne would disappear. Where necessary, the principle of justice under a tree can be provided. In a second phase, the redrawing of the cantons follows. In particular, Herne/Sint-Pieters-Leeuw is a strange canton because both municipalities are far apart and are closer to Herne the municipality of Lennik, where there is a peace dish. The same goes for Gooik, Bever, Galmaarden and Pepingen, who also belong to the canton of Herne/Sint-Pieters-Leeuw. Minister, is it possible to apply justice under a tree in Herne? On what basis will you decide where justice under a tree will be applied? What participation will be left to the local authorities? Will you confirm that there will be another redrawing of the cantons after that? Based on what parameters will this redrawing take place? What is the current situation with regard to the measurement of workload in the peace courts? What stage is it in? Given the location of Herne in relation to Lennik and Sint-Pieters-Leeuw, is it not desirable that the municipalities of Herne, Bever, Pepingen, Gooik and Galmaarden should be added to the canton of Lennik?
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u9	I am pleased that we were able to land just before Christmas with the first phase of the plan for the peace appetizers. This represents an important step towards a more modern justice system. In this first phase it was decided to centralize the seat of the canton of Herne/Sint-Pieters-Leeuw in St. Peter's-Leeuw. The first phase was about the double and triple cantons. It was stipulated that the possibility of justice could be offered, where appropriate and where one is asking for it on the ground. As the mayor of Herne made me feel, this can of course still be provided for in Herne. I have been told on several occasions that in different places a more logical redistribution of cantons is possible. This is part of the third and final phase in which we look at where the limits of the cantons can be redesigned. Different criteria are taken into account, such as population figures, area, economic figures, infrastructure, the presence of hospitals and care centres, etc. I'll take your suggestion with me in this exercise. As regards workload measurement, the Standing Bureau for Statistics and Workload Measurement at the College of the Courts and Courts carried out a first measurement of the workload of the peace courts in 2015. The workload measurement report was validated by the Guidance Committee on 20 October 2015, but as was the case with previous workload measurements of the other types of courts, this report also indicates that this workload measurement is a zero measurement that should not give rise to adjustments of frameworks of any canton. This instrument must first be optimised and tested in practice.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u10	Thank you, Minister, for your reply. For the record, of course, I fully support the reform. I think it is no longer justified that we have so many peace appetizers. In a later phase it may indeed be useful to consider how the cantons can also be rearranged in a more logical way.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u11	Mr President, Minister, the FCA and by extension the interaction between the FCA and the central authorities of the Communities in Flanders, so the VCA is a recurring problem on which I regularly receive complaints. It concerns the interaction between the FCA and the VCA, the first of which interprets its powers very widely. This creates troubles on the ground. On the basis of an adoption dossier approved by the VCA, the local foreign authorities/courts shall decide on the adoption, after which the FCA shall, on the basis of a very broad interpretation of its powers, repeat the examination of the VCA in order to verify that the adoption is not contrary to public policy. A re-evaluation by the FCA based on the same data leads to legal uncertainty because, if the FCA disagrees and therefore does not recognise the adoption, the child was legally adopted by Belgians in his own country, while he cannot enter Belgium. As a result of this re-evaluation, the FCA is also above the central authorities of the Communities, while the law has merely divided the powers and there can be no hierarchy. As early as 2010, the problem was discussed in the Committee on Welfare of the Flemish Parliament. Minister Vandeurzen then expressed the need to amend the law on Articles 364-1 and 365-2 BW. In addition to consultations, he had himself submitted a proposal for legislative amendment to the then Minister of Justice, as well as to the Commission of consultations and follow-up. Mr Vandeurzen felt that it should be made clear that when applying for recognition the FCA must respect the decision of the central authorities of the Communities on adoption and subsidiarity and cannot make a new assessment on the basis of the same data. Finally, there was also the story of the Ugandan adoptions which are suddenly in great legal uncertainty, on the one hand, through the behaviour of the local consul, supported in this by a local anti-adoption association and, on the other hand, by the FCA which shut down the procedure and sent the prosecutors a warning letter concerning child trafficking and corruption in Ugandan files. Mr Minister, I have the following questions: How do you view a legislative amendment, as proposed at the time by your Flemish colleague, Minister Vandeurzen? How do you assess your colleague's proposal, which was already forwarded to the Commission five years ago for consultation and follow-up, as well as to the then Minister of Justice? Why did the Commission come together so little in the past few years of consultation and follow-up? How can the consultation be increased? What planning has been planned for the coming year? What information does the FCA base itself on to stop the Ugandan files at the moment and to write the prisons with a warning for child trafficking and corruption? Why were the central authorities of the Communities not informed of this letter? How can parents protest the decision to stop handling these Ugandan files?
