Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2016-06-28-54-commissie-ic454x	ParlaMint-BE_2016-06-28-54-commissie-ic454x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-06-2016	2016-06-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
ParlaMint-BE-en_2016-06-28-54-commissie-ic454x	ParlaMint-BE_2016-06-28-54-commissie-ic454x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-06-2016	2016-06-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	JadinKattrin	Jadin, Kattrin	F	1980	
ParlaMint-BE-en_2016-06-28-54-commissie-ic454x	ParlaMint-BE_2016-06-28-54-commissie-ic454x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-06-2016	2016-06-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2016-06-28-54-commissie-ic454x	ParlaMint-BE_2016-06-28-54-commissie-ic454x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-06-2016	2016-06-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeCremPieter	De Crem, Pieter	M	1962	
ParlaMint-BE-en_2016-06-28-54-commissie-ic454x	ParlaMint-BE_2016-06-28-54-commissie-ic454x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-06-2016	2016-06-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	JadinKattrin	Jadin, Kattrin	F	1980	
ParlaMint-BE-en_2016-06-28-54-commissie-ic454x	ParlaMint-BE_2016-06-28-54-commissie-ic454x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-06-2016	2016-06-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2016-06-28-54-commissie-ic454x	ParlaMint-BE_2016-06-28-54-commissie-ic454x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-06-2016	2016-06-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	LuykxPeter	Luykx, Peter	M	1964	
ParlaMint-BE-en_2016-06-28-54-commissie-ic454x	ParlaMint-BE_2016-06-28-54-commissie-ic454x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-06-2016	2016-06-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeCremPieter	De Crem, Pieter	M	1962	
ParlaMint-BE-en_2016-06-28-54-commissie-ic454x	ParlaMint-BE_2016-06-28-54-commissie-ic454x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-06-2016	2016-06-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	LuykxPeter	Luykx, Peter	M	1964	
ParlaMint-BE-en_2016-06-28-54-commissie-ic454x	ParlaMint-BE_2016-06-28-54-commissie-ic454x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-06-2016	2016-06-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	CrusnièreStéphane	Crusnière, Stéphane	M	1967	
ParlaMint-BE-en_2016-06-28-54-commissie-ic454x	ParlaMint-BE_2016-06-28-54-commissie-ic454x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-06-2016	2016-06-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeCremPieter	De Crem, Pieter	M	1962	
ParlaMint-BE-en_2016-06-28-54-commissie-ic454x	ParlaMint-BE_2016-06-28-54-commissie-ic454x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-06-2016	2016-06-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	CrusnièreStéphane	Crusnière, Stéphane	M	1967	
ParlaMint-BE-en_2016-06-28-54-commissie-ic454x	ParlaMint-BE_2016-06-28-54-commissie-ic454x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-06-2016	2016-06-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2016-06-28-54-commissie-ic454x	ParlaMint-BE_2016-06-28-54-commissie-ic454x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-06-2016	2016-06-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeCremPieter	De Crem, Pieter	M	1962	
ParlaMint-BE-en_2016-06-28-54-commissie-ic454x	ParlaMint-BE_2016-06-28-54-commissie-ic454x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-06-2016	2016-06-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2016-06-28-54-commissie-ic454x	ParlaMint-BE_2016-06-28-54-commissie-ic454x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-06-2016	2016-06-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
