ParlaMint-BE_2016-03-02-54-commissie-ic351x.u1	Ladies and gentlemen, I propose that we meet until 12:00.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u2	Minister, the open violence and repression of every opposition in Burundi continue. It is a huge challenge to work in a fragile country such as Burundi, perhaps the most fragile country in the partner countries for Belgian Development Cooperation. You have a certain political vision on this. I quote what your policy paper says about this: "It is the conviction of this government that sustainable inclusive economic growth is not possible without respect for human rights. For example, the country programme in Burundi clearly shows the need to change our approach. The government has decided to suspend and strengthen a number of programmes and projects closely linked to the Bujumbura regime as long as the Article 96 dialogue between the European Union and Burundi is ongoing. Programmes and projects aimed at improving the fate of the population continue to be open." What specific projects are the subject of Belgian Development Cooperation? Which ones are maintained? What is the status of these projects? When is the next evaluation planned for these projects and on what concrete elements will you evaluate them? It is, of course, both bilateral and multilateral projects as well as projects at NGA level.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u3	As far as governmental cooperation is concerned, on 2 October 2015, I decided to stop the process of forming the Burundian police after it became clear that the role of the police is not such as to justify the involvement of Belgian development cooperation. I have also decided to suspend a number of programmes which are close to the Burundian authorities or which can very easily be the subject of political recovery. It concerns the pavage project, support for the Burundian justice system and support for the ministries in the area of governance. The programmes are continued in the concentration sectors of the cooperation programme "Agricultural, education and health," the activities of which directly benefit the population. Only the activities aimed at institutional support are suspended. The reorientation of Belgian development cooperation with Burundi was registered in a European framework, in particular in the context of the Article 96 dialogue of the EU-ACP Cotonou Agreements. The European Council of Foreign Ministers is expected to decide in mid-March 2016 what measures should be taken following the unsuccessful conduct of the Article 96 dialogue. In relation to the actors of the Belgian non-governmental cooperation in Burundi, I asked them in October 2015 to send me any adjustments, taking into account the changing context. This process is still ongoing, but it is already apparent that the majority of their activities, mainly targeted at beneficiary groups, continue to be maintained and remain confident in achieving the desired results. However, many of them have had to tighten up their security measures. The regulation on the financing of non-governmental actors makes it possible to adapt to a programme flexibly in a changing context, provided that it is deemed necessary and requested by non-governmental actors, who retain their right of initiative. My administration continues to follow the issue carefully. Therefore, the existing dialogue platforms with the NGOs, both in Brussels and at the embassies on the ground, were activated. Some organisations were more affected by measures directly affecting their partners, such as freezing accounts and suspension of activities. Their situation is carefully monitored. In the field of multilateral cooperation, core funding is mainly used to contribute to the overall budget of the organisations.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u4	Minister, perhaps it might be useful to get an overview of the NGOs projects that are still going on, to get a look at the type of projects and how they stand. I heard yesterday say that the central bank is also being taken over by the current regime and that it will be very difficult to use the funds for these projects. Maybe that's what needs to be watched after all. In the end, this is a sabotage of cooperation; if one no longer gets his money through the bank, then one cannot continue to work. That must be looked at. It is not intended that the population should be affected by the fact that NGOs are no longer able to work.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u5	It is noted that some of these projects do not like to be seen by the current regime. They often take short-sighted measures to make life difficult.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u6	Mr President, Minister, on 21 May 2015, in line with the government agreement, the decision was taken to stop Belgian government development cooperation in six countries. These are two low middle income countries, Bolivia and Vietnam, and four high middle income countries, Peru, Ecuador, Algeria and South Africa. However, these countries still face an important task in achieving sustainable human development. Although they are considered economically prosperous on the basis of their gross national product, this classification obscures the vulnerability of these countries. This vulnerability is not only significant in economic terms, but also in social and environmental terms. Two thirds of the MIL from before 1990 is still today and many of them remain vulnerable to a fall to a low-income country. Many of these countries remain facing major challenges, such as the great internal inequality, human rights violations and degradation of their ecosystems. These are major challenges in which development cooperation can still play a role. You also share this view, because although government cooperation is moving towards an exit phase in the six countries mentioned above, you have already stressed in debates that you should focus more on partnerships with other development actors, such as NGOs, universities and BIO. That is a good thing, but I do not think it is enough. It does not relieve the Belgian government of its responsibility to pursue sustainable human development in these countries, which is crucial to achieving the 2030 Sustainability Agenda. Mr Minister, I have the following questions. In what way will you make the valuable initiatives of current government development cooperation in the MIL sustainable, such as the state institutions that monitor human rights, anti-corruption and so on? How do you want to strengthen partnerships with other development actors in the MIL? How will you support Belgian civil society in MIL in their actions in the field with their local partners and with local civil society, in particular in the efforts for the most vulnerable and marginalised groups? Can you guarantee that the full amount of the current promised budgets for the six exit partner countries will be spent? I would also like to know what amounts are involved. Are there also concrete agreements to reorient the budgets that have not yet been established in function of the transition?
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u7	The closure of several cooperation programmes with the six already known countries of Peru, Ecuador, Bolivia, Algeria, South Africa and Vietnam is a fact. It is crucial for the programmes there and also for other Belgian actors active in these countries, that this transition takes place properly. I know from experience that a halt, especially in Asia, is sometimes misunderstood. Belgium should not be placed as an unreliable or disloyal partner. On the other hand, there are signs that agreements will also be reviewed critically in the 14 partner countries, in order to allow for the introduction of new policy options or budgetary constraints. This means that any new agreements will no longer be concluded on the basis of commitments made during the previous Joint Committees. Existing agreements or projects can be terminated and budgets can be reduced. That is why I have the following questions for the Minister. What input do the exit countries with which cooperation is discontinued in the transitional programme? What is the state of play for the transition programmes per exit country? What budget do you provide for the rest of the legislative period per exit country? Is it true that you want to review the ongoing cooperation programme with the 14 partner countries in the context of the new policy orientations and budgetary constraints? How do we position Belgium as a sustainable and reliable partner with regard to partner countries, but also with regard to OECD-DAC? Does this not undermine the predictability of aid, an important principle of the international donor community? What will be the consequences for these cooperation programmes, for the staff of the administration working in Belgian Development Cooperation, for the local partners and initially also for DGD and BTC? Are there no costs associated with the closure of a programme? I believe that some of these decisions are based on budgetary constraints. What implications will these halts have on the budget for government cooperation in 2016? What budget is still foreseen for each sub-segment?
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u8	In accordance with the coalition agreement, bilateral government cooperation is to be extended for a period of four years. As the decision on partner countries was taken on 21 May 2015, the deadline was 30 June 2019. By then, all the interventions of governmental cooperation will have to be completed. The BTC has received this as a clear instruction. For exit countries, the ongoing commitments will be honoured, as long as they can be completed by 30 June 2019. In a number of ex-partner countries, our cooperation has already clearly reached a higher level. Support through budget support and institution building of general health insurance in Peru is a clear example of this. In addition to our purely bilateral cooperation carried out by the BTC, a cooperation agreement was signed between the Peruvian SIS, Seguro Integral de Salud, and the Belgian RIZIV. This agreement clearly exceeds the period of our bilateral cooperation. In Algeria, the success of the waste treatment programme is based on strengthening the functioning of the Algerian competent administrations and mobilising civil society. The creation of jobs through support for small enterprises is also an objective of the programme. In the preparation of this programme, all Belgian actors were invited to provide input for identification and to explore their interest in establishing partnerships with equal actors in Algeria. It is now up to the executive organisation BTC to involve them. Five of the six exit countries are on the list of the 33 common strategic frameworks of the Belgian non-governmental actors. This means that these countries remain a priority for Belgian non-governmental cooperation. During the course of this year, Belgian non-governmental actors will present their new five-year programmes 2017-2021 for these five exit countries, in which they will present proposals to support local civil society and in which inequality, protection of human rights and degradation of ecosystems may be important issues. In fact, it is by no means my intention to reduce non-governmental cooperation in these countries, quite the contrary. In these countries, civil society has just an important role to play in putting crucial issues such as inequality on the agenda and giving voice to the most vulnerable groups. In Algeria, no Belgian non-governmental organisations are active. This has to do with Algerian legislation which means that the Algerian government does not allow direct financing by foreign NGOs. I'll give you a few figures. The cooperation programme with Ecuador was concluded in 2006 and has a budget of 32 million euros. The programme with South Africa was concluded in 2006 and has a budget of 20 million euros. For Peru it was closed in 2009 and is a budget of 40 million euros. For Vietnam, the programme was closed in 2011, with a budget of 60 million euros. For Algeria, the programme was closed in 2013, with a budget of 20 million euros. For Bolivia, it was closed in 2014, with a budget of 18 million euros. Mrs Van Hoof, I have indeed asked the DGA and BTC to examine the entire portfolio of governmental cooperation for a number of reasons. First of all, because of the savings in the budget for development cooperation, as they will inevitably have an impact on governmental cooperation. Of course, there is also the 2030 Agenda for Sustainable Development, which has radically changed the context of government cooperation. My policy priorities must also be translated into governmental cooperation. As you know, the BTC has a legal ceiling of 750 million on encourse, i.e. all the appropriations committed for operations in progress. In 2015 the encourse has now risen to 735 million euros, indicating a significant delay in its implementation. If no action is taken, joint committees will no longer be able to be organised in the coming years, new cooperation programmes will no longer be signed and new interventions will no longer be possible. You will understand that I am quite willing to implement the decisions of my predecessors, as far as they are still relevant, but I would also like to see my policy priorities implemented. It seems useful to me to keep our portfolio of interventions under review at regular intervals in order to ask some questions. What's going well? What's been delayed? Where will the results probably not be achieved? Where does the partner country show little political will to honour its commitments? What interventions are not sustainable and threaten to get bogged down after delivery? To my knowledge, such an exercise has not taken place in recent decades. However, it is absolutely a useful exercise. In my 2016 policy paper, I outlined the concrete conclusions and perspectives to be drawn from the new 2030 Agenda for International Development in Belgium. We discussed this yesterday for a piece. There is a central focus on the rights approach, which focuses on progress on human rights, and the focus is on inclusive and sustainable economic growth, which reaps the benefits of the entire population. The focus is on cooperation with LDCs and countries in a fragile context, where ODA is important. Specific concerns include, for example, support for the local sector and for domestic resource mobilisation, digitisation as a lever for development, productive agriculture and food security, and climate and migration challenges. The exercise of the DGD and BTC, in which my policy cell is of course involved, is still ongoing. I cannot comment on the results, but I must confirm that the exercise will lead to the reorientation and possibly even the cessation of a number of interventions; otherwise it will be impossible to faithfully implement the savings that have been decided within the government and also to achieve my policy priorities. Of course, this will be done in consultation with partner countries.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u9	Thank you, Minister, for the very comprehensive answer. However, it would be interesting to obtain more information on the extent to which the objectives set out are also being achieved. I would ask the President to do the same. After all, it is still four years and it would be interesting to return regularly to Parliament and the committee. We can then look annually at what objectives were achieved and what the difficulties are. That's how we could follow it up regularly. However, the decision has been taken. It would be interesting for MEPs to be regularly informed.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u10	Thank you, Minister, for the answer. For the exit countries, is it clear that the budgets you have listed will be implemented further? That's the idea. I refer to the agreements made in the joint committees. You say 30 June 2019 is the deadline. However, there is doubt as to whether the planned budgets will indeed be implemented. However, I can now hear you say that it is the intention to spend these listed budgets in real terms. Are these included in the budgetary constraints? That's not entirely clear to me.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u11	As far as they can be carried out before 30 June 2019. Like I said, parallel to that, there's some sort of screening exercise going on. However, this screening exercise takes place more from a substantive perspective. Since the course is so great today, one would actually be in a situation in which even a minister who has been in office for five years can in reality lay little emphasis on policy. Keeping these things under review, in conjunction with partner countries, is a useful exercise. Otherwise we will have a system in which a minister actually only carries out what his predecessor has decided. The next minister will have to do the same. We have a legal ceiling of 750 million and today we are at 735 million. If we look at the implementation, what has to be done over the next five years is already established on the basis of what my predecessor has decided. I want to have a little influence.
