ParlaMint-BE_2016-01-27-54-commissie-ic326x.u1	Colleagues, let's start with the questions. Mr Blanchart is not present for his question No. 8082.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u2	Madam President, Minister, my question is slightly dated, because at the last sitting we discussed Diplomatic Days, as you yourself said. I tabled my question following the execution of Nimr al-Nimr in Saudi Arabia. I have begun to observe that the tension between the Sunni Arabs and Shia Iranians is rapidly rising after the execution of 48 death sentences, including Nimr al-Nimr, in Saudi Arabia. There have been riots and arsons at the Saudi embassy in Tehran. Saudi Arabia has ended air traffic to Iran, suspended commercial relations and banned its inhabitants from travelling to Iran. Then Bahrain, Kuwait, Djibouti and Sudan broke off diplomatic relations with Iran. Oman has once again condemned the breaking of diplomatic ties. On 5 January Iran showed images of a secret underground missile base, in which the new Emad missile is stored. The Emad rocket has a range of 1 700 kilometers and can thus certainly hit Israel and actually all the American bases in the region. All Saudi oil installations are also within reach. I have six questions for you, Minister. Firstly, have the Iranian authorities allowed or tried to prevent the destruction of Saudi Arabia's diplomatic posts? Secondly, does Saudi Arabia abuse the attacks to further increase tension in the region? What's your analysis? Thirdly, sheikh Nimr al-Nimr was arrested in 2012 and sentenced to death in 2014. However, he was not executed until 2016. The late King Abdullah never executed the sentence. Is that an indication that Saudi Arabia has a harder line under King Salman than King Abdullah? How will this evolution affect the Belgian line towards Saudi Arabia? Fourthly, do you think there is a need to review our diplomatic relations with Saudi Arabia? What elements are you putting on the table? Fifthly, what is the impact on the peace negotiations for Syria and Yemen? What action is the European Union currently taking to prevent these peace negotiations from being imploded by the conflict between Iran and Saudi Arabia? Finally, I would like to have an overview of the extent to which you have responded to the questions put by the Chamber, as expressed and adopted in Resolution No. 54K 1154 on human rights in Saudi Arabia and the situation of Raif Badawi.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u3	Madam President, Minister, Saudi Arabia is not the first subject of discussion here, and I suspect that it will not be the last time. It has been demonstrated once again how precarious the situation in the Middle East is. Moreover, we are in a very difficult situation. On the one hand, the human rights violations that are taking place in Saudi Arabia are undisputed and far-reaching, and on the other hand, the importance of that country for the stability or instability of the region is very great. It is also about a geopolitical struggle between Saudi Arabia and Iran, between the Sunni and Shiite worlds, and also between the spheres of influence of both. You know the details. They've just been put together by the colleague. That data also shows that Saudi Arabia is absolutely not isolated in that Sunni world. A Sunni front has been created, as it were, which also shows how careful one should deal with this situation. Nor should we create the impression that action by the West or by the world community would create tensions by creating the impression that some anti-Sunnitic front would be created. In short, it is difficult to maneuver in this matter. I am a little more modest than my colleague, because I would just like to ask you four questions. What contacts have you had with your international counterparts about the escalating situation on the ground? What did you get out of that? Secondly, what are the consequences of this escalation on the international coalition, or what should be done about it, against IS? After all, the two major opponents, Iran and Saudi Arabia, are also formally allies in the fight against ISIS, to show just how bizarre the situation is. Can we also hear your views on the Yemeni conflict? What is the further evolution? What is the impact on the entire region? Finally, what initiatives can you take to de-escalate the conflict, which can have a global impact when things get completely out of hand?
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u4	Mr Minister, my questions have also been formulated in the context of the events outlined by the two fellow Members. I have only four questions, variations on the questions raised by my fellow Members. Firstly, Minister, how do you assess the executions carried out by Saudi Arabia, including the chairman of the UN Human Rights Council? Secondly, how do you assess Iran's attitude? Thirdly, Iran and Saudi Arabia are important regional players. How do you estimate the effect of the current increasing tension between the two countries on the region? I am thinking in particular of the possibility of working out a solution to the situation in Syria, specifically in view of the negotiations which should have started on 25 January, but which have been postponed somewhat. I also refer to the conflict in Yemen, in which both countries play a key role. Finally, Minister, what steps do you intend to take in this context?
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u5	Thank you, Mr Claerhout. The other Members with questions are not present. I give the floor to the Minister.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u6	Madam President, I have precise answers to the various questions. I will reply in the two languages, including questions from absent colleagues. First of all, I would like to comment on the events of the beginning of this year. Belgium, of course, regrets the implementation of 47 death sentences and the related violations of human rights. As you know, the abolition of the death penalty remains a priority for both the European Union and Belgium and there are EU guidelines on the death penalty. In line with these guidelines, various actions are being undertaken by Belgium and the EU, both bilaterally and multilaterally, including démarches and condemnations of the facts. I have already publicly expressed my concern about the impact of these executions, in particular that of Sheikh al-Nimr on the regional situation. The Ambassador of Saudi Arabia in Brussels was called upon, at my request, to go to the Department of Foreign Affairs to receive the same message by official means. The meeting also provided an opportunity to address the issue of human rights in general as well as some individual cases of concern to us. With regard to blogger Raif Badawi and the House resolution, I refer you to the answers I gave in plenary. But I confirm to you that we have again intervened on this subject. I come to the Presidency of the Saudi Ambassador of the Consultative Group of the Human Rights Council. Although I regret the Saudi position and actions on the death penalty, as I have already stated, the Saudi Ambassador has been Chairman of the Consultative Group of the Human Rights Council since May 2015. The members of the consultative group are also put forward by the various regional groups. As a general rule, these are permanent representatives, who are, however, deemed to be in their personal capacity. Our country had no say in this appointment. Our fear, like that of the international community, is that the growing tensions between Saudi Arabia and Iran will undermine international efforts to find negotiated political solutions to the conflicts, particularly in Syria and Yemen. We believe that collaboration between Iran and Saudi Arabia is essential to effectively fight against Daesh and to get out of the crisis in Syria, Yemen and Iraq. As far as Syria is concerned, like you, I have taken note of the fact that the Iranian and Saudi authorities have expressed their willingness to continue the process begun in the context of the meetings initiated by the United Nations. I will follow this issue closely. The withdrawal of the cease-fire by the coalition led by Saudi Arabia in Yemen and Iran's accusation of the shelling of its embassy in Sanaa by the coalition forces is, unfortunately, already an example of the negative spiral in which the region could end up if Saudi Arabia and Iran fail to improve their relations. I cannot move forward on the exact circumstances that led to the attack on the Saudi embassy in Tehran – and indeed on what happened in Yemen with the Iranian embassy – but I obviously strongly condemn this attack, as the Security Council also did. He called on all parties to comply with the obligations under the Vienna Convention, in particular with regard to the host State's obligation to ensure the safety of diplomatic personnel and premises. In my bilateral contacts, but also multilaterally, I will continue to advocate cooperation, dialogue and political dialogue between all the regional partners, as they are and will continue to be necessary to resolve the regional crisis. We have been trying for a few months to go to a real new round of negotiations on Syria, Iraq and Libya. In the last few weeks it was possible to get all the important partners around the table in Vienna at the end. Now we are trying to start in Geneva with such a negotiation process around Syria. It is necessary to have not only the United States, Europe and Russia around the table, but also the regional powers, namely Turkey, Saudi Arabia and Iran. Thanks to a truly important role of Europe in the discussions with Iran on nuclear energy, it is now possible for the European Union to have more influence in the region, perhaps also for such a new negotiation process. It'll be very difficult. We must ask Saudi Arabia to put pressure on some opposition groups. It is Saudi Arabia's job to do that in Syria, so that we can have different opposition groups at the table. It's not easy. We should, for example, also ask Russia and Iran to exert the same pressure on the Bashar al-Assad regime, to move in the same direction and to create a real opening for a transition process. I repeat. We have condemned not only the death penalty but also other violations of human rights. We also asked for a de-escalation. It is not obvious, for example in Yemen, but we are still trying to get proper cooperation from Iran and Saudi Arabia on many different dossiers. We now have a real opportunity to make progress, thanks to the presence of everyone around the table. You have seen it in the last few days and hours: it remains very difficult. It was normally planned to start last Monday, there was a delay until Friday and I suspect we will see other events. We will always exert the same pressure on all partners at bilateral level, and even more so through the European Union. A political solution is the only way for Syria, Iraq or Libya. It is necessary to be a member of a military coalition, it is necessary to do more on a humanitarian level, but the only way is a political solution. Unfortunately, there are many exciting moments between the different partners, but it is possible to start a real negotiation process, we now have an opportunity. We will support that opportunity. I hope that in the next few days, weeks or months it will be possible to make progress towards a real transition in Syria, a real, inclusive government in Iraq and at least a real government in Libya. In addition to Syria and Iraq, we now have a lot of problems in Libya. It is also a task to bring about a positive evolution for that country, thanks to the possibility of having all the partners around the table again.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u7	Minister, allow me to return to my question, which I have tabled. In what way will a number of evolutions affect the Belgian attitude towards Saudi Arabia? You didn't actually answer that. May I conclude from this that our attitude towards Saudi Arabia will not change? Will she remain the same as in the past few months and years? I would like to make that clear. A number of party chairmen, even majority parties, have made statements in recent weeks and months when the debate on Saudi Arabia started in our country. It was then, for example, about arms trafficking. That is a regional competence. In addition, there are economic relations with the country, but it can also be perfect about purely federal matters. I am thinking of royal visits to Saudi Arabia, federal trade missions and so on. Can't we take a different attitude in that? I do not need to remind you, because you yourself have listed a number of things. We all know the human rights violations in the country. They also export wahabism. Saudi Arabia is a source of instability, it finances international terror. When we talk about Syria, we talk about Al-Sham or al-Nusra via a very direct line. This must force us to change our attitude towards Saudi Arabia. You have not given any indication that you are indeed planning to do so. I would ask you to reconsider that. One of my questions was to what extent you responded to Parliament's question in the resolution on Raif Badawi. I refer, for example, to paragraph 11 in the resolution. We have asked the government with Parliament to make a thorough reflection on Belgian diplomatic, military, economic, commercial and energy-related relations with Saudi Arabia. From the answers you always give to Parliament, I cannot infer that you have had that in-depth reflection. I will put a written question so that you can convince me of the opposite, that you did have that reflection. I would ask for a certain note, a certain report of that reflection, which you should nevertheless carry out if you take Parliament's question seriously.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u8	I can always repeat the same answers. As I said, I have already replied in this context in plenary. You can come back every week with the same question. Allow me to mention a few more points. Firstly, on the federal level, I said that we will continue our diplomatic relations in a real dialogue with Saudi Arabia. In the first place, you are asking us to do something about human rights. How is that possible without a direct contact? Well, both myself and my staff have had direct contact with my colleague and staff from Saudi Arabia, for example in connection with the very difficult situation of Raif Badawi. So far it has been successful, because part of the sentence has not been executed, although he is still in prison. That success can only be achieved by such actions, day after day. So I will not give the same answer every week in that regard. Secondly, on an international level, it is very useful, as I said, to have Saudi Arabia around the table, for example in the talks on Syria. You could say that it is not important, or that we can exert more pressure in another direction. However, a solution for Syria without the presence of Saudi Arabia is impossible, for example because in that case we cannot get some opposition groups around the table. You could question its importance, but I think that Saudi Arabia's presence is really important. That's why I'm going to continue with the M.O. Thirdly, with regard to economic relations, there are no intentions to organise new royal missions or foreign trade missions to Saudi Arabia. Nor have we been asked to do so. I have written a letter to the three Prime Ministers, who are responsible for a number of foreign trade issues, especially the arms trade. I have also received answers to this letter, which I have already mentioned in Parliament and which I shall now repeat. The Prime Minister of Flanders wrote to me to inform me that he has asked FIT to investigate possible problems with an investment in Antwerp. I believe that, like you, I will wait for FIT's response to the Prime Minister, after which action can or cannot be taken by Flanders. On the Walloon side, I received a response from the Prime Minister that he would continue to supply arms. There may be some further discussions on this. From Brussels I have perhaps received a new element from Minister Vanhengel, who is proposing to hold a discussion on this at the next Inter-Ministerial Conference on Foreign Affairs, which I will do. Finally, like the Minister of the Interior, I have already spoken about the question of Saudi Arabia's interference or of wahabists in a specific cultural centre. The Grand Mosque of Brussels is a cultural centre. It's not just about Saudi Arabia. Other countries such as Morocco and Senegal are also at the table. The Home Secretary asked for an investigation into State Security. I can't say anything more about that. We wait now. Then perhaps there will be a response or an initiative by the Minister of the Interior regarding the mosque. I call for an internal training of imams in Belgium, with imams from the local communities and in cooperation with the Communities responsible for education. You can ask for my position on Saudi Arabia every week. I've already given that and I'm confirming it now.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u9	Minister, I am not in favour of stopping the dialogue. Nor do I plead for Saudi Arabia to be removed from the Mistura table. We have not said that at any time. We have said that the balance in our foreign policy and our diplomatic relations with Saudi Arabia needs to be shifted a bit. You know this is our question. You also know that that question lives. Why? For reasons of human rights violations, of course, but also because I believe that business as usual with Saudi Arabia is no longer in our own interests, not in our security interests and not in the interests of stability in the Middle East. So we have to make an adjustment. You mentioned a number of elements, but of course they still have to be implemented. It remains awaiting the re-examination that we are asking for, but I would like to conclude from your reply that you are doing so.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u10	Thank you, Minister, for your reply. Of course, I am pleased that you are using your, albeit limited, options to prosecute human rights violations. It is perhaps regrettable that Saudi human rights are not the subject of a direct decision by this body, because otherwise we would speak another language, but we know the limitations that exist there. You are very aware of the great legality of international politics, that there must be a balance between power and principles. If one does not link one to the other, then one is a doggie with little attention. There's a lot of confusion, a lot of things getting mixed up. The local situation is then linked to possible investments here or to wahabism, which indeed has too much influence here. However, these discussions cannot and must not be thrown into a single pot. We fully support you, whether we like it or not, in the interest that you attach to Saudi Arabia for finding a diplomatic and negotiated solution, and for the dialogue that is needed to get the peace we all want in the Middle East. In that dialogue, Saudi Arabia is, of course, an essential partner, whether we like it or not. If we forget that, we are promoting instability rather than stability. The nuclear agreement with Iran offers new opportunities. We can talk to that country in a different way than until recently. I hope that these opportunities also offer new openings. I hope that we can move forward with very small steps, that is all it will be. Saudi Arabia's theoretical potential is very great. I believe Saudi Arabia could be a game changer in the Middle East. It is very important that we be very careful to ensure that development goes in the right direction. In that sense, I welcome the answer you have given.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u11	The next item on the agenda is Question No 5, by Mr De Gucht (H-I) on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf
