ParlaMint-BE_2016-10-19-54-commissie-ic508x.u1	Question No 11269 by Mrs Willaert has been converted into a written question.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u2	Mr President, Secretary of State, your predecessor, Mr Tommelein, announced in the spring that he would like to address the fragmentation of social inspection services. This fragmentation of services is not effective in the fight against social fraud, and costs are growing, as many of these services have their own management structure and their own management. Cutting these structures can save a lot of money. When you took office as Secretary of State, you stated that you certainly wanted to continue your predecessor's plans. Recently, some of your reform proposals were announced. For example, I would say this in a conditional manner, because we have not formally heard from you that the Social Inspectorate is merging with the inspection service of the RSZ. The announcement of this possible merger almost immediately led to unrest and protest. Mr Secretary of State, I have two specific questions. Are you aware of the criticism of your proposal that is before you today? Do you understand the reaction of the Social Inspectorate? Are you willing to change the initial plans, taking into account the different points of criticism? If so, what changes do you intend to make?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u3	Mr President, Mr Secretary of State, I come back to the discussion we had at the plenary session on 22 September because the context now allows us to explain more about this process of social inspection reform. This service is an essential link in the fight against social dumping, which destroys thousands of jobs every year in our country and undermines many entrepreneurs who respect social legislation by paying dues properly. These include the construction and transport sectors. The ongoing reform raises concerns and discontent between field inspectors and labour court magistrates. This seems to me to be a signal to take into account. It seems to be a question of assigning social inspection officers to INAMI, INASTI or ONSS, i.e. structures that are not specialised in the fight against social fraud. At this stage, it is difficult to see how the reform could address the lack of human resources devoted to the challenge of combating social fraud and dumping. You may have been misunderstood, Mr. Secretary of State; perhaps we should change course, at least that is my impression. How was the consultation organised with the departments concerned and with the labour auditors to prepare for this reform? Has their opinion been taken into account? In what way? Can you tell me how the fight against fraud and social dumping will be reorganized as a result of this reform? What will happen to current services? To which structures will social inspection officers be reassigned? Can you detail what additional human and material resources will be allocated to the fight against fraud and dumping? Can you present the government's timetable for implementing this reform?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u4	Mr President, Mr Secretary of State, my colleagues have just referred to the context. I'd like to understand. Last July, you and your colleague, Minister Borsus, took a big walk. All the cameras were invited to show how effective you wanted to be in the fight against social dumping. That is very good, but I still heard yesterday from the Confederation of Construction, which called on the federal government to move at last by pointing excessively to the lack of action and intervention, even though important levers are on the federal side. To return to social inspection, we need reasons to change everything. What do you blame them for? Do you think they're not effective? Do you find that there are malfunctions and problems? A reform is based first on a diagnosis and is justified on the basis of a diagnosis. If this is an efficiency search, I would like to hear a lot of things. I wonder, however, whether there is a pretext behind all this. Indeed, it was necessary to make this famous redesignation of the federal administrations. Since then, the government has changed. I have to. No one had done anything about it. Is that a budgetary pretext? In any case, compared to the option you have taken, there are many reactions. They come first from the services. You'll retort me that it's because they're concerned, that they don't want to change. I would therefore like to convey to you here the positions of the judges of the labour courts. That's interesting. They know the matter well. It is those who are on the ground, those who, in the end, clearly allow strong decisions to be taken. What do they say? I quote Judge Clesse: "It is as if the local police were being taken from a King's prosecutor. How do you want them to control and organize repression without anyone on the ground? However, social inspection is the main strike force in terms of control and respect for social security. Without them, it's almost an invitation to fraud for all employers." You're going to tell me we're not going through with them and we're just reorganizing the services. With regard to this reorganization, and in particular the division between the INAMI, INASTI and ONSS services, Justice Clesse states: "At ONSS, they manage the files through joint councils. Their approach is much more administrative. They are more inclined to just claim social contributions due, but without a fine." All the auditors at work speak with one voice on this issue. They hope that it is not too late to change the options taken at the federal level. I would like here to take over from labour judges and those on the ground who are fighting against social dumping. This is a major issue. The Confederation of Construction recalled that yesterday. There is therefore an urgent need to manoeuvre in this regard. It is good to create new jobs, but the priority is to avoid further haemorrhage in different sectors. Indeed, sectors other than construction are also directly concerned.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u5	Mr President, Mr Secretary of State, in the government agreement we agreed that the social inspection services would be adequately supported and, if necessary, strengthened in order to achieve the objectives of controls in sensitive sectors. Your predecessor confirmed that in his policy paper and it was also confirmed in your policy paper. It was confirmed that there would be substantial investment in people and resources. You have always been able to count on our support in this respect. After all, we are also convinced that there must still be a physical presence on the ground of inspection, on construction sites and in sectors sensitive to fraud. Apparently, a strategic task force was also set up to make proposals by 1 October 2016. Apparently, there are these proposals now. The deadline of October 1st was thus met. There would also be representatives of Ministers Peeters, De Block and Borsus because it is the intention to seek integrated synergies between social inspections and certain administrations. Before criticising, as some Members are already doing, I would first like to listen to your proposals, which ultimately came out of the box. What are the bottlenecks, if any, in addition to the proposals that have emerged? After all, I can imagine that not everything has been solved. What are the bottlenecks that we are still working on? Your predecessor announced that there would be 96 inspectors. How many of these have been recruited in the meantime? That seems to me to be important in order to know whether we are indeed doing that. In the context of the planned reform, where some already anticipate what you might say, what are the practical and other consequences for the current inspectors? In what way will these inspectors possibly feel this reform? What are the points of interest to these people and how can they possibly take account of what is being told on the ground?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u6	Mr Secretary of State, it is clear to our party that different services need to work together in order to avoid overlaps, for example in a yard, and that data should be exchanged. As a result of your statements, we have a number of reservations about ensuring the independence of the various control bodies. There is also concern about whether or not to increase the efficiency of the reform you are proposing. That concern is there. Other fellow Members referred to it as well. Not everyone is convinced that the reform will lead to improvement. I think this should be the objective. In the plenary session of 22 September, you made a number of statements. What is the state of play today? What elements do you bring in to increase the impact force? What is the timing for the new structure with regard to the impact on staffing, classification and so on? The government declaration contains a reinforcement of 100 inspectors. Is that a net or is it 100 additional recruitments minus natural person turnover?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u7	Thank you, ladies and gentlemen, for the various questions. First of all, I am pleased that everyone agrees with this government's objective of fighting harder against social dumping and social fraud at least, that there can be no discussion of the objective. But then I will find a certain paradox. On the one hand, I am told about the number of jobs lost as a result of social dumping and the bad situation in Liège in the construction sector; on the other hand, I am asked about the need for greater efficiency. It is necessary, of course! It is quite clear to me that the fight against social dumping and social fraud must be strengthened on the ground today. That is why we are doing this reform. The eight inspection services on the ground today, eight inspection services, do not cooperate sufficiently. There is a fragmentation of resources and competences. There's a fragmentation of impact on the ground. As a result, there are double checks, too little effort is made on data mining and data is lost. That is the essence of the reform we are doing. Then, of course, comes the problem. Everyone sees that there is a need to change, everyone wants change but nobody wants to change themselves. We find that problematic. After all, we have an exercise that has preceded a process. Ms Fonck, a task force worked for six months to analyze the processes to be integrated and to know what collaborations were to be made and how to make them more effective.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u8	How was this task force composed?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u9	It was composed of deputy heads from the various departments, relevant firms and people with field expertise. For me, this input was essential. What have we done now? We've had that task force working and discussing for six months. This has led to the fact that four main lines of action are needed. Firstly, there must be agreement and clarity on the strategic objectives. What is the priority when we talk about tackling social fraud and social dumping? What expertise should we bring together? How do we make interdisciplinary teams? That is the first chapter of my reform. The second chapter was also clear. It concerned the new mission and the new role of SIRS. SIRS becomes a strategic body that directs the various social inspection services through a defined plan; it is essential. The coordination of this strategy will fall within the competence of SIRS. The third chapter concerns the new structure. Of course, if we are to introduce a new strategy, a new coordination, new skills directed towards the different inspection services, a new structure is needed. There is also a need to examine how people can better collaborate on the ground. In this context, the government has committed to hiring more than 96 additional inspectors. These individuals will be able to travel to the field to strengthen the strike force of the various inspection services. It is also important to note that we have spoken with different parties for this structural reform. Firstly, we spoke with the administrators-general of the services concerned. I have also spoken to staff and trade union representatives. I have also spoken to the magistrates twice, so that we could see how they could respond to their concerns in the note on reform. The reform does not mean an end. That's what the last chapter of my note says. I could easily have put a piece of work on the table for a new structure and said that it would be okay with that. However, it is not all right, because even with the new structure, we must continue to study how we can optimise processes and how we can adapt legislation. As an example, I mention the law on bogus self-employment, in the fight against bogus self-employment. In matters relating to public procurement, we also need to clarify this with a view to much more action on the ground. A path has also been laid down for the post-reform process. It is not just about the integration and better cooperation of the various services. In many other areas too, efforts are being made to make inspection services less complex and more effective. That is the current state of affairs. This is currently being discussed in the government. There has been a broad consultation with all services and with all interested parties. So there is a clear vision on the table, which is being discussed in the government. I hope that this will allow us to land in the coming weeks, or perhaps even days.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u10	Mr Secretary of State, it is very positive that you recognise the need for integration. We support you in that. I am also totally on the same page when you say that strengthening the site must be the result of cutting and working on the structures. I'm all along with that story. However, the exercise must be thought through, not just with people and structures, but also thoroughly; it must not be a measure of nothing. In the course of the topical and urgent debate a few weeks ago, I did not intend to praise or destroy a plan which was not yet known at the time. What is ahead today is lean; it should be a little more. All our objections to today's organisational structure remain in full force. The fragmentation remains too great: many political responsibilities, many board members and many unproductive, smaller inspection services. I should like to take this opportunity to mention what is very positive, without really going into detail: the extension of the supervisory powers of the social inspectors is a major step forward. I understand it's a process and we're not going to my ideal world with one step. As I said, this is a step in a process. However, I would like to call once again for a little more ambition. Perhaps the hearings, which were called for at the last committee meeting on the dossier, could take us a few steps further.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u11	Mr President, Secretary of State, the fight against social dumping is a top priority. It is recalled very regularly by the actors on the ground, whether they are employers or workers' representatives. This is not the debate today, but the first thing to do is to change the rules, especially on public procurement. The federal state is completely behind schedule in this regard. I have no difficulty in imagining that the inspection services are organized differently in the future, that we are trying to develop synergies, to eliminate competition. But we don't change a system like this without the actors on a daily basis, the beneficiaries and the observers – I would classify the auditors of the work in this category. In the field, there is a clear lack of understanding of the changes under way. You're saying there's consultations, you've met the magistrates, the staff. I don't know if you did it before or after September 22, but there is still work to be done to ensure that your reform is understood, accepted and led to efficiency. We will not be able to do this without means. I hear from other members of the majority that savings must be made, that there must be a redesign of the administration. It is realized that by linearly abolishing the labour force, services are less effective and actions on the ground are not being carried out. At the beginning of the afternoon, Mr President, we will speak again about my suggestion to have hearings, to hear the actors on the ground and to take more time in this committee for the Secretary of State to explain his reform. I believe that Parliament can play a role in adjusting its plans and ensuring that everyone feels more heard, so that the system of combating social dumping is more effective. The aim here is to protect jobs in our country. They disappear in thousands, even ten thousand.
