ParlaMint-BE_2016-09-15-54-plenair-ip125x.u1	The meeting is open. The meeting was opened.
ParlaMint-BE_2016-09-15-54-plenair-ip125x.u2	(For the standing Assembly)
ParlaMint-BE_2016-09-15-54-plenair-ip125x.u3	(In the Assembly standing) Ladies and gentlemen, today we say goodbye to the military commander of the National Palace, Major General Harry Vindevogel, who will resign on 1 October 2016. Harry Vindervogel was born in Oudenaarde on August 8, 1957. In 1975 he was admitted to the 130th polytechnic promotion of the Royal Military School. He successfully completed his studies at the end of 1980 and obtained the diploma of civil engineer. In 1981, he moved to the 230rd Company in Propsteierwald, as platoon commander. In 1983 he became a rehearsal at the Royal Military School. After the training course for senior officer, he was given responsibility for the management of military wheeled vehicles by the Army staff in the Equipment and Logistics section between 1990 and 1994. As a major, he obtained the higher staff licence at the Royal Higher Institute of Defence in 1995. In 1996, Harry Vindevogel was selected to attend higher military studies at the Collège Interarmées de Défense in Paris. As a result, he was appointed military professor in the "Defence Problems" Department of the Royal Superior Defence Institute. At the end of 1997, he was promoted to lieutenant-colonel. In mid-1999, he became Chief of the Studies sub-section of the Land Staff Plans and Programs section of the Land Staff. From August 2002 to February 2003, he attended the Senior Course at the NATO Defence College in Rome. He was promoted to a colonel there. In September 2003, he was attached to the Prime Minister's strategic cell as a military adviser. On June 27, 2008, Major General Harry Vindevogel became the 32nd commander, also Rector, of the Royal Military School. On 1 April 2014, he was appointed military commander of the National Palace. Based on his experience with Defense, General Vindevogel has made a tactful and efficient effort to ensure Parliament's security and to manage seconded personnel. Unfortunately, the past year has been tumultuous in terms of security: the false bomb threat, the increased monitoring of the increased level of terrorism, the tragic attacks at Brussels national airport and in the Brussels metro. All this gave the military police and our internal security services a lot of headaches. The flexibility and vigilance of the men under General Vindevogel's leadership have been put to great strain in recent months: they have had to change their working habits and make additional efforts. I am well aware that this situation has not always been obvious to everyone and that it has certainly also had an impact on the privacy of the staff concerned. Despite these difficult circumstances, the members of the Military Detachment have always performed their duties with all due seriousness, kindness and loyalty. I would therefore like to thank General Vindevogel again for the correctness of his discernment and his valuable cooperation in this vast undertaking. Everyone is therefore pleased to have a soundly efficient safety framework and we are convinced that his successor will follow the same path. In the name of the Chamber, I would like to sincerely thank you, General Finderbird, for what you have done for us. Your incessant commitment, as well as your kindness and even your equanimity in sometimes dragging political discussions, will be with us for days. We wish you every happiness in your future life! [[Applause]]
ParlaMint-BE_2016-09-15-54-plenair-ip125x.u4	Ladies and gentlemen, I should like to introduce briefly our new military commander. Colonel-stafbrevethouder Axel Desfossés was born in Berchem on May 14, 1963. Colonel Desfossés was particularly distinguished during his service at the headquarters of the International Security Assistance Force of ISAF in Afghanistan in 2003 and 2008. As Deputy Commander of the Brigade in Bourg-Léopold, in 2009 he was responsible for operations in the first European Battle Group led by Belgium. He was then active in the Staff Strategy Department. I wish him every success on his new mission on behalf of all of us.
ParlaMint-BE_2016-09-15-54-plenair-ip125x.u5	You have received a draft agenda for today's sitting. You have received a draft agenda for today's meeting. Are there any comments on this? Is there any comment on this? The agenda has therefore been adopted. Accordingly, the agenda was adopted.
ParlaMint-BE_2016-09-15-54-plenair-ip125x.u6	Mr President, on the order of business, we have learned in the press that agreement has been reached on pension reform for Members. A debate is under way in various parliaments. I would like to know if the item would soon be put on the agenda of the plenary meeting. Not all political groups are represented at the group leaders' meeting. I would therefore like you to commit yourself to having a debate in this House on this reform.
ParlaMint-BE_2016-09-15-54-plenair-ip125x.u7	Mr Hedebouw, indeed, a conference of Presidents of Parliaments took place and laid the foundations for reaching an agreement next month. What was agreed was that the clerks of the various parliaments in that country should draft a text, which should be ready around 21-22 September. The Bureau, the Conference of Presidents and your group will then be informed of this agreement. The discussion will then continue in the Conference of Presidents of Parliamentary Assemblies.
ParlaMint-BE_2016-09-15-54-plenair-ip125x.u8	Mr President, will the agreement be voted on in plenary? Or is that not being presented to Parliament?
ParlaMint-BE_2016-09-15-54-plenair-ip125x.u9	It is a matter for decision in the Bureau of the Chamber and in the Pension Committee.
ParlaMint-BE_2016-09-15-54-plenair-ip125x.u10	I would like to discuss that here, Mr President. Perhaps you could take my question with you?
ParlaMint-BE_2016-09-15-54-plenair-ip125x.u11	Mr President, Mr Prime Minister, ladies and gentlemen, a little less than a year ago, when the government came back on the second Tuesday in October, you were saying to us like a mantra "Jobs! Jobs! Jobs!" Today, therefore, it is our parliamentary re-entry and if we were talking about a black Friday, only a short time ago, for Charleroi, it is a real "black September" that we are dealing with: 2 200 jobs abolished at Caterpillar, 850 at AXA, 300 at P&V, 40 at Eurostation, 274 at Douwe Egberts, a company council at ING, where we risk, again, announcing job losses not to mention the bankruptcy of MS Mode. I repeat, it is a real "black September" for employment in Belgium. In this regard, the absolute indecency of Caterpillar, the anger and emotion caused by these tragedies, should not cause us to forget that these dismissals are taking place in an atmosphere of poor economic health in our country. Beyond the decisions of these multinationals, beyond Caterpillar's decision, the right-wing policies you have been pursuing for the past two years do not revive the economy, do not boost growth, do not boost employment. In this respect, it is important to refer to the Eurostat figures published two days ago, which show that Belgium is the real anchor of the European class in terms of employment growth. There are only two European countries: Finland and Croatia. You'll excuse me, but out of 28, it's still catastrophic! In this context, Prime Minister, we do not need warlike words. We need action! One of your government partners says that it is necessary to facilitate the dismissal of those who actually defend workers in the company (a bill is on the table in parliament today and should be taken into consideration). The main representative of a party in your government says that Charleroi is sad, but that we will not go back to the reform of pre-pensions – while what we are asking is that the treatment that was applied to Genk be applied to Charleroi. Another partner of your government makes flexibility its political start. We're worried. The workers are afraid. It is not with compassion or emotion that jobs will be created, and the social dramas that the country is experiencing today will be accompanied. Prime Minister, we told you: it is at the foot of the wall that we see the mason. We therefore ask you for commitments. I told you in committee: make commitments to the workers. This has not been done, according to the workers' statements. Do you accept that the pre-pension system is subject to exceptions for Caterpillar workers, as was the case for Genk? Will you support, as you have been asked, the proposals introducing a right of information and alert for workers; the proposals strengthening the Renault procedure to better protect workers; the proposals prohibiting redundancies and allowing public aid to be recovered; and, finally, the proposals to extend collective redundancies negotiations to workers in subcontractors? Thank you for your attention.
ParlaMint-BE_2016-09-15-54-plenair-ip125x.u12	Mr. President, Prime Minister, we have learned with dismay the loss of jobs at Caterpillar and the decision that would have been made within the government to prevent some people from benefiting from pre-pension. Your government would have decided to apply the law, which means that the age requirement is 56 years. It is felt as a profound injustice by the workers of Caterpillar, knowing that following Ford Genk, the workers had been able to benefit from the pre-pension at the age of 52 and a half. This involved 23 per cent of the staff, or 1,369 workers. We also know that Caterpillar benefited from a restructuring in 2013. Some workers at the age of 56 had been pre-pensioned. This means that there are still many workers over 50 years of age. This explains the union's demand to lower the age of pre-pension, because at 50, even if you are still young in life, you are no longer so when you have to look for work. Prime Minister, is this information in the press correct? If so, why did your government make such a hard decision for the workers in Caterpillar, in the south of the country? Thank you.
ParlaMint-BE_2016-09-15-54-plenair-ip125x.u13	"Injust, cruel, baseless and revolting." These are the words you spoke, Prime Minister, the day after the announcement of the intention of the American bosses of Caterpillar to close the company located on the Gosselies site. Prime Minister, fifteen days after this announcement, it is time to move from words to deeds. I still hear you say in this rostrum your slogan "jobs, jobs, jobs". Today, I invite you to go back to the gallery to tell us what you are going to do in practice for the 2,100 workers in Caterpillar who have lost their jobs and for the 4,000 subcontractors who have also lost or are going to lose their jobs. What levers are you going to activate? What measures will you take for the workers of Caterpillar, but also in a more global way. Indeed, further closures and bankruptcies were announced this morning. In this parliamentary year, we are far from the slogan "jobs, jobs, jobs" that you were defending. Let me now turn to what you said last Saturday: "we are touching the limits of the system". Prime Minister, we don't touch the limits of the system, we've gone far beyond them. It is neither normal nor acceptable that, for several years, a company may see its turnover, sales decrease, but also its dividends increase steadily; it is neither normal nor acceptable that a company that has received years of direct or indirect aid for employment or via taxation may overnight put the key under the mat, without explanation nor even a word of consideration to the workers. Here too, we will not be satisfied with your comments. We're waiting for action. If this system has reached its limits, what are you going to do? What steps are you going to take? What are you going to do to change this economic model that hurts workers and the environment? What concrete actions do you propose in the face of this admission of bankruptcy of the economic system, which is yours and which you have defended for too long?
ParlaMint-BE_2016-09-15-54-plenair-ip125x.u14	Mr President, Prime Minister, the announcement of the closure of the Caterpillar site follows only our sympathy and empathy for those affected by this terrible decision. The question now is how best to help those involved. It is primarily up to the unions to play their role locally in the enterprise, to fight for employment. It's not just Caterpillar. After all, there was a number of other announcements today. It is now up to the unions to fight for every job, to try to save it. We must support that. Secondly, if this fails, it is up to the trade unions to agree a social plan, which will help the people affected to the best possible extent. The third step is activation. That is the government's mantra, and it has already been pointed out. We are indeed pursuing a different policy than we did years ago when older people were dumped into passivity. We will not go for that; we will go for the search of jobs and the activation of older people. Only in this way will we ultimately improve our employment and keep social security financially viable. The government's working on that, too. Last year we experienced the biggest growth in employment since 2011, with 37 500 jobs added. However, if we lose employment by a slap like with Caterpillar, it will hit us with the sledgehammer, while the new jobs will only be added with a small brush. That's not visual, but those are the naked figures from the end of last year. Next year we must also be able to present figures of this kind. That is the government's commitment and we must continue to work on it. It is therefore a wrong signal, ladies and gentlemen, to tell people of 50 years of age that they have been written off, that they have been done and that they will end up in the passivity with a benefit. Forty years, there has been a misguided policy of early retirement, because it has only led to a high level of unemployment, both among the elderly and among young people. We fit in, we go for activation. In the Group of Ten, the social partners themselves agreed on a clear path up to 2020 to gradually increase the age for early retirement. I trust that they will keep their word and that they will respect the agreed 56-year limit and the growth path. My question to the government is whether it will also respect that path of growth. Let us go further together on the path of activation.
ParlaMint-BE_2016-09-15-54-plenair-ip125x.u15	Mr President, Prime Minister, we have experienced a hot summer in the business environment, with Caterpillar, AXA, P&V and Douwe Egberts. Each time it concerns families, thousands of people, whose father and/or mother come home and have to tell their children that they no longer have a job. This has been the case in Limburg. I remember the closure of the mines in 1987, when I was seven years old and my father came home with black under the eyes and said that there was no more work and that the mines would close. Limburg also experienced the closure of Ford Genk, where thousands of families ended up on the street again without a job. However, Limburg has overcome this situation. Limburg's doing better. Limburg is doing better thanks to its activation. Look at Ford Genk and his employees, half of whom are back at work. However, also look at the business environment. Investments in SMEs are again being made. Prime Minister, that is my message. After all, I fit in with the solution of the PS. I do not participate in the literal dumping of workers in certain systems where they can no longer get out. I believe in activation. I believe that we must accompany Caterpillar's employees one by one, just like we did with Ford Genk. Prime Minister, I do not want decisions to be taken in America or China. I don't want a button pressed from America. I want companies that are rooted here in Belgium, in Flanders. I therefore ask you, Prime Minister, what we are going to do. The social agreement is not here. There's a lot of work on the shelves. I am thinking of the reform of the labour market and the reduction in labour costs. 4 000 jobs have been lost since September, but 46 000 jobs have also been added this year. Nor should we forget that message. So we are on the right track, but the work is not done. My question is what we are going to do next.
