ParlaMint-BE_2016-11-16-54-commissie-ic535x.u1	Question No 14810 by Mr Vanden Burre is postponed.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u2	Minister, Human Rights Watch (HRW) published a 67-page report on Friday, November 4, criticizing the anti-terrorist measures taken in Belgium. In particular, the NGO reports the prolonged isolation of detainees accused or found guilty of acts in connection with terrorist activities and the new anti-terrorism laws, which are sometimes too vague in scope, which endanger human rights. However, as the UN specifies, indefinite or prolonged solitary confinement is tantamount to torture or cruel, inhuman and degrading treatment, which is prohibited by international treaties, including the European Convention on Human Rights. In this regard, several psychiatrists have also pointed to the potential dangers of prolonged isolation of an individual, both to his or her physical and mental health. Of course, prisons are places that require special attention in the fight against radicalisation, we all agree; however, these measures must at all costs respect the higher standards. It is difficult, however, to argue, as you do, that prisoners in solitary confinement enjoy the same rights for prisoners, since prisoners are forced to remain alone, to eat alone, to wash themselves and to enjoy one hour a day outside in a tiny courtyard, also alone. In particular, the report states: "In the first few months, detainees had no right to physical contact with visiting family members and were separated from them by a window. No organized activities were offered to prisoners." So, at the end of your meeting with the representatives of the NGO in question, I would like to know what initiatives you are going to take to respond to the comments made. Let me ask you the following questions. Do you intend to put an immediate end to the policy of long-term and automatic isolation of prisoners detained in terrorist cases, as recommended by the NGO? Can you indicate how many inmates are currently in long-term isolation, i.e. more than 15 days? Can you detail the specific safety measures reserved for them and their regime? How many prisoners are in solitary confinement up to 23 hours a day?
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u3	Dear colleague, first of all, I do not intend to close the D-Rad:Ex sections in Hasselt and Ittre prisons. In my view, Human Rights Watch made two mistakes in reasoning or interpretation that led her to adopt her point of view. Firstly, I do not read anywhere in the report what is meant by "long-term isolation". The level of sensory deprivation, corresponding to such a form of confinement, is not on the agenda in these sections. The aim of the placement of prisoners in these sections is to achieve maximum normalization of life in the prison, in a section that is separated from the other sections. Therefore, the D-Rad:Ex section is a section, like many others, that can be created or already exists, in the context of the differentiated execution of sentences. A stay in this section is a de facto part of the detention route and the detention plan of the detainees concerned. So I do not see directly why a classification for such sections should be assessed other than for other sections of prison. Even more, today, this classification is based on more scientific assessment instruments than some others. Such a methodology should be the norm. I do not hide from you that the offer of activities for these detainees is not yet complete. Their organisation and content are a competence which I share with the colleagues of the Communities, with whom I consult on this subject. If the inmates in this section, and this sometimes also applies to inmates in other sections, are not yet able to participate sufficiently in activities and, as a result, have to spend more hours in a cell than you wanted, I deplore this fact with you. However, it is not specific to the D-Rad:Ex sections and it would be a wrong conclusion to close this section for this reason. We are working hard to develop a worthy offer for assistance, services and other activities for these detainees. As I said, Human Rights Watch made a second mistake in reasoning. The D-Rad:Ex section cannot be seen as synonymous with the imposition of individual, specific or individual security measures. The placements in a D-Rad:Ex section result from the approach of a phenomenon at the collective level, and therefore, in this case, are aimed at preventing co-prisoners who have extremist ideas from exerting a negative influence. The imposition of specific individual security measures or regimes is an individualized security and order measure. Such a measure is subject to the protection of the provisions of the Law of Principles and, more specifically, that of Chapter III of Title VI of the Law of Principles. As far as your second question is concerned, nine detainees are currently staying in the D-Rad:Ex section of Hasselt and fourteen in Ittre section. As long as they are subject to a particular individual security measure or regime, such a measure or regime must comply with the legal provisions that I have just mentioned. In full compliance with the letter and spirit of the law of principles, these measures consist of a personalized package according to the aspects of the regime. The law therefore does not provide for a package of stereotypical facilities and, therefore, I am not in a position to submit it to you. Since measures under the individual security regime are not intended to isolate an inmate for 23 hours (such a form of isolation in our prisons is almost equivalent to placing the inmate in a punishment cell), a list of prisoners who would be subject to it is obviously not applicable.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u4	Minister, thank you for your detailed answer, which I will take pains to analyse in depth. You're telling me that there's a misreading by Human Rights Watch about long-term isolation. The total isolation of persons for more than 15 days is considered to be long-term. The whole thing is, of course, to close the sections that exceed this period or, in any case, to respect human rights, i.e. not to leave the detainees alone for 23 hours, to allow them to see their families, etc. It is true that the execution of sentences must be differentiated, but it is essential to respect European human rights conventions, while ensuring the necessary security and order measures for these detainees under specific conditions.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u5	Mr. Chair, Minister, this is another issue with regard to inmates. Indeed, we have recently learned that the Step by Step projects in Wallonia and Prism in Brussels, which aim to facilitate and improve the care of drug addicted prisoners when they leave prison and which were financed by the SPF Justice, are no longer funded by you. As a result, a number of support schemes for prisoners who are drug addicted to prison have been abolished. However, these associations play an essential role with this vulnerable public in several respects. There are many requests for assistance, showing the importance of such support. It appears that the Finance Inspectorate has given a negative opinion on this funding, as it claims the Communities have jurisdiction. Yet the competence "Health in prisons" remains essentially a federal competence. The budget for the care of drug-addicted prisoners has also remained in your scarlet. We are therefore surprised by this decision. Minister, could you please explain the reasons for stopping this funding? Could you make available to us the opinion of the Finance Inspectorate dealing with this issue?
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u6	Mr President, Mrs Özen, as I said earlier, the contracts of the Central Contact Points for Drugs in Walloon and Brussels prisons ceased at the end of September without a temporary extension being offered. Since the end of October, the Finance Inspectorate has dealt three times with a file from our PPE Directorate-General with a temporary extension of funding for the Central Drug Contact Points in prisons. For the first time, on 30 October 2015, the Inspector of Finance asked further questions about the contracts that had expired in the meantime and questions about the legal basis for the extension of contracts. Our administration then completed the file and again submitted it to it with the argument that the legal basis stems, on the one hand, from the obligation to ensure continuity of care and, on the other hand, from the federal responsibility of the FPS Justice to guarantee health care in prisons. In its opinion of 22 December 2015, the inspector considered that this legal basis was not relevant. He indicated that the extension of contracts should be by way of competition. A new file with a proposal to consult the contract for a temporary extension was submitted to the Inspector of Finance on March 30, 2016, but the file again ended with a negative opinion. In its opinion, the Inspector of Finance referred, on the one hand, to the federal jurisdiction in question, in the light of the division of powers laid down in the Special Act on Institutional Reform of 8 August 1980, in particular Article 5(1), (2), (7). On the other hand, it is also referred to funding. During the budgetary control, no additional means had been allocated to DG PPE for the task of the central contact points, in particular because of the discussion on competences. Finally, I refer to the Budget Minister's decision of 30 August last year in the context of our appeal against the negative opinion of the Inspector of Finance. Wilmès questioned the federal jurisdiction of the FPS Justice with respect to the funding of central contact points. The fact that competence for the organisation of assistance to prisoners with drug addiction problems cannot be unequivocally attributed to a level of federal competence and, more specifically, to Justice and Public Health, but to the Communities, is also apparent from a legal study carried out at the request of the Flemish Minister of Welfare, Jo Vandeurzen. According to the study, the provision of medical care in prisons and assistance to prisoners, when drawing up their detention plans, is undoubtedly a federal responsibility, while the Communities remain competent for assistance to drug addicts, specifically with regard to long-term rehabilitation and preventive health care. It is therefore now necessary to analyse in depth the activities developed by the central contact points, to check what services should continue to be provided, how they should be provided and by whom. Last week, impact assessment researchers came to present their findings and recommendations to the Prison Health Care Unit, following which it was agreed to hold a trilateral consultation with each Community separately over the next month. The scientific researchers will attend us on this occasion. Indeed, the context and landscape of assistance to drug addicts differ in Wallonia, Brussels and Flanders. Thanks to this, we hope to achieve a real restart of the functioning of the central contact points with a clear definition of competences and responsibilities and, ultimately, the possibility of providing better services to this very vulnerable group of prisoners. Assistance to drug-addicted prisoners on parole is crucial for preventing recidivism and achieving social reintegration.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u7	Minister, thank you for your answer.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u8	Mr President, Minister, an agreement seems to have been reached at the government table on a preliminary bill to better combat the so-called "paper baby" phenomenon. It aims to facilitate the work of the various public services in the face of the resurgence of this phenomenon. Various measures would be envisaged, including the possibility for the registrar to postpone or refuse suspicious recognition applications more easily. The draft law would also include criteria for joining a municipality in connection with registration, in order to prevent people from going from local to locality until an administration accepts their request. Finally, a law enforcement component would be envisaged to strengthen sanctions for abuses and allow for the annulment of fraudulent acts. At the outset, I congratulate you on these advances, which will strengthen the legal system in the face of a phenomenon of which children are, of course, the first victims. However, I would like more details. Minister, what exactly is the scope of the draft bill under debate? What are the aims? What measures are planned to facilitate the work of officials in the municipal administrations and thus to strengthen possible synergies with the federal services concerned? Do you have data on the phenomenon of "paper babies"? What does he represent today in our country? Finally, what is the planned agenda for the adoption and entry into force of the proposed legal framework?
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u9	Minister, to my earlier questions concerning the false recognition of children, in which children are abused by the father or mother for the sole purpose of either cheating or obtaining a residence permit, you replied that you would draw up a concrete text proposal in consultation with Secretary of State Francken. A new legislative text is now ready to prevent the abuse of residence legislation. It provides for both preventive and repressive measures. We are very pleased about this. Firstly, does the new text include measures relating to false recognition certificates established abroad? Secondly, if a false recognition is established, will an investigation be linked to it in the context of the fight against trafficking in human beings, as well as to falsehood in written and false documents? Thirdly, when a false recognition has been proven, will that mean an end to the right of residence of the person who has cheated? If the connoisseur is still abroad, will he still be able to enter the country or will access the territory be refused? Finally, given that legislation in this area is not or is not yet uniform in several countries, will there be work at international level to standardise legislation?
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u10	Mr President, the Council of Ministers has in fact approved, as part of the implementation of the government agreement, a preliminary draft law to combat simulated recognition. The intensification in recent years of the fight against marriages of convenience and legal cohabitation of convenience has had the effect of shifting this problem on the recognition of children. Recognition of a child is easy under Belgian law and the establishment of filiation gives the right to family reunification. In the most obvious cases, several children, sometimes more than ten, are recognized by one person. The draft law is based on the rules for simulated marriages and legal cohabitation of convenience. The draft amended the Civil Code, the Judicial Code, the Consular Code and the Act of 15 December 1980 on access to and residence, establishment and removal of aliens. In general, this means that the registrar may suspend the drafting of the act of recognition or even refuse to establish it. The Public Prosecutor's Office may also act. The Registrar may request the opinion of the Public Prosecutor's Office, but the Public Prosecutor's Office will also be able to request the cancellation of a simulated recognition. It is also planned to limit the territorial jurisdiction of the registrar in the area of recognition. For the time being, the recognizer can choose the registrar before whom he wants to recognize the child and this can promote the shopping forum. Finally, the preliminary draft makes simulated recognition an offence. The persons concerned will therefore also be able to be prosecuted in criminal proceedings. Judicial review will ensure respect for the interests of the child, particularly in the context of the judicial search for kinship, which is the last way to determine filiation if recognition is refused. The concept of the interest of the child is also interesting in the context of the recognition of complacency. Recognition of a child for the sole purpose of obtaining an advantage in the matter of residence and therefore without any intention of respecting the rights and duties related to filiation or caring for the child, can hardly be considered to be in the interests of the child. The purpose of the preliminary draft is to prevent recognitions that are made solely for the purpose of obtaining a residence benefit related to the establishment of a filiation bond. It is therefore intended in principle to cover the same persons who fall within the scope of the provisions on simulated marriages and legal cohabitation of convenience, but who use the recognition of a child to achieve their purpose. As far as the work of communal agents is concerned, the main aim is to limit the territorial competence of civil registrars. In addition, the databases on simulated marriages and legal cohabitation of convenience will be supplemented by information on simulated recognitions, so that there will be a better flow of information. Communal agents will have the same means as for simulated marriages and legal cohabitations of convenience, i.e. the possibility to request the opinion of the Public Prosecutor's Office and to obtain the relevant information from the Office of Foreigners. All this will be specified in a circular. They will now be able to redirect their efforts towards simulated recognition. Currently, civil registrars do not have a specific legal basis for refusing simulated recognition. Some prosecutors actually try to act by making use of the public policy clause referred to in Article 138a, § 1 of the Judicial Code. Since there is no specific legal basis, I have no figures on this phenomenon. The draft law will also have implications for recognitions made abroad. Such recognition shall be granted in Belgium only if its validity is established in accordance with the law applicable under the Private International Law Code. For recognitions, that applicable law shall be the law of which the person recognising it has the nationality. This means that, when it comes to the recognition of a Belgian child by a person of foreign nationality, that foreign law applies. If that foreign law does not or does not prohibit false recognition, which will often be the case, the draft law would lose much of its usefulness. It is therefore important that Belgian law on fake recognition should also apply when the determination of descent is governed by foreign law. For this reason, the definition of fake recognition, which is included in the Civil Code, will constitute a priority rule, a police law, as referred to in Article 20 of the Private International Code. That priority rule should be applied whenever the establishment of a line of origin for one of the parties concerned can have a right of residence. With regard to linking an investigation in the context of the fight against trafficking in human beings to the establishment of a false recognition, it is up to the court to decide, on the basis of the file and the information at its disposal, whether an investigation into trafficking in human beings should be conducted. As I said earlier, the draft law provides for the possibility for the public prosecutor to claim the nullity of a false recognition. If the nullity is pronounced, the judicial decision will be sent to the Department of Foreign Affairs. It is then up to the Foreign Affairs Office to settle the consequences of the right of residence, such as the removal of territory or an entry ban. There is currently no legislation at international level to deal with the problem. That has not happened either in the field of marriages of convenience. The existence of phenomena of marriage of complacency, legal cohabitation of complacency and recognition of complacency are also victims. However, I do not think the creation of a new federal agency for the care of these victims is appropriate. As you point out, different associations are already providing valuable work in this area. In addition, victims should also be able to apply to the regular victim care system where they may be able to find specific attention to these issues. The preliminary draft had been approved by the Council of Ministers and the Council of State now had to deliver its opinion. When it is returned, the preliminary draft will eventually be adapted to be submitted to Parliament.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u11	I thank the Minister for his answers.
