ParlaMint-BE_2016-01-21-54-plenair-ip095x.u1	The meeting is open. The meeting was opened.
ParlaMint-BE_2016-01-21-54-plenair-ip095x.u2	The President (in front of the standing assembly) On 31 December 2015, in Veurne, Marcel Gesquiere died, former member of the Chamber of Representatives. He was 85. He was born in 1930 in a working family and was the third of five sons. When he was 16, he started working. First he was a clerk at an important financial institution, then he started working at the RTT. And in the meantime, he built his future through evening classes. Marcel Gesquiere built a beautiful political career on different levels. As an active member of the trade union sector, in 1975 he became president of the local section of the PSB (Belgian Socialist Party). The following year, he led the socialist list for the communal elections in Furnes and brought his party into the majority where it would remain until 1982. Marcel Gesquiere sits on the Furnes Municipal Council and the West Flanders Provincial Council. From 1977 to 1981, he served as a bishop of Public Works in the municipality of Furnes. In 1987 he was elected SP representative for the Arrondissement of Veurne-Diksmuide Oostende. He fulfilled that mandate until the end of 1991 and then became a senator for the province of West Flanders, until 1995. From February 1988 to November 1991 he was also a member of the Flemish Council as a result of the then existing double mandate. At the first direct elections to the Flemish Parliament on 21 May 1995, he was elected to the Veurne-Diksmuide-Ieper Oostende constituency. However, he was only Flemish representative for a few months and was succeeded in October 1995 by Jacky Maes. In our Assembly, Marcel Gesquiere has a reputation as an affable, but stubborn politician. As a regular member of the Committee on Agriculture and the Middle Classes, he regularly intervenes on Belgian policy on hormones and to defend the interests of the maritime fisheries sector. Throughout his political career, he worked tirelessly to overcome the economic, social and cultural backwardness of Westhoek, the region dear to his heart, by promoting employment in that region. In the passing of this honest and socially motivated man, I expressed my sincere condolences to his family on behalf of the Chamber.
ParlaMint-BE_2016-01-21-54-plenair-ip095x.u3	Mr President, ladies and gentlemen, together with Parliament, the federal government wishes to pay tribute to Mr Marcel Gesquiere. Born and raised in Veurne, he built a beautiful political career from that West-Flemish municipality. Eventually it was in that same Veurne that he died on the last day of 2015. Marcel Gesquiere was a very committed, hardworking and courageous man. He was only sixteen when he started working. He was initially active in the union. In the mid-1970s, he decided to transpose his commitment to political life. He brings it to the Chamber and then to the Senate, where he stays for many years and with his extensive life experience is a great added value. He was also strongly present at the local level. In 1976 he helped his party in the municipal majority. In 1977 he became a ship of Public Works in the city of Veurne. In West Flanders everyone knew him within the sp.a and of course in his congregation. His death leaves a great void with all those who were ever allowed to meet him. In the name of the federal government, I would like to express my sincere condolences to his family, his relatives and his former colleagues. We wish them much strength during these difficult days.
ParlaMint-BE_2016-01-21-54-plenair-ip095x.u4	Ladies and gentlemen, I propose that we observe some silence in memory of the late colleague.
ParlaMint-BE_2016-01-21-54-plenair-ip095x.u5	I have received an amendment to the bill (Mr Patrick Dewael and Mrs Carina Van Cauter and Mrs Sabien Lahaye-Battheu) amending the Criminal Code as regards the criminalisation of the sexual assault of the honourable Member, No. 699/1. I have received an amendment to the bill (Mr Patrick Dewael and Mrs Carina Van Cauter and Ms Sabien Lahaye-Battheu) amending the Penal Code with regard to the criminalization of the indecent assault, No. 699/1. In accordance with the opinion of the Conference of Presidents of 20 January 2016, I propose that the bill be sent back to the Justice Committee in order to discuss this amendment. In accordance with the opinion of the Conference of Presidents of 20 January 2016, I propose that you refer the bill to the Justice Committee in order to allow for the consideration of this amendment. The legislative proposal will be discussed in plenary today after discussion of the amendment in committee. Discussion of the bill will continue in plenary, after consideration of the amendment in committee. Are you sure you don't mind? [[No.]] It is thus decided. No observation? [[No]] That will be the case. I leave the chairman of the Committee on Justice to set the time and the room.
ParlaMint-BE_2016-01-21-54-plenair-ip095x.u6	Mr President, thank you for your proposal. At what time do you want us to meet the committee: after the questions or now? For me, it doesn't matter: the amendment is very brief.
ParlaMint-BE_2016-01-21-54-plenair-ip095x.u7	It's what you want!
ParlaMint-BE_2016-01-21-54-plenair-ip095x.u8	Perhaps it would be better just after the questions, so that everyone could participate.
ParlaMint-BE_2016-01-21-54-plenair-ip095x.u9	That will be the case.
ParlaMint-BE_2016-01-21-54-plenair-ip095x.u10	On the agenda for this afternoon's plenary session, I would like to present the motion for a resolution (Mr Philippe Blanchart, Mr Stéphane Crusnière and Mr Elio Di Rupo, Mrs Gwenaëlle Grovonius, Mrs Fabienne Winckel and Mr Fatma Pehlivan and Mr Dirk Van Der Maelen) on Poland and the defence of European values, No. 1581/1, to be registered. I propose that you include in the agenda of this afternoon's plenary session the motion for a resolution (MM. Philippe Blanchart, Stéphane Crusnière and Elio Di Rupo, Ms Gwenaëlle Grovonius, Ms Fabienne Winckel and Mr Fatma Pehlivan and Mr Dirk Van Der Maelen) on Poland and the defence of European values, No 1581/1. The Committee on External Relations proposes that this proposal be rejected. The Committee on External Relations proposes to reject this proposal. Are you sure you don't mind? [[No.]] Thus shall be done. No observation? [[No]] That will be the case.
ParlaMint-BE_2016-01-21-54-plenair-ip095x.u11	Mr President, Minister, ladies and gentlemen, we have heard the welcome news that Audi will be investing heavily in an electric motor vehicle in the coming years, which will be developed in Vorst. As a result, we will be able to assure 2 500 people a job. We do not yet talk about suppliers and other companies, which will benefit from this. At least 2 500 families are involved in a positive way. That is not an isolated fact, because today we read in the newspaper that the number of collective redundancies has been at a minimum since the beginning of the crisis. Even the unions are excited. That doesn't happen every day. The result of our policy is exciting, even at Rudy De Leeuw of the ABVV. He notes with great satisfaction that jobs will be added in our country. That is why we cannot ignore the measures taken here over the last year and a half. The misguided index jump that was portrayed as an antisocial measure now leads to 2 500 people in our country having a job. The labour cost handicap, which has been there since 1996, has been removed by the measures taken by this government and the previous government. Our tax shift has released 150 million euros for shift and night work. EUR 80 million has been earmarked for high-tech activities. As you know, we will also reduce employers' contributions to 25%. We are not just doing this for large companies, Mr Calvo. It's good for the little ones too. Maggie De Block is implementing the golden employee's measure. The first employee can almost be assumed free of charge, which is particularly important for start-ups. There is therefore a certain satisfaction about the policy. We are now seeing the results of this. The opposition and the trade unions are schizophrenic in this respect. Last week we heard great statements about rulings against multinationals. They gave 200 %, even if they had been approved in the past, but today we see that everyone is on the barricades to applaud for the result of that story: more jobs, more work and in that way more social security. Minister, you have followed the negotiations with Audi, together with the Prime Minister and Minister Van Overtveldt. Were the measures taken by this government crucial to the package that is now in place?
