Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	DelizéeJeanMarc	Delizée, Jean-Marc	M	1959	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	SleursElke	Sleurs, Elke	F	1968	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	DelizéeJeanMarc	Delizée, Jean-Marc	M	1959	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	deLamotteMichel	de Lamotte, Michel	M	1955	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	MillerRichard	Miller, Richard	M	1954	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	SleursElke	Sleurs, Elke	F	1968	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	DelizéeJeanMarc	Delizée, Jean-Marc	M	1959	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	deLamotteMichel	de Lamotte, Michel	M	1955	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	MillerRichard	Miller, Richard	M	1954	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	DelizéeJeanMarc	Delizée, Jean-Marc	M	1959	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	MillerRichard	Miller, Richard	M	1954	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	DelizéeJeanMarc	Delizée, Jean-Marc	M	1959	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	deLamotteMichel	de Lamotte, Michel	M	1955	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	SleursElke	Sleurs, Elke	F	1968	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	deLamotteMichel	de Lamotte, Michel	M	1955	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	SleursElke	Sleurs, Elke	F	1968	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2016-07-05-54-commissie-ic462x	ParlaMint-BE_2016-07-05-54-commissie-ic462x.u23	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2016	2016-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	DelizéeJeanMarc	Delizée, Jean-Marc	M	1959	
