ParlaMint-BE_2016-04-13-54-commissie-ic376x.u1	Debates of the European Parliament Mrs Pas 9587 will be answered in another committee.
ParlaMint-BE_2016-04-13-54-commissie-ic376x.u2	Mr President, I would like to make a comment on this. Yesterday, I received three different e-mails from the Prime Minister's cabinet on three different questions that would be on the agenda today. I can perfectly agree that my question concerning the Dutch referendum on the Ukraine Treaty will be answered by Minister Reynders. My second question, No. 10125 on the Turkey deal would be presented next week in the Advisory Committee on European Affairs. Does that mean those questions aren't being asked today?
ParlaMint-BE_2016-04-13-54-commissie-ic376x.u3	We're not there yet, Mrs. Pas.
ParlaMint-BE_2016-04-13-54-commissie-ic376x.u4	That announcement wasn't included. I would therefore like clarification on this point. On my third question, No. 9587 on the Minority Convention, I also received an e-mail yesterday. That question, although it was tabled a long time ago, would now be answered by Minister Reynders. That surprises me, because it is just about statements by Minister Reynders, on which I would like to ask the Prime Minister whether they were made on behalf of the entire government and whether Minister Reynders is dealing with them within the terms of the agreement. Isn't that difficult for Minister Reynders to answer himself? I therefore urge you to be able to put that question in this committee.
ParlaMint-BE_2016-04-13-54-commissie-ic376x.u5	I call the Rules of Procedure, Mrs Pas. I refer to Article 131 (8): "If an interview request is addressed to the Prime Minister, he may order a member of the government responsible to reply to that request.' That's what's happening here.
ParlaMint-BE_2016-04-13-54-commissie-ic376x.u6	I know the Rules of Procedure, Mr President, but it would be a credit to you in your role as President should you also respect the content. It is difficult to confront a minister with his own statements. That's gotta be someone responsible. That's what the Prime Minister should do. I expected your support rather than a reference to the Rules of Procedure, which I myself know.
ParlaMint-BE_2016-04-13-54-commissie-ic376x.u7	Mr President, I would like to make it clear that my cabinet did not send an e-mail directly to the parliamentarian – which would not be appropriate – but to the committee. Secondly, I did not understand that the question about Didier Reynders was about what he said. If this can appease your minds, I can answer the minority question at a future meeting.
ParlaMint-BE_2016-04-13-54-commissie-ic376x.u8	That's a deal. Then this item will not be dealt with today. The merged interpellation No. Question No 125, by Mr Crusnière Mrs Matz' 9820 will be dealt with by the Minister for the Interior. Mr Hedebouw is not here today.
ParlaMint-BE_2016-04-13-54-commissie-ic376x.u9	Mr President, Prime Minister, although our health care system in Belgium is deteriorating, there is still a reference both to the quality of professionals and to broad access to health care. Belgium has always made a strong commitment in international forums and through its development cooperation policies to support quality health programmes for all. However, where we have responsibilities, in Europe, we seem to be turning a blind eye to an unacceptable or even inhuman situation. Since the start of the crisis in 2008, the budget allocated to the national health care system in Greece has been reduced by 50% and it is in direct connection with the conditions that Europe, therefore Belgium, has imposed on Greece in exchange for financial aid. Today, 2.5 million citizens no longer have access to health care in Greece and 25% of Greeks no longer have health coverage. Hospitals are exsangued and surgical operations are suspended very often. There is an increase in infant mortality of 51% – it is huge – a decrease in several immunization coverages, an increase in hospitalizations in public hospitals. In addition, an increasing number of Greek doctors, particularly specialists, are leaving their posts to fill positions abroad, and more than 8,000 qualified nurses are currently unemployed. These are the ingredients of a tragedy that is taking place before our eyes in the heart of our European home. This situation has, of course, only worsened as a result of the refugee crisis that the country has been experiencing for several months now. The question arises as to whether the European bodies take this incredible situation sufficiently into account. There are gestures of solidarity from civil society that I would like to stress. For example, the NGO Médecins du Monde, the Erasmus University Hospital associated with the Free University of Brussels and the CHU Saint-Pierre in Brussels launched a campaign last month called "Emergences Greece. Stop medical grexit" in order to raise awareness among the Belgian population about the current health crisis in Greece. The campaign also aims to raise funds to finance concrete projects on the ground. In addition, three projects have been launched, such as the creation of a new polyclinic or the establishment of a medical solidarity chain for a medical bus with mobile equipment (e.g. ultrasound, biology, spirometer, etc.).). A petition to freeze the health care budget, so that it does not continue to decrease, has also been launched, with the aim of putting pressure on the European authorities. Still, it happens in our own house, in front of our eyes. This is our responsibility. In doing so, Mr Prime Minister, does the European Council intend to deal very quickly with the health situation in Greece in order to propose concrete answers? This question is, in my view, as important as that of Brexit. Several European summits have been organised on this subject, of course, very important, but the situation which is also a matter for discussion. If such a debate were to take place, do you think that concrete measures could be proposed to help Greece? Finally, I come to a question that is not new. In my view, there is no sense of the measures imposed on Greece by the Eurogroup, even though the opinion of the EPSCO Council has not been sought. Before imposing drastic measures, should we not systematically go through the EPSCO box, i.e. the ministers of the social departments, who can sound alarms at certain consequences of measures imposed on one of the Member States of the European Union?
ParlaMint-BE_2016-04-13-54-commissie-ic376x.u10	Mr President, ladies and gentlemen, the situation in Greece remains very worrying, whether it is the humanitarian situation in the context of the migration crisis, the public finances that remain precarious, or the health situation. At Eurogroup meetings and Summits of Heads of State and Government, Belgium has always wanted to show solidarity with Greece in return for a firm and determined commitment on the part of the Greek government to the progressive implementation of a number of necessary reforms aimed at gradually improving the economic and social situation in the country. The management of health care in Greece is not within the competence of the European Union and Greece has not yet put this issue on the agenda of the European Council. With regard to your question about the consultation of other Council formations on the decisions taken in the Eurogroup, I would stress that the ministers who sit in the Council of the European Union bodies do so, in principle, on behalf of their governments. It is up to each Member State to ensure that all dimensions of the topics discussed are taken into account and that all its members participate in the elaboration of its mandate through the appropriate coordination mechanisms. I would like to add that Greece, it seems to me, would also have the capacity to take the initiative in the Council which brings together the ministers responsible for social matters, as you mentioned. I imagine that if such an initiative were taken, the other Member States, and in any case Belgium, would allow a substantive debate to take place on the issues related to the social implications of the programmes decided. On the other hand, I must mention that Greece uses technical assistance in implementing the reforms it has undertaken to undertake. In this context too, the Belgian authorities have not limited themselves to financial support through bilateral loans via the European Stability Mechanism. We have been one of the most active Member States in providing technical assistance to Greece, inter alia in areas such as tax collection, combating VAT carousels, improving customs services and modernising the Greek healthcare system in which INAMI has been involved. Recently, Belgium has communicated to the Greek partners its wish to explore the possibility of extending this technical assistance to the development of a universal health care system, an area in which Greece is seeking technical assistance from a European partner. I am convinced that this technical assistance is one of the most operational levers in trying to support Greece in its desire to provide quality health care for its population.
ParlaMint-BE_2016-04-13-54-commissie-ic376x.u11	Prime Minister, thank you. On the one hand, you tell me that the situation is dramatic and that, as a general rule, following decisions taken by the European bodies, Belgium plays an active role in technical assistance. On the other hand, you are telling me that you are available to support a possible Greek initiative that would bring the health debate within, for example, the EPSCO. I think that's good news. Therefore, in the motion following the inquiry, I will add or amend an item to support a Belgian Government initiative that would complement the Greek request for a general debate within the EPSCO on health care in this country.
