ParlaMint-BE_2016-10-19-54-commissie-ic510x.u1	Mrs Van Peel, I give you the floor and then I will add to my two questions.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u2	Madam President, Minister, the reason for this question is the letter sent about the new GPMI and how the OMCWs should interpret it. From 1 November 2016, the new GPMI will enter into force. You know that I am in favour of this. I am very pleased with the letter and I am curious if every OCMW will take it to heart. After all, I believe that this is the way to bet on every client's bet. As has often been said, activation is the best way out of poverty. I hope that the OMCWs will show a sense of responsibility to use this GPMI. However, it is more than that, it is a tailor-made guidance and follow-up tool. The double obligation to state reasons is well explained in the circular. There's the motivation for why someone can't work. I am now talking about matters that could be included in the GPMI. There should not always be an activation obligation. One could therefore motivate why it is not put in, but that is not the same as motivating why it is not possible to participate in a GPMI. In the long debate on this subject, I said a few times that one should not always mean the other. After all, it is not because one cannot guide a client to work, that one cannot guide him tout court. I believe that each client should be able to deliver a tailor-made journey and that sometimes it is enough to take someone out of his social isolation and to accompany him or to allow him to take the first steps to follow an activation journey at a later stage. I have already taken initiatives in this area, so I often come back to this issue. It is also a reality that I regularly see in my OCMW. An example of what we are now setting out, of someone who we cannot immediately lead to activation, but who we must take very well into our hands, is someone who is dealing with drug addiction. That can go very wide. It could be an alcohol addiction or an addiction to other drugs. I've also seen a few files at the OCMW from young people who are addicted to gaming. So it's about all kinds of addictions. That's not delineated. These addictions often mean that people cannot be escorted directly to employment and that even an article 60 journey is often a step too far. However, one can take some steps in the GPMI to tackle drug addiction at least already, so that one can continue with that client at a later date. I have drawn up a proposal for this, which I would like to discuss in committee. This obliges OMCWFs to investigate, in any case, whether the person concerned can be led to deal with his addiction. Mr. Secretary, how do you see that within the GPMI? How can the GPMI be used for this target group, taking into account the double justification? Do you agree with me that the activation obligation for these clients can be abolished, but that a GPMI will be closed? Do you see different possibilities within the GPMI to pay extra attention to this target group? If so, how can the OCMW be responsive? The differences between the OCMWFs to address these problems are very large. There are many who are doing a great deal about it, but unfortunately there are also those who simply leave the problem behind.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u3	Minister, since my question was tabled, the situation has changed. In the meantime, the decree has been published and the circular communicated. Nevertheless, there are still aspects to be clarified. I am thinking in particular of the Community service and the individualisation of the ISIP. With regard to this second point, while I have understood the information given to me by social workers, there is a tool to encode the characteristics of the persons concerned, their obligations, their expectations and the objectives assigned by the social worker. How can we ensure the compatibility of this tool with a certain creativity and encourage its individual adaptation? Having long experience in this field, I know that when one does not enter a box, it goes wrong for the social worker or for the recipient of the aid. It is obviously difficult, in this case, to build a project with it and to introduce it into statistics and data banks or to complete a pre-categorized questionnaire. In this regard, a questionnaire was sent to CPAS requesting information on the situation of co-location of their beneficiaries. This would be a university study commissioned by the federal government. Does it fit into the government agreement, which provides that, in the third federal plan to combat poverty, the Minister of Social Integration must examine whether the regulation of integration income is still appropriate to the current forms of common life and/or care or whether other objectives need to be set? Are CPAS obliged to respond to this questionnaire? I turn to the issue of volunteerism and community service. Before the decree and circular appeared, it was clear that some municipalities were about to replace the jobs covered by the provisions of Article 60 with the use of Community service. My questions relate to this compatibility between the legislation on volunteering/volunteerism and the legislation on the possibility for a beneficiary of integration income to engage in voluntary or voluntary activity. It should be noted that accepting a volunteer appointment rather than a vacation job penalized a student. It should also be noted that, through certain dimensions of the CPAS legislation, volunteering can be seen as a hijacking of the workplace or job search. Your circular and your order specify certain elements but not sufficiently, I believe. That's why I wanted to question you.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u4	Madam President, I had planned to answer in order of the questions, but I will start with yours. As you know and as you have pointed out, we have made progress since the adoption of the law of 21 July 2016, with its entry into force governed by the Royal Decree of 3 October, published on 11 October in the Moniteur belge. The Royal Decree mentioned provides that the Act will come into force on November 1, 2016, and December 1, 2016, as I mentioned earlier, with respect to the beneficiaries of subsidiary protection. This order was also discussed with the CPAS federations. I stress that we have very regular consultations with them, even if, of course, consultation does not mean that we are still in agreement, far from it. In the area of information and training, a major effort is planned. That seems entirely legitimate to me. First of all, a tour of the country is organized in which my administration will provide information in each of the stages. In addition, training will be provided by CPAS federations. Those responsible for the inspection of the Social Integration PPS and representatives of my firm will participate in the various training courses. In addition, there is the possibility of this exchange forum with the SPP Social Integration. I myself have participated in some of these meetings and will continue to participate in the future. As far as the IPIS model is concerned, a proposal has been made to the CPAS, but I insist: it is only an example of a basic outline, which takes up the points to be discussed and discussed between the social worker and the beneficiary. This is certainly not a standardized computer questionnaire. This would really be contrary to the reform, to its spirit and to the way I see the work being done within the framework of ISIPs. In fact, they must first be oriented to support the social, occupational and socio-professional integration of beneficiaries of integration income, and to empower them in the context of working with social workers. As far as we are concerned, the aim is indeed to define all the objectives I have mentioned, and to draw up the framework for achieving them. I strongly insist: the objective is in no way a standardisation, but a customisation of PIIS, as explicitly provided for in Article 18/1 of the Royal Decree of 2002, introduced by the Royal Decree of 3 October 2016. Madam President, you are giving me the opportunity to insist. I don't need standard forms just to get the 10%. The 10% subsidy is linked to community, quality and substantive work. If we've cleared up some money, it's to help the CPAS take over. I also recall the monitoring that I mentioned earlier, which will be a tool of transparency, first of all for the benefit of the CPAS and at their disposal. I devote a lot of attention to it. I come to the definition of the notions of equity and health. As in the previous version of the 2002 Act, there is no definition of these concepts, which fall within the discretion of the CPAS and its autonomy. The reason is simple: the CPAS must carry out a social survey to do so. Of course, our services are responsible for framing this definition and answering questions from CPAS. You asked an interesting question about the study. I have already said this in the context of a debate or a question: when we have worked on other issues, which are important issues, we want to examine how we can adapt the regulation of the right to social integration to the current forms of common life. This is also reflected in the government agreement. It is a reform that is not easy at all to carry out, to imagine. To this end, a study has been launched on the various new situations encountered by CPAS in connection with applications for the right to social integration covered by the Act of May 2002. The analysis focuses in particular on the study of the hypothesis of persons and the situation of persons for whom the current categories of the law do not adequately or adequately respond to their situation, whether because of family developments, changes in housing, etc. We are at the stage of reflection, and I invite those members of the committee who have ideas in this regard not to hesitate to pass them on to me so that we can incorporate them into our analyses. To this end, a questionnaire was sent to CPAS. There is no obligation to respond. My approach is totally positive and forward-looking. My only objective is to improve legislation. That is why I seek your opinions, your analyses and your proposals, if you so wish. As far as community service is concerned, I would like to point out that it consists of carrying out activities on a voluntary basis. They must contribute positively to the individual's personal development path and to the community and society. We have provided for the guarantees to do so in the legal provisions. I stress that the goal is not to make occupation. I read terrible things in some comments, which really shocked me. It was said that I had organized a form of forced labour, that I was going to change the traditional labour market, and so many other things. I invite you to read the texts that have been written. They bring all the appeasements regarding community service. Of course, from the moment that we commit ourselves – this is the accountability pillar of my policy – from the moment that the social worker has considered that community service is a positive tool in the context of the recipient's personal journey, we must respect his commitments. It is possible to be warned, accompanied in this process. I know that these audiences are fragile, sometimes very fragile. I also expect this community service to be used appropriately by our social services. I have had the opportunity to tell all the interlocutors who have asked me about this. Mrs Van Peel, as far as your question on the GPMI for people with addiction is concerned, it is true that a GPMI can also be very useful for these people. In the letter, which I signed on 12 October last and which was sent to all OCMWs, I therefore refer explicitly to this situation as an example in which fairness can be applied differently, depending on whether it is an assessment of the willingness to work or whether a GPMI should be concluded. A GPMI should be closed according to the needs and possibilities of the person, in this case the drug addict. There is no provision for a specific GPMI for this target group. After all, in my reform, I introduced a simplification which means that today there is only a general GPMI and a GPMI student. This gives the necessary flexibility to the OCMWFs, who are closest to the persons in question, to make a customized GPMI. I stress that this fits in with my view of the GPMI as an accompanying instrument that supports both the social assistants and the beneficiaries. The OMCW is therefore free to fill in the GPMI with these persons, in whom one situation will differ from another. Among some, the GPMI will focus on finding and setting up aid to overcome addiction. For others, volunteering or community service can be a piste. For others, the emphasis will be on stabilising the home situation and family ties, or on a search for accommodation that the beneficiary can extract from a particular situation. Many OCMWFs have already built up a lot of experience in this area. For example, through the Working Group on Social Activation, in which various OCMWs participate, I intend to exchange experiences and best practices among themselves. The further description and exchange of best practices will also be an important element in the evaluation of the GPMI.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u5	Minister, I am actually pleased with your reply and also with your letter because you have also paid attention to this group within the living wage clients. I understand from your letter and from your reply that when an OCMW chooses not to set up a GPMI, this will have to be properly motivated and that it will not be enough to say that a particular client cannot be escorted to work immediately. I think that is very important, because it should not be the only purpose. After all, these people must not be unloaded more than other clients. I also understand very well that you cannot issue general rules, and I agree with that. After all, it would no longer be about customization. For each client, it is necessary to consider which is the best way forward and where exactly should be deployed. You have listed some slopes that can indeed be very correct for certain clients. The fact that it needs to be deployed should be an obligation for me. After all, there are many major differences between the different OCMWFs. I'm still sorry about that. I've said it before. I am an absolute supporter of the tailor-made work of OCMWFs, but this does not mean that we do not need a strict framework within which each OCMW works. That is also clear and one receives a similar treatment as a client, regardless of which OCMW one is going to knock at. The treatment is tailored, but to a greater or lesser extent the same. In my opinion, tailor-made work for an OCMW is not the same as being able to determine what is being wagered on and not on. That's the thought I'm making of this group. I certainly understand what you're saying, but for me, more can be framed. I am glad, however, that you have included it as an explicit example in your letter.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u6	Mr Minister, I wonder about the contradictions that might arise between the legislation on volunteering and the legislation on SIIP which incorporates the possibility of a Community service, on a voluntary basis, with the characteristics that are yours. An opinion was delivered by the Council of State on the draft royal decree. Is it possible to have this opinion? Does this opinion clarify these elements so that a beneficiary is not in conflict at any given time? Concerning the study, it is interesting to make compatible the new forms of common life and co-location with a desire to non-penalize people who try to pool costs. However, I do not think this is sufficiently explicit in the study sent to CPAS. As for your response to the standardized application review tool, I welcome it. Finally, did the Council of State address the question of possible contradictions between voluntary legislation and PIIS?
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u7	There is indeed a passage in which the Council of State asked us about the articulation. Reference was made to the Law on Volunteering, removing the article that says volunteering is "voluntary". We were able to respond to the Council of State's remark by reflecting the voluntary nature of the conclusion of the Community service. But from the moment we commit ourselves to it, the commitment is binding.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u8	Would it be possible to obtain this opinion from the Council of State?
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u9	It's a arrest. I'll come back to you with my answer.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u10	Madam Chair, Minister, some foods contain nanomaterials, although this is not indicated on the label. However, according to a European regulation, any ingredient containing nanomaterials must be labelled as such, which seems not to be the case, particularly for certain brands of veal blanquette, chewing gums and biscuits. Minister, what are the dangers associated with the consumption of foods containing nanomaterials? What controls are being conducted to ensure that products containing nanomaterials are labelled as such? How many controls were conducted in 2015? What are the results? What are the penalties imposed on trademarks that have voluntarily or unintentionally forgotten to indicate the presence of these nanomaterials?
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u11	Madam President, Minister, the French NGO Agir pour l'environnement recently conducted an analysis of several foods to verify whether they contained nanoparticles. The results of this analysis show that they all contain them. These adjuvants are used by industrialists to bleach food, change the colour of their dyes, fix moisture or prevent the agglomeration of powders. Although they are known to cross physical barriers, interfere with the immune system, enter blood vessels, lymphatic system and various organs, the health effects of these nanoparticles are not well known. Minister, have you been able to read the study I have just mentioned? What is your view of this study? Given the lack of knowledge on nanoparticles, would it not be wise to initiate a study on the subject? In a December 2012 report, WHO recommended the application of the precautionary principle on nanoparticles in food and drew attention to the vulnerability of children. Would you be prepared to follow the WHO recommendations in this regard? If so, what measures could be considered?
