ParlaMint-BE_2016-07-05-54-commissie-ic463x.u1	The Prime Minister will provide an answer to these questions.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u2	Mr. Chair, it is an honour for me to get the Prime Minister's answers to questions posed to ministers. These are also very technical issues. I apologise in a way, but for public procurement specialists, these are important subjects. I have no doubt that your answers will be read carefully. Prime Minister, the first question concerns the new European directives on public procurement and concessions. These are currently being transposed into Belgian law. The three directives should have been fully transposed by 18 April 2016, which is not quite the case. In the meantime, all contracting authorities, public undertakings and contracting entities are faced with legal uncertainty. Indeed, in the light of the constant case-law of the Court of Justice of the European Union, the sufficiently precise, clear and unconditional provisions of the Directives have a direct effect, irrespective of the existence of texts resulting from national law. The Court also held that "are subject to the obligation to respect the primacy of Community law, all administrative bodies and that the fact that national provisions already existed before the entry into force of the Directive is irrelevant." Therefore, in the case of contracts launched since 18 April 2016 which exceed the European threshold, contracting authorities, public undertakings and contracting entities are assumed to apply only the provisions of Belgian legislation in accordance with the new Directives and to apply the provisions of the Directives which have direct effect. In order to remove or at least reduce this legal uncertainty, Prime Minister, as soon as possible and if necessary by publication in the Belgian Moniteur, please indicate precisely the national provisions of the legislation on public procurement which are contrary to the new directives, both in the traditional sectors and in the special sectors, as well as the provisions of the new directives which must have a direct effect under Belgian law. Such information would allow for a consistent application of the legislation by all stakeholders and a reduction in litigation related to the late transposition of the legislation. The draft law on concession contracts has transposed Directive 2014/23 on the award of concession contracts into Belgian law. The explanatory memorandum states: "The definition of the concession of services in the Directive does not accord with the concept of a concession of public service as it exists in Belgian administrative law. While the public service concession under Belgian administrative law and the service concession under Union law have common essential characteristics, they are distinguished mainly by their object: concessions under Union law may concern any type of service unless exclusions defined by the Directive, while public service concessions under Belgian administrative law concern only contracts which have as their object a public service. The concept of public service is defined in domestic law. According to Professor Orianne, there is only one public service that is erected as such by the legislator. At the local and provincial level, the concept of public service is confused with that of services of municipal or provincial interest, the content of which is therefore evolving and broad. In order to be able to grant a public service concession, the granting authority must therefore, by or under the law, be in charge of public service tasks and have the capacity to delegate them. Both the Directive and the draft which transposed it apply to service concessions which, as the case may be, may also be a public service concession under Belgian administrative law. Service concessions which are excluded from the scope of the project, either because their estimated value is below the threshold of EUR 5 186 000, or because this Law does not apply to non-economic services of general interest or activities in the field of water, but which meet the definition of public service concession, shall remain subject to the general principles and rules of internal administrative law, such as the principle of equal treatment and the obligation to give formal reasons for administrative acts." Finally, I would like to quote a new excerpt from the explanatory memorandum to this law transposing the concession contract directive: "The public service concession excluded from the scope of this draft on the ground that it concerns a service of general non-economic interest may therefore be a public service concession within the meaning of Belgian administrative law, the award of which is subject to compliance with the rules and principles of administrative law." If this reasoning is followed, public service concessions which are not exempted by the Directive will therefore be subject to the obligations arising from European legislation on concession contracts. Mr Prime Minister, do you confirm that public service concessions that do not meet the conditions for exemption from the European directive will be subject to the obligations of this directive? If so, have you assessed the administrative burden of these obligations?
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u3	Mr President, Mr President, Directives 2014/24 EU, 2014/25 EU and 2014/23 EU on public procurement and concessions should indeed, as you mentioned, be transposed by 18 April 2016. As with other European countries, we still need to finalize the transposition exercise. The relevant services of the Chancellery devote themselves to this with absolute priority, since the aim is to complete the transpositions in the shortest possible time. In fact, most of the work has already been done. The draft law on public procurement transposing the first two directives was adopted in plenary session on 12 May 2016. The draft law on concession contracts was adopted on 26 May 2016. The Law on Reasons, Information and the Right to Recourse in Public Procurement and Certain Contracts for Works and Services of 17 June 2013 remains to be amended. It was adopted at the Council of Ministers on 3 June 2016. The opinion of the Council of State is expected on 11 July 2016 and the drafting of several royal decrees implementing the above-mentioned law is also under way. At present, the draft Royal Decree on the award of public contracts in traditional sectors is presented for analysis and opinion to the Commission on Public Procurement, which will decide on this text very shortly. The question that you raise about the possible direct applicability of the provisions of the three Directives mentioned is indeed a complex issue that has been raised in the Committee on Public Procurement. The committee is composed of representatives of the different authorities, the different levels of power and representatives of the social partners. After analysis and discussion, the Commission found that it was neither possible nor recommendable to carry out a detailed and comprehensive study on this specific issue. This represents a volume of work that could not be done within an acceptable or useful time frame. Nevertheless, every effort has been made to try to inform contracting authorities on the steps to be taken. For example, the Commission for Public Procurement has issued an opinion on the use of standard forms for contracting authorities, which is available on the website I will mention in the written document publicprocurement.be. In the coming weeks, the Commission will also look at a document drawn up by the Flemish Government, "Guidelines - Notice of Market Modifications". This document is designed to guide contracting authorities in the matter of contract amendments, taking into account the European Court of Justice's Pressetext judgment. The conclusions of these discussions will then be communicated to the contracting authorities. Such an initiative will therefore also make it possible to take account of European case law in this field. Finally, the Commission on Public Procurement, at its meeting on 21 March 2016, issued a recommendation on the use of the single European market document after the final date of transposition of the Directives, published in the Belgian Monitor on 21 April 2016, setting out the procedure for publication pending the full transposition of the Directives into Belgian law. In conclusion, you note that the work done is extremely important, that every effort has been made to clarify as far as possible the contracting authorities and all the actors concerned. The transposition of the Directives took almost seven years. I would like to recall that it was only on the occasion of my assumption of office in October 2014 that the work was actually started since before that there was a government in day-to-day business. Our will is to conduct this exercise in consultation with all relevant actors. It is a commitment on our part that inevitably contributes to the drafting of a quality text that will make it easier for the actors concerned to understand the content of the legal provisions. Let me now turn to your second question. My answer will be a little bit shorter than your question. I confirm that public service concessions which do not meet the conditions for exclusion as set out in the new law on concession contracts do indeed fall within the scope of the latter. This is a direct consequence of the transposition of Directive 2014/23/EU into Belgian law. With regard to the assessment of the administrative burdens arising from these obligations, you will certainly understand that it is not possible, at present, to give an exhaustive overview of them. In fact, service concessions are introduced for the first time in Belgian law, like works concessions, which inevitably leads to new burdens. Thank you.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u4	Thank you, Prime Minister. Your answer to the second question is very precise and removes any ambiguity. As regards the transposition into Belgian law of the three directives to which reference was made, I took note of the progress made. Indeed, beyond the pieces of legislation that have been passed, there is still important work that I do not underestimate. I am well aware of the difficulty for the Chancellery, in particular, in carrying out this project and finalising it as soon as possible. I have also taken note of the initiatives taken by the Commission on Public Procurement to try, as far as possible, to provide full information on these new rules to all the bodies concerned. This is indeed a very technical issue, but it is important for the legal certainty of public procurement and for the economic stakes associated with these markets. Thank you for your answers.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u5	Mr President, Mr Prime Minister, the chemical pesticide residue is probably carcinogenic, but is still widely used in our agriculture and horticulture. Even private individuals spray it ferociously I see the chairman nodding in the shape of Roundup in their garden, where little children are wandering around. It also ends up in our diet in that way. The EU Commission has extended the authorisation for satsumas for a further 18 months, although there was no majority in the Member States up to three times. In other words, the Commission overruled the views of the Member States. Prime Minister, I already asked six questions about this to your fellow ministers De Block, Borsus and Marghem. Belgium has abstained. What does that mean? You're gonna unplug the racks, or roundup the racks, or something like that? What measures will you take?
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u6	Mr President, Madam President-in-Office of the Council, Belgium's position on this dossier has been set out several times by the relevant ministers and discussed extensively in the relevant committees of Parliament. So I will not go back on all the elements that form the basis of that view. They've already been notified to you. In summary, the position that Belgium defends during the European procedure is based on the opinion of the European Food Safety Authority, the European Food Safety Authority, and the report of the FPS Public Health and the Scientific Institute for Public Health. As you know, our country has called for an extension of the authorisation of satsumas, which strengthens the conditions of use, including by prohibiting the merger of the substance with certain products called co-formulants. This rational view is based both on the precautionary principle and on the scientific advice collected. Moreover, and more generally, Belgium follows a voluntaristic approach by reducing pesticides. For example, according to the Minister for Agriculture, Mr Borsus, 17 applications were refused during 2015. As I am sure you have heard from the press, on 28 June the European Commission decided, in the absence of a qualified majority in the committee and in spite of the support of 20 Member States, to extend the current authorisation for satsumas by 18 months.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u7	Mr Prime Minister, of course I am very concerned about people's health. You say you want to apply the precautionary principle, but I do not think that will happen. One cannot wait for people to get cancer massively and then say that the product is definitely carcinogenic. I don't think that's ethically correct. Finally, this is yet another example of why people have no confidence in Europe and turn away from it. After all, there is so little transparency and so much uncertainty.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u8	Mr President, Prime Minister, on several occasions, we have had the opportunity to debate, particularly in plenary, the image of our country abroad and the steps to be taken to get back on track and to respond to the socio-economic challenges facing us. In response to these national and international criticisms of the state of Belgium, you announced, in May, the organisation of a future communication campaign on Belgium's assets and attractions. To this end, you have quoted an amount of four million euros. Prime Minister, I wanted to take stock with you of this project. Do you confirm this number? From what budget will this amount be charged? How do you intend to use it? Which operators have been designated? What kind? What support do you intend to use to try to re-emphasize the coat of arms of our state? What will be the content of this communication? How will the federated entities be associated? Before communicating or in parallel with a communication, would it not be better to design a future federative project that goes beyond the Community and political divides to mobilise all the relevant stakeholders?
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u9	Mr President, Mr Gilkinet, as a reminder, very concrete measures were quickly taken for businesses and SMEs after the attacks in Brussels. These included both carry-overs of contribution payments, capacity to resort to temporary unemployment, recognition of "sector in crisis" for horeca and trade in the Brussels Region, and specific support measures for the self-employed. These measures have also been agreed with the Brussels Government. They are and will be evaluated, monitored in the weeks and months to come. In addition to these concrete measures, we considered it necessary to launch an image campaign. This strategy aims to address concerns, for example in the area of economic investment, in the area of tourism attractiveness. Four million has already been committed by the federal government, starting from the interdepartmental provision. We immediately wished to integrate the federated entities into this strategy. At my initiative, on 25 May, the concertation committee decided to set up a task force coordinated by the Prime Minister's Chancellery and responsible for implementing the above-mentioned communications. It seemed important to me, for such an initiative, that all actors should be able to meet in order to coordinate their efforts. The Council of Ministers of 20 May approved, inter alia, the possibility of using experts in communication by launching a tender procedure for a public contract, which will be published very soon. In consultation with the experts, we will develop a comprehensive communication strategy in partnership with the various sectors. The aim is both to build on Belgium's economic, social, cultural and geographical strengths and to highlight our know-how and talents.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u10	Prime Minister, thank you for your answer. We remain convinced that your problem is not a matter of communication, but a matter of project. We are pleased that the federated entities are associated with it, but that will not be enough to restore the coat of arms of our state if this collaboration is not more structural and if the figures of exclusion do not improve. I refer to the statistics on the unfortunate record that our country has achieved in terms of granting income for social inclusion. Similarly, this will not be the case in the absence of a socio-economic project, and if, at European level, we are not at the forefront of such essential battles as the fight against glyphosate and Roundup or fiscal coordination. We are curious to see what can be achieved with these four million euros. Instead, we encourage you to change course to restore the image of our state.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u11	Mr. Flahaux informed us that he would arrive later. We'll wait until he's here to ask his question. Mr Vanden Burre has the floor.
