ParlaMint-BE_2016-04-20-54-commissie-ic391x.u1	Mr. Clarinval's question 9942 has already been dealt with.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u2	Minister, since last year there has been a digital database for inmates in use. The Privacy Commission recently questioned who all had access to that database. For example, the Regions also have access. In addition, the program would not allow for the creation of different types of access, so that, for example, certain instances can only receive read but not write permissions, or only see a limited number of data. The Privacy Commission is also concerned about the lack of a legal basis for the database, in practice that the data is passed on to externals without permission from the federal government's sectoral committee. In mid-2015 you made a proposal on this, but since then it has remained quiet in that area. That is why I have a number of very specific questions. First of all, who currently has access to that database? What information can these data subjects or bodies consult and modify? Secondly, what action should be taken on data contained in the database be authorised by the federal government's sectoral committee? Is that currently happening, or do you agree with the criticism of the Privacy Commission that this is not happening at the moment? Finally, where are you on the preparation of the legal framework for that database?
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u3	Minister, last year, Sidis Suite was rolled out, a fully digitized database that keeps track of all records of the detainees, such as convictions, disciplinary penalties, transfers, leave and possible risk behaviour. That information is important, because I will never forget the headline that reported that the Justice Department doesn't know his own prisoners. Of course, that database can fix that. At least the prisons know what meat they have in the tub when someone is transferred. In the past, this information transfer didn't always run smoothly. As Mr Van Hecke said, the Privacy Commission strongly criticises the database in an opinion. The chairman of the committee says that the data should be handled very carefully. If the wrong people could use them, for example, to deal with someone or to get a terrorist out, then of course there is a problem. It is argued that the system does not adequately regulate which people have access to it and who can modify data and who does not. The federal government has concluded a cooperation agreement with the Flemish government in connection with the database. Given that the regions have now become responsible for helping and providing services to prisoners, they also need access to that database. I would like to ask you the following questions. Who has access to the database and how? How to check who is viewing which data? How to prevent misuse of the database? In what way will you try to respond to the criticism of the Privacy Commission? Has any agreement been reached with the other regions regarding the use of the database? If not, what is the situation there?
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u4	Currently, two categories of users have access to Sidis Suite in order to execute their commands. A first category is users with reading and writing rights, which are the Directorate-General for Penitentiary Establishments. Users' writing rights depend on their function and position in the setting. Furthermore, the Department of Foreign Affairs can only edit information related to the residence status of the detainees and consult the files. A second category is users with read-only rights, namely the courts, the judiciary, the security of the State, the police, certain staff or assimilated from the Directorate-General of the penitentiary institutions, for example members of the Communities who offer assistance to prisoners. The system keeps track of when which user has consulted which information is called logging. A tighter control of the Privacy Commission is currently possible when a problem occurs, for example in the case of a complaint or a data breach. My administration is preparing a bill that creates a legal framework for Sidis Suite. In that draft law, the government will make a proactive application of the European Privacy Regulation, which is only applicable in 2018, by providing an internal security consultant responsible for compliance with the privacy rules. I would like to draw your attention to the fact that we have decided together on such a proactive application of the privacy regulation in the electronic meaning platform. Moreover, with the entry into force of the Regulation, the Privacy Commission will have autonomous inspection, investigation and sanction powers. As regards the prevention of abuse, I refer to the aforementioned modulated access management, the also mentioned login of each consultation, the general discretion and professional secrecy to which the respective users are subject, the ICT technical security of the system, the general security and information policy of the federal government, in particular the FPS Justice and the role of the information security advisers appointed to the FPS Justice Department. With regard to the principle of authorisation of the federal government's sectoral committee, the committee's criticism is justified. The Committee refers to Article 36 of the Privacy Act which provides that the authorisation is generally required for any electronic communication of personal data by a federal government or by a public body with legal personality under the federal government. Applications for authorisation are currently being completed. In addition to the cooperation agreement with Flanders of 28 June 2014, there is also an agreement with the French Community and the Walloon Region of 23 May 2014. These cooperation agreements do not concern the use of Sidis Suite, but cooperation with the social helpers appointed by the Regions and the Communities who operate in prisons at the voluntary request of the detainees. Within that framework, social helpers may have access to the detention file after prior information has been provided to the prisoner concerned and at his request.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u5	Minister, I note that everything will be put in order so that the database complies with current legislation. I am, of course, looking forward to the draft bill you are preparing.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u6	Mr Minister, I may have missed it in your quick answer, but when will you come to the Chamber with the bill? When will that be about?
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u7	That will be, as always, immediate.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u8	Minister, I assume you were also shocked by the recent report in a newspaper about a prisoner who sent an e-mail containing a photograph with a middle finger to his victim's mother. It is reported that not only was there this email, but the man had also documented his Facebook profile under his own name in that sense. In principle, the use of a mobile phone and uncontrolled internet use by the prisoners in prison is prohibited. We know that using PrisonCloud for inmates in some prisons is possible controlled use of the Internet, for example in order to apply. However, this platform does not allow access to social media. How is it possible that a prisoner can maintain a profile on social media and send such e-mails? How does one take action when such matters are identified? May I assume there are no problems with PrisonCloud's security? In what way will this safety be guaranteed?
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u9	Minister, Mrs Van Cauter has already outlined the problem. Recently the painful story appeared in the media that an inmate could place free photos on the internet and Facebook with quite provocative photos that were very shocking for the victims. Normally, a convict in prison couldn't possibly be on the Internet. There is the system of PrisonCloud, but I thought it was very regulated to which websites the inmate can or cannot surf. How is it possible that a prisoner could still post photos on Facebook? How will this be avoided in the future? Can sanctions be imposed against prisoners who are still on the Internet despite the ban? If so, which one? In what way is it avoided within PrisonCloud that such things can happen?
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u10	Mr President, ladies and gentlemen, it is forbidden for prisoners to have a cell phone or smartphone in jail. However, where he unlawfully has such a phone in the cell, that phone can easily create and/or maintain a Facebook profile, provided that it is connected to the internet. However, where an inmate transmits his or her username and passwords to third parties, these persons may also post or send mails under the name of the inmate. When an inmate is caught in this situation, regularly sweepings are organised, the penalty imposed is a decision of the local management team. If required, this can be done in consultation with the Regional Executive Board and/or the Director-General. Through PrisonCloud it is impossible to surf social media, such as Facebook. For limited access to the Internet, a white list is used. Websites like Facebook are not on this list. When a website is visited that is allowed, it is also impossible to click on prohibited websites such as Facebook from there. It is the local management, in consultation with the regional management and the Director-General, who validates the final white list for PrisonCloud. The security of PrisonCloud consists of different layers. First of all, any authorised website is delivered within PrisonCloud via an icon. Only through that icon can the website be opened. Secondly, in addition to the icons within PrisonCloud, we use a firewall to connect to the internet. On this firewall a white list is used again. Thirdly, if the authorised website contains a link to another website, whether or not authorised, it is not possible to call it up. Fourthly, the inmate does not have the ability to type in an address himself. All the beams are hidden and cannot be summoned. Fifth, the prisoner's surfing behavior is monitored. For example, it is possible to check at any time which website is being visited, when and over what time period. In addition to the above safeguards, an agreement was also concluded with an external security company to regulate the PrisonCloud Internet traffic. After implementing its security software, in addition to working with the existing white list, we will be able to use an additional white list that allows us to secure contact forms, forums, blogs and so on within an approved website. The implementation of this is planned in half of 2016.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u11	Mr Minister, I note that improper use of PrisonCloud by security is excluded. However, the possession of cell phones in the cell, which is forbidden, is an old very. I would urge you to check that as much as possible. I assume, however, that you will do what is necessary, not only in view of the facts that have given rise to this question. After all, it is important to avoid committing or directing crimes outside the prison walls from the cell. I assume, however, that you are aware of this and that this will be followed closely.
