ParlaMint-BE_2016-02-24-54-commissie-ic348x.u1	Debates of the European Parliament Mrs Jadin's 8719 has been converted into a written question.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u2	Mr President, Minister, a couple of weeks ago, I asked the Prime Minister about the statements made by the BBC by the Greek Minister of Immigration, Yiannis Mouzalas, who gave the Secretary of State Theo Francken comments which he would have made during or on the margins of an informal meeting of the JHA Council in Amsterdam, and which were of this content: "I don't care if you drown them, I just want you to reject them." On this occasion, you asked me: "(...) I would just like to point out to you that yesterday I was already questioned on this subject by the Greek ambassador to whom I replied. My answer is well known to all as it has been taken up in the media." The Prime Minister backed up your remarks and the simple press release of the Secretary of State, noting that you had already indicated in committee the content of the exchange with the Greek ambassador, the Prime Minister even speaking of a parliamentary reply. I listened to the recording again and I assure you that's what he's saying. The problem is that neither the minutes of the meeting of the Committee on External Relations on Wednesday before the plenary session nor the media seem to repeat your statements in connection with the Greek Embassy, unless we have been distracted. However, there are only two attitudes in this very serious case where we cannot be content with the so-called "one-size-fits-all". Either Mr Mouzalas is telling the truth and the words attributed to Mr Franken are proven and therefore deserve a punishment of the heaviest, or the Greek Minister lends Mr Franken remarks which he did not make. And then we are faced with what must be called a serious diplomatic crisis with Greece, which could not be resolved without a public apology from the Greek government. I would therefore like to ask you, Minister, the following questions. What steps have you taken to shed light on this matter at diplomatic level, both vis-à-vis Greece and the Netherlands, which hold the rotating presidency of the European Council? What was the content of your interview with the Greek ambassador and what conclusions have you drawn? Who initiated such an interview? But I'm already deducing from your smile that I've probably been distracted.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u3	Mr President, Mrs Fernandez Fernandez, in practical terms, I said this on 28 January 2016 in plenary session: "Yesterday, I have already been questioned by the Greek ambassador to whom I replied that my answer was known to all because it was taken up in the media". Of course, you will not find any trace of the exchange with the Greek ambassador in the committee's minutes because it does not usually sit here. Just to give you the details of what happened, I – as I do at the beginning of each European Presidency – took part in a lunch, at the invitation of the Ambassador of the Netherlands, who was called "Community breakfast". I presented the vision of Belgium and Belgian Foreign Affairs on the presidency that opens and on the major topical issues and then agreed to participate in a debate by answering questions from the various ambassadors present from all the members of the Union. The Greek ambassador asked me what exactly the Secretary of State had said in relation to what a Greek minister had said. I replied to him what the Prime Minister replied a little later in plenary on the same day, namely that the Secretary of State formally denied, by communiqué, the information reported by this Greek minister. We stayed there. We have nothing to apologise for or to initiate any procedure in relation to the fact that someone allows himself - which is not the rule - to express the point of view that would have been expressed by a colleague at an informal meeting, otherwise informal meetings are no longer useful, and a fortiori, when the point of view reported is false. Mr Franken clearly denied that. I told the ambassador of Greece. The Prime Minister has made this clear to Parliament. I can tell you again today.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u4	Minister, I sum up because I am very distracted, like many people clearly. You summarize your inquiry here, only the questions in plenary session are filmed. To be sure not to say too much nonsense today – since, apparently, I said in plenary – I went back to the recording this morning. You are saying that the words and the exchange you had with the ambassador of Greece are known to all. You're saying it.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u5	My answer is well known to all as it has been taken up in the media.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u6	For my part, I didn't find her in the media.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u7	My answer is Mr Franken's denial.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u8	In that case, your answer is that Mr. Francken is telling the truth in his statement. If that is your answer, I hear it. I agree.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u9	Of course!
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u10	We also agree that when the Prime Minister tells me in plenary that you have answered a parliamentary question, that is not true. And he says it. He stated that the Minister of Foreign Affairs had had the opportunity to respond the previous day in a committee or in a parliamentary response. We can chip on the terms, but you have something else to do, and so do I. At the moment, the only thing we have is a denial by Mr Franken. The Greek minister maintained his remarks. I therefore repeat what I have already said, namely that we are in a serious crisis where a Secretary of State representing Belgium, even at an informal meeting, would have made very serious remarks. And the only denial we have come from the Secretary of State in question. We have to settle for it. Perhaps the government and the Prime Minister are content. But I'm not content with it. I repeat that there is a doubt, that the situation and these remarks are serious.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u11	Mr President, Minister, yesterday you received praise in this committee for the leading role you want to take in the Europe of the six founding EU Member States. In this capacity, you also took part in a consultation to reflect on the political future of the EU. Over the last few weeks, we have been struck by the EU's pros and counters. I suspect that in the coming weeks and months, and in particular up to the Brexit referendum, we will often be confronted with this. The meeting of the six Member States has already been communicated in the press. I am not asking you for a double explanation, but whether you can explain the position that you have defended there. Do you also see in that meeting a confirmation that Europe is no longer taboo? How are we supposed to interpret this meeting of a limited group? What does that mean within Europe's greater cohesion? The Brexit has already been discussed in detail. Italy has played a prominent role in setting up the dialogue and this is part of the attempt by the government in Rome to forge a closer union. An online survey for citizens is being opened in Italy. What do you think of that? Is that a good initiative that can also be implemented here?
