ParlaMint-BE_2016-02-24-54-commissie-ic344x.u1	(...)
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u2	Mr President, I am, of course, looking forward to the oral explanation. You have just announced in your introduction a table which the Committee has asked for. Is it available?
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u3	(...)
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u4	Mr President, first I will deal with tax revenue and then there will be a number of reservations about the budget balance, the debt evolution and related issues. As far as tax revenue is concerned, the results for 2015 are not yet fully known. For example, in order to know the ESA-based result, as the members of the committee will no doubt know, we still need to have the January figures relating to withholding tax, withholding tax and VAT, as well as the January and February figures relating to income tax and corporation tax. The final closure of last year's budget will therefore only take place in the spring of this year. Of course, this does not prevent us from getting a good view of the 2015 achievements and evolution compared to 2014. In general terms, 2015 was a year for the budget. We must not lose sight of the fact that we were still on the European criminal bench in the year in which the government started. Thanks to the 2015 budget and the structural reforms that have been carried out, the European Commission has adjusted its assessment in a favourable direction. The importance of these reforms is not to be underestimated, with a view to restoring long-term public finances and also with a view to reducing the historically built-up very high public debt. According to the Study Committee on Ageing, reforms in, for example, pensions and health care will lead to a decrease in the ageing bill of 4.2 % of GDP to 2.1 % of GDP by 2016. This is therefore a half cut, which is also explicitly confirmed in the latest annual report of the National Bank. The size and extent of the impact of these reforms can also have a positive short-term impact on the budget. Not only through the effect of falling expenditure and rising revenue, but also through its effect on Europe's medium-term objective. So far, Europe has set the bar for Belgium at a structural budgetary surplus of 0.75% of GDP, the highest medium-term objective in the euro area as a whole. Reforms such as this government is carrying out to limit the bill for ageing in the future can lead to a downward revision of this target in the medium term. Europe is revising these targets at fixed deadlines. We will look at the effects of these reforms, but I am convinced that they can have an effect on a lower objective, because the reforms significantly reduce the future bill related to ageing. According to the recently published report of the National Bank, which, to my delight, has been studied in depth, the budgetary deficit for 2015 amounts to 2.8% of GDP. From a structural point of view, the deficit is limited to 2.5% of GDP, an improvement of 0.3% of GDP. It should certainly be a little more, although I do not share the opinion of the chairman of the committee and some committee members that we can conclude from this that the government is doing less well than the previous government. According to the first stability programme, which was sent to Europe by the previous government in April 2012, we should have had a budget in balance last year. Despite the fact that the crisis years were over and despite the accommodating policies already deployed by several central banks, the budget deficit remained high. In 2014, the last financial year prepared by the previous government, it was only afterwards that we even knocked above the so-called 3% tax threshold for Europe. In addition to the objectives, there is still a substantial difference from previous years when we look at the 2015 budget. The quality of the clean-up is fundamentally different. Today there is a government that reduces taxes for those who work and for those who create work. The fact that, despite falling revenue, we are still achieving an improvement in the balance is due to an even better control of expenditure. Honesty commands me to say that interest charges are a push in the right direction, but that was also the case in the past and even to a greater extent. So in 2015, there were lower taxes and lower spending. That was different before the present government, not to say the other way around. Expenditure did not fall, quite the contrary. The government continued to spend more and more year after year, also as a percentage of GDP. The only way to improve the balance of the budget was to increase revenue even more substantially. In this way, the government's revenue ratio increased as a percentage of GDP to historically unseen levels in Belgium. The government's clean-up strategy consists of strict expenditure control and aims to make our economy competitive again. Examples include lower expenses, index jumps and wage moderation. In the short term, these measures obviously have a negative impact on economic growth. I said from the outset that the short-term effects would be negative. I invite you to read the reports of this committee again. It is only in the long term that our economy will reap the benefits of these measures through the adjustment of the cost structure and the improvement of the competitiveness of our enterprises. We are already seeing positive signs in the National Bank's report that last year the private sector was the engine of jobs par excellence, in contrast to previous years in which the employment rate was maintained at a level through partly or wholly subsidized public employment. To confirm, I would just like to read a passage from last year's annual report of the National Bank: "In addition, the fiscal effort over the period 2011-2014 remained very modest compared to that in the euro area. The fact that a less restrictive macroeconomic policy mix has thus been achieved in Belgium also explains why the economy in our country has so far been able to cope better with the crisis." In other words, as of 2015, there is a substantial difference in fiscal consolidation. While previously hardly any savings were made, revenues were increased, and public and semi-public employment notionally increased employment and growth, there is clearly a turning point. We are on the way to a reform of public finances through strict control of expenditure, through the competitiveness of the economy, through lower taxes and last but not least through structural reforms. So much for my comments on the general policy of the budget. Important for Europe, as well as for investors investing in Belgian paper, is that debt levels fall to 106.9 % of GDP in 2015. An increase in the average maturity of the debt portfolio reduces refinancing risk and the current lower interest rates are firmly anchored for the future. As far as revenue is concerned more specifically, subject to the above-mentioned achievements of January and February and according to the latest estimates of the FPS Finance Study Service, total tax expenditure would be more or less in line with the budgetary objectives. The difference on the ESA basis is EUR 17 million according to the currently available data. I'm going to go into the details now. VAT revenue was estimated at EUR 30.2 billion, but was only EUR 29.7 billion rounded up, giving a lower value of 470 million. Essentially, three factors explain the reduction in yields. Firstly, the last few months of last year there is a cyclical dip against the much stronger first half of the year. Secondly, an amount of EUR 150 million in VAT was not paid by the counterparty in due time in the context of a court case. There is therefore a shift of revenue, as the amount is taken into account as additional revenue for 2016 in budgetary control. Thirdly, sectors such as hotels and tourism, especially after the attacks in Paris, have had less turnover and have, of course, been able to transfer less VAT. An amount of some EUR 46.6 billion was entered for the farm levy and only EUR 46.3 billion is expected to be realised. That is a negative difference of EUR 258 million. My services are currently investigating the cause of the negative difference of EUR 258 million compared to the original expectations. Advance payments were negatively affected by the absence of a deposit of EUR 400 million from a large company. The payment took place at the end of 2014, but did not repeat itself in 2015, as expected. As a result, the realisations amounted to EUR 10.1 billion compared to the estimated revenue of EUR 10.4 billion. It's always about rounded figures. On the basis of the amounts collected, in 2015 the corresponding personal income tax would amount to EUR 4,649 billion in ESA terms, while the budgetary objective was set at EUR 5,029 billion. This therefore represents a surplus of 380 million euros compared to the budgetary objective, although in the end 40 thousand more attacks were launched in 2015 compared to 2014.
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u5	You were talking about EUR 5.3 billion, which has finally become EUR 4.6 billion, and then you are looking at a surplus of EUR 380 million.
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u6	No, it's about EUR 5.029 billion and not EUR 5.3 billion. Coherent corporate tax would reach EUR 4.385 billion in 2015, while the budgetary objective in ESA terms was set at EUR 4.075 billion. There would therefore be more revenue of 310 million euros in relation to the budgetary target. The preliminary figures show that this is mainly due to an increase in corporation tax paid after collection. In this respect, there has been a shift from advance payments to balances to be paid for some years. The realized revenues corresponding in SEC terms to the recognized rights of the personal tax enrollments of November 2014 are in fact the revenues of January 2015. They amount to – €780 million. The fees recorded for the recruitments of December 2014, thus the revenues of February 2015, amount to +38 million euros. These amounts relate to several different tax years, including positive amounts from previous years. Revenues in SEC terms for November and December 2015 enrolments are not yet known. These are estimated at EUR – 627 million and EUR – 517 million respectively. The realized revenues corresponding in SEC terms to the recognized rights of the November 2014 corporate tax enrollments are in fact the revenues of January 2015. They amount to EUR 1.364 billion. The fees recorded for recruitments in December 2014, thus the revenue of February 2015, amounted to EUR 374 million. Revenues for recruitments in November and December 2015, the January and February 2016 revenues, are not yet known. These are estimated at EUR 1.163 billion and EUR 361 million respectively. For the time being, overall, revenue is in line with the adjustments made in last year's budgetary control. A budget in balance is and will remain the government's objective. For 2016 we are preparing the first budgetary control. The prospects of the European Commission, the National Bank and the Federal Planning Office show that an adjustment will be necessary in order to maintain the planned trajectory. The derogation is the sum of less than expected revenue and higher than expected expenditure. For the latter, there is the inevitable effect of the refugee crisis and the far too long delay in investments in security. Apart from that, it is also necessary to check whether everyone in the government is complying with their commitments. Decreasing expenditure on a department due to an improved labour market or positive effects of the tax shift cannot be an excuse to fail to deliver. We will make this exercise on the revenue side serious. 2016 is a challenging year in that respect, as with the tax shift we switch more than one gear higher. Most of the measures are already operational and were adopted in Parliament at the end of last year. I am thinking, among other things, of the increase in withholding tax, the reduction of the reduced rate of VAT on electricity and the tightening of the tax on sightings. Some measures will continue to be implemented in the coming weeks. For example, the sixth state reform has forced us to discuss the design of tax regularisation thoroughly with the region's regions first. The diamond system has been notified to Europe to avoid incidents such as the excess profit rulings in the future. We will also be presenting very concrete initiatives in the coming weeks on the real estate vehicle, a particularly technical and complex issue.
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u7	I give the floor to the Minister for the Budget.
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u8	We both need to talk, so we're not gonna play the music chair. I'm really happy to be here. Mr President, ladies and gentlemen of Parliament, indeed, as was done at the beginning of the year, the FPS Budget and Control of Management has updated the estimate for the implementation of last year's budget and the budgetary balance of all public administrations. This new estimate is in line with that made in the context of the preparation of the 2016 budget and presented in several tables of the general presentation, which you know by heart: tables 1, 8, 9, 10, 12, etc. These are the discussions we had during our debates in committee last November and December. Before I get to the heart of the matter, I would like to remind you - and I would like to stress this fact - that the figures we are talking about are currently estimates. We do not yet have all the achievements for 2015. This means in concrete terms that the figures that I am going to present to you will change over the next few weeks. Therefore, these estimates cannot be considered definitive. On 30 September 2016, we should have the INR's final figure for 2015. However, an initial estimate of public administration accounts will be delivered by INR to Eurostat by the end of March. The relevant European regulations provide that each Member State shall communicate its government deficit to the Commission, as well as the level of planned and effective government debt, twice a year, before 1 April and before 1 October. In order to achieve the estimate for the implementation of the 2015 budget, the FPS Budget and Management Control worked on the basis of all the data transmitted in January 2016 by the different administrations and similar organisations such as the FPS, the PPS, social security, the RIZIV, the OISZ and the ION. For example, as regards tax revenue, in particular personal income tax and corporation tax, the data are not final for 2015, since taxable persons have until 15 February to pay their tax or to receive their reimbursement from the State. In the area of health care, the information for 2015 is also provisional, as the FPS Budget and Management Control only had the achievements until November 2015. The same applies to other data from social security. On the other hand, with regard to primary expenditure excluding IPSS and IOP, almost definitive data were used in the context of the overall estimate of the 2015 budget. For entity 2, this also remains an estimate, since the data transmitted in January by the Communities and the Regions are also still provisional. The estimates made by the Budget and Management Control SPF confirm the latest state of play that was prepared on the basis of the update of macroeconomic parameters and the update of data from administrations for 2015 in the general presentation of the 2016 budget. With regard to the current estimate of entity 1's funding requirement for 2015, namely the federal authority and social security, it is very close to the 2016 budget. This funding requirement is estimated at ‐9,260 billion or ‐2.3% of GDP compared to ‐9,099 billion in the general budget statement, a difference of only ‐161 million. At entity 2 level, the funding requirement for 2015 is estimated at ‐1.922 billion (‐0.5 % of GDP) compared to ‐1.707 billion (‐0.4 % of GDP) in the general presentation of the 2016 budget, a revision of ‐214 million. As far as all public authorities are concerned, the SPF Budget and Control of Management now relies on a funding balance of ‐11.182 billion for 2015 compared to ‐10.806 billion estimated in the general presentation of the 2016 budget, a revision of -376 million, the bulk of which comes from entity 2, in particular from local authorities. In the end, Belgium's funding balance could reach 2.7% in 2015, compared to 2.6% estimated in the general statement of the 2016 budget. Taking into account this update of Belgium's estimated financing needs, it should be noted that the latter has significantly improved compared to 2014, when the claim balance according to the INR reached 3,1%. It should also be noted that this decrease is explained by the favourable dynamics of entity I. In fact, the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of the balance of In order to bring about the updating of the financing needs as proposed to you, the FPS Budget and Management Control used the updated information that was transmitted by different administrations. As regards primary expenditure, the estimate shall be based on the use of the liquidation appropriations by the date of 28 January 2016. Except for the ION, the level of primary expenditure in ESA terms increases by only EUR 72 million compared to the estimate of the general statement of the 2016 budget. There is also an increase in the amount of EUR 893 million to the Public Sector Pension Service to reach EUR 52.951 billion by 2015. In parallel, this increase in expenditure with the Public Sector Pension Service is fully reflected in the ESA balance of the institution to be consolidated, which translates into an improvement in the balance of these institutions. The final outcome of these two opposing movements is, therefore, neutral for the federal government's financing needs, an increase in expenditure and an improvement in the ION balance. With regard to the underutilisation of debt instruments with the exception of codes 8 and 9..................................................................................................................................................................................................................................................... This double result, stability of primary expenditure and significant underutilisation, points to the strict management shown by the government over the past year. Contrary to what some people claimed a year ago, we made a serious but reasonable effort for ourselves, while maintaining the service to the citizen. What we have proposed to do has also been achieved. With regard to the other headings and without going into detail and above all without encroaching on the powers of my colleagues, in particular those of the Minister of Finance and the Minister of Social Affairs and Public Health, I can tell you that we can see that the overall amount of tax revenue was only revised at the margin between the general statement of the 2016 budget and the last estimate of January. The total tax revenue is now estimated in the ESA base at 106,720 billion compared to 106,702 billion in the general budget statement, an improvement of 17 million. The differential on which the Minister of Finance has returned is the result of various movements. At the level of social security, on the basis of data provided by the social security administrations, the balance is now estimated at +188 million compared to +52 million in the general statement of the 2016 budget, a difference of 136 million. In the context of this global exercise, the FPS Budget and Management Control also carried out an update of the structural balance. This will also be reviewed in the coming weeks, not only on the basis of a possible update of the nominal balance, but also on the basis of the new estimates of GDP and of the output gap by the Federal Planning Office in the context of the multiannual projections. In spite of these comments, the structural balance for 2015 for general government is currently estimated at 2.1% compared to 2% in the general statement of the budget. With regard to entity I, it could reach 1,7 % compared to 1,6 % in the previous estimate. At the level of entity II, the structural balance shall remain at the level of the entity II, which shall be at the level of the entity. With regard to debt, according to the FPS Budget and Management Control, this can reach 105.9 % compared to 107.2 % recorded in the general budget statement, or a revision down by more than 1.3 %. This revision is mainly explained by the consideration of KBC's repayment to the Flemish Community of EUR 3 billion, while the general statement of the budget took into account only EUR 500 million. Before concluding, I would like to briefly review the latest forecasts made by the European Commission for 2015 and by the National Bank of Belgium. According to the latest forecasts drawn up by the European Commission at the beginning of February, the balance of funding for all public authorities could reach –2.9% compared to –2.7% according to the FPS Budget and Control of Management. At the structural balance level, the European Commission expects a structural balance of -2.7% in 2015 compared to -2.1% for the FPS Budget and Management Control. There is therefore currently a 0.2% difference in the nominal balance and a 0.6% difference in the structural balance between the European Commission's calculation and that of the Budget and Management Control SPF. These differences reflect differences in the baseline data used. Thus, the FPS Budget and Management Control has prepared its estimate on the basis of all the data collected by the different administrations, whereas the European Commission does not have such precise and fine information. In concrete terms, the European Commission sets out a series of assumptions regarding the development of data that it does not have. This development is itself dependent on its macroeconomic scenario. Beyond these methodological differences, it must also be noted that the European Commission also has its own reading of the measures taken by the government, its own reading of the returns of the measures, its own estimation of the Output Gap, which, as a reminder, is a key variable to ensure the transition from the nominal balance to the structural balance, and its own estimation of the One Offs. With regard to the prospects for 2015, drawn up by the National Bank of Belgium in the framework of its annual report published last Friday, a small difference is also noted as regards the outlook made by the FPS Budget and Management Control in January 2016. According to the National Bank of Belgium, the general government's balance of claims could reach 2,8% in 2018, compared to the current estimate of 2,7% by the FPS Budget and Management Control. This difference is the translation of a slightly higher estimate of entity I's financing needs by the National Bank of Belgium and a slightly lower estimate for entity II. The difference at entity II level is explained almost exclusively by a different hypothesis regarding the deficit of local governments. The difference is estimated at €131 million between the two estimates. As far as entity I is concerned, we do not have detailed information on the factors at the origin of this difference of 0,1%. As with the European Commission, these differences may be explained by a difference in the appreciation of public revenue and/or expenditure due to the fact that the National Bank of Belgium does not have access to all the information available to the FPS Budget and Management Control and therefore assumptions should be made with regard to these data. In view of these comparisons, I would remind you that it is important not to misunderstand the exercise carried out by both the SPF Budget, the National Bank of Belgium and the European Commission. This is not a work to establish definitive figures but an estimate of what could be achieved in 2015 on the basis of the data available in January 2016. In this context, having a difference of 0,1 % or 0,2 % between the different estimates remains, moreover, acceptable for the masses to be estimated. Finally, it must be noted that the most recent estimate, i.e. that made by the National Bank of Belgium, is significantly better than that made by the European Commission at the beginning of February and very close to that drawn up by the SPF Budget and Control of Management. Here, therefore, is the estimate of the main budgetary results for the year just ended. These are, in my view, results that demonstrate the seriousness of this government's determination to clean up public finances and maintain the budget heading.
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u9	Minister, I assume we will receive a copy of your text?
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u10	[[...]]
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u11	Three fellow Members have put forward questions and I propose that they be given the opportunity to give them an opportunity to discuss them, after which we can proceed to the exchange of views. With regard to Mr Dispa's question No 9245 on the European Commission's winter forecast, I think it is a fairly general wording, but I give you the floor, Mr Dispa.
