Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LalieuxKarine	Lalieux, Karine	F	1964	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	BorsusWilly	Borsus, Willy	M	1962	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LalieuxKarine	Lalieux, Karine	F	1964	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	KlapsJohan	Klaps, Johan	M	1970	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	KlapsJohan	Klaps, Johan	M	1970	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	GantoisRita	Gantois, Rita	F	1958	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	KlapsJohan	Klaps, Johan	M	1970	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	DierickLeen	Dierick, Leen	F	1978	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	KlapsJohan	Klaps, Johan	M	1970	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CassartMailleuxCaroline	Cassart-Mailleux, Caroline	F	1973	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	KlapsJohan	Klaps, Johan	M	1970	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	BorsusWilly	Borsus, Willy	M	1962	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	GantoisRita	Gantois, Rita	F	1958	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	KlapsJohan	Klaps, Johan	M	1970	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	GantoisRita	Gantois, Rita	F	1958	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	KlapsJohan	Klaps, Johan	M	1970	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	DierickLeen	Dierick, Leen	F	1978	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	KlapsJohan	Klaps, Johan	M	1970	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	BorsusWilly	Borsus, Willy	M	1962	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	KlapsJohan	Klaps, Johan	M	1970	
ParlaMint-BE-en_2016-06-14-54-commissie-ic442x	ParlaMint-BE_2016-06-14-54-commissie-ic442x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-06-2016	2016-06-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	KlapsJohan	Klaps, Johan	M	1970	
