ParlaMint-BE_2016-06-02-54-plenair-ip113x.u1	The meeting is open. The meeting was opened.
ParlaMint-BE_2016-06-02-54-plenair-ip113x.u2	Prime Minister, my question will be simple and direct. What initiatives are you going to take in the hours or in the days to come for a quick exit from the crisis? The situation in the country has been deteriorating for more than two months now, with a huge economic impact and a dramatic social impact. Workers, citizens, students, everyone is tired of this inertia. Prime Minister, since you're done with your fluo, I'll give you a little advice. Spare us your consideration of each other's responsibilities. Turn to solutions. What proposals will you make for an exit from the crisis? Making proposals is your job. If I may repeat the title of your own communication, Prime Minister: "At work!" It is now up to you to make proposals to get out of the crisis. Let's be clear, don't come back with the four million of your big communication plan. I am talking about solid proposals that will allow each other to return to the table without the sword of Damocles from those blind and linear savings that you impose on every public service. Prime Minister, the citizens of this country are entitled to expect, in your reply to Parliament, a clear exit strategy, and a plan of investments in the future, and in their future. I hope that you will not disappoint the citizens.
ParlaMint-BE_2016-06-02-54-plenair-ip113x.u3	Mr President, Prime Minister, in the face of any crisis situation, there are two ways of reacting, either to its certainties, as do those who call for the privatisation of the railways in the midst of a strike, or to remember; to remember that our country was built on the basis of permanent social consultation, with mutual respect; to remember that our country has become the fifteenth economic power of the world, thanks to the efforts of all its citizens, including millions of workers; to remember that our country had, until recently, succeeded in going through the economic and financial crisis, without increasing inequalities and preserving to the fullest the purchasing power of citizens; to remember that public services are the good of each of our citizens and that they should be protected and strengthened. Of course, remembering all this will not forget the jump in the index, the rise to 67 years of pension age, the increase in VAT on electricity or the savings in health care, all of which are unfair measures that are imposed on the citizens of our country when, at the same time, some have the means to cheat and not to contribute to the community. I condemn, Prime Minister, like you, every act of violence, every attack on physical integrity and every outrageous approach that targets people, not ideas. But how can we not understand the anger and feeling of injustice that more and more citizens are experiencing? Together, let us remind the world that the Belgian model is successful in bringing together communities of different opinions and opinions! It is not a confession of weakness to take a step on the path of dialogue on the path of compromise. Political courage is to confront its certainties with the reality of citizens' lives. Political courage is to leave the discourse that claims that, in order to get out of the crisis, there is no alternative to your austerity policy. More recently, the International Monetary Fund stated: "The increase in inequality diminishes the level of vitality of growth". Today, reality requires you, Prime Minister, to rise above the mound while involving you more in conflict resolution. Today, two ways are possible: to persist in confrontation or to choose appeasement and to open a real dialogue. I call on every part of this social conflict to take a step. What is your step, Prime Minister?
ParlaMint-BE_2016-06-02-54-plenair-ip113x.u4	Prime Minister, you launched last weekend in the northern press an idea that is not new, and certainly not in the ranks of the political formation that you represent: the idea of a referendum on societal issues and, perhaps, on the political choices of your majority government. Given, if so, that you are not certain of the public's confidence in the government's policy choices that you impose on the country, without even having taken these choices of society in the declaration of your election campaign. When we compare the NCM program of the election campaign and what you are doing today, there are more than big gaps. I understand that you wish to return to the people by referendum. It can be expected that when the Prime Minister speaks with such a strong choice, the majority will be united. Nothing like that has happened. So, what do we have to understand? Is this an idea to think about in the Constitutional Review Commission? Is it a confession of doubt or even failure? Or are you really going to give yourself the means to the ambition you have announced? Are you going to propose, I do not know on what legal basis, a realistic way to achieve the objective you have set yourself? Or is it simply a smokescreen to make the country believe that you are concerned about the voice of the people, as you move away from it more and more?
ParlaMint-BE_2016-06-02-54-plenair-ip113x.u5	Mr President, Prime Minister, ladies and gentlemen, first of all I would like to say a few words about a criticism which is often expressed and which means that the government does not have a majority in one part of the country. That is being targeted today, including by the PS. The previous government, led by Mr Di Rupo, had no majority in the Flemish part of the country. At the time that was not a problem for the PS at all, but it was a stone of offense for the N-VA. Today they're both in the other camp, but it comes down to the same thing. Secondly, I would like to say that, when we talk about social dialogue, the intention of social dialogue still comes down to making agreements. Quod nun. After all, what do we see? We see that agreements that have been made at some point, both at the guard strike and at the rail strike, are not being honoured. If the basic systematically the negotiators whistle back, then the union has a legitimacy problem. Then the leadership of the union has a serious problem, not your government, Prime Minister. You always fall back on a majority here in Parliament. I note that the social dialogue, which should basically mean that agreements can be worked out, fails to honour and implement the agreements concluded. Thirdly, what have the events of the socialist government syndicate taught us in recent days? Pure Kafka. Minister None has continued to negotiate. The Flemish wing has repeatedly, faced with an existential problem, asked the Minister to stop making new proposals, because they had actually received what they had asked for. On the French-speaking side it has been said that there has been a further ceasefire. For what reason? There is a ceasefire until the fall of the government. It has a name, it has a qualification, it's called a political strike. That is a political strike! The group chairmen of the Flemish and French-speaking socialist parties have sent a letter to the trade unions. They ask their trade unions to stop this Community division, because they are playing into the hands of forces they are hostile to. Who let the ghost out of the bottle? Those who play with fire will suffer the consequences. Mrs Onkelinx, first of all we are eagerly using trade-union measures to promote opposition work in Parliament, and then when we see that the trade-union actions become uncontrolled and distasteful, becoming degout at the market square in Mons, Mr Di Rupo, we try to distance ourselves from them. Who let it come to this?
ParlaMint-BE_2016-06-02-54-plenair-ip113x.u6	(...) the general situation of the country!
ParlaMint-BE_2016-06-02-54-plenair-ip113x.u7	When you tell the truth in this parliament, you start screaming! Only the truth hurts! Mr Prime Minister, I come to my urgent question. I only have one motto for the government: talking to unions and social partners can and should, but not fold. Prime Minister, I see the issues involved, namely building up railway compensation days during holidays. An employee takes a vacation, but wants to build up compensation days during that vacation. If people are told that this demand today is the use of blind syndical anger, I would tell you not to fold, to continue and to continue with the reforms. You can continue to count on our support.
ParlaMint-BE_2016-06-02-54-plenair-ip113x.u8	[[...]]
ParlaMint-BE_2016-06-02-54-plenair-ip113x.u9	Mr President, Prime Minister, the strikes of recent weeks must not forget that the vast majority of Belgians, including those working for the government, have worked and have not stopped. We must not forget that, and we are very grateful to them for that. Some actions, such as sabotage on the track, violence against people or wild strikes that do not allow travellers to return home from work, are unacceptable to us. Colleagues, however, it is not unusual for workers to try to retain acquired rights which they have. That's human. However, the world is changing; the economy is changing and we cannot stand still. We must reform. Stand still is reverse. Some want to take advantage of the uncertainty that exists today to turn people against each other, to polarize and to push the blackbird through. Ladies and gentlemen, our group is not participating in this. There is a sense of uncertainty in society and we must have empathy for it. Empathy, as the Minister of Justice has shown with a great deal of effort for weeks. In this way he was able to convince two thirds of the trade unions and reach an agreement that strikes a balance between acquired rights and reforms. Empathy, Prime Minister, as you and the Minister of Work have demonstrated over the last year and a half by concluding social agreements in many areas which have also been implemented and respected. That is the way forward, ladies and gentlemen. A comparison has been made with the Unity Act. Those who have done so are mistaken. The Single Act was a law approved by the government and deposited in Parliament. Social measures were then taken against this. If there is uncertainty and action today about........................................................................................................................................................................................................................................................... There's no text yet. Read the notification, ladies and gentlemen, as a result of budgetary control. After consulting the Group of Ten, the Minister for Labour submits a draft law to the Council of Ministers. It will consist of, on the one hand, general rules and rules directly applicable by undertakings and, on the other hand, a menu of measures which can be activated sectorally. We will first negotiate with the social partners and then a draft law will be discussed in the Council of Ministers.
ParlaMint-BE_2016-06-02-54-plenair-ip113x.u10	(...).
ParlaMint-BE_2016-06-02-54-plenair-ip113x.u11	That is what the notification says, Mr Calvo! Read the notification! All four majority parties have committed themselves to this! That is the path we will follow! Prime Minister, how will you and the government organise discussions on manoeuvrable work?
