ParlaMint-BE_2016-09-20-54-commissie-ic488x.u1	The Minister wishes to speak briefly before the questions.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u2	Mr President, ladies and gentlemen, first of all, I greet you all and I hope that you have had an excellent holiday, even if you have already resumed your work. Given the number of questions and committees that meet simultaneously, it seems to me that it will be difficult for me to answer all the questions on the agenda, even if I am available. If you wish, I would like to propose another very close committee meeting to answer all the questions that could not have been dealt with today.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u3	Thank you, Minister. We will go as far as possible on our agenda. You stay till 1:00. We'll take stock at that time. I would ask colleagues to be as concise as possible in their speeches.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u4	Mr. Chair, I chose this title for my question because, obviously, the lessons of the past were not enough for Minister Marghem. I filed an oral question immediately after I discovered the newspaper article on Friday morning. Minister, I must say that since then things have changed considerably. I have therefore adjusted my question according to the elements that have appeared in recent days in the newspaper Le Soir and the newspaper L'Echo, as well as following your comments on RTL's antennas this weekend. How do you sum up the situation before you ask yourself the questions? Of two things one: either there is collusion between you and Electrabel and EDF, and therefore voluntary intention to subtract Electrabel and EDF from the right contribution they owe, from the nuclear tax; or you again miserably crashed and proved your incompetence in a sensitive case. He's not the first and I'm afraid he's not the last. The problem is political. It is your political responsibility in this matter. All the more so since your explanations in the press these days are not on the road. It is therefore important to have a definitive, firm, clear explanation here. Parliament's reports will of course count. You're a lawyer. You have often made this point in the course of parliamentary work. However, from a legal as well as a political point of view, there is nothing standing on this issue. I'll go back to your attempts to explain. The information was released on September 15, after you refused to answer the questions. Your version was released the next day. You have provided two important elements for the continuation of this case. First, in your view, the deadline of 15 September does not prevent the discussion from continuing. Secondly, you state that there is no disputed amount. Your first argument is totally wrong. If we refer to the content of the Tihange 1 Convention, and in particular Article 8.3 thereof, we read precisely that the matter must be decided by an independent expert by 15 September at the latest. It was not a question of appointing one on that date, but of deciding the matter. So, what you're supporting is wrong. Indeed, from the moment you are beyond 15 September, you consider, in the light of the above article, that there is no dispute as to the amount established by the operators, namely Electrabel and EDF. This first argument is not on the road. By the way, Mr President, I will table a copy of Rule 8 for colleagues to know what we are talking about. I say that because we have already had discussions on this convention. We already wanted to make it public, but the minister refused and made it difficult. I'll give it to you so we can spread it and know what we're talking about.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u5	And at the same time, I will ask you to conclude. Time passes very quickly, Mr. Nollet.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u6	Second element of your line of the 16th, there is no disputed amount. And the next day, on the 17th, there is a rebound: with the same aplomb, change of line at 180 degrees. You say that an expert is appointed to assess the surplus required. In 24 hours, you said exactly the opposite of what you said the day before. You announce that there is an agreement with Electrabel and EDF for the appointment of an expert. But here we are completely outside the scope of the Convention. It is too late, we are no longer in the framework of the convention. As you have allowed the deadlines to run, since we are beyond 15 September, there is no more possible dispute within the meaning of the convention. From there, you are held by the good will of Electrabel and of EEDF. I know you, you're obviously going to deny all this. But, legally – and I am going to table the text of Article 8 – things are clear. I come to my questions. I think that this time you need to give a definitive version of the facts. First question. On 25 June, we receive the report from CREG. Do you confirm that this report does not validate the amount paid in advance by the Electrabel and EDF operators? Do you confirm that the CREG does not validate this amount, that it makes different assumptions and looks for the 4 million plus hypothesis? Second question. What happened between June 25 and September 13? On June 25, it is the date on which the CREG signs and transmits its report to you. What do you do from the moment you receive the CREG report? I guess this is not just a translation issue. It does not take two months to translate a report, if it is written in Dutch. I assume, but you will tell us, that you knew the deadline of September 15, and that you did not find out by chance at the last moment. What are you doing between June 25 and September 13? Does your administration warn you? Is there a note from your administration? Do your firm, your collaborators, take stock with you, write a note and, if so, when? What is the content, what are they telling you? Is the Budget Office asking you about this, given that $7 million is blocked in a transition account? Other cabinets of the majority, since they will also have to speak on the issue, do they question you? That's my second block of questions. I'm coming to the third block. What exactly triggers your letter of the 13th? How come there is nothing between June 25 and September 13, where suddenly you send a letter to Electrabel? What is the trigger for this letter of the 13th? Fourth, what happened between Friday 16 and Saturday 17? Why are you making a 180-degree change in your explanations? Fifthly, who is the designated expert and where does he come from? Who proposed his name: your administration or Electrabel? What guarantees are there for this expert to be completely independent, even though we are outside the Convention? I ask you to pay particular attention to the sixth set of questions. What are the terms of your exchange with Electrabel? On RTL-TVI, not in the part that went to the TV news, but in the content of the rushes that are broadcast on the channel's website, you say that Electrabel has committed itself to you to respecting the choice and decision of the independent expert. It would be all that would be missing. You say that, but you also state that you have received two letters confirming it. You add that Electrabel is also committed to reviewing the terms of the convention. I would like you to be very specific, and I challenge you to give us copies of the two letters in question. Beyond these two letters, I ask you to assure us that the deal you have agreed with Electrabel, which is obviously in a position of strength, is not simply to put the CREG out of play for the calculation of the next nuclear taxes on Tihange 1. I want to be sure that it's not this exchange that you concluded with CREG. I come to my last question. What did you talk about yesterday in intercabinets? We can understand that your colleagues in the majority are starting to get agitated. Again, "Marghem is a problem for this government." These are my seven questions, Mr. President. Of course, I expect a lot of clarification from the minister. I will come back in a second phase if other questions come to mind, but I also make a request to you. I would like the committee to have three pieces of information. First of all, what are the terms of the agreement? In other words, what are the two letters that the Minister spoke about on RTL-TVI? Then, what is the content of the letter she sent to Electrabel and EDF on 13 September? Finally, what notes have the Minister received on this matter, whether from her administration or from her office? You may be surprised that I didn't ask for the CREG report. In fact, I am not asking the minister, since this body depends on Parliament. I have therefore written to CREG to obtain those parts of this report that are not confidential. I am confident that my request will receive a positive response in the coming days, particularly in connection with the debates that we had in the Joint Committee on Economy and the Court of Auditors – in April, it seems to me. The Court of Auditors had indeed asked the CREG to be more transparent vis-à-vis parliamentarians. One consideration for its independence is this obligation, including the advice it provides to the Minister. Mr President, this discussion is therefore also about transparency, given the minister's procrastination and hesitant explanations.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u7	Thank you very much, Mr. Nollet. We have somewhat exceeded the time allowed for the formulation of a question. I let each one put his own, but I will be more rigorous at the time of the replicas.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u8	Mr President, Madam Minister, as has been pointed out, in mid-April, Electrabel and EDF paid a fee of €7.2 million for Tihange 1. This overturns your speech that Tihange 1 was not going to report anything to the Belgian state. In accordance with the law and the convention, the CREG – which is obviously to be welcomed – has checked the level of this fee. As my colleague Nollet pointed out, the analysis of the CREG came to you at the end of June, almost three months ago. The regulator makes it very clear that the amount paid by Electrabel and EDF could be increased by a range ranging from zero to a few million euros, depending on the different methods of calculation. Mr Nollet and the press say that it is EUR 4 million, so I expect a reply from you on this matter. As Mr Nollet pointed out, we do not have the study. I must therefore simply quote the figures that you yourself have given this Friday. But, in summary, as our colleague pointed out, the CREG warned you in June that there were potentially millions to be recovered from Electrabel and EDF. So you knew about it by the end of June. Therefore, the first thing you should have done, as a good minister and manager of state money, would have been to activate Article 8.3 of the Tihange 1 Convention to appoint an independent expert. Why was it important to activate the article? Because it is a tool available to the minister for operators to pay correctly what they owe to the state. It is therefore a very protective way of acting for the state budget. You said it would fit into a fund. Whether the money lands in a fund or not, minister, it is exactly the same for the taxpayer. All this is about playing on words. Operators benefiting from an extension must pay their dues to the State. What is serious – and this is another mistake – is that for three months, this cabinet did nothing and the minister did nothing less! Nothing! This is total inaction at the minister's level! We are therefore potentially depriving ourselves of several million euros of the nuclear producers, let this government choose! This was found in Doel 1 and Doel 2's extension article. Minister, why didn't you appoint an independent expert, as permitted by section 8.3 of the Convention, when the CREG had duly notified you in June? Is it an attentist attitude or a deliberate will not to bother our two operators with whom you make a lot of agreements, especially on Doel 1 and Doel 2? Is it a deliberate desire on your part to sit on a CREG report and not to appoint an independent expert, which would be a serious mistake? In your press release, there are inconsistencies between the 16th and the 17th. Did you suddenly change your mind because you had calls from journalists who woke you up on this subject, especially on September 13th? In your press release of the 16th, you state that the CREG does not give any amount to contest the €7.2 million. But in the following sentence of the same press release, you indicate that the CREG analysis gives amounts that vary between 0 and several million euros in increase, depending on the method of calculation. In the first press release, you give the impression that the analysis of the CREG does not allow you to contest the payment made by Electrabel and EDF. It was in this way that I understood your statement of 16. If you felt that the CREG analysis was not operational enough, why didn't you immediately appoint an independent expert in June to clarify the situation, as the convention allows you? Again, where is the interest of the state in your failure to react, except to lose a few million euros? In that regard, Mr. Nollet said that it was the Chairman or himself who could seek the opinion of the CREG. It doesn't matter who can ask. Since it is the law that says that this analysis must be given to the minister, it would surprise me if it could be requested directly from the CREG. In any case, I am asking here for the non-confidential version (without the confidential figures), the version cleared by the CREG and not by you of the analysis that was communicated to you, Madam Minister. We will be able to verify your statements in relation to 16 September. On Saturday, September 17, you indicate that an independent expert has finally been appointed. That's good. The problem would normally have to be resolved on 15 September and you will appoint an expert on 17 September. It's still good management! Why did you say on Friday that no expert should be appointed except to do exactly the opposite the next day? What changed your mind, minister? You received the report in June. On the 16th, you indicate that we cannot work on this report, that there is no appointment of experts, and on the 17th, you appoint an expert. Minister, this gives the impression that there is absolutely no one in charge of energy in the federal government. Has this independent expert been appointed pursuant to Article 8.3 of the Convention? If so, what are the amounts claimed by the State to Electrabel and EDF? On the other hand, if this is not the application of the article of the Convention, what is the legal framework for the negotiation of this fee that you are conducting today with Electrabel and EDF? In conclusion, Mr President, I find that we are starting this year again as we have completed previous years, that is to say, with fundamental mistakes made by the Minister of Energy, which may cause the state to lose money. We call for full transparency on everything that has happened since the tabling of the CREG report in June. If, in the meantime, we could have a very clear answer and we could now be provided with the CREG report, that would allow us to work transparently.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u9	Mr President, once again we must ask ourselves whose map the Minister draws. Let me clarify this, Madam Secretary. As a minister, you must stand for the general interest, but once again it is clear that you stand for the interest of one particular company. My fellow Members have already talked about it in detail. We all know that, with a view to extending the lifespan of the old abandoned nuclear power plant Tihange 1, it was agreed that a nuclear tax should be paid. In 2015, it amounted to 7.2 million. The energy company would have calculated that tax itself, and the federal energy regulator, the CREG, immediately opposed it. According to the CREG calculations, the amount to be paid had to be several million euros higher. In the press, you contested that calculation. Anyway, we need to be clear about this. The agreement also provided that an independent expert could be appointed in the event of a dispute. As you knew from the CREG data that the amount had to be higher, it is completely incomprehensible not only to us but also to the public that you have not appointed an expert. According to the convention, he had to be appointed before 15 September. All of us, as a Belgian State, would now lose a number of millions. Madam Secretary, the bucket is really full. Again and again you draw the map of Electrabel. Let me give you three examples. Firstly, the lifetime extension gives Electrabel, at the expense of investors in alternatives, almost a monopoly position. Not just nuclear, but also gas. I'll come back to that later. Secondly, you're lowering nuclear interest rates. It's historically low, you can't avoid it. Thirdly, you intend to provide additional support to the gas plants. We all know that as long as there is nuclear energy, the gas plants are actually not profitable. You want to support them in addition now, and weird but where, who owns most of the gas plants? Electrabel. I believe, Madam Secretary, that the measure is full. I want an answer to a number of questions. The most important question has already been asked by colleagues: why on earth did you not appoint an independent expert when the CREG pointed out to you that there were millions to be made, while you have budgetary problems in this government? What was the exact amount of the nuclear tax according to the CREG calculations? You dispute those calculations, but I'd like to get the exact amount. In other words, according to the CREG, how many more millions had to be claimed from the operator? Did EDF/Electrabel also hold the calculator when calculating the nuclear tax for 2016? Perhaps you should inform us in advance that Electrabel will determine everything. Can you already tell us what the comments of the CREG are there? Has the CREG informed you on a number of occasions that you had to appoint an expert before 15 September, or has the CREG not informed you of this? Has she warned you a number of times? How many times did you get the message from the CREG that you had to pay attention and appoint an expert before 15 September to ignore the additional millions? Weird but true, suddenly an expert is appointed, but too late according to the contract. In what way was the expert appointed? Did that happen in conjunction with Electrabel? Who's the expert? My fellow Members have already mentioned the report. I think it is necessary for you to release the report now so that we can really see what has gone wrong or not, whether or not a major mistake has been made by not being appointed by the expert and, above all, whether the CREG has warned you on a number of occasions. First of all, you had to make additional millions and, second, appoint an expert before 15 September. You have every interest in reporting that report to us. I naturally support the request by my fellow Members to be able to discuss the report, either directly or through the chairman, here in committee. I am mostly curious to hear your answer, Madam Minister, but I am very curious to hear your answer.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u10	Madam Secretary, I think the problem has already been sufficiently introduced. I am therefore mainly looking for objective facts. Of course, we have all read the newspapers, but every newspaper article looked a little different, so it would be good to find out exactly what happened now. So we can form a good picture of what has happened, what needs to be done and how we could have avoided it, should something have gone wrong. Firstly, what were the findings in the CREG report? Were there any comments on the amounts or the methodology? When were they delivered effectively? Was the CREG, as it should, on time with that report, so before 30 June, or was it not? When did you receive it? What happened after that? What steps were then taken after the report came in? Of course there is a period between the theoretical date 30 June and today. Has that been discussed in the government? Has there been any consultation with operators on the findings of the CREG? How exactly did all that go? Secondly, whether there is an expert or not, I can't tell from the newspaper articles. What is it now? When exactly was the knot cut to appoint an expert, if it has already been cut? The question is therefore specific when it is decided to appoint an expert. When exactly has he been appointed or is this appointment still to be carried out? Based on what parameters has it been assigned? Who made that decision in concrete terms? Was that your cabinet, or was it a basis for the government to appoint a specific expert? What caused the delay between the receipt of the report and the decision to appoint an expert? Maybe there's been some discussion about that. I would like to know why there might have been a delay there. Was the expert appointed inside or outside the convention? In short, has a separate agreement been reached on the appointment of an expert or not? Are there any consequences? I mean, here's what I'm talking about. If a separate agreement is reached on the appointment of the expert, is it the intention that there should be something against that agreement? Is that goodwill or something? I would like to know, so that we have absolute certainty that this has no hidden consequences. Finally, as far as the amount is concerned, amounts have been mentioned in the press. What is the amount according to the CREG? How are we supposed to estimate that amount? What is the effect of that amount? Where's that money going? There's the link to everything that has to do with wind energy at sea. Here in Parliament we have had an overview of this on a number of occasions. Part of it is paid through the Elijah rates. Some of them, namely degressivity, are paid through excise duties. Another part is paid out of the budget fund, which is filled by two thirds of the revenue from that tax. What is the effect if this tax is EUR 1 million lower or EUR 1 million higher? In this way, we want to be able to assess what is in the balance.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u11	Mr President, Madam Minister, we have obviously been asked about the latest events, first of all media events, which concern a matter that we have all been following closely for a long time. Minister, what did you do between June 25 and September 13? That is indeed the question that is being asked here in this dossier. What have you done in terms of recovery or verification of a sum that is due as part of this energy produced in Tihange 1? Minister, when I see the whole issue, I can only see a chain of coucacs. First, a variable speech, which, I believe, undermines the credibility not only of the speech but of the government and your department. On Friday last week, you tell us that negotiations are continuing. And then, suddenly, Saturday, we appoint an expert. There may have been some resurgence or pressure, either from the Prime Minister before he left for New York or from your coalition partners. But there is indeed a change of attitude. The second element, which is a governance which I would call "bad": you say in your communication that the CREG does not give a figure, that it gives a procedure, a means of working. And you add that it goes from zero to a few million. So if it goes from zero to a few million, that means there are numbers. I therefore wish you could have told us more about these amounts. Is the simplest formula, Mr President, not for the CREG to send us this report, obviously redacted from confidential elements, or for you, on behalf of the institution, to ask for this report from the CREG so that things are clear and we can work transparently on this issue? I would like to go back to a few elements in the appointment of the expert. In fact, the ex post facto expert of 15 September is appointed. I imagine he's being named as an amendment to the Tihange 1 Convention. He was not appointed orally, there was a writing. I would therefore like to be able to dispose of this amendment. Minister, you're a lawyer. I'm a little surprised at how this is going. For Tihange 1, we don't negotiate, we apply a convention! This convention has been in existence for a long time, and it is not a question of negotiating matters again. We're running the convention! I would like to know all the elements of mail and mail exchanges on the appointment of this expert, under what conditions, at what cost, between the firm, your department and the operators. Who's appointed? How was he designated? What was the timing of the answer? I would like to have written explanations on these elements. I would like you to be completely transparent about this part of this matter that took place in a few days last week. Second element. In Tihange 1 there is no provision for recourse to arbitration. So, expert arbitration, it applies. I would like to know whether, in the context of this amendment as it was passed, there is a possibility for operators to appeal against this decision. I do indeed expect additional information from you and, above all, notification of the letters that have been exchanged. Third, on transparency and presentation of the file. In the sequence at RTL's JT, we hear that clarifications will be made to the convention. Why clarifications? What needs to be clarified? How are we going to clarify? Should this clarification be the subject of an amendment? I'd like more details from you in this episode? Is this clarification related to the appointment of an expert, the arbitration procedure, other matters and the possible role of CREG? I want you to be transparent, clear and precise. To return to the amount of the initial 7.2 million Tihange 1, to which it is probably necessary to add four – since this figure is circulating, but we are waiting for confirmation from the various protagonists – I really have the impression that you do not want it. You have shrunk our ears at previous committee meetings, saying that it would not bring anything back. I would still like to make the calculation: 7.2 million plus four, this leads to 60% more than the initial amount. If we spread this amount, which corresponds to three months, over a year, we exceed 40 million. I would like to draw your attention to this point. Finally, Madam Minister, you must be politically responsible for managing the crisis. Do you acknowledge that you have made a management error in this file?
