Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2016-04-12-54-plenair-ip104x	ParlaMint-BE_2016-04-12-54-plenair-ip104x.u1	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 12-04-2016	2016-04-12	Lower house	Zittingperiode 54	-	Plenaire zitting 104 van 12-04-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2016-04-12-54-plenair-ip104x	ParlaMint-BE_2016-04-12-54-plenair-ip104x.u2	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 12-04-2016	2016-04-12	Lower house	Zittingperiode 54	-	Plenaire zitting 104 van 12-04-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2016-04-12-54-plenair-ip104x	ParlaMint-BE_2016-04-12-54-plenair-ip104x.u3	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 12-04-2016	2016-04-12	Lower house	Zittingperiode 54	-	Plenaire zitting 104 van 12-04-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2016-04-12-54-plenair-ip104x	ParlaMint-BE_2016-04-12-54-plenair-ip104x.u4	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 12-04-2016	2016-04-12	Lower house	Zittingperiode 54	-	Plenaire zitting 104 van 12-04-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2016-04-12-54-plenair-ip104x	ParlaMint-BE_2016-04-12-54-plenair-ip104x.u5	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 12-04-2016	2016-04-12	Lower house	Zittingperiode 54	-	Plenaire zitting 104 van 12-04-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2016-04-12-54-plenair-ip104x	ParlaMint-BE_2016-04-12-54-plenair-ip104x.u6	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 12-04-2016	2016-04-12	Lower house	Zittingperiode 54	-	Plenaire zitting 104 van 12-04-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2016-04-12-54-plenair-ip104x	ParlaMint-BE_2016-04-12-54-plenair-ip104x.u7	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 12-04-2016	2016-04-12	Lower house	Zittingperiode 54	-	Plenaire zitting 104 van 12-04-2016	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
ParlaMint-BE-en_2016-04-12-54-plenair-ip104x	ParlaMint-BE_2016-04-12-54-plenair-ip104x.u8	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 12-04-2016	2016-04-12	Lower house	Zittingperiode 54	-	Plenaire zitting 104 van 12-04-2016	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	HedebouwRaoul	Hedebouw, Raoul	M	1977	
ParlaMint-BE-en_2016-04-12-54-plenair-ip104x	ParlaMint-BE_2016-04-12-54-plenair-ip104x.u9	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 12-04-2016	2016-04-12	Lower house	Zittingperiode 54	-	Plenaire zitting 104 van 12-04-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2016-04-12-54-plenair-ip104x	ParlaMint-BE_2016-04-12-54-plenair-ip104x.u10	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 12-04-2016	2016-04-12	Lower house	Zittingperiode 54	-	Plenaire zitting 104 van 12-04-2016	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2016-04-12-54-plenair-ip104x	ParlaMint-BE_2016-04-12-54-plenair-ip104x.u11	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 12-04-2016	2016-04-12	Lower house	Zittingperiode 54	-	Plenaire zitting 104 van 12-04-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
