ParlaMint-BE_2016-05-25-54-commissie-ic426x.u1	Question No 11784 by Mr Raoul Hedebouw was withdrawn.
ParlaMint-BE_2016-05-25-54-commissie-ic426x.u2	Mr. President, Minister, the government has taken important steps in the fight against terrorism. Is it worth recalling that, at present, more than 100 detainees are incarcerated for terrorist acts? This number has doubled in just one year. Among the measures taken, the establishment of special isolation zones within prisons for persons who have committed or participated in terrorist attacks, known as DERADEX. If I am not mistaken, 40 such places are currently operational. In addition to this specific environment of detention, I would like to have information from you on the conditions of detention of these persons. During the detention in Belgium of Salah Abdeslam, the press published statements from his relatives, publicly indicating what could have been exchanged between them in the prison. Public and published statements did not appear in connection with the detention of Mohamed Abrini or Mehdi Nemmouche, who were also detained in Bruges prison. Minister, could you tell us, however, whether, during visits to these inmates, physical surveillance by officers is carried out on an effective and permanent basis? Are there any restrictions on certain persons who cannot visit these detainees? Do these specific DERADEX areas have specific restrictions at this level? Do any provisions specify the limits on the publicity of statements during interviews and visits to such detainees, particularly in the media? Can you inform us about the development of these DERADEX areas in our prisons? You indicated that two establishments were equipped with such areas. What about the situation to date? Finally, can you tell us what progress has been made in putting the two sections into service in the prisons of Ittre and Hasselt, as well as in the "Extremism" cell and its teams in the prison administration?
ParlaMint-BE_2016-05-25-54-commissie-ic426x.u3	Mr President, Mr Pivin, persons convicted of terrorist acts or suspected of terrorist acts are not subject to permanent physical surveillance. The right of an inmate to receive visits is not absolute. The Law of Principles of 12 January 2005 provides for restrictions in specific cases. Persons who are not close relatives of the detainee may visit him only with the prior authorization of the prison director. The director may issue a refusal if the person concerned cannot justify any legitimate interest or if there are personalized indications that the visit will endanger order or security in or outside the prison. This individual assessment can therefore certainly be applied to inmates in specialized sections. Close relatives and close relatives, such as parents, children and spouses, may also be denied admission to the visit if there are indications that the visit could endanger order or security. Thus, there is no general regime of exception to the right of access of detainees, but the law certainly allows it to be subject to individual restrictions. As for any provisions specifying the limits on the advertising of statements made during visits, there are no such provisions. The specialised sections were opened in mid-April 2016 in Ittre and Hasselt. These two institutions are the only ones with this type of section, but not all radicalized inmates will be transferred to these sections. For this reason satellite teams have also been set up in the prisons of Bruges, Ghent, Saint-Gilles, Lantin and Andenne. They will help us to accommodate inmates after their removal from specialized areas. Section teams and the satellite team can prepare this passage together and follow the evolution very closely. A satellite team consists of a PAS tandem (a psychologist and a social worker) and two directors, all of whom have undergone specialized training.
ParlaMint-BE_2016-05-25-54-commissie-ic426x.u4	Mr President, I thank the minister for his answer.
ParlaMint-BE_2016-05-25-54-commissie-ic426x.u5	Question No 11622 by Mr Pivin is transformed into a written question. The same applies to question No 11630 by Mr Gilles Foret.
ParlaMint-BE_2016-05-25-54-commissie-ic426x.u6	Minister, coordination at European level is a prerequisite for tackling the problem of radicalisation in prisons. Ms Jourová, Commissioner for Justice, Consumers and Gender Equality, recently indicated that the European Regional Development Fund could provide opportunities for investment that would also improve prison infrastructure. The financing of renovation works or the construction of new prisons can also be partly financed by the European Fund for Strategic Investments. In addition, the European Commission has also promoted training and training in prisons through the Grundtvig and Leonardo da Vinci programmes. The European Social Fund can also contribute positively to the social rehabilitation of prisoners. Mr Minister, I have the following questions. Do you, in consultation with your colleague responsible for the Buildings Management, examine the possibility of using European funding to improve prison infrastructure, such as through the European Regional Development Fund or the European Strategic Investment Fund? Are prisoners in Belgian prisons using European programmes, such as Grundtvig and Leonardo da Vinci programmes, to encourage lifelong learning? Finally, will there be a European platform to exchange best practices, inspired by the European Radicalisation Awareness Network, so that radicalisation in prisons can be combated more effectively?
ParlaMint-BE_2016-05-25-54-commissie-ic426x.u7	Mrs De Wit, on your first and second questions, I can answer that Commissioner Jourová, in a letter to all ministers, mentioned the availability of a number of European funds in the fight against radicalisation in prisons. My cabinet and the Directorate-General for EPI are examining the possibility of using these funds in the future. The Directorate-General of Prisons is currently running one project which is paid for with the European AMIF/ISF Fund. This project focuses on the training of "radicalisation" in prisons and runs from 2016 to 2022. Many training courses, both in the North and in the South region, can be financed through the planned fund. The project is in line with the Action Plan "Tackling radicalisation in prisons" which I launched last year. In addition, there is indeed the Radicalisation Awareness Network, an initiative of the European Commission, in which a working group called "Prison and Probation" was set up and in which experts and specialists exchange the best practices to which you refer. Commissioner Jourová has recently taken the additional initiative to set up a high-level group in the fight against radicalisation in the context of detention and execution of sentences. This working group, which has my full support, constitutes an intermediate level between the group set up in the RAN network and the JHA Council. Finally, the issue of radicalisation in prisons is also discussed in the EuroPris network. This is the network of penitentiary administrations of the European countries, currently chaired by the Director-General of the Belgian penitentiary institutions.
ParlaMint-BE_2016-05-25-54-commissie-ic426x.u8	Thank you, Minister, for your reply. I am pleased that many European initiatives are being used. I really hope that there is an opportunity to use the infrastructure funds. You also know that our infrastructure needs to be refurbished, and if we were to get some budgetary aid from Europe, this would seem to me to be a good idea.
ParlaMint-BE_2016-05-25-54-commissie-ic426x.u9	Mr President, Minister, in August 2015, the Limburg District Council tested a new drug policy at the Pukkelpop Festival. The idea behind this policy is commendable, in particular to discourage the use of drugs by young people. However, in September 2015, the media already reported that the results were inadequate. Three thousand visitors were controlled by a drug dog, 300 visitors were subjected to more extensive control and only 27 people were banished. The container in which drugs could be dropped anonymously contained only 13.2 grams of cannabis and four ecstasy pills. The aim of the renewed approach was to make Justice work faster and to avoid as much administration as possible. Twenty transfer forms were issued, but only one immediate payment could be made due to technical problems with the payment terminal. Soon the new festival season will start and with the results of Pukkelpop 2015 in mind, it is necessary to continue to pursue a sound drug policy. What lessons were learned from the experiment on Pukkelpop? Will the renewed policy be continued and extended to other festivals? If yes, what is being done so that friendly solutions can be dealt with immediately via Bancontact in order to avoid the administrative burden?
ParlaMint-BE_2016-05-25-54-commissie-ic426x.u10	First of all, I would like to stress that the current drug policy in Belgium does not tolerate the use in public space. Justice is actively involved in this policy, although within the limits of its resources and capabilities. In the detection and criminal prosecution of drug use, Justice gives priority to problematic use. Behaviour that endangers public health and public security is part of this. We want to prevent young people or other festivalgoers coming into contact with these very harmful products for health for the first time and we want to work in particular as a deterrent. In my opinion, the figures of the predefined actions during Pukkelpop 2015, to which you refer in your question, are more positive than undersized. The clear prior communication may have made many festivalgoers realize that a major music festival is not the place to use drugs or to smuggle them into the festival grounds or the campsite. Of course, the practical problems of collection via the payment terminal can be solved. However, this does not fall within the competence of justice but of my colleague for Security and Home Affairs. Since the up-to-date roundabout on drugs No. 15/2015 replaced the 2003 and 2005 circulars, providing the Public Prosecutor with realistic tools to set priorities. This leaves room for a more specific policy at local level, for example when the King's Attorney considers it appropriate. A stricter policy of punishment for drug use at major events could be part of this. I have not yet received any further information about any wider application to other festivals from the College of Attorney General. However, a tailor-made policy means that we do not have to compare all events with each other. In addition, the safety risk derivatives need to be considered in a wider context. Protection measures against the threat of terrorism must also be taken into consideration.
ParlaMint-BE_2016-05-25-54-commissie-ic426x.u11	Thank you, Minister, for your reply. I can agree that we should be as dissuasive as possible. I hope that this has also produced results. I also know that we do not have to put all festivals on the same footing. However, I believe that the results were rather inadequate. I'm referring to Pukkelpop. I hope that the instruments provided in the new letter will achieve a better result in the coming festival season.
