Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	CrusnièreStéphane	Crusnière, Stéphane	M	1967	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	VanOvertveldtJohan	Van Overtveldt, Johan	U	-	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	CrusnièreStéphane	Crusnière, Stéphane	M	1967	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Vuye_Wouters	Vuye & Wouters: V-Kamerleden	Opposition	-	WoutersVeerle	Wouters, Veerle	F	1974	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	VanOvertveldtJohan	Van Overtveldt, Johan	U	-	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Vuye_Wouters	Vuye & Wouters: V-Kamerleden	Opposition	-	WoutersVeerle	Wouters, Veerle	F	1974	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Vuye_Wouters	Vuye & Wouters: V-Kamerleden	Opposition	-	WoutersVeerle	Wouters, Veerle	F	1974	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	VanOvertveldtJohan	Van Overtveldt, Johan	U	-	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Vuye_Wouters	Vuye & Wouters: V-Kamerleden	Opposition	-	WoutersVeerle	Wouters, Veerle	F	1974	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LaaouejAhmed	Laaouej, Ahmed	M	1969	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	VanOvertveldtJohan	Van Overtveldt, Johan	U	-	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LaaouejAhmed	Laaouej, Ahmed	M	1969	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	VanOvertveldtJohan	Van Overtveldt, Johan	U	-	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2016-12-06-54-commissie-ic547x	ParlaMint-BE_2016-12-06-54-commissie-ic547x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-12-2016	2016-12-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
