ParlaMint-BE_2016-05-25-54-commissie-ic428x.u1	Mr Dallemagne has decided to remain on a commission of inquiry.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u2	Minister, the two questions I am asking you today were addressed to Minister Reynders but have been redistributed to you and I have no doubt that they will be answered. The first concerns the establishment of the 7 e-gates at the Brussels-National airport. As we know, following the attacks in Belgium last March, many actors pointed to the lack of security at Zaventem airport. It is currently discussed in other rooms. In an oral question session with Minister Reynders, I also expressed my concern about the installation of these e-gates and the paradoxical nature of this automated system, since part of human control was being removed to the benefit of the "automatic whole" by disinvesting in our airport police, unfortunately. Now it's been a little over six months since they're operational and it looks like there's been some operational problems. Thus, for example, Zaventem's electronic portals do not work with Belgian ID cards. They must issue a signal when a person is wanted, but if it is a Belgian ID card, the signal does not work. There's no recognition. It is also known that people arriving in Brussels from a country outside the Schengen area have the choice of going through electronic portals or going through conventional control. Since we are just a few months away, I would have liked to have an initial assessment of what is being done, what steps are still going to be taken to correct the small deficiencies – and finally, the Belgian identity card is rather a big gap – and whether you intend to re-establish more classical human control after the events we have experienced.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u3	Mr Crusnière, on July 10, 2015, the first six e-gates entered service. It is true that, initially, Belgian identity cards were not checked in BNG. The specifications provided for a reading device with a single entry accepting identity cards and passports and allowing BNG control of these two documents. The problem came from the difference in the design of the chip equipping the two types of documents. A document reader compatible with these two types of chips did not exist at that time in the market. The company that won the market has therefore developed a prototype to address this problem. The prototype that was to be ready in March 2015 was not ready until June 2015. The prototype was tested and finally put into production in September 2015. The last occurrence of the case, a delay by the subcontractors resulted in the fact that the feeder 2 was finally installed only in February 2016 on the 6 e-gates existing on arrival and then on the 9 e-gates at departure put into service on 17 March 2016. It can be thought that it was worked in a less secure way than with the manual method. That is not the case. In fact, during a manual check, the border controller passed and still passes EU citizens' documents (identity cards or passports) very sporadically in BNG. It was when the controller thought there were good reasons. The same principle was applied in the implementation of e-gates. If the supervisor "border" controller felt that a passenger should be checked in BNG, he would direct him through the airlock to manual control. During the transition period to Feeder 2, the same possibility and level of control were applicable for EU citizens crossing the border with the identity card. With Feeder 2, the two kinds of documents are fully checked (BNG, authenticity and biometric data) and the supervising controller retains the possibility, if he considers that a passenger should be subject to further control, of returning him to manual control. So we keep both systems. The feeder 2 now makes control over the whole but a guard supervises and, even if it passes the e-gate, it can still be removed and controlled manually. As regards human resources, following the events of March 2016, it has been planned to allocate to all LPA (aircraft police) 200 aspirants inspectors who, after negotiations with the trade unions, will be dispatched between the various units. These negotiations began on Tuesday, April 19, 2016. It goes without saying that some of the NPOs planned for Zaventem will be transferred to border control after completing the required training. These 200 detectives are not all for Zaventem. Part of them is planned for Charleroi. The exact number is not yet defined but it would be about 30 or 35 inspectors for Charleroi and the rest for Zaventem.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u4	Minister, thank you for that answer.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u5	Mr President, Minister, this question is also addressed to Mr Reynders. According to some European sources, the European Commission could approve, in the coming days, the extension of exceptional measures allowing Member States to re-establish internal border controls within the Schengen area. For example, in Denmark border controls could last two years. Minister, what do you think about this extension of internal border controls in the Schengen area? What criteria does the European Commission use to validate the extension of these measures? Under such conditions, is the spirit of Schengen not being undermined? The European Commission has recently indicated that the situation in the Schengen area should return to normal before the end of the year. Do you think this time frame is reasonable?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u6	Mr President, ladies and gentlemen, these internal border controls are being extended in line with the Schengen Borders Code. In November of last year, a Schengen assessment was organised in Greece, which revealed serious shortcomings in the monitoring of maritime borders, which are likely to endanger the functioning of the whole Schengen area. Following this finding, Greece had to draw up an action plan to remedy the shortcomings found. At the beginning of this month, on the basis of the Greek report, the European Commission decided that the situation was not yet under control. A kind of emergency mechanism is incorporated into the Schengen Borders Code in order to enable the Commission to make a proposal, if necessary, so that Member States can re-establish controls at internal borders as a last resort. Such controls may be introduced for a maximum period of six months, which may be extended three times. On 4 May the Commission tabled a proposal to this effect on the table. This proposal was adopted by the Council on 12 May 2016. Countries such as Denmark, Sweden and Norway, as well as Germany and Austria, have already introduced temporary internal border controls in October to stem the flow of refugees from Greece. In order to do so, these countries have relied on articles of the Schengen Borders Code which allow for temporary checks at internal borders in the event of a serious threat to public order or national security. The total period of this type of control can never last more than eight months. Therefore, some countries could not extend this measure later than mid-May. However, since the Council decision of 12 May, these countries will be able to renew their controls. In the meantime, Germany and Austria have officially announced their decision to use this option for a period of six months. It is true that the Commission recently proposed a road map, Back to Schengen, to achieve a normalisation of the situation by the end of the year. In my view, this is a reasonable time frame, provided, of course, that the situation at the external borders in southern Europe can be managed.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u7	I thank the minister for his answers.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u8	Mr President, Minister, the railway police are currently composed of 591 people, 558 of whom are police officers and 33 members of civilian staff. If I may believe the media, Brussels and Wallonia are well-off in the area of railway police. They would have an average occupancy of 108 and 102 % respectively of the proposed framework. In Flanders, however, things would be much worse. Antwerp and the province of West Flanders score only 77 and 88 %. Leuven would dangle at the bottom by 57 %, being 15.5 equivalent agents on the foreseen 27. There was a lot of discussion about this in the city council of Leuven. A fellow party member of yours denounced the fact that the number of criminal offences in the vicinity of the station had increased enormously. The mayor bounced the ball back and said that it was indeed a priority for the city, but that this was mainly due to the shortage of railway police. It is certainly a fact that the number of infringements in and around the Leuven station has increased by 46% over the last five years. According to the mayor of Leuven, therefore, the main cause is the understaffing of the railway police. The fact that several accesses to the Leuven station were closed for weeks after the attacks of 22 March was also, in his view, primarily a result of the shortage of capacity in the railway police. I therefore have the following questions for you, Minister. Can you give an overview of the current occupation of the railway police per province and in the main stations per province? Are there any major stations next to Leuven with an important understaffing? If so, which one? What measures have you taken to eliminate understaffing or to achieve a fair redistribution of the railway police?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u9	Mrs. Pas, you will be served at your beck and call. This is a document which contains all the tables, or else I will have to read out a lot of figures which reflect the situation of the occupation of the railway police on 1 May, rather recently. You will find in these tables the different entities of the railway police and see in which station they are located, how many are planned under the optimization table and how many are effectively allocated. You can see the numbers. I am referring to those members who effectively have their permanent place of employment or who are distributed there because there is understaffing and there are staff from elsewhere to there. Those are the two added together. The tables do not take into account, inter alia, absences for a minimum period of one month, long-term illness, career break, suspensions. If we look at the region, we must not forget that there is a strong underemployment in Flanders, especially when we see that there is an overcrowding in other entities. The SPC Antwerp, followed by Limburg, West Flanders, Leuven and other Flemish regions, must work with a certain underemployment. You will assume from me that it is difficult for me to sustain this and that we are therefore taking action. A number of measures have already been taken. First of all, the current theoretical establishment plan of the Flemish-Brabant railway police provides for the capacity to provide the entire province of Flemish-Brabant. In consultation with the partners concerned, the Flemish Brabant police area is currently responsible for the definition of the arrondissement of Leuven and Brussels, still for Halle-Vilvoorde. We have provided a theoretical capacity in Leuven for the whole of Flemish Brabant, but for organisational reasons, the section Halle-Vilvoorde, which is geographically close to the Zuidstation, remains in Brussels. In that sense, the theoretical figure with which it is compared is not entirely correct. From the moment the establishment plan of Flemish Brabant will be complete, it is foreseen to extend the competence to the full definition of Flemish Brabant. So we will not transfer staff from Brussels to Flemish Brabant, but first bring the staff in Leuven to the level required for Flemish Brabant and then we will extend the competence. Following the second measure, in the framework of the optimisation of the federal police at the end of 2015, there were 13 inspectors in excess according to the new establishment plan of the Brussels Railway Police. At the same time there were 22 free places in the provincial services, also according to the new establishment plan. During the first phase of the placement of this optimization, a number of places were offered to staff members of the SPC Brussels to be relocated to a provincially concentrated service. What did this result in? For the 6 open places in Antwerp there are 2 candidates, for the 6 in Flemish-Brabant 2 candidates, for the 3 in Limburg 4 candidates....................................................................................................................................................................................... In some places there were more candidates than in others. Wherever possible, all movements were also carried out. In order to further reduce the current under-employment, mobility will open up places, depending on the available budgets and priorities. The budgets have been made available and through Mobility we will fill those places further. However, the offer is always bound. It is possible to open up places, but candidates must also apply. So the good news is that the vacancies are open and we are trying to fill them out. If you can motivate people to run, you should certainly not feel inhibited.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u10	Thank you, Minister, for your very comprehensive answer. Although the mayor of Leuven, as usual, oversaw the under-employment rate compared to the figures you give, it is not 15.5 agents out of 27, but 20 agents out of 27, there is indeed a problem of under-staffing. The measures you are taking are certainly necessary. We are now faced with the threat of terrorism which entails additional tasks, such as increased security and control at the stations. The funds have been released, so do not hesitate to make additional advertising, so that the vacancies are filled out as soon as possible.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u11	Mr President, Minister, on 4 May I read a press release by your party colleague, Flemish representative and state senator Karl Vanlouwe, stating that four out of ten Brussels police officers are not bilingual. I read in that press release that he got those numbers from you. I didn't find his question and your answer right away. I interviewed you on this matter last year and asked you in writing for these figures. I repeated that written question again in February because I had not yet received an answer, and wonderfully I received an answer to my written question after I had submitted this interpretation. I am sure you will remember that I have already touched you on this on a number of occasions. This is a file close to my heart. The problems are also very old. The problem dates back to 1998 with police reform. A whole transitional period was agreed at that time. It's been over since 2006, so it's been over ten years. At the time, the new regulations were successfully challenged by both your party and mine at the Constitutional Court. We have a right on our side. It is a fact that this language law is fully applicable to everyone recruited in the Brussels police zones. They must be able to submit a certificate from Selor on the knowledge of the second language. I can fully agree with Mr Vanlouwe when he calls in that press release for language legislation to be respected in the capital. He also stated that it was incomprehensible that the illegal situation of monolingualism remained with Brussels agents and deteriorated in certain police areas. I am surprised that the figures are even worse than those of previous years. When I interviewed you about this last year, you said that you would consult with the competent authorities to see how the nod could be made so that we could come to an acceptable situation again. A working party would even have been set up at that time, but if I look at the new figures, I have to say that this nod did not happen. Mr Vanlouwe proposes some measures which I asked you to take here a year ago. Firstly, the Brussels local authorities are only allowed to recruit agents with a bilingual attestation. Secondly, there must be sufficient control over recruitment, by re-presenting it to the vice-governor, who used to be able to control, but not anymore. Thirdly, the Brussels Government must destroy illegal appointments from now on. Tell your colleague I have three good news. First of all, you are of course very well placed to follow up on his sighs. Secondly, language legislation in Brussels can be regulated by a simple majority. So you don't even have to look in this government for a two-thirds majority to get that done. Thirdly, we are talking about existing legislation which must be enforced. It cannot therefore be covered by the Community's standstill. I have the following questions, Minister. Firstly, I had already asked this question before I myself had received the answer to the question in which parliamentary question I could find the figures you gave to Mr Vanlouwe. Secondly, what measures will you take as a competent minister in this matter? Thirdly, will you take an initiative to ensure that the Brussels local authorities only hire agents with a bilingual certificate? Are you taking an initiative to bring the recruitment of police officers in the Brussels police zones back under the control of the Vice-Governor, as was the case in the past? Do you take the initiative, for example by bringing the matter into the Conciliation Committee or by calling for a conflict of interest against the non-destruction of illegal appointments, to call the Brussels Government into order, so that illegal appointments are effectively destroyed? Moreover, according to the case law of the Council of State, it is mandatory to do so. Are you taking a legislative initiative to refine this so that here again the rule of law rather than lawlessness? My penultimate question: what did the work in the working group that you referred to in your reply last year? What appointments were made there? Why has this not produced any results in practice in the figures? Finally, what happens next? What timing can we expect to get things in order anyway?
