Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2016-07-06-54-commissie-ic466x	ParlaMint-BE_2016-07-06-54-commissie-ic466x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2016	2016-07-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	GabriëlsKatja	Gabriëls, Katja	F	1975	
ParlaMint-BE-en_2016-07-06-54-commissie-ic466x	ParlaMint-BE_2016-07-06-54-commissie-ic466x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2016	2016-07-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	PeetersKris	Peeters, Kris	M	1962	
ParlaMint-BE-en_2016-07-06-54-commissie-ic466x	ParlaMint-BE_2016-07-06-54-commissie-ic466x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2016	2016-07-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	GabriëlsKatja	Gabriëls, Katja	F	1975	
ParlaMint-BE-en_2016-07-06-54-commissie-ic466x	ParlaMint-BE_2016-07-06-54-commissie-ic466x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2016	2016-07-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	PeetersKris	Peeters, Kris	M	1962	
ParlaMint-BE-en_2016-07-06-54-commissie-ic466x	ParlaMint-BE_2016-07-06-54-commissie-ic466x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2016	2016-07-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	TemmermanKarin	Temmerman, Karin	F	1958	
ParlaMint-BE-en_2016-07-06-54-commissie-ic466x	ParlaMint-BE_2016-07-06-54-commissie-ic466x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2016	2016-07-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	PeetersKris	Peeters, Kris	M	1962	
ParlaMint-BE-en_2016-07-06-54-commissie-ic466x	ParlaMint-BE_2016-07-06-54-commissie-ic466x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2016	2016-07-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	TemmermanKarin	Temmerman, Karin	F	1958	
ParlaMint-BE-en_2016-07-06-54-commissie-ic466x	ParlaMint-BE_2016-07-06-54-commissie-ic466x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2016	2016-07-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	PeetersKris	Peeters, Kris	M	1962	
ParlaMint-BE-en_2016-07-06-54-commissie-ic466x	ParlaMint-BE_2016-07-06-54-commissie-ic466x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2016	2016-07-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	TemmermanKarin	Temmerman, Karin	F	1958	
ParlaMint-BE-en_2016-07-06-54-commissie-ic466x	ParlaMint-BE_2016-07-06-54-commissie-ic466x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2016	2016-07-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	PeetersKris	Peeters, Kris	M	1962	
ParlaMint-BE-en_2016-07-06-54-commissie-ic466x	ParlaMint-BE_2016-07-06-54-commissie-ic466x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2016	2016-07-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	KlapsJohan	Klaps, Johan	M	1970	
