Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2015-10-20-prot-201516--16	i-BBcdL6DiVcddyYPcJYuVNf	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 16	2015-10-20	Unicameralism	2015/16	-	-	2015/16--16	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2015-10-20-prot-201516--16	i-1355c2314d348b14-0	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 16	2015-10-20	Unicameralism	2015/16	-	-	2015/16--16	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2015-10-20-prot-201516--16	i-1355c2314d348b14-13	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 16	2015-10-20	Unicameralism	2015/16	-	-	2015/16--16	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4982413	Finné, Ewa Thalén	F	-	
ParlaMint-SE-en_2015-10-20-prot-201516--16	i-1355c2314d348b14-20	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 16	2015-10-20	Unicameralism	2015/16	-	-	2015/16--16	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q518776	Åkesson, Jimmie	M	-	
ParlaMint-SE-en_2015-10-20-prot-201516--16	i-1355c2314d348b14-32	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 16	2015-10-20	Unicameralism	2015/16	-	-	2015/16--16	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q5716673	Eriksson, Jonas	M	-	
ParlaMint-SE-en_2015-10-20-prot-201516--16	i-1355c2314d348b14-35	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 16	2015-10-20	Unicameralism	2015/16	-	-	2015/16--16	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2015-10-20-prot-201516--16	i-1355c2314d348b14-42	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 16	2015-10-20	Unicameralism	2015/16	-	-	2015/16--16	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q1581082	Linde, Hans	M	-	
ParlaMint-SE-en_2015-10-20-prot-201516--16	i-1355c2314d348b14-45	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 16	2015-10-20	Unicameralism	2015/16	-	-	2015/16--16	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4588714	Ullenhag, Erik	M	-	
ParlaMint-SE-en_2015-10-20-prot-201516--16	i-1355c2314d348b14-49	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 16	2015-10-20	Unicameralism	2015/16	-	-	2015/16--16	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q5602835	Carlson, Andreas	M	-	
ParlaMint-SE-en_2015-10-20-prot-201516--16	i-1355c2314d348b14-55	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 16	2015-10-20	Unicameralism	2015/16	-	-	2015/16--16	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2015-10-20-prot-201516--16	i-1355c2314d348b14-74	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 16	2015-10-20	Unicameralism	2015/16	-	-	2015/16--16	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3373324	Granlund, Marie	F	-	
