Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2015-09-29-prot-201516--9	i-efa19ec2562ada45-2	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 9	2015-09-29	Unicameralism	2015/16	-	-	2015/16--9	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2015-09-29-prot-201516--9	i-efa19ec2562ada45-8	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 9	2015-09-29	Unicameralism	2015/16	-	-	2015/16--9	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5570168	Bengtsson, Finn	M	-	
ParlaMint-SE-en_2015-09-29-prot-201516--9	i-efa19ec2562ada45-18	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 9	2015-09-29	Unicameralism	2015/16	-	-	2015/16--9	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2015-09-29-prot-201516--9	i-efa19ec2562ada45-23	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 9	2015-09-29	Unicameralism	2015/16	-	-	2015/16--9	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5570168	Bengtsson, Finn	M	-	
ParlaMint-SE-en_2015-09-29-prot-201516--9	i-efa19ec2562ada45-32	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 9	2015-09-29	Unicameralism	2015/16	-	-	2015/16--9	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2015-09-29-prot-201516--9	i-efa19ec2562ada45-36	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 9	2015-09-29	Unicameralism	2015/16	-	-	2015/16--9	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5570168	Bengtsson, Finn	M	-	
ParlaMint-SE-en_2015-09-29-prot-201516--9	i-efa19ec2562ada45-42	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 9	2015-09-29	Unicameralism	2015/16	-	-	2015/16--9	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2015-09-29-prot-201516--9	i-efa19ec2562ada45-47	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 9	2015-09-29	Unicameralism	2015/16	-	-	2015/16--9	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2015-09-29-prot-201516--9	i-efa19ec2562ada45-51	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 9	2015-09-29	Unicameralism	2015/16	-	-	2015/16--9	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5570168	Bengtsson, Finn	M	-	
ParlaMint-SE-en_2015-09-29-prot-201516--9	i-efa19ec2562ada45-56	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 9	2015-09-29	Unicameralism	2015/16	-	-	2015/16--9	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2015-09-29-prot-201516--9	i-efa19ec2562ada45-59	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 9	2015-09-29	Unicameralism	2015/16	-	-	2015/16--9	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
ParlaMint-SE-en_2015-09-29-prot-201516--9	i-efa19ec2562ada45-62	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 9	2015-09-29	Unicameralism	2015/16	-	-	2015/16--9	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2015-09-29-prot-201516--9	i-efa19ec2562ada45-68	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 9	2015-09-29	Unicameralism	2015/16	-	-	2015/16--9	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
ParlaMint-SE-en_2015-09-29-prot-201516--9	i-efa19ec2562ada45-76	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 9	2015-09-29	Unicameralism	2015/16	-	-	2015/16--9	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2015-09-29-prot-201516--9	i-efa19ec2562ada45-82	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 9	2015-09-29	Unicameralism	2015/16	-	-	2015/16--9	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
ParlaMint-SE-en_2015-09-29-prot-201516--9	i-efa19ec2562ada45-89	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 9	2015-09-29	Unicameralism	2015/16	-	-	2015/16--9	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2015-09-29-prot-201516--9	i-efa19ec2562ada45-95	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 9	2015-09-29	Unicameralism	2015/16	-	-	2015/16--9	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
