Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2015-09-18-prot-201516--4	i-bce1e598f4414c1e-0	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 4	2015-09-18	Unicameralism	2015/16	-	-	2015/16--4	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2015-09-18-prot-201516--4	i-bce1e598f4414c1e-7	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 4	2015-09-18	Unicameralism	2015/16	-	-	2015/16--4	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18239164	Ghasemi, Tina	F	-	
ParlaMint-SE-en_2015-09-18-prot-201516--4	i-bce1e598f4414c1e-13	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 4	2015-09-18	Unicameralism	2015/16	-	-	2015/16--4	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6220743	Utbult, Roland	M	-	
ParlaMint-SE-en_2015-09-18-prot-201516--4	i-bce1e598f4414c1e-19	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 4	2015-09-18	Unicameralism	2015/16	-	-	2015/16--4	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2015-09-18-prot-201516--4	i-bce1e598f4414c1e-28	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 4	2015-09-18	Unicameralism	2015/16	-	-	2015/16--4	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18239164	Ghasemi, Tina	F	-	
ParlaMint-SE-en_2015-09-18-prot-201516--4	i-5NfybQVLuLQextB4s9rHrk	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 4	2015-09-18	Unicameralism	2015/16	-	-	2015/16--4	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6220743	Utbult, Roland	M	-	
ParlaMint-SE-en_2015-09-18-prot-201516--4	i-bce1e598f4414c1e-38	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 4	2015-09-18	Unicameralism	2015/16	-	-	2015/16--4	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2015-09-18-prot-201516--4	i-bce1e598f4414c1e-44	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 4	2015-09-18	Unicameralism	2015/16	-	-	2015/16--4	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18239164	Ghasemi, Tina	F	-	
ParlaMint-SE-en_2015-09-18-prot-201516--4	i-bce1e598f4414c1e-47	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 4	2015-09-18	Unicameralism	2015/16	-	-	2015/16--4	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2015-09-18-prot-201516--4	i-bce1e598f4414c1e-52	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 4	2015-09-18	Unicameralism	2015/16	-	-	2015/16--4	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2015-09-18-prot-201516--4	i-bce1e598f4414c1e-60	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 4	2015-09-18	Unicameralism	2015/16	-	-	2015/16--4	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18169826	Delis, Sotiris	M	-	
