Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2019-02-24-tbmm-T27	tbmm-2019-02-24sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 57	2019-02-24	Unicameralism	27	2	57	-	-	Reference	English	Chairperson	MP	notMinister	MHP	Nationalist Movement Party	-	Right to far-right	Celal.Adan	Adan, Celal	M	1951	
ParlaMint-TR-en_2019-02-24-tbmm-T27	tbmm-2019-02-24sit01spe0002par0115	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 57	2019-02-24	Unicameralism	27	2	57	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Özgür.Özel	Özel, Özgür	M	1974	
ParlaMint-TR-en_2019-02-24-tbmm-T27	tbmm-2019-02-24sit01spe0001par0116	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 57	2019-02-24	Unicameralism	27	2	57	-	-	Reference	English	Chairperson	MP	notMinister	MHP	Nationalist Movement Party	-	Right to far-right	Celal.Adan	Adan, Celal	M	1951	
ParlaMint-TR-en_2019-02-24-tbmm-T27	tbmm-2019-02-24sit02spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 57	2019-02-24	Unicameralism	27	2	57	-	-	Reference	English	Chairperson	MP	notMinister	MHP	Nationalist Movement Party	-	Right to far-right	Celal.Adan	Adan, Celal	M	1951	
ParlaMint-TR-en_2019-02-24-tbmm-T27	tbmm-2019-02-24sit02spe0003par0010	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 57	2019-02-24	Unicameralism	27	2	57	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Özgür.Özel	Özel, Özgür	M	1974	
ParlaMint-TR-en_2019-02-24-tbmm-T27	tbmm-2019-02-24sit02spe0001par0011	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 57	2019-02-24	Unicameralism	27	2	57	-	-	Reference	English	Chairperson	MP	notMinister	MHP	Nationalist Movement Party	-	Right to far-right	Celal.Adan	Adan, Celal	M	1951	
ParlaMint-TR-en_2019-02-24-tbmm-T27	tbmm-2019-02-24sit02spe0003par0012	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 57	2019-02-24	Unicameralism	27	2	57	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Özgür.Özel	Özel, Özgür	M	1974	
ParlaMint-TR-en_2019-02-24-tbmm-T27	tbmm-2019-02-24sit02spe0001par0013	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 57	2019-02-24	Unicameralism	27	2	57	-	-	Reference	English	Chairperson	MP	notMinister	MHP	Nationalist Movement Party	-	Right to far-right	Celal.Adan	Adan, Celal	M	1951	
ParlaMint-TR-en_2019-02-24-tbmm-T27	tbmm-2019-02-24sit02spe0004par0017	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 57	2019-02-24	Unicameralism	27	2	57	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Özgür.Özel	Özel, Özgür	M	1974	
ParlaMint-TR-en_2019-02-24-tbmm-T27	tbmm-2019-02-24sit02spe0001par0018	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 57	2019-02-24	Unicameralism	27	2	57	-	-	Reference	English	Chairperson	MP	notMinister	MHP	Nationalist Movement Party	-	Right to far-right	Celal.Adan	Adan, Celal	M	1951	
ParlaMint-TR-en_2019-02-24-tbmm-T27	tbmm-2019-02-24sit03spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 57	2019-02-24	Unicameralism	27	2	57	-	-	Reference	English	Chairperson	MP	notMinister	MHP	Nationalist Movement Party	-	Right to far-right	Celal.Adan	Adan, Celal	M	1951	
