Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2018-06-21-LEG18-Senato-sed-13	ParlaMint-IT_2018-06-21-LEG18-Senato-sed-13.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 13, Day (2018-06-21)	2018-06-21	Upper house	18 Legislatura	-	-	13 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2018-06-21-LEG18-Senato-sed-13	ParlaMint-IT_2018-06-21-LEG18-Senato-sed-13.ana.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 13, Day (2018-06-21)	2018-06-21	Upper house	18 Legislatura	-	-	13 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2018-06-21-LEG18-Senato-sed-13	ParlaMint-IT_2018-06-21-LEG18-Senato-sed-13.ana.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 13, Day (2018-06-21)	2018-06-21	Upper house	18 Legislatura	-	-	13 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2018-06-21-LEG18-Senato-sed-13	ParlaMint-IT_2018-06-21-LEG18-Senato-sed-13.ana.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 13, Day (2018-06-21)	2018-06-21	Upper house	18 Legislatura	-	-	13 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2018-06-21-LEG18-Senato-sed-13	ParlaMint-IT_2018-06-21-LEG18-Senato-sed-13.ana.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 13, Day (2018-06-21)	2018-06-21	Upper house	18 Legislatura	-	-	13 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	PatuanelliStefano	Patuanelli, Stefano	M	1974	
ParlaMint-IT-en_2018-06-21-LEG18-Senato-sed-13	ParlaMint-IT_2018-06-21-LEG18-Senato-sed-13.ana.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 13, Day (2018-06-21)	2018-06-21	Upper house	18 Legislatura	-	-	13 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2018-06-21-LEG18-Senato-sed-13	ParlaMint-IT_2018-06-21-LEG18-Senato-sed-13.ana.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 13, Day (2018-06-21)	2018-06-21	Upper house	18 Legislatura	-	-	13 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	PatuanelliStefano	Patuanelli, Stefano	M	1974	
ParlaMint-IT-en_2018-06-21-LEG18-Senato-sed-13	ParlaMint-IT_2018-06-21-LEG18-Senato-sed-13.ana.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 13, Day (2018-06-21)	2018-06-21	Upper house	18 Legislatura	-	-	13 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2018-06-21-LEG18-Senato-sed-13	ParlaMint-IT_2018-06-21-LEG18-Senato-sed-13.ana.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 13, Day (2018-06-21)	2018-06-21	Upper house	18 Legislatura	-	-	13 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	TrentacosteFabrizio	Trentacoste, Fabrizio	M	1975	
ParlaMint-IT-en_2018-06-21-LEG18-Senato-sed-13	ParlaMint-IT_2018-06-21-LEG18-Senato-sed-13.ana.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 13, Day (2018-06-21)	2018-06-21	Upper house	18 Legislatura	-	-	13 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2018-06-21-LEG18-Senato-sed-13	ParlaMint-IT_2018-06-21-LEG18-Senato-sed-13.ana.u11	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 13, Day (2018-06-21)	2018-06-21	Upper house	18 Legislatura	-	-	13 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	TrentacosteFabrizio	Trentacoste, Fabrizio	M	1975	
