Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2017-07-05-54-commissie-ic705x	ParlaMint-BE_2017-07-05-54-commissie-ic705x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2017	2017-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	JadinKattrin	Jadin, Kattrin	F	1980	
ParlaMint-BE-en_2017-07-05-54-commissie-ic705x	ParlaMint-BE_2017-07-05-54-commissie-ic705x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2017	2017-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VandenputTim	Vandenput, Tim	M	1971	
ParlaMint-BE-en_2017-07-05-54-commissie-ic705x	ParlaMint-BE_2017-07-05-54-commissie-ic705x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2017	2017-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeCremPieter	De Crem, Pieter	M	1962	
ParlaMint-BE-en_2017-07-05-54-commissie-ic705x	ParlaMint-BE_2017-07-05-54-commissie-ic705x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2017	2017-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VandenputTim	Vandenput, Tim	M	1971	
ParlaMint-BE-en_2017-07-05-54-commissie-ic705x	ParlaMint-BE_2017-07-05-54-commissie-ic705x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2017	2017-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	JadinKattrin	Jadin, Kattrin	F	1980	
ParlaMint-BE-en_2017-07-05-54-commissie-ic705x	ParlaMint-BE_2017-07-05-54-commissie-ic705x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2017	2017-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	DeVriendtWouter	De Vriendt, Wouter	M	1977	
ParlaMint-BE-en_2017-07-05-54-commissie-ic705x	ParlaMint-BE_2017-07-05-54-commissie-ic705x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2017	2017-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	JanssenWerner	Janssen, Werner	M	1969	
ParlaMint-BE-en_2017-07-05-54-commissie-ic705x	ParlaMint-BE_2017-07-05-54-commissie-ic705x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2017	2017-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeCremPieter	De Crem, Pieter	M	1962	
ParlaMint-BE-en_2017-07-05-54-commissie-ic705x	ParlaMint-BE_2017-07-05-54-commissie-ic705x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2017	2017-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	DeVriendtWouter	De Vriendt, Wouter	M	1977	
ParlaMint-BE-en_2017-07-05-54-commissie-ic705x	ParlaMint-BE_2017-07-05-54-commissie-ic705x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2017	2017-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeCremPieter	De Crem, Pieter	M	1962	
ParlaMint-BE-en_2017-07-05-54-commissie-ic705x	ParlaMint-BE_2017-07-05-54-commissie-ic705x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2017	2017-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	DeVriendtWouter	De Vriendt, Wouter	M	1977	
ParlaMint-BE-en_2017-07-05-54-commissie-ic705x	ParlaMint-BE_2017-07-05-54-commissie-ic705x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2017	2017-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeCremPieter	De Crem, Pieter	M	1962	
ParlaMint-BE-en_2017-07-05-54-commissie-ic705x	ParlaMint-BE_2017-07-05-54-commissie-ic705x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-07-2017	2017-07-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	JanssenWerner	Janssen, Werner	M	1969	
