ParlaMint-BE_2017-03-29-54-commissie-ic635x.u1	It's time, we'll start the work.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u2	Madam Chair, colleagues from other parties and the majority have asked me to see if there is a predetermined organization over an hour, on a question number. For me, everything is good. On the limit, it's none of my business.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u3	Let people move a little.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u4	I told them I'd tell them if there was...
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u5	Questions before item 109 will be transformed into written questions. We will not postpone them. For the rest, we will go as far as possible, because there are constantly additional questions. Going to the finish is obviously complicated. The last time, the minister was there to the end, and it was the parliamentarians who were no longer there.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u6	Madam President, Minister, physiotherapists have undertaken, under the national agreement with insurers, to take into account the personal contribution to the beneficiary of the increased intervention who receives the paying third party, in at least 85% of the benefits attested by him. The agreement also provides that "if the insurers find at the end of the monitoring procedure that the physiotherapist is not complying with this undertaking, the agreement shall be automatically cancelled". I have this whole convention here. With this measure, physiotherapists are in a way prevented from offering free care to patients living in a very precarious situation. It is true that this can be damaging because it may deprive some particularly vulnerable people of the care they need. Minister, what is the average percentage of benefits for which physiotherapists decide not to take into account the recipient's personal share? Are there any significant differences in this percentage on the territory of Belgium? If I ask the question, it is because, in my region, the physiotherapists actually asked me directly, saying that for them, it was really problematic and that they were indeed asking for a removal of this threshold. Is there any trend or worsening of this percentage in recent years? Could you tell me if there are physiotherapists who do not respect this percentage of at least 85%? Has this number changed in recent years? Could you tell me if there are any physiotherapists who have been punished for non-compliance with this percentage? Do you have any thoughts on this 85% percentage? What justifies this percentage? Do you not think that there is a mismatch between this percentage and this criterion in the face of very different socio-economic realities between the Regions and, beyond that, between the subregions?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u7	Mrs Fonck, first of all, I would like to make it clear that the commitment of contracted physiotherapists to receive the beneficiary's share in at least 85% of the certified benefits does not concern only the beneficiaries of the increased intervention or the third-party payer, but all patients. In this context, physiotherapists cannot distinguish between beneficiaries, either on the basis of the insurer to which they are affiliated or on the basis of the type of benefit. The procedure described in the National Convention for the fulfilment of this commitment provides for the collection of data on a possible relationship between the lack of systematic perception of the personal share and a significant average of benefits per beneficiary. As indicated in this procedure, this data will be collected by insurers, not by INAMI. In this context, the information requested cannot be provided by him. Since the establishment of this rate, no physiotherapist has been punished for an infringement of this rule. As a result, no agreement was cancelled with respect to a practitioner. The requirement to collect 85% of the user ticket responds to a request from representatives of Axxon, the only professional organization recognized as representative of physiotherapists. It was they who asked to establish this percentage during the negotiations in the Commission of physiotherapist-insurer organizations agreements, which resulted in the 2013-2014 national convention. Until then, this rate had been set at 70%. The increase was approved after consideration by the representatives of the insurers. This rate remained unchanged in the convention which covered the years 2015 and 2016. The motivation of physiotherapists was inspired by the fact that, in a context of insufficient fees, the moderator ticket is an integral part of them. Despite intensive negotiations that have been under way since last October, no convention covers the physiotherapy sector at the moment. In 2003, 2001 data from mutualities had been analysed. The lack of perception concerned mainly patients with so-called "heavy" pathologies and just over 1,500 physiotherapists. They had been informed by mail that their profile would be followed, as well as the risk of punishment. However, no physiotherapist was punished at the time. The main reason for this was the complexity of the situation, as the treaty text provided that, in relation to this non-perception, the measurable social characteristics of the physiotherapist's patientel could be taken into account. A second analysis by the InterMutualist Agency had then shown a marked decrease in the non-perception of the moderator ticket. This seemed to indicate that the previous measures had had an impact. INAMI cannot give us figures for facts that are not in its possession. You have to ask the AIM.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u8	Madam Minister, thank you. I'll point out several elements anyway. I hear you don't have figures and I'll ask the AIM. That being said, I understand that this has been negotiated, discussed with and accepted by Axxon's kines. However, let us recognize that this body is overly and preferentially a representative of Dutch speakers. The socio-economic reality is different. You're telling me there was no sanction. I can tell you, however, that checks have been carried out on kines. I live in a region where GDP is particularly low. Several kines sound alarmed because they actually end up with 50% of patients living below the poverty line, who are BIM. I follow the example given to me, because a small calculation was made by a kine. He is obliged to demand payment from 85% of them. It is a reality of the terrain that many kines meet, in function, it is true, of different geographical realities, and I hear that very well. But I think this is a problem. Indeed, the realities are so different depending on the regions that we find ourselves with shortcomings in management, and therefore with a real problem of access to physiotherapy in some regions, because we live there with patients with a very high percentage living below the poverty line. I would like to appeal to you to address this issue again. You may want to ask for figures from the region, sub-region and borough at the level of the intermutualist college, so that a reflection can be undertaken on this point. Indeed, when a patient is not treated, it is worse after. It is our duty to be attentive to access to care for fragile patients. This is a request from the kines directly; I thank you for hearing it.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u9	That is indeed important. The solution will not be found here, but in the framework of the ongoing consultation with the AIM and the kines. I would point out that we also met with kines who are not part of Axxon.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u10	Thank you and ask you to pay attention to this very different socio-economic reality, to the reality of patients and kines.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u11	Madam Chair, Minister, I would like to ask two questions that I will try to globalize. As you know, exudative macular degeneration is a disease that essentially affects, if not exclusively, the elderly, which is becoming more and more frequent and which strongly affects the vision of reading. Treatment has existed for several years and consists of injections into the eye of an anti-vascular endothelium growth factor, which is a regulator of neoangiogenesis. For many patients, it is necessary to give one injection per month, in each eye, for several months and sometimes even for several years. Lucentis from Novartis, which costs a thousand euros per dose, is almost always injected, whereas there is a similar molecule (Avastin) which costs only 40 euros, or 25 times less. This molecule is not reimbursed, nor even allowed as a first intention. I know a little about the history of these products and you will certainly answer that Avastin has not been asked for this indication, but I think that when budgetary issues are so important for patients and for the state, it would be necessary, together with the professionals concerned, the ophthalmologists and the Federal Medicines Agency, to consider how to proactively encourage this product, which is much cheaper, to be used in this indication. On the other hand, the aspect of the implementation of this treatment raises a series of questions since in order to benefit from the reimbursement of these injections, the ophthalmologist had to prove the need, through an examination called OCT, carried out several times and which is not reimbursed. Who will fund this review? Either the patient has to pay for this examination, however mandatory, or the ophthalmologist offers it to the patient free of charge, but the cost of the device amounts to 50,000 euros. On the other hand, I find that the total number of injections, whose cost of the product is 1,000 euros, has become unlimited, whereas until now it has been 36 injections per eye and the act of injecting is only reimbursed for the first time when it is performed in the operating room, in sterile situations, which is a significant cost. Minister, how do you explain the lack of funding for the device, when it is a mandatory component, the cost of which can unfortunately be deferred to the patient? This raises a question of accessibility for the patient. Why this change in the total number of injections allowed, unlike the act? How can an unlimited refund be justified in relation to a limited refund?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u12	As you know, Mrs. Fonck, I am aware of this problem. An in-depth consultation with representatives of ophthalmologists and experts from INAMI and AFMPS has already taken place. Currently, two anti-vascular endothelial grow factor (anti-VEGF) medicinal products are reimbursed for the treatment of exudative macular degeneration (DMLA): Lucentis and Eylea. Unfortunately, DMLA is not included in the registered indications of Avastin. Firms responsible for marketing proprietary medicinal products have the exclusive right to register an indication for a specialty for which they are responsible. To date, the firm responsible for marketing Avastin has not shown any interest in registering the indication of the treatment of AMD. Furthermore, unlike Lucentis and Eylea, the current formulations of Avastin are not at all suitable for the appropriate dosage for the treatment of the disease in question. Before administering it, Avastin should be prepared in a suitable formulation under conditions that ensure the sterility of the product to be administered. In order to solve the problem, I took the initiative to enter into a contract with the Novartis and Bayer companies, which led to a substantial reduction in the real cost of Lucentis and Eylea for health insurance to an acceptable level. In addition, the conclusion of this contract extended the repayment of Eylea and Lucentis to all their registered indications and removed the limitation on the duration of the repayment, which was apparently a maximum of three years. With regard to your second oral question, both the examination by optical coherence stomography (OCT) and intravitral injections of anti-VEGF are currently being treated in the INAMI Surgery Working Group. Proposals in this area are expected to reach the Insurance Committee in the coming weeks. In other words, one can expect a code of nomenclature for the examination by the OCT and a refund. This is already stated in the 2016–2017 National Agreement on Medicine-Mutualism and I quote: "In the course of 2017, resources will be made available through a reorganization and control of expenditure on OCT, coronarography and ultrasound or other services, which will be used for the economically efficient financing of OCT technology based on economic analysis of health and an analysis of needs." This is being developed within the INAMI Surgery Working Group. As regards the medical procedure for intravitreal injections, the number is limited to 8 for the first year, 6 for the second year and 4 for the following years. This amounts to 30 benefits in the first six years. Currently, a proposal by professional associations of ophthalmologists is on the negotiating table of the Surgery Working Group to increase the number to 34 in the first six years. The aim is to broaden the period and the number of possible treatments.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u13	Minister, I have two thoughts. Firstly, with regard to the second part on the OCT and the acts as such, it is true that my questions have already been tabled a few months ago and, since then, things have clearly begun to move. All the better and, of course, wait for the conclusions of this working group in consultation with the ophthalmologists! But you must have known that at that time, the ophthalmologists had asked me directly with a whole series of questions. Then, with regard to the second part on anti-VEGF, I can hear what you're telling me. Today, it is indeed an exclusive right of pharmaceutical companies, but I think that, when there is an issue at this important point, both for patients and for social security and the health care budget in particular, it will be necessary, some day or another, to discuss a space which could give, in a form of obligation, a Cadré right, marked but, in any case, a lever at the level of the State. The example of anti-VEGF goes back years and is particularly challenging and unacceptable. At some point, arrangements can be made between each other, because, ultimately, no one is moving because these arrangements are suitable for each other. I therefore believe, Madam Minister, that we will have to change our regulations in this area.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u14	I would like to remind you, because it seems necessary to me, that there are many questions on the agenda and that the Rules of Procedure provide for a limited time for both the question, the answer and the reply.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u15	Madam President, Minister, I will not recall the many events related to health and environmental issues, such as hazardous waste, pesticides and material issues. This jurisdiction is obviously not only federal but is shared by the different levels of power. This is why strategies need to be coordinated, and probably better coordinated, to be more effective. In my view, the actors in the field should also be involved in this work. I am told that there has been little mention of this at the level of public health. My questions in this regard are therefore as follows. What themes were discussed in 2014, 2015 and 2016 at the Interdepartmental Conference (IMC) on Environment and Health? What are the results of this work? As a federal minister, what themes have you put on the ICD agenda? What topics do you intend to include in the future? Are there any consultations with federated entities on environmental health? How? In what form? What conclusions have been reached in this regard? If they haven't been, are you going to put these different questions on the agenda?
