ParlaMint-BE_2017-02-22-54-commissie-ic606x.u1	Frau Jadin, sie haben das Wort. Is that okay with German?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u2	Dank Herr Vorsitzender! Mr President, Minister, it is up to me in the press that the legislation on the amateur brewing of beer will be regulated more strongly. Belgium, the cradle of special and artisanal beer, includes a myriad of amateur brewers, who with passion produce their own beer. The announcement of this hardening concerns the Belgian Homebrewers Association (BHA), since it would limit the consumption of these brewed beers to their creators alone. Beers may no longer be sold or presented in competitions or markets. While an amateur producer cannot produce more than 110 litres of beer, the real risks to the Belgian beer industry must therefore be questioned. Minister, for what purpose has the legislation been amended? What were the problems at the root of this change? Do you think that some amateur brewers represent unfair competition compared to other firms? How many amateur producers are listed in Belgium? What is their economic weight in the face of large beer producers? Is this not a hindrance to Belgian creation when Belgian beer has been included in UNESCO's intangible cultural heritage?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u3	Mr President, Minister, I have already questioned you about the limitations imposed on hobby brewers, but I would like some clarification on a number of issues. I am not going to repeat the explanations given at the time and from the previous speaker and come straight to my six specific questions. Firstly, what is the reason behind the provision that hobby brewers are not allowed to participate in tastings and competitions merely to measure their own brew with others or to be judged, without any commercial intention, whereas in other countries not known as beer country, this is not a problem at all? Secondly, what legislation is this based on and are you prepared to adapt it if necessary? If not, why not? Thirdly, what legislation is politically based that degustations for guests and family should not be organised by hobby brewers on a free basis and therefore without commercial purpose if they do not want to pay excise duties? Are you prepared to revise that regulation? If not, why not? Fourthly, you stated in that regard that a hobby brewer who regularly organises free degustations does not benefit from excise duty exemption. However, it is not clear to them what is to be understood as "on a regular basis'. Does this mean that a hobby brewer who only occasionally does that is not subject to that? Where exactly is the border? Fifthly, you replied that you had your administration examined in order to align the situation between wine and beer in the area of possession declaration in the context of administrative simplification. Do you have any results from that investigation? When would the possible alignment begin? Finally, would it not be advisable to re-examine the whole of this scheme in order to ensure that hobby brewers can exercise their hobby without being subjected to restrictions, which is why they were created? Minister, I am very curious to hear your answers. You will not blame me for having to read them in the report, because I am also expected to be present in the Committee on the Interior. So I'm going to leave the reply to my colleague.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u4	Mrs Jadin, Mrs Pas, the rules on hobby brewers are reflected in Article 7 of the Law of 7 January 1998 on the structure and rates of excise duty on alcohol and alcoholic beverages. This Article has not been amended since the entry into force of this Act. There is therefore no intertwining or anything, as is suggested. Article 7 provides for an exemption from excise duties on beers produced by a private individual and consumed by that private individual, the members of his family or his guests, in so far as there is no sale. It is therefore a question of brewing beer in the private sphere, without any commercial activity involved. Since it is an exemption from the payment of excise duties, the conditions for exemption must be strictly met. This strict application of the legislation avoids competitive advantage to amateur brewers compared to professional or commercial brewers, who, for the production of their beer, are subject to legal excise formalities. The brewing of beer in the private sphere implies that there is no commercial objective. Hobby brewers are free to participate in tastings, competitions or competitions. However, they are no longer considered as a hobby brewer, but as a professional or commercial brewer. At that time they left their household atmosphere of beer brewing and there are spectators present who cannot be considered as guests of the family. As mentioned above, this is an exemption from excise duty and the conditions for benefiting from it must be strictly met. This strict application stems from the fact that it is difficult to determine whether a person is acting as an individual, and therefore as an amateur brewer, or as a professional brewer. In any event, a review of the 1998 legislation requires a thorough analysis. The aspect of the possession declaration should also be taken into account in that analysis. Any amendments will require first of all a legislative amendment which will obviously have to go through the whole prescribed procedure for the submission of a draft law, as well as an adaptation of the relevant implementing acts. This should also be done in accordance with European legislation, which provides that the production of alcohol and alcoholic beverages must take place in a tax warehouse with payment of excise duties, with the exception of the production by private persons of beer, wine and other fermented beverages.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u5	Minister, thank you. My question was motivated by the fact that I saw that the brewers of the Belgian Homebrewers Association were amazed at the provisions that the legislator – in this case, you – intended to take. I understand that there is no legislative intention. It was misinformation. Perhaps it would be interesting to make that known. A modified countertruth still deserves to be published.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u6	Mr Gilkinet is currently on a committee of inquiry, but he will be here shortly. We are also waiting for Mr Laaouej and Mr Calomne.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u7	You know, Minister, that you have a very important task: you must watch over the state revenue of the Belgian government. That's not nothing. It's about several billions, fortunately, still. Last year we had a number of discussions both in committee and in plenary, in which we discussed the control of revenue and the proper monitoring of revenue, often as a suggestion and a question to you with a view to checking incoming revenue as closely as possible, just because they are so important to our state finances. Certainly after the tax shift, after the sixth state reform and so on, we need a very good follow-up of revenue. Hence my question. Apart from achieving a possible balance in 2018 or 2019, good revenue monitoring will be necessary in any case, especially if we still want to make efforts in 2018 and 2019 to achieve balance. I have the following questions, Minister. What were the revenues realised in 2016 based on the latest figures? I understand that a closure has been possible in the last week. Can it be considered final? What was the impact of the tax measures in 2016? Would it be possible to get an update of Table 4, 54 1803/001 on page 68 based on the latest figures and estimates?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u8	The Minister's reply is also important for the work of the committee, in the sense that I read that Mr Gilkinet has tabled a resolution which would be in plenary tomorrow and in which he asks that the Court of Auditors examine what the realisation of revenue was in 2016. Personally, I think that we should first know what the Minister's position is on this matter and that we should have the tables, which apparently exist, so that we can say in plenary tomorrow what the state of play is, because there is a difference between the ESA approach and the cash approach and so on. I read in the press about 4 billion. Minister, you say that it is actually 20 million better and so on. So we look forward to your answer and I will use it. If you have tables, then it is all the better, then I can also use them in plenary tomorrow. If Mr Gilkinet wants to have that discussion, we must also know what we are going to check if we decide to use the Court of Auditors to check. That is in view of the order of business in committee, because the resolution would then come to the Finance Committee and we would then have to take the Court of Auditors by adopting that resolution. Minister, that is the political context, but it is good that we have clarity on this, so that this discussion should no longer be held in the press.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u9	Mr President, Mrs Smaers, this weekend the FPS Finance has closed the latest figures, but they are not yet final. We will have to wait until March. Compared to the 2015 achievements, the figures, which are therefore not yet final, have also been compared to the targets of the September/October budgetary control. I have that table right here, Mr President. It is available on the website of the FOD. You will find all the figures, broken down according to the category of taxes. To your question about an examination of the various constituent components, I can answer that we are working on this. We will, of course, discuss them as soon as possible.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u10	Maybe we could split the table? I suggest that we suspend for a few minutes so that we can look at that table. I think we should have that table in committee. This is, of course, not a debate, but that way we can refer tomorrow in plenary to the tables that have been distributed in this committee. If not, we'll get another wells-nothing game there where things are said that aren't based on the real figures. Let's wait maybe two minutes and then we'll move on.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u11	The resolution will be considered tomorrow and the debate will take place in committee.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u12	The House is asking for urgent treatment to be given to the Court of Auditors for revenue. No one knows what the receipts are.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u13	That's exactly why we're asking.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u14	You have also issued all kinds of press releases. I read it with great interest. As chairman of the Finance Committee in this committee, I would like to know what the latest state of play is on revenue 2016. The discussions will be possible, but at least we will know what we are talking about. The discussion in the press is a well-known notation game. Now it's about 4 billion, then 2 billion. Now we are talking about ESA on a cash basis. If we wait a few minutes, everyone can look into that table.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u15	This can simply be distributed, can't it? Do we have to wait for that now?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u16	It is not my custom, but for once I am inclined to agree with Mr Vanvelthoven.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u17	I'll close the incident later. Once Mrs Smaers has seen the table, she can replicate it. I am really trying to do parliamentary work here. I read in the newspaper today that, according to Mr Van Quickenborne, we have too many Members here.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u18	That's in the other committees.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u19	Mr Minister, my question concerns VAT checks in the context of possible VAT fraud. I have to go back to June 2015. Then suddenly this came on the table as a result of disappointing VAT receipts. You immediately stated that VAT fraud related to the reduced electricity tariff was the cause. This was reduced from 21 % to 6 %. At that time, the Council of Ministers decided that the BBI had to carry out checks in this area in order to detect the misuse and, where appropriate, correct it. You also indicated that the research would raise EUR 250 million, and you wanted to include that amount in the budget. We have discussed this a number of times in committee. In November 2016, you informed me that at that time a number of electricity suppliers were negotiating with a view to reaching an agreement on some 17 000 customers who had wrongly paid the reduced VAT rate. You also told us that the last agreements would be concluded in the last quarter of 2016. That was two months ago. Hence, Minister, my renewed questions. What is the total amount of corrections due to the administration today? For what part of that amount is there already an agreement with the taxpayer and for what part is there not yet a final agreement? In the meantime, how much was effectively recovered as a result of the control action?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u20	Mr Vanvelthoven, during the Budget Conclave of August 2015, a revenue of EUR 250 million was estimated for the improper use of the reduced VAT rate on electricity for domestic use. However, in the run-up to the 2016 budgetary control, revenue was again estimated at EUR 41.5 million. It goes without saying that the ultimate achievement depends on the progress of the control actions. The reduction in revenue is to a large extent due to the position taken by the previous Minister of Finance in response to parliamentary questions Nos 22710 and 22750 of 19 March 2014, on the basis of which the reduced rate is allowed in the case of mixed use, i.e. both private and professional use. As a result, comments have been made from the sector on the start-up and implementation of the control actions. Since then, together with the administration, I have repeatedly pointed out the risk that those answers to the parliamentary questions in question would indeed not achieve the desired yield. In order not to hypothesize the ongoing agreements, you will understand that I cannot comment on the control actions themselves or the results that have been achieved so far.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u21	For two reasons, Minister, I think that is a strange answer. Firstly, you are referring to a statement by the previous Minister of Finance. I assume your administration was aware of this when you publicly said that there was a major problem, that it had to be resolved and that the approach would yield 250 million. Your administration knew that. So if you're communicating about that, I assume you knew that at the time. I find that very peculiar. Secondly, what I am asking you is very simple. What agreements have been concluded so far? What amount are we talking about? The fact that you could say today that we are talking about EUR 10 million, for example, does not in any way hypothesize all the other ongoing discussions? Explain that to me, because I don't understand.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u22	Most of those cases are still under discussion today.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u23	But that's just my question. What agreements are effective today? I can still assume that you remain silent about the agreements that are still under discussion, but what has been completed today?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u24	Almost all the disputed cases are still under discussion.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u25	In November, you replied to a parliamentary question that those agreements were being concluded and that they would be finalized by the end of 2016.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u26	Indeed, that seems to be a little more difficult than we thought at the time.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u27	So I can conclude from your answer that no agreement has been reached?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u28	Yes.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u29	That's unbelievable.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u30	Mrs Smaers, you have had a look at the figures. Do you have another reply?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u31	Mr President, thank you for giving me the opportunity to look at the figures. Minister, I see here a table of revenue according to ESA. You have already announced a deposit of this revenue in respect of the achievements in 2015. However, I would like to ask you a little more clarification on column C, which is supposed to be revenue for 2016. Of course you compare the figures for the achievements. Is that a final objective for 2016? Has that objective been adjusted in the course of 2016?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u32	(...)
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u33	That is not the initial objective for 2016?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u34	... to be adapted to the circumstances.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u35	Has this been adjusted in budgetary control on the basis of the new fiscal measures announced and adopted at that time?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u36	On the basis of the assessment of the environment as a whole, the various factors involved in the best possible estimation of revenue, as is the case for expenditure.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u37	I have here by mistake the figures for the initial target for 2016, i.e. 110,742 billion. Is that about right?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u38	If I had to say it by heart, that could be about right.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u39	Then I take note of the figures as shown here, the comparison of the achievements with the last adjusted target for 2016.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u40	Those are adjustments that date from the summer.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u41	Mr President, Minister, on 18 January I asked you about the application of this VAT instruction. You stated at that time that the aim was to avoid shopping and thus to achieve uniform treatment for taxpayers. You were of the opinion that this objective was achieved. I then asked you about the data by regional management in order to be able to assess them. I did not receive it at the time, and I am now once again insisting on receiving it. In the meantime, the figures are circulating through a reliable source and we know that they exist. I have also asked several times about the treatment of the initial balance. Your answer is that no detailed information is kept. However, you can also ask this simple question to each of the regional executives. It's probably hundreds of files for each board. The question can therefore be answered without further ado. That's why I'm redoing them. I would like to receive the following information by regional management in the context of this VAT instruction: the number of files submitted, the number of files handled, the total increase in the taxable basis, the total amount of sums returned and the total amount actually paid. Was the non-justified initial balance included in all the files?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u42	Mr President, Mr Vanvelthoven, the overall state of play on 9 February 2017 for the files for which the FBI has conducted investigations in accordance with the provisions of the so-called BBI instruction is the following. The number of files submitted is 1 862, the number of files handled is 1 841, the total increase of the taxable base is 539.9 million euro, the total amount of the tax to be collected is 162.7 million euro and the total amount actually paid is 160 million euro. As far as the recovery rate is concerned, the payment period has not yet expired for a number of attacks. As I have already mentioned several times in this discussion, the details of the data referred to in your last question are not available for these files or for other files dealt with by the BBI. Moreover, I do not think it is appropriate to order the services of the BBI to collect this information in a very time-consuming and labour-intensive manner, at the expense of their core business, in particular the fight against fraud.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u43	Thank you, Minister, for the figures. However, I had asked for the figures to be received by regional management. Your argument has always been that this VAT instruction should be provided, so that we deal with matters in the same way everywhere. That is the essence of my question, and you are going to go around it again unless you can give me this information?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u44	How are you going to see whether there are differences in this distribution?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u45	For example, I could compare the numbers. If there is no conclusion to be drawn from this, then I will not, but you seem to be refusing to provide that information, so that I cannot even draw a conclusion.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u46	As I said in the last part of my reply, the BBI is very busy at the moment. There are other things to do there. These are questions that require a lot of research and distribution work.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u47	It's just a few, Minister. The number for the whole country is summing up what the different managements receive. Mr President, you just showed your parliamentary reflex. Here the Minister refuses to submit information that is available to Parliament. That is not serious, Minister. You have the data. You give the total, so the sum of the regional executives. Is that such a big secret that we shouldn't know?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u48	You will then have to ask a written question or another question, Mr Vanvelthoven.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u49	Mr President, come on, I heard a colleague of this committee this morning say that he did get the figures by regional management, a party member of yours. And he said I'd get the numbers this afternoon.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u50	The Minister has answered what he wants to answer.
