Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	FlahauxJeanJacques	Flahaux, Jean-Jacques	M	1955	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
